address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Barrow Street,12,6,Thursday,29/03/2018 06:04,0
Barrow Street,17,7,Thursday,29/03/2018 07:05,0
Barrow Street,24,8,Thursday,29/03/2018 08:04,0
Barrow Street,28,9,Thursday,29/03/2018 09:02,0
Barrow Street,30,10,Thursday,29/03/2018 10:00,0
Barrow Street,35,11,Thursday,29/03/2018 11:11,10
Barrow Street,31,12,Thursday,29/03/2018 12:02,30
Barrow Street,29,13,Thursday,29/03/2018 13:04,30
Barrow Street,24,14,Thursday,29/03/2018 14:05,45
Barrow Street,24,15,Thursday,29/03/2018 15:01,40
Barrow Street,20,16,Thursday,29/03/2018 16:01,30
Barrow Street,17,17,Thursday,29/03/2018 17:02,30
Barrow Street,8,18,Thursday,29/03/2018 18:03,30
Barrow Street,7,19,Thursday,29/03/2018 19:02,40
Barrow Street,7,20,Thursday,29/03/2018 20:02,30
Barrow Street,7,21,Thursday,29/03/2018 21:08,25
Barrow Street,7,22,Thursday,29/03/2018 22:01,30
Barrow Street,10,23,Thursday,29/03/2018 23:07,40
Barrow Street,17,6,Friday,30/03/2018 06:05,0
Barrow Street,13,7,Friday,30/03/2018 07:03,0
Barrow Street,17,8,Friday,30/03/2018 08:06,0
Barrow Street,13,9,Friday,30/03/2018 09:12,0
Barrow Street,11,10,Friday,30/03/2018 10:01,20
Barrow Street,11,11,Friday,30/03/2018 11:03,20
Barrow Street,13,12,Friday,30/03/2018 12:02,20
Barrow Street,7,13,Friday,30/03/2018 13:01,20
Barrow Street,8,14,Friday,30/03/2018 14:11,20
Barrow Street,10,15,Friday,30/03/2018 15:04,0
Barrow Street,6,16,Friday,30/03/2018 16:04,0
Barrow Street,4,17,Friday,30/03/2018 17:08,20
Barrow Street,6,18,Friday,30/03/2018 18:00,0
Barrow Street,7,19,Friday,30/03/2018 19:02,0
Barrow Street,8,20,Friday,30/03/2018 20:00,0
Barrow Street,8,21,Friday,30/03/2018 21:03,0
