address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Charlemont Street,13,6,Thursday,29/03/2018 06:04,0
Charlemont Street,2,7,Thursday,29/03/2018 07:04,0
Charlemont Street,6,8,Thursday,29/03/2018 08:04,0
Charlemont Street,12,9,Thursday,29/03/2018 09:00,0
Charlemont Street,9,10,Thursday,29/03/2018 10:02,0
Charlemont Street,2,11,Thursday,29/03/2018 11:01,10
Charlemont Street,3,12,Thursday,29/03/2018 12:09,30
Charlemont Street,1,13,Thursday,29/03/2018 13:03,30
Charlemont Street,2,14,Thursday,29/03/2018 14:01,45
Charlemont Street,9,15,Thursday,29/03/2018 15:02,40
Charlemont Street,6,16,Thursday,29/03/2018 16:02,30
Charlemont Street,7,17,Thursday,29/03/2018 17:02,30
Charlemont Street,7,18,Thursday,29/03/2018 18:04,30
Charlemont Street,9,19,Thursday,29/03/2018 19:00,40
Charlemont Street,6,20,Thursday,29/03/2018 20:06,30
Charlemont Street,9,21,Thursday,29/03/2018 21:01,25
Charlemont Street,19,22,Thursday,29/03/2018 22:07,30
Charlemont Street,20,23,Thursday,29/03/2018 23:08,40
Charlemont Street,35,6,Friday,30/03/2018 06:09,0
Charlemont Street,36,7,Friday,30/03/2018 07:11,0
Charlemont Street,27,8,Friday,30/03/2018 08:01,0
Charlemont Street,28,9,Friday,30/03/2018 09:06,0
Charlemont Street,26,10,Friday,30/03/2018 10:00,20
Charlemont Street,20,11,Friday,30/03/2018 11:02,20
Charlemont Street,19,12,Friday,30/03/2018 12:02,20
Charlemont Street,17,13,Friday,30/03/2018 13:03,20
Charlemont Street,19,14,Friday,30/03/2018 14:00,20
Charlemont Street,18,15,Friday,30/03/2018 15:04,0
Charlemont Street,19,16,Friday,30/03/2018 16:01,0
Charlemont Street,17,17,Friday,30/03/2018 17:04,20
Charlemont Street,16,18,Friday,30/03/2018 18:09,0
Charlemont Street,12,19,Friday,30/03/2018 19:03,0
Charlemont Street,19,20,Friday,30/03/2018 20:03,0
Charlemont Street,22,21,Friday,30/03/2018 21:05,0
Charlemont Street,22,22,Friday,30/03/2018 22:07,0
Charlemont Street,24,23,Friday,30/03/2018 23:09,0
Charlemont Street,27,6,Saturday,31/03/2018 06:08,0
Charlemont Street,30,7,Saturday,31/03/2018 07:03,0
Charlemont Street,27,8,Saturday,31/03/2018 08:02,0
Charlemont Street,24,9,Saturday,31/03/2018 09:03,0
Charlemont Street,36,10,Saturday,31/03/2018 10:08,0
Charlemont Street,35,11,Saturday,31/03/2018 11:03,0
Charlemont Street,30,12,Saturday,31/03/2018 12:00,0
Charlemont Street,27,13,Saturday,31/03/2018 13:05,0
Charlemont Street,26,14,Saturday,31/03/2018 14:02,0
Charlemont Street,27,15,Saturday,31/03/2018 15:04,0
Charlemont Street,26,16,Saturday,31/03/2018 16:00,0
Charlemont Street,28,17,Saturday,31/03/2018 17:00,0
Charlemont Street,33,18,Saturday,31/03/2018 18:01,0
Charlemont Street,27,19,Saturday,31/03/2018 19:03,0
Charlemont Street,25,20,Saturday,31/03/2018 20:04,0
Charlemont Street,30,21,Saturday,31/03/2018 21:03,0
Charlemont Street,32,22,Saturday,31/03/2018 22:03,0
Charlemont Street,32,23,Saturday,31/03/2018 23:04,0
Charlemont Street,33,6,Sunday,01/04/2018 06:01,30
Charlemont Street,32,7,Sunday,01/04/2018 07:05,30
Charlemont Street,33,8,Sunday,01/04/2018 08:06,0
Charlemont Street,29,9,Sunday,01/04/2018 09:04,0
Charlemont Street,24,10,Sunday,01/04/2018 10:00,0
Charlemont Street,23,11,Sunday,01/04/2018 11:03,0
Charlemont Street,17,12,Sunday,01/04/2018 12:01,0
Charlemont Street,6,13,Sunday,01/04/2018 13:05,0
Charlemont Street,9,14,Sunday,01/04/2018 14:04,0
Charlemont Street,17,15,Sunday,01/04/2018 15:02,0
Charlemont Street,21,16,Sunday,01/04/2018 16:01,0
Charlemont Street,24,17,Sunday,01/04/2018 17:07,0
Charlemont Street,26,18,Sunday,01/04/2018 18:01,0
Charlemont Street,26,19,Sunday,01/04/2018 19:02,0
Charlemont Street,25,20,Sunday,01/04/2018 20:01,45
Charlemont Street,26,21,Sunday,01/04/2018 21:01,50
Charlemont Street,26,22,Sunday,01/04/2018 22:02,50
Charlemont Street,27,23,Sunday,01/04/2018 23:05,60
Charlemont Street,26,6,Monday,02/04/2018 06:05,70
Charlemont Street,27,7,Monday,02/04/2018 07:07,70
Charlemont Street,25,8,Monday,02/04/2018 08:03,60
Charlemont Street,25,9,Monday,02/04/2018 09:08,70
Charlemont Street,26,10,Monday,02/04/2018 10:03,65
Charlemont Street,26,11,Monday,02/04/2018 11:10,70
Charlemont Street,26,12,Monday,02/04/2018 12:03,70
Charlemont Street,25,13,Monday,02/04/2018 13:01,70
Charlemont Street,25,14,Monday,02/04/2018 14:08,60
