address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Denmark Street Great,16,6,Thursday,29/03/2018 06:04,0
Denmark Street Great,13,7,Thursday,29/03/2018 07:04,0
Denmark Street Great,2,8,Thursday,29/03/2018 08:00,0
Denmark Street Great,0,9,Thursday,29/03/2018 09:03,0
Denmark Street Great,1,10,Thursday,29/03/2018 10:03,0
Denmark Street Great,0,11,Thursday,29/03/2018 11:03,10
Denmark Street Great,1,12,Thursday,29/03/2018 12:04,30
Denmark Street Great,2,13,Thursday,29/03/2018 13:03,30
Denmark Street Great,4,14,Thursday,29/03/2018 14:02,45
Denmark Street Great,4,15,Thursday,29/03/2018 15:04,40
Denmark Street Great,4,16,Thursday,29/03/2018 16:01,30
Denmark Street Great,6,17,Thursday,29/03/2018 17:00,30
Denmark Street Great,10,18,Thursday,29/03/2018 18:00,30
Denmark Street Great,14,19,Thursday,29/03/2018 19:02,40
Denmark Street Great,14,20,Thursday,29/03/2018 20:03,30
Denmark Street Great,15,21,Thursday,29/03/2018 21:03,25
Denmark Street Great,18,22,Thursday,29/03/2018 22:07,30
Denmark Street Great,18,23,Thursday,29/03/2018 23:09,40
Denmark Street Great,14,6,Friday,30/03/2018 06:00,0
Denmark Street Great,14,7,Friday,30/03/2018 07:06,0
Denmark Street Great,13,8,Friday,30/03/2018 08:01,0
Denmark Street Great,12,9,Friday,30/03/2018 09:00,0
Denmark Street Great,11,10,Friday,30/03/2018 10:09,20
Denmark Street Great,12,11,Friday,30/03/2018 11:07,20
Denmark Street Great,14,12,Friday,30/03/2018 12:02,20
Denmark Street Great,18,13,Friday,30/03/2018 13:01,20
Denmark Street Great,17,14,Friday,30/03/2018 14:02,20
Denmark Street Great,19,15,Friday,30/03/2018 15:03,0
Denmark Street Great,20,16,Friday,30/03/2018 16:00,0
Denmark Street Great,19,17,Friday,30/03/2018 17:07,20
Denmark Street Great,19,18,Friday,30/03/2018 18:05,0
Denmark Street Great,20,19,Friday,30/03/2018 19:04,0
Denmark Street Great,20,20,Friday,30/03/2018 20:01,0
Denmark Street Great,20,21,Friday,30/03/2018 21:02,0
Denmark Street Great,19,22,Friday,30/03/2018 22:04,0
Denmark Street Great,18,23,Friday,30/03/2018 23:08,0
Denmark Street Great,15,6,Saturday,31/03/2018 06:04,0
Denmark Street Great,14,7,Saturday,31/03/2018 07:08,0
Denmark Street Great,14,8,Saturday,31/03/2018 08:02,0
Denmark Street Great,14,9,Saturday,31/03/2018 09:03,0
Denmark Street Great,12,10,Saturday,31/03/2018 10:01,0
Denmark Street Great,12,11,Saturday,31/03/2018 11:01,0
Denmark Street Great,13,12,Saturday,31/03/2018 12:08,0
Denmark Street Great,16,13,Saturday,31/03/2018 13:01,0
Denmark Street Great,15,14,Saturday,31/03/2018 14:02,0
Denmark Street Great,16,15,Saturday,31/03/2018 15:04,0
Denmark Street Great,15,16,Saturday,31/03/2018 16:08,0
Denmark Street Great,14,17,Saturday,31/03/2018 17:02,0
Denmark Street Great,13,18,Saturday,31/03/2018 18:09,0
Denmark Street Great,15,19,Saturday,31/03/2018 19:09,0
Denmark Street Great,14,20,Saturday,31/03/2018 20:00,0
Denmark Street Great,15,21,Saturday,31/03/2018 21:01,0
Denmark Street Great,15,22,Saturday,31/03/2018 22:02,0
Denmark Street Great,15,23,Saturday,31/03/2018 23:00,0
Denmark Street Great,14,6,Sunday,01/04/2018 06:08,30
Denmark Street Great,13,7,Sunday,01/04/2018 07:05,30
Denmark Street Great,15,8,Sunday,01/04/2018 08:08,0
Denmark Street Great,15,9,Sunday,01/04/2018 09:02,0
Denmark Street Great,18,10,Sunday,01/04/2018 10:07,0
Denmark Street Great,14,11,Sunday,01/04/2018 11:00,0
Denmark Street Great,11,12,Sunday,01/04/2018 12:08,0
Denmark Street Great,10,13,Sunday,01/04/2018 13:01,0
Denmark Street Great,9,14,Sunday,01/04/2018 14:08,0
Denmark Street Great,9,15,Sunday,01/04/2018 15:08,0
Denmark Street Great,10,16,Sunday,01/04/2018 16:00,0
Denmark Street Great,6,17,Sunday,01/04/2018 17:01,0
Denmark Street Great,5,18,Sunday,01/04/2018 18:08,0
Denmark Street Great,5,19,Sunday,01/04/2018 19:02,0
Denmark Street Great,5,20,Sunday,01/04/2018 20:03,45
Denmark Street Great,6,21,Sunday,01/04/2018 21:09,50
Denmark Street Great,6,22,Sunday,01/04/2018 22:05,50
Denmark Street Great,6,23,Sunday,01/04/2018 23:07,60
Denmark Street Great,4,6,Monday,02/04/2018 06:03,70
Denmark Street Great,1,7,Monday,02/04/2018 07:03,70
Denmark Street Great,0,8,Monday,02/04/2018 08:02,60
Denmark Street Great,2,9,Monday,02/04/2018 09:07,70
Denmark Street Great,2,10,Monday,02/04/2018 10:08,65
Denmark Street Great,1,11,Monday,02/04/2018 11:08,70
Denmark Street Great,2,12,Monday,02/04/2018 12:10,70
Denmark Street Great,2,13,Monday,02/04/2018 13:00,70
Denmark Street Great,0,14,Monday,02/04/2018 14:00,60
Denmark Street Great,1,15,Monday,02/04/2018 15:09,60
Denmark Street Great,0,16,Monday,02/04/2018 16:04,60
Denmark Street Great,0,17,Monday,02/04/2018 17:01,50
Denmark Street Great,1,18,Monday,02/04/2018 18:02,40
Denmark Street Great,3,19,Monday,02/04/2018 19:03,0
Denmark Street Great,3,20,Monday,02/04/2018 20:04,0
Denmark Street Great,3,21,Monday,02/04/2018 21:05,40
Denmark Street Great,3,22,Monday,02/04/2018 22:06,50
Denmark Street Great,2,23,Monday,02/04/2018 23:05,60
Denmark Street Great,1,6,Tuesday,03/04/2018 06:05,0
Denmark Street Great,2,7,Tuesday,03/04/2018 07:02,20
Denmark Street Great,1,8,Tuesday,03/04/2018 08:00,20
Denmark Street Great,0,9,Tuesday,03/04/2018 09:07,0
Denmark Street Great,0,10,Tuesday,03/04/2018 10:04,0
Denmark Street Great,0,11,Tuesday,03/04/2018 11:05,0
Denmark Street Great,0,12,Tuesday,03/04/2018 12:04,30
Denmark Street Great,0,13,Tuesday,03/04/2018 13:00,40
Denmark Street Great,1,14,Tuesday,03/04/2018 14:09,20
Denmark Street Great,1,15,Tuesday,03/04/2018 15:09,20
Denmark Street Great,6,16,Tuesday,03/04/2018 16:03,30
Denmark Street Great,10,17,Tuesday,03/04/2018 17:02,0
Denmark Street Great,12,18,Tuesday,03/04/2018 18:06,0
Denmark Street Great,18,19,Tuesday,03/04/2018 19:00,0
Denmark Street Great,20,20,Tuesday,03/04/2018 20:01,0
Denmark Street Great,20,21,Tuesday,03/04/2018 21:07,0
Denmark Street Great,20,22,Tuesday,03/04/2018 22:04,0
Denmark Street Great,20,23,Tuesday,03/04/2018 23:05,0
Denmark Street Great,17,6,Wednesday,04/04/2018 06:03,40
Denmark Street Great,15,7,Wednesday,04/04/2018 07:07,40
Denmark Street Great,12,8,Wednesday,04/04/2018 08:07,30
Denmark Street Great,11,9,Wednesday,04/04/2018 09:05,40
Denmark Street Great,10,10,Wednesday,04/04/2018 10:05,40
Denmark Street Great,11,11,Wednesday,04/04/2018 11:06,20
Denmark Street Great,11,12,Wednesday,04/04/2018 12:04,0
Denmark Street Great,10,13,Wednesday,04/04/2018 13:03,10
Denmark Street Great,6,14,Wednesday,04/04/2018 14:03,0
Denmark Street Great,8,15,Wednesday,04/04/2018 15:06,20
Denmark Street Great,9,16,Wednesday,04/04/2018 16:04,20
Denmark Street Great,14,17,Wednesday,04/04/2018 17:06,40
Denmark Street Great,18,18,Wednesday,04/04/2018 18:06,0
Denmark Street Great,19,19,Wednesday,04/04/2018 19:06,0
Denmark Street Great,18,20,Wednesday,04/04/2018 20:05,0
Denmark Street Great,19,21,Wednesday,04/04/2018 21:08,40
Denmark Street Great,19,22,Wednesday,04/04/2018 22:09,30
Denmark Street Great,19,23,Wednesday,04/04/2018 23:00,30
