address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Exchequer Street,10,6,Thursday,29/03/2018 06:05,0
Exchequer Street,14,7,Thursday,29/03/2018 07:10,0
Exchequer Street,16,8,Thursday,29/03/2018 08:03,0
Exchequer Street,19,9,Thursday,29/03/2018 09:00,0
Exchequer Street,23,10,Thursday,29/03/2018 10:05,0
Exchequer Street,24,11,Thursday,29/03/2018 11:00,10
Exchequer Street,20,12,Thursday,29/03/2018 12:04,30
Exchequer Street,12,13,Thursday,29/03/2018 13:01,30
Exchequer Street,7,14,Thursday,29/03/2018 14:01,45
Exchequer Street,5,15,Thursday,29/03/2018 15:02,40
Exchequer Street,13,16,Thursday,29/03/2018 16:02,30
Exchequer Street,23,17,Thursday,29/03/2018 17:00,30
Exchequer Street,23,18,Thursday,29/03/2018 18:00,30
Exchequer Street,23,19,Thursday,29/03/2018 19:07,40
Exchequer Street,22,20,Thursday,29/03/2018 20:04,30
Exchequer Street,17,21,Thursday,29/03/2018 21:09,25
Exchequer Street,11,22,Thursday,29/03/2018 22:06,30
Exchequer Street,3,23,Thursday,29/03/2018 23:04,40
Exchequer Street,9,6,Friday,30/03/2018 06:00,0
Exchequer Street,8,7,Friday,30/03/2018 07:06,0
Exchequer Street,10,8,Friday,30/03/2018 08:08,0
Exchequer Street,16,9,Friday,30/03/2018 09:02,0
Exchequer Street,22,10,Friday,30/03/2018 10:02,20
Exchequer Street,10,11,Friday,30/03/2018 11:02,20
Exchequer Street,21,12,Friday,30/03/2018 12:01,20
Exchequer Street,23,13,Friday,30/03/2018 13:03,20
Exchequer Street,23,14,Friday,30/03/2018 14:00,20
Exchequer Street,23,15,Friday,30/03/2018 15:06,0
Exchequer Street,20,16,Friday,30/03/2018 16:08,0
Exchequer Street,20,17,Friday,30/03/2018 17:01,20
Exchequer Street,22,18,Friday,30/03/2018 18:02,0
Exchequer Street,23,19,Friday,30/03/2018 19:01,0
Exchequer Street,22,20,Friday,30/03/2018 20:00,0
Exchequer Street,20,21,Friday,30/03/2018 21:00,0
Exchequer Street,22,22,Friday,30/03/2018 22:00,0
Exchequer Street,20,23,Friday,30/03/2018 23:06,0
Exchequer Street,14,6,Saturday,31/03/2018 06:08,0
Exchequer Street,9,7,Saturday,31/03/2018 07:05,0
Exchequer Street,15,8,Saturday,31/03/2018 08:07,0
Exchequer Street,20,9,Saturday,31/03/2018 09:08,0
Exchequer Street,19,10,Saturday,31/03/2018 10:03,0
Exchequer Street,13,11,Saturday,31/03/2018 11:01,0
Exchequer Street,18,12,Saturday,31/03/2018 12:04,0
Exchequer Street,24,13,Saturday,31/03/2018 13:04,0
Exchequer Street,23,14,Saturday,31/03/2018 14:05,0
Exchequer Street,21,15,Saturday,31/03/2018 15:10,0
Exchequer Street,21,16,Saturday,31/03/2018 16:05,0
Exchequer Street,23,17,Saturday,31/03/2018 17:01,0
Exchequer Street,24,18,Saturday,31/03/2018 18:03,0
Exchequer Street,24,19,Saturday,31/03/2018 19:01,0
Exchequer Street,20,20,Saturday,31/03/2018 20:06,0
Exchequer Street,23,21,Saturday,31/03/2018 21:05,0
Exchequer Street,20,22,Saturday,31/03/2018 22:08,0
