address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
George's Lane,12,6,Thursday,29/03/2018 06:04,0
George's Lane,3,7,Thursday,29/03/2018 07:09,0
George's Lane,0,8,Thursday,29/03/2018 08:05,0
George's Lane,0,9,Thursday,29/03/2018 09:04,0
George's Lane,2,10,Thursday,29/03/2018 10:05,0
George's Lane,0,11,Thursday,29/03/2018 11:01,10
George's Lane,1,12,Thursday,29/03/2018 12:00,30
George's Lane,2,13,Thursday,29/03/2018 13:03,30
George's Lane,2,14,Thursday,29/03/2018 14:03,45
George's Lane,1,15,Thursday,29/03/2018 15:00,40
George's Lane,1,16,Thursday,29/03/2018 16:05,30
George's Lane,1,17,Thursday,29/03/2018 17:06,30
George's Lane,1,18,Thursday,29/03/2018 18:08,30
George's Lane,3,19,Thursday,29/03/2018 19:05,40
George's Lane,8,20,Thursday,29/03/2018 20:01,30
George's Lane,12,21,Thursday,29/03/2018 21:01,25
George's Lane,13,22,Thursday,29/03/2018 22:06,30
George's Lane,13,23,Thursday,29/03/2018 23:00,40
George's Lane,10,6,Friday,30/03/2018 06:01,0
George's Lane,6,7,Friday,30/03/2018 07:01,0
George's Lane,2,8,Friday,30/03/2018 08:04,0
George's Lane,0,9,Friday,30/03/2018 09:07,0
George's Lane,0,10,Friday,30/03/2018 10:02,20
George's Lane,1,11,Friday,30/03/2018 11:04,20
George's Lane,2,12,Friday,30/03/2018 12:00,20
George's Lane,1,13,Friday,30/03/2018 13:01,20
George's Lane,0,14,Friday,30/03/2018 14:05,20
George's Lane,0,15,Friday,30/03/2018 15:09,0
George's Lane,1,16,Friday,30/03/2018 16:05,0
George's Lane,2,17,Friday,30/03/2018 17:02,20
George's Lane,6,18,Friday,30/03/2018 18:00,0
George's Lane,8,19,Friday,30/03/2018 19:02,0
George's Lane,8,20,Friday,30/03/2018 20:09,0
George's Lane,8,21,Friday,30/03/2018 21:00,0
George's Lane,7,22,Friday,30/03/2018 22:01,0
George's Lane,6,23,Friday,30/03/2018 23:07,0
George's Lane,3,6,Saturday,31/03/2018 06:00,0
George's Lane,0,7,Saturday,31/03/2018 07:05,0
George's Lane,1,8,Saturday,31/03/2018 08:00,0
George's Lane,0,9,Saturday,31/03/2018 09:00,0
George's Lane,0,10,Saturday,31/03/2018 10:05,0
George's Lane,0,11,Saturday,31/03/2018 11:04,0
George's Lane,1,12,Saturday,31/03/2018 12:08,0
George's Lane,1,13,Saturday,31/03/2018 13:00,0
George's Lane,1,14,Saturday,31/03/2018 14:09,0
George's Lane,2,15,Saturday,31/03/2018 15:04,0
George's Lane,1,16,Saturday,31/03/2018 16:01,0
George's Lane,0,17,Saturday,31/03/2018 17:03,0
George's Lane,2,18,Saturday,31/03/2018 18:00,0
George's Lane,4,19,Saturday,31/03/2018 19:02,0
George's Lane,3,20,Saturday,31/03/2018 20:07,0
George's Lane,3,21,Saturday,31/03/2018 21:03,0
George's Lane,3,22,Saturday,31/03/2018 22:01,0
George's Lane,3,23,Saturday,31/03/2018 23:07,0
George's Lane,3,6,Sunday,01/04/2018 06:03,30
George's Lane,1,7,Sunday,01/04/2018 07:02,30
George's Lane,0,8,Sunday,01/04/2018 08:07,0
George's Lane,1,9,Sunday,01/04/2018 09:06,0
George's Lane,0,10,Sunday,01/04/2018 10:01,0
George's Lane,0,11,Sunday,01/04/2018 11:03,0
George's Lane,1,12,Sunday,01/04/2018 12:04,0
George's Lane,1,13,Sunday,01/04/2018 13:06,0
George's Lane,0,14,Sunday,01/04/2018 14:04,0
George's Lane,0,15,Sunday,01/04/2018 15:05,0
George's Lane,0,16,Sunday,01/04/2018 16:00,0
George's Lane,0,17,Sunday,01/04/2018 17:01,0
George's Lane,4,18,Sunday,01/04/2018 18:02,0
George's Lane,7,19,Sunday,01/04/2018 19:09,0
George's Lane,6,20,Sunday,01/04/2018 20:09,45
George's Lane,8,21,Sunday,01/04/2018 21:06,50
George's Lane,9,22,Sunday,01/04/2018 22:08,50
