address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Golden Lane,1,6,Thursday,29/03/2018 06:00,0
Golden Lane,1,7,Thursday,29/03/2018 07:05,0
Golden Lane,0,8,Thursday,29/03/2018 08:04,0
Golden Lane,0,9,Thursday,29/03/2018 09:01,0
Golden Lane,0,10,Thursday,29/03/2018 10:02,0
Golden Lane,2,11,Thursday,29/03/2018 11:06,10
Golden Lane,1,12,Thursday,29/03/2018 12:04,30
Golden Lane,2,13,Thursday,29/03/2018 13:00,30
Golden Lane,1,14,Thursday,29/03/2018 14:00,45
Golden Lane,3,15,Thursday,29/03/2018 15:01,40
Golden Lane,4,16,Thursday,29/03/2018 16:06,30
Golden Lane,1,17,Thursday,29/03/2018 17:08,30
Golden Lane,2,18,Thursday,29/03/2018 18:06,30
Golden Lane,4,19,Thursday,29/03/2018 19:02,40
Golden Lane,6,20,Thursday,29/03/2018 20:04,30
Golden Lane,6,21,Thursday,29/03/2018 21:05,25
Golden Lane,5,22,Thursday,29/03/2018 22:03,30
Golden Lane,3,23,Thursday,29/03/2018 23:09,40
Golden Lane,1,6,Friday,30/03/2018 06:04,0
Golden Lane,0,7,Friday,30/03/2018 07:06,0
Golden Lane,0,8,Friday,30/03/2018 08:06,0
Golden Lane,0,9,Friday,30/03/2018 09:01,0
Golden Lane,2,10,Friday,30/03/2018 10:05,20
Golden Lane,5,11,Friday,30/03/2018 11:07,20
Golden Lane,4,12,Friday,30/03/2018 12:07,20
Golden Lane,4,13,Friday,30/03/2018 13:01,20
Golden Lane,6,14,Friday,30/03/2018 14:07,20
Golden Lane,9,15,Friday,30/03/2018 15:00,0
Golden Lane,9,16,Friday,30/03/2018 16:02,0
Golden Lane,8,17,Friday,30/03/2018 17:01,20
Golden Lane,10,18,Friday,30/03/2018 18:04,0
Golden Lane,11,19,Friday,30/03/2018 19:01,0
Golden Lane,10,20,Friday,30/03/2018 20:05,0
Golden Lane,8,21,Friday,30/03/2018 21:01,0
Golden Lane,8,22,Friday,30/03/2018 22:03,0
Golden Lane,7,23,Friday,30/03/2018 23:01,0
Golden Lane,8,6,Saturday,31/03/2018 06:02,0
Golden Lane,9,7,Saturday,31/03/2018 07:03,0
Golden Lane,7,8,Saturday,31/03/2018 08:02,0
Golden Lane,6,9,Saturday,31/03/2018 09:04,0
Golden Lane,7,10,Saturday,31/03/2018 10:05,0
Golden Lane,7,11,Saturday,31/03/2018 11:06,0
Golden Lane,8,12,Saturday,31/03/2018 12:07,0
Golden Lane,10,13,Saturday,31/03/2018 13:00,0
Golden Lane,11,14,Saturday,31/03/2018 14:06,0
Golden Lane,11,15,Saturday,31/03/2018 15:08,0
Golden Lane,10,16,Saturday,31/03/2018 16:09,0
Golden Lane,10,17,Saturday,31/03/2018 17:01,0
Golden Lane,13,18,Saturday,31/03/2018 18:07,0
Golden Lane,19,19,Saturday,31/03/2018 19:07,0
Golden Lane,19,20,Saturday,31/03/2018 20:06,0
Golden Lane,18,21,Saturday,31/03/2018 21:08,0
Golden Lane,19,22,Saturday,31/03/2018 22:02,0
Golden Lane,19,23,Saturday,31/03/2018 23:05,0
Golden Lane,19,6,Sunday,01/04/2018 06:02,30
Golden Lane,20,7,Sunday,01/04/2018 07:03,30
Golden Lane,20,8,Sunday,01/04/2018 08:03,0
Golden Lane,20,9,Sunday,01/04/2018 09:09,0
Golden Lane,20,10,Sunday,01/04/2018 10:03,0
Golden Lane,19,11,Sunday,01/04/2018 11:00,0
Golden Lane,20,12,Sunday,01/04/2018 12:03,0
Golden Lane,19,13,Sunday,01/04/2018 13:09,0
Golden Lane,18,14,Sunday,01/04/2018 14:09,0
Golden Lane,18,15,Sunday,01/04/2018 15:04,0
Golden Lane,16,16,Sunday,01/04/2018 16:06,0
Golden Lane,15,17,Sunday,01/04/2018 17:06,0
Golden Lane,15,18,Sunday,01/04/2018 18:05,0
Golden Lane,18,19,Sunday,01/04/2018 19:05,0
Golden Lane,18,20,Sunday,01/04/2018 20:01,45
Golden Lane,19,21,Sunday,01/04/2018 21:02,50
Golden Lane,20,22,Sunday,01/04/2018 22:03,50
Golden Lane,20,23,Sunday,01/04/2018 23:06,60
Golden Lane,20,6,Monday,02/04/2018 06:02,70
Golden Lane,20,7,Monday,02/04/2018 07:03,70
Golden Lane,20,8,Monday,02/04/2018 08:04,60
Golden Lane,20,9,Monday,02/04/2018 09:04,70
Golden Lane,19,10,Monday,02/04/2018 10:05,65
Golden Lane,18,11,Monday,02/04/2018 11:05,70
Golden Lane,19,12,Monday,02/04/2018 12:06,70
Golden Lane,20,13,Monday,02/04/2018 13:00,70
Golden Lane,20,14,Monday,02/04/2018 14:01,60
Golden Lane,20,15,Monday,02/04/2018 15:02,60
Golden Lane,19,16,Monday,02/04/2018 16:03,60
Golden Lane,20,17,Monday,02/04/2018 17:00,50
Golden Lane,20,18,Monday,02/04/2018 18:05,40
Golden Lane,20,19,Monday,02/04/2018 19:06,0
Golden Lane,20,20,Monday,02/04/2018 20:07,0
Golden Lane,19,21,Monday,02/04/2018 21:09,40
Golden Lane,18,22,Monday,02/04/2018 22:00,50
Golden Lane,16,23,Monday,02/04/2018 23:02,60
Golden Lane,13,6,Tuesday,03/04/2018 06:03,0
Golden Lane,12,7,Tuesday,03/04/2018 07:00,20
Golden Lane,2,8,Tuesday,03/04/2018 08:01,20
