address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Hardwicke Street,0,6,Thursday,29/03/2018 06:01,0
Hardwicke Street,0,7,Thursday,29/03/2018 07:02,0
Hardwicke Street,0,8,Thursday,29/03/2018 08:08,0
Hardwicke Street,0,9,Thursday,29/03/2018 09:09,0
Hardwicke Street,0,10,Thursday,29/03/2018 10:00,0
Hardwicke Street,0,11,Thursday,29/03/2018 11:01,10
Hardwicke Street,2,12,Thursday,29/03/2018 12:04,30
Hardwicke Street,1,13,Thursday,29/03/2018 13:06,30
Hardwicke Street,3,14,Thursday,29/03/2018 14:01,45
Hardwicke Street,4,15,Thursday,29/03/2018 15:02,40
Hardwicke Street,4,16,Thursday,29/03/2018 16:05,30
Hardwicke Street,8,17,Thursday,29/03/2018 17:03,30
Hardwicke Street,10,18,Thursday,29/03/2018 18:03,30
Hardwicke Street,10,19,Thursday,29/03/2018 19:06,40
Hardwicke Street,9,20,Thursday,29/03/2018 20:02,30
Hardwicke Street,10,21,Thursday,29/03/2018 21:06,25
Hardwicke Street,9,22,Thursday,29/03/2018 22:05,30
Hardwicke Street,10,23,Thursday,29/03/2018 23:03,40
Hardwicke Street,10,6,Friday,30/03/2018 06:03,0
Hardwicke Street,8,7,Friday,30/03/2018 07:09,0
Hardwicke Street,9,8,Friday,30/03/2018 08:09,0
Hardwicke Street,9,9,Friday,30/03/2018 09:09,0
Hardwicke Street,10,10,Friday,30/03/2018 10:04,20
Hardwicke Street,8,11,Friday,30/03/2018 11:02,20
Hardwicke Street,5,12,Friday,30/03/2018 12:08,20
Hardwicke Street,1,13,Friday,30/03/2018 13:00,20
Hardwicke Street,1,14,Friday,30/03/2018 14:06,20
Hardwicke Street,1,15,Friday,30/03/2018 15:02,0
Hardwicke Street,1,16,Friday,30/03/2018 16:04,0
Hardwicke Street,1,17,Friday,30/03/2018 17:02,20
Hardwicke Street,0,18,Friday,30/03/2018 18:06,0
Hardwicke Street,1,19,Friday,30/03/2018 19:07,0
Hardwicke Street,3,20,Friday,30/03/2018 20:05,0
Hardwicke Street,3,21,Friday,30/03/2018 21:04,0
Hardwicke Street,1,22,Friday,30/03/2018 22:01,0
Hardwicke Street,1,23,Friday,30/03/2018 23:05,0
Hardwicke Street,0,6,Saturday,31/03/2018 06:07,0
Hardwicke Street,1,7,Saturday,31/03/2018 07:04,0
Hardwicke Street,2,8,Saturday,31/03/2018 08:06,0
Hardwicke Street,3,9,Saturday,31/03/2018 09:09,0
Hardwicke Street,3,10,Saturday,31/03/2018 10:09,0
Hardwicke Street,2,11,Saturday,31/03/2018 11:05,0
Hardwicke Street,0,12,Saturday,31/03/2018 12:08,0
Hardwicke Street,0,13,Saturday,31/03/2018 13:09,0
Hardwicke Street,1,14,Saturday,31/03/2018 14:06,0
Hardwicke Street,2,15,Saturday,31/03/2018 15:09,0
Hardwicke Street,2,16,Saturday,31/03/2018 16:04,0
Hardwicke Street,0,17,Saturday,31/03/2018 17:03,0
Hardwicke Street,1,18,Saturday,31/03/2018 18:04,0
Hardwicke Street,1,19,Saturday,31/03/2018 19:04,0
Hardwicke Street,2,20,Saturday,31/03/2018 20:03,0
Hardwicke Street,2,21,Saturday,31/03/2018 21:00,0
Hardwicke Street,3,22,Saturday,31/03/2018 22:00,0
Hardwicke Street,3,23,Saturday,31/03/2018 23:02,0
Hardwicke Street,0,6,Sunday,01/04/2018 06:08,30
Hardwicke Street,0,7,Sunday,01/04/2018 07:08,30
Hardwicke Street,0,8,Sunday,01/04/2018 08:05,0
Hardwicke Street,0,9,Sunday,01/04/2018 09:06,0
Hardwicke Street,0,10,Sunday,01/04/2018 10:07,0
Hardwicke Street,1,11,Sunday,01/04/2018 11:08,0
Hardwicke Street,0,12,Sunday,01/04/2018 12:07,0
Hardwicke Street,0,13,Sunday,01/04/2018 13:08,0
Hardwicke Street,0,14,Sunday,01/04/2018 14:02,0
Hardwicke Street,0,15,Sunday,01/04/2018 15:09,0
Hardwicke Street,0,16,Sunday,01/04/2018 16:00,0
Hardwicke Street,0,17,Sunday,01/04/2018 17:06,0
Hardwicke Street,0,18,Sunday,01/04/2018 18:05,0
Hardwicke Street,0,19,Sunday,01/04/2018 19:04,0
Hardwicke Street,0,20,Sunday,01/04/2018 20:05,45
Hardwicke Street,0,21,Sunday,01/04/2018 21:06,50
Hardwicke Street,1,22,Sunday,01/04/2018 22:07,50
Hardwicke Street,1,23,Sunday,01/04/2018 23:04,60
Hardwicke Street,1,6,Monday,02/04/2018 06:02,70
Hardwicke Street,1,7,Monday,02/04/2018 07:03,70
Hardwicke Street,0,8,Monday,02/04/2018 08:07,60
Hardwicke Street,0,9,Monday,02/04/2018 09:08,70
Hardwicke Street,0,10,Monday,02/04/2018 10:09,65
Hardwicke Street,0,11,Monday,02/04/2018 11:00,70
Hardwicke Street,0,12,Monday,02/04/2018 12:01,70
Hardwicke Street,0,13,Monday,02/04/2018 13:02,70
Hardwicke Street,0,14,Monday,02/04/2018 14:03,60
Hardwicke Street,0,15,Monday,02/04/2018 15:04,60
Hardwicke Street,0,16,Monday,02/04/2018 16:05,60
Hardwicke Street,0,17,Monday,02/04/2018 17:03,50
Hardwicke Street,0,18,Monday,02/04/2018 18:04,40
Hardwicke Street,0,19,Monday,02/04/2018 19:05,0
Hardwicke Street,0,20,Monday,02/04/2018 20:06,0
Hardwicke Street,0,21,Monday,02/04/2018 21:07,40
Hardwicke Street,0,22,Monday,02/04/2018 22:08,50
Hardwicke Street,0,23,Monday,02/04/2018 23:09,60
Hardwicke Street,0,6,Tuesday,03/04/2018 06:02,0
Hardwicke Street,0,7,Tuesday,03/04/2018 07:03,20
Hardwicke Street,0,8,Tuesday,03/04/2018 08:04,20
Hardwicke Street,0,9,Tuesday,03/04/2018 09:05,0
Hardwicke Street,1,10,Tuesday,03/04/2018 10:05,0
Hardwicke Street,1,11,Tuesday,03/04/2018 11:05,0
Hardwicke Street,0,12,Tuesday,03/04/2018 12:03,30
Hardwicke Street,2,13,Tuesday,03/04/2018 13:02,40
Hardwicke Street,1,14,Tuesday,03/04/2018 14:02,20
Hardwicke Street,0,15,Tuesday,03/04/2018 15:06,20
Hardwicke Street,1,16,Tuesday,03/04/2018 16:07,30
Hardwicke Street,1,17,Tuesday,03/04/2018 17:00,0
Hardwicke Street,1,18,Tuesday,03/04/2018 18:03,0
Hardwicke Street,3,19,Tuesday,03/04/2018 19:09,0
Hardwicke Street,3,20,Tuesday,03/04/2018 20:09,0
Hardwicke Street,6,21,Tuesday,03/04/2018 21:02,0
Hardwicke Street,10,22,Tuesday,03/04/2018 22:00,0
Hardwicke Street,11,23,Tuesday,03/04/2018 23:09,0
Hardwicke Street,8,6,Wednesday,04/04/2018 06:00,40
Hardwicke Street,8,7,Wednesday,04/04/2018 07:01,40
Hardwicke Street,7,8,Wednesday,04/04/2018 08:06,30
Hardwicke Street,4,9,Wednesday,04/04/2018 09:04,40
Hardwicke Street,4,10,Wednesday,04/04/2018 10:01,40
Hardwicke Street,4,11,Wednesday,04/04/2018 11:03,20
Hardwicke Street,3,12,Wednesday,04/04/2018 12:03,0
