address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
James Street,23,6,Thursday,29/03/2018 06:06,0
James Street,17,7,Thursday,29/03/2018 07:05,0
James Street,5,8,Thursday,29/03/2018 08:03,0
James Street,4,9,Thursday,29/03/2018 09:05,0
James Street,1,10,Thursday,29/03/2018 10:02,0
James Street,0,11,Thursday,29/03/2018 11:07,10
James Street,0,12,Thursday,29/03/2018 12:03,30
James Street,0,13,Thursday,29/03/2018 13:00,30
James Street,2,14,Thursday,29/03/2018 14:04,45
James Street,3,15,Thursday,29/03/2018 15:05,40
James Street,7,16,Thursday,29/03/2018 16:00,30
James Street,13,17,Thursday,29/03/2018 17:05,30
James Street,15,18,Thursday,29/03/2018 18:06,30
James Street,17,19,Thursday,29/03/2018 19:08,40
James Street,20,20,Thursday,29/03/2018 20:07,30
James Street,23,21,Thursday,29/03/2018 21:03,25
James Street,27,22,Thursday,29/03/2018 22:06,30
James Street,27,23,Thursday,29/03/2018 23:03,40
James Street,23,6,Friday,30/03/2018 06:08,0
James Street,23,7,Friday,30/03/2018 07:03,0
James Street,23,8,Friday,30/03/2018 08:02,0
James Street,22,9,Friday,30/03/2018 09:00,0
James Street,16,10,Friday,30/03/2018 10:05,20
James Street,12,11,Friday,30/03/2018 11:01,20
James Street,13,12,Friday,30/03/2018 12:08,20
James Street,14,13,Friday,30/03/2018 13:09,20
James Street,16,14,Friday,30/03/2018 14:05,20
James Street,16,15,Friday,30/03/2018 15:00,0
James Street,15,16,Friday,30/03/2018 16:09,0
James Street,14,17,Friday,30/03/2018 17:03,20
James Street,13,18,Friday,30/03/2018 18:00,0
James Street,9,19,Friday,30/03/2018 19:05,0
James Street,9,20,Friday,30/03/2018 20:04,0
James Street,8,21,Friday,30/03/2018 21:09,0
James Street,9,22,Friday,30/03/2018 22:03,0
James Street,11,23,Friday,30/03/2018 23:02,0
James Street,10,6,Saturday,31/03/2018 06:06,0
James Street,12,7,Saturday,31/03/2018 07:00,0
James Street,30,8,Saturday,31/03/2018 08:02,0
James Street,29,9,Saturday,31/03/2018 09:09,0
James Street,29,10,Saturday,31/03/2018 10:05,0
James Street,35,11,Saturday,31/03/2018 11:08,0
James Street,37,12,Saturday,31/03/2018 12:02,0
James Street,35,13,Saturday,31/03/2018 13:03,0
James Street,33,14,Saturday,31/03/2018 14:05,0
James Street,32,15,Saturday,31/03/2018 15:08,0
James Street,31,16,Saturday,31/03/2018 16:04,0
James Street,28,17,Saturday,31/03/2018 17:03,0
James Street,25,18,Saturday,31/03/2018 18:09,0
James Street,23,19,Saturday,31/03/2018 19:08,0
James Street,23,20,Saturday,31/03/2018 20:09,0
James Street,24,21,Saturday,31/03/2018 21:08,0
James Street,24,22,Saturday,31/03/2018 22:00,0
James Street,23,23,Saturday,31/03/2018 23:03,0
James Street,22,6,Sunday,01/04/2018 06:04,30
James Street,22,7,Sunday,01/04/2018 07:09,30
James Street,22,8,Sunday,01/04/2018 08:03,0
James Street,19,9,Sunday,01/04/2018 09:03,0
James Street,19,10,Sunday,01/04/2018 10:02,0
James Street,19,11,Sunday,01/04/2018 11:09,0
James Street,21,12,Sunday,01/04/2018 12:03,0
James Street,19,13,Sunday,01/04/2018 13:09,0
James Street,20,14,Sunday,01/04/2018 14:09,0
James Street,22,15,Sunday,01/04/2018 15:06,0
James Street,22,16,Sunday,01/04/2018 16:02,0
James Street,24,17,Sunday,01/04/2018 17:08,0
James Street,24,18,Sunday,01/04/2018 18:06,0
James Street,20,19,Sunday,01/04/2018 19:03,0
James Street,22,20,Sunday,01/04/2018 20:01,45
James Street,21,21,Sunday,01/04/2018 21:09,50
James Street,21,22,Sunday,01/04/2018 22:00,50
James Street,22,23,Sunday,01/04/2018 23:01,60
James Street,23,6,Monday,02/04/2018 06:07,70
James Street,21,7,Monday,02/04/2018 07:01,70
