address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Mater Hospital,31,6,Thursday,29/03/2018 06:03,0
Mater Hospital,16,7,Thursday,29/03/2018 07:03,0
Mater Hospital,1,8,Thursday,29/03/2018 08:07,0
Mater Hospital,1,9,Thursday,29/03/2018 09:07,0
Mater Hospital,13,10,Thursday,29/03/2018 10:04,0
Mater Hospital,15,11,Thursday,29/03/2018 11:00,10
Mater Hospital,14,12,Thursday,29/03/2018 12:03,30
Mater Hospital,11,13,Thursday,29/03/2018 13:05,30
Mater Hospital,9,14,Thursday,29/03/2018 14:02,45
Mater Hospital,11,15,Thursday,29/03/2018 15:02,40
Mater Hospital,11,16,Thursday,29/03/2018 16:03,30
Mater Hospital,11,17,Thursday,29/03/2018 17:01,30
Mater Hospital,13,18,Thursday,29/03/2018 18:02,30
Mater Hospital,14,19,Thursday,29/03/2018 19:03,40
Mater Hospital,15,20,Thursday,29/03/2018 20:03,30
Mater Hospital,30,21,Thursday,29/03/2018 21:02,25
Mater Hospital,31,22,Thursday,29/03/2018 22:04,30
Mater Hospital,33,23,Thursday,29/03/2018 23:10,40
Mater Hospital,27,6,Friday,30/03/2018 06:05,0
Mater Hospital,26,7,Friday,30/03/2018 07:08,0
Mater Hospital,20,8,Friday,30/03/2018 08:04,0
Mater Hospital,20,9,Friday,30/03/2018 09:05,0
Mater Hospital,20,10,Friday,30/03/2018 10:07,20
Mater Hospital,21,11,Friday,30/03/2018 11:04,20
Mater Hospital,20,12,Friday,30/03/2018 12:03,20
Mater Hospital,20,13,Friday,30/03/2018 13:05,20
Mater Hospital,16,14,Friday,30/03/2018 14:03,20
Mater Hospital,14,15,Friday,30/03/2018 15:07,0
Mater Hospital,11,16,Friday,30/03/2018 16:03,0
Mater Hospital,12,17,Friday,30/03/2018 17:00,20
Mater Hospital,12,18,Friday,30/03/2018 18:00,0
Mater Hospital,9,19,Friday,30/03/2018 19:04,0
Mater Hospital,11,20,Friday,30/03/2018 20:06,0
Mater Hospital,26,21,Friday,30/03/2018 21:04,0
Mater Hospital,33,22,Friday,30/03/2018 22:05,0
Mater Hospital,33,23,Friday,30/03/2018 23:09,0
Mater Hospital,28,6,Saturday,31/03/2018 06:03,0
Mater Hospital,27,7,Saturday,31/03/2018 07:00,0
Mater Hospital,24,8,Saturday,31/03/2018 08:06,0
Mater Hospital,25,9,Saturday,31/03/2018 09:01,0
Mater Hospital,22,10,Saturday,31/03/2018 10:03,0
Mater Hospital,21,11,Saturday,31/03/2018 11:05,0
Mater Hospital,21,12,Saturday,31/03/2018 12:08,0
Mater Hospital,20,13,Saturday,31/03/2018 13:06,0
Mater Hospital,20,14,Saturday,31/03/2018 14:05,0
Mater Hospital,18,15,Saturday,31/03/2018 15:09,0
Mater Hospital,17,16,Saturday,31/03/2018 16:02,0
Mater Hospital,21,17,Saturday,31/03/2018 17:07,0
Mater Hospital,20,18,Saturday,31/03/2018 18:06,0
Mater Hospital,19,19,Saturday,31/03/2018 19:00,0
Mater Hospital,19,20,Saturday,31/03/2018 20:06,0
Mater Hospital,21,21,Saturday,31/03/2018 21:05,0
Mater Hospital,21,22,Saturday,31/03/2018 22:02,0
Mater Hospital,22,23,Saturday,31/03/2018 23:07,0
Mater Hospital,20,6,Sunday,01/04/2018 06:05,30
Mater Hospital,17,7,Sunday,01/04/2018 07:01,30
Mater Hospital,15,8,Sunday,01/04/2018 08:06,0
Mater Hospital,12,9,Sunday,01/04/2018 09:03,0
Mater Hospital,8,10,Sunday,01/04/2018 10:01,0
Mater Hospital,2,11,Sunday,01/04/2018 11:08,0
Mater Hospital,2,12,Sunday,01/04/2018 12:05,0
Mater Hospital,2,13,Sunday,01/04/2018 13:01,0
Mater Hospital,1,14,Sunday,01/04/2018 14:07,0
Mater Hospital,1,15,Sunday,01/04/2018 15:07,0
Mater Hospital,3,16,Sunday,01/04/2018 16:04,0
Mater Hospital,5,17,Sunday,01/04/2018 17:05,0
Mater Hospital,4,18,Sunday,01/04/2018 18:07,0
Mater Hospital,3,19,Sunday,01/04/2018 19:08,0
Mater Hospital,1,20,Sunday,01/04/2018 20:04,45
Mater Hospital,3,21,Sunday,01/04/2018 21:04,50
Mater Hospital,5,22,Sunday,01/04/2018 22:00,50
Mater Hospital,7,23,Sunday,01/04/2018 23:02,60
Mater Hospital,6,6,Monday,02/04/2018 06:02,70
Mater Hospital,5,7,Monday,02/04/2018 07:05,70
