address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Merrion Square West,8,6,Thursday,29/03/2018 06:04,0
Merrion Square West,10,7,Thursday,29/03/2018 07:05,0
Merrion Square West,19,8,Thursday,29/03/2018 08:03,0
Merrion Square West,19,9,Thursday,29/03/2018 09:03,0
Merrion Square West,18,10,Thursday,29/03/2018 10:03,0
Merrion Square West,19,11,Thursday,29/03/2018 11:07,10
Merrion Square West,18,12,Thursday,29/03/2018 12:01,30
Merrion Square West,18,13,Thursday,29/03/2018 13:01,30
Merrion Square West,19,14,Thursday,29/03/2018 14:02,45
Merrion Square West,19,15,Thursday,29/03/2018 15:07,40
Merrion Square West,17,16,Thursday,29/03/2018 16:05,30
Merrion Square West,12,17,Thursday,29/03/2018 17:02,30
Merrion Square West,11,18,Thursday,29/03/2018 18:00,30
Merrion Square West,11,19,Thursday,29/03/2018 19:01,40
Merrion Square West,8,20,Thursday,29/03/2018 20:08,30
Merrion Square West,8,21,Thursday,29/03/2018 21:00,25
Merrion Square West,6,22,Thursday,29/03/2018 22:02,30
Merrion Square West,3,23,Thursday,29/03/2018 23:01,40
Merrion Square West,6,6,Friday,30/03/2018 06:03,0
Merrion Square West,8,7,Friday,30/03/2018 07:02,0
Merrion Square West,15,8,Friday,30/03/2018 08:11,0
Merrion Square West,16,9,Friday,30/03/2018 09:10,0
Merrion Square West,15,10,Friday,30/03/2018 10:06,20
Merrion Square West,17,11,Friday,30/03/2018 11:02,20
Merrion Square West,20,12,Friday,30/03/2018 12:03,20
Merrion Square West,20,13,Friday,30/03/2018 13:09,20
Merrion Square West,20,14,Friday,30/03/2018 14:09,20
Merrion Square West,19,15,Friday,30/03/2018 15:09,0
Merrion Square West,19,16,Friday,30/03/2018 16:05,0
Merrion Square West,19,17,Friday,30/03/2018 17:03,20
Merrion Square West,19,18,Friday,30/03/2018 18:02,0
Merrion Square West,20,19,Friday,30/03/2018 19:09,0
Merrion Square West,19,20,Friday,30/03/2018 20:03,0
Merrion Square West,18,21,Friday,30/03/2018 21:06,0
Merrion Square West,18,22,Friday,30/03/2018 22:10,0
Merrion Square West,18,23,Friday,30/03/2018 23:01,0
Merrion Square West,19,6,Saturday,31/03/2018 06:05,0
Merrion Square West,9,7,Saturday,31/03/2018 07:01,0
Merrion Square West,3,8,Saturday,31/03/2018 08:03,0
Merrion Square West,3,9,Saturday,31/03/2018 09:04,0
Merrion Square West,2,10,Saturday,31/03/2018 10:07,0
Merrion Square West,2,11,Saturday,31/03/2018 11:03,0
Merrion Square West,0,12,Saturday,31/03/2018 12:01,0
Merrion Square West,1,13,Saturday,31/03/2018 13:05,0
Merrion Square West,3,14,Saturday,31/03/2018 14:01,0
Merrion Square West,3,15,Saturday,31/03/2018 15:06,0
Merrion Square West,2,16,Saturday,31/03/2018 16:03,0
Merrion Square West,3,17,Saturday,31/03/2018 17:06,0
Merrion Square West,1,18,Saturday,31/03/2018 18:04,0
Merrion Square West,1,19,Saturday,31/03/2018 19:06,0
Merrion Square West,0,20,Saturday,31/03/2018 20:05,0
Merrion Square West,0,21,Saturday,31/03/2018 21:06,0
Merrion Square West,0,22,Saturday,31/03/2018 22:08,0
Merrion Square West,0,23,Saturday,31/03/2018 23:09,0
Merrion Square West,1,6,Sunday,01/04/2018 06:02,30
Merrion Square West,3,7,Sunday,01/04/2018 07:08,30
Merrion Square West,4,8,Sunday,01/04/2018 08:08,0
Merrion Square West,6,9,Sunday,01/04/2018 09:05,0
Merrion Square West,8,10,Sunday,01/04/2018 10:03,0
Merrion Square West,9,11,Sunday,01/04/2018 11:00,0
Merrion Square West,11,12,Sunday,01/04/2018 12:06,0
Merrion Square West,15,13,Sunday,01/04/2018 13:04,0
Merrion Square West,15,14,Sunday,01/04/2018 14:04,0
Merrion Square West,17,15,Sunday,01/04/2018 15:07,0
Merrion Square West,16,16,Sunday,01/04/2018 16:04,0
Merrion Square West,16,17,Sunday,01/04/2018 17:06,0
Merrion Square West,15,18,Sunday,01/04/2018 18:10,0
Merrion Square West,13,19,Sunday,01/04/2018 19:06,0
Merrion Square West,13,20,Sunday,01/04/2018 20:07,45
Merrion Square West,14,21,Sunday,01/04/2018 21:03,50
Merrion Square West,13,22,Sunday,01/04/2018 22:09,50
Merrion Square West,13,23,Sunday,01/04/2018 23:00,60
Merrion Square West,15,6,Monday,02/04/2018 06:02,70
Merrion Square West,18,7,Monday,02/04/2018 07:05,70
Merrion Square West,20,8,Monday,02/04/2018 08:03,60
Merrion Square West,20,9,Monday,02/04/2018 09:06,70
Merrion Square West,20,10,Monday,02/04/2018 10:07,65
Merrion Square West,19,11,Monday,02/04/2018 11:08,70
Merrion Square West,19,12,Monday,02/04/2018 12:04,70
Merrion Square West,19,13,Monday,02/04/2018 13:05,70
Merrion Square West,19,14,Monday,02/04/2018 14:06,60
Merrion Square West,19,15,Monday,02/04/2018 15:07,60
Merrion Square West,19,16,Monday,02/04/2018 16:08,60
Merrion Square West,20,17,Monday,02/04/2018 17:05,50
Merrion Square West,20,18,Monday,02/04/2018 18:06,40
Merrion Square West,20,19,Monday,02/04/2018 19:07,0
Merrion Square West,20,20,Monday,02/04/2018 20:08,0
Merrion Square West,20,21,Monday,02/04/2018 21:09,40
Merrion Square West,20,22,Monday,02/04/2018 22:00,50
Merrion Square West,19,23,Monday,02/04/2018 23:01,60
Merrion Square West,19,6,Tuesday,03/04/2018 06:08,0
Merrion Square West,19,7,Tuesday,03/04/2018 07:00,20
Merrion Square West,20,8,Tuesday,03/04/2018 08:02,20
Merrion Square West,20,9,Tuesday,03/04/2018 09:02,0
Merrion Square West,19,10,Tuesday,03/04/2018 10:05,0
Merrion Square West,19,11,Tuesday,03/04/2018 11:08,0
Merrion Square West,17,12,Tuesday,03/04/2018 12:08,30
Merrion Square West,17,13,Tuesday,03/04/2018 13:13,40
Merrion Square West,18,14,Tuesday,03/04/2018 14:02,20
