address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Parkgate Street,32,6,Thursday,29/03/2018 06:04,0
Parkgate Street,12,7,Thursday,29/03/2018 07:04,0
Parkgate Street,0,8,Thursday,29/03/2018 08:06,0
Parkgate Street,0,9,Thursday,29/03/2018 09:10,0
Parkgate Street,0,10,Thursday,29/03/2018 10:01,0
Parkgate Street,1,11,Thursday,29/03/2018 11:06,10
Parkgate Street,0,12,Thursday,29/03/2018 12:02,30
Parkgate Street,3,13,Thursday,29/03/2018 13:00,30
Parkgate Street,4,14,Thursday,29/03/2018 14:03,45
Parkgate Street,11,15,Thursday,29/03/2018 15:07,40
Parkgate Street,23,16,Thursday,29/03/2018 16:01,30
Parkgate Street,36,17,Thursday,29/03/2018 17:01,30
Parkgate Street,36,18,Thursday,29/03/2018 18:03,30
Parkgate Street,38,19,Thursday,29/03/2018 19:08,40
Parkgate Street,38,20,Thursday,29/03/2018 20:07,30
Parkgate Street,38,21,Thursday,29/03/2018 21:08,25
Parkgate Street,38,22,Thursday,29/03/2018 22:08,30
Parkgate Street,38,23,Thursday,29/03/2018 23:09,40
Parkgate Street,38,6,Friday,30/03/2018 06:01,0
Parkgate Street,34,7,Friday,30/03/2018 07:07,0
Parkgate Street,28,8,Friday,30/03/2018 08:00,0
Parkgate Street,28,9,Friday,30/03/2018 09:02,0
Parkgate Street,28,10,Friday,30/03/2018 10:02,20
Parkgate Street,32,11,Friday,30/03/2018 11:02,20
Parkgate Street,32,12,Friday,30/03/2018 12:03,20
Parkgate Street,32,13,Friday,30/03/2018 13:02,20
Parkgate Street,31,14,Friday,30/03/2018 14:07,20
Parkgate Street,28,15,Friday,30/03/2018 15:08,0
Parkgate Street,28,16,Friday,30/03/2018 16:09,0
Parkgate Street,25,17,Friday,30/03/2018 17:01,20
Parkgate Street,28,18,Friday,30/03/2018 18:02,0
Parkgate Street,26,19,Friday,30/03/2018 19:08,0
Parkgate Street,26,20,Friday,30/03/2018 20:09,0
Parkgate Street,25,21,Friday,30/03/2018 21:00,0
Parkgate Street,26,22,Friday,30/03/2018 22:04,0
Parkgate Street,26,23,Friday,30/03/2018 23:03,0
Parkgate Street,27,6,Saturday,31/03/2018 06:02,0
Parkgate Street,29,7,Saturday,31/03/2018 07:08,0
Parkgate Street,28,8,Saturday,31/03/2018 08:08,0
Parkgate Street,24,9,Saturday,31/03/2018 09:04,0
Parkgate Street,22,10,Saturday,31/03/2018 10:01,0
Parkgate Street,22,11,Saturday,31/03/2018 11:05,0
Parkgate Street,20,12,Saturday,31/03/2018 12:06,0
Parkgate Street,17,13,Saturday,31/03/2018 13:02,0
Parkgate Street,13,14,Saturday,31/03/2018 14:08,0
Parkgate Street,14,15,Saturday,31/03/2018 15:01,0
Parkgate Street,12,16,Saturday,31/03/2018 16:09,0
Parkgate Street,11,17,Saturday,31/03/2018 17:09,0
Parkgate Street,14,18,Saturday,31/03/2018 18:07,0
Parkgate Street,15,19,Saturday,31/03/2018 19:05,0
Parkgate Street,17,20,Saturday,31/03/2018 20:05,0
Parkgate Street,17,21,Saturday,31/03/2018 21:04,0
Parkgate Street,19,22,Saturday,31/03/2018 22:07,0
Parkgate Street,19,23,Saturday,31/03/2018 23:10,0
Parkgate Street,19,6,Sunday,01/04/2018 06:02,30
Parkgate Street,19,7,Sunday,01/04/2018 07:03,30
Parkgate Street,19,8,Sunday,01/04/2018 08:04,0
Parkgate Street,17,9,Sunday,01/04/2018 09:04,0
Parkgate Street,17,10,Sunday,01/04/2018 10:07,0
Parkgate Street,19,11,Sunday,01/04/2018 11:00,0
Parkgate Street,24,12,Sunday,01/04/2018 12:03,0
Parkgate Street,16,13,Sunday,01/04/2018 13:00,0
Parkgate Street,12,14,Sunday,01/04/2018 14:09,0
Parkgate Street,14,15,Sunday,01/04/2018 15:03,0
Parkgate Street,18,16,Sunday,01/04/2018 16:09,0
Parkgate Street,17,17,Sunday,01/04/2018 17:07,0
Parkgate Street,17,18,Sunday,01/04/2018 18:06,0
Parkgate Street,15,19,Sunday,01/04/2018 19:08,0
Parkgate Street,13,20,Sunday,01/04/2018 20:08,45
Parkgate Street,13,21,Sunday,01/04/2018 21:09,50
Parkgate Street,13,22,Sunday,01/04/2018 22:00,50
Parkgate Street,13,23,Sunday,01/04/2018 23:07,60
Parkgate Street,14,6,Monday,02/04/2018 06:03,70
Parkgate Street,14,7,Monday,02/04/2018 07:05,70
Parkgate Street,13,8,Monday,02/04/2018 08:00,60
Parkgate Street,13,9,Monday,02/04/2018 09:01,70
Parkgate Street,11,10,Monday,02/04/2018 10:06,65
Parkgate Street,10,11,Monday,02/04/2018 11:00,70
Parkgate Street,9,12,Monday,02/04/2018 12:06,70
Parkgate Street,8,13,Monday,02/04/2018 13:02,70
Parkgate Street,8,14,Monday,02/04/2018 14:03,60
Parkgate Street,11,15,Monday,02/04/2018 15:01,60
Parkgate Street,10,16,Monday,02/04/2018 16:00,60
Parkgate Street,7,17,Monday,02/04/2018 17:00,50
Parkgate Street,6,18,Monday,02/04/2018 18:01,40
Parkgate Street,8,19,Monday,02/04/2018 19:05,0
Parkgate Street,7,20,Monday,02/04/2018 20:03,0
Parkgate Street,5,21,Monday,02/04/2018 21:08,40
Parkgate Street,4,22,Monday,02/04/2018 22:07,50
Parkgate Street,5,23,Monday,02/04/2018 23:05,60
Parkgate Street,0,6,Tuesday,03/04/2018 06:05,0
Parkgate Street,0,7,Tuesday,03/04/2018 07:06,20
Parkgate Street,0,8,Tuesday,03/04/2018 08:05,20
Parkgate Street,0,9,Tuesday,03/04/2018 09:06,0
Parkgate Street,0,10,Tuesday,03/04/2018 10:10,0
Parkgate Street,0,11,Tuesday,03/04/2018 11:00,0
Parkgate Street,1,12,Tuesday,03/04/2018 12:01,30
Parkgate Street,1,13,Tuesday,03/04/2018 13:00,40
Parkgate Street,1,14,Tuesday,03/04/2018 14:02,20
Parkgate Street,1,15,Tuesday,03/04/2018 15:03,20
Parkgate Street,8,16,Tuesday,03/04/2018 16:02,30
Parkgate Street,18,17,Tuesday,03/04/2018 17:05,0
Parkgate Street,23,18,Tuesday,03/04/2018 18:04,0
Parkgate Street,25,19,Tuesday,03/04/2018 19:01,0
Parkgate Street,26,20,Tuesday,03/04/2018 20:00,0
Parkgate Street,29,21,Tuesday,03/04/2018 21:00,0
Parkgate Street,29,22,Tuesday,03/04/2018 22:03,0
Parkgate Street,30,23,Tuesday,03/04/2018 23:04,0
Parkgate Street,20,6,Wednesday,04/04/2018 06:01,40
Parkgate Street,14,7,Wednesday,04/04/2018 07:01,40
Parkgate Street,6,8,Wednesday,04/04/2018 08:00,30
Parkgate Street,4,9,Wednesday,04/04/2018 09:09,40
Parkgate Street,4,10,Wednesday,04/04/2018 10:00,40
Parkgate Street,3,11,Wednesday,04/04/2018 11:06,20
Parkgate Street,0,12,Wednesday,04/04/2018 12:05,0
Parkgate Street,3,13,Wednesday,04/04/2018 13:01,10
Parkgate Street,3,14,Wednesday,04/04/2018 14:01,0
Parkgate Street,1,15,Wednesday,04/04/2018 15:04,20
Parkgate Street,11,16,Wednesday,04/04/2018 16:01,20
Parkgate Street,25,17,Wednesday,04/04/2018 17:03,40
Parkgate Street,30,18,Wednesday,04/04/2018 18:11,0
Parkgate Street,34,19,Wednesday,04/04/2018 19:05,0
Parkgate Street,36,20,Wednesday,04/04/2018 20:05,0
Parkgate Street,37,21,Wednesday,04/04/2018 21:05,40
