address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Portobello Harbour,11,6,Thursday,29/03/2018 06:04,0
Portobello Harbour,1,7,Thursday,29/03/2018 07:03,0
Portobello Harbour,8,8,Thursday,29/03/2018 08:05,0
Portobello Harbour,5,9,Thursday,29/03/2018 09:05,0
Portobello Harbour,0,10,Thursday,29/03/2018 10:00,0
Portobello Harbour,1,11,Thursday,29/03/2018 11:00,10
Portobello Harbour,4,12,Thursday,29/03/2018 12:00,30
Portobello Harbour,0,13,Thursday,29/03/2018 13:05,30
Portobello Harbour,2,14,Thursday,29/03/2018 14:09,45
Portobello Harbour,1,15,Thursday,29/03/2018 15:02,40
Portobello Harbour,5,16,Thursday,29/03/2018 16:00,30
Portobello Harbour,12,17,Thursday,29/03/2018 17:02,30
Portobello Harbour,17,18,Thursday,29/03/2018 18:03,30
Portobello Harbour,23,19,Thursday,29/03/2018 19:02,40
Portobello Harbour,29,20,Thursday,29/03/2018 20:06,30
Portobello Harbour,30,21,Thursday,29/03/2018 21:01,25
Portobello Harbour,30,22,Thursday,29/03/2018 22:09,30
Portobello Harbour,29,23,Thursday,29/03/2018 23:03,40
Portobello Harbour,23,6,Friday,30/03/2018 06:00,0
Portobello Harbour,26,7,Friday,30/03/2018 07:00,0
Portobello Harbour,13,8,Friday,30/03/2018 08:00,0
Portobello Harbour,22,9,Friday,30/03/2018 09:02,0
Portobello Harbour,15,10,Friday,30/03/2018 10:05,20
Portobello Harbour,11,11,Friday,30/03/2018 11:00,20
Portobello Harbour,2,12,Friday,30/03/2018 12:03,20
Portobello Harbour,2,13,Friday,30/03/2018 13:01,20
Portobello Harbour,5,14,Friday,30/03/2018 14:07,20
Portobello Harbour,5,15,Friday,30/03/2018 15:07,0
Portobello Harbour,25,16,Friday,30/03/2018 16:04,0
Portobello Harbour,21,17,Friday,30/03/2018 17:03,20
Portobello Harbour,20,18,Friday,30/03/2018 18:03,0
Portobello Harbour,24,19,Friday,30/03/2018 19:02,0
Portobello Harbour,24,20,Friday,30/03/2018 20:07,0
Portobello Harbour,24,21,Friday,30/03/2018 21:08,0
Portobello Harbour,25,22,Friday,30/03/2018 22:00,0
Portobello Harbour,28,23,Friday,30/03/2018 23:09,0
Portobello Harbour,19,6,Saturday,31/03/2018 06:02,0
