address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Princes Street / O'Connell Street,23,6,Thursday,29/03/2018 06:00,0
Princes Street / O'Connell Street,22,7,Thursday,29/03/2018 07:09,0
Princes Street / O'Connell Street,20,8,Thursday,29/03/2018 08:00,0
Princes Street / O'Connell Street,21,9,Thursday,29/03/2018 09:04,0
Princes Street / O'Connell Street,22,10,Thursday,29/03/2018 10:08,0
Princes Street / O'Connell Street,22,11,Thursday,29/03/2018 11:00,10
Princes Street / O'Connell Street,21,12,Thursday,29/03/2018 12:10,30
Princes Street / O'Connell Street,22,13,Thursday,29/03/2018 13:00,30
Princes Street / O'Connell Street,23,14,Thursday,29/03/2018 14:08,45
Princes Street / O'Connell Street,22,15,Thursday,29/03/2018 15:02,40
Princes Street / O'Connell Street,23,16,Thursday,29/03/2018 16:01,30
Princes Street / O'Connell Street,23,17,Thursday,29/03/2018 17:02,30
Princes Street / O'Connell Street,23,18,Thursday,29/03/2018 18:00,30
Princes Street / O'Connell Street,22,19,Thursday,29/03/2018 19:06,40
Princes Street / O'Connell Street,21,20,Thursday,29/03/2018 20:01,30
Princes Street / O'Connell Street,18,21,Thursday,29/03/2018 21:02,25
Princes Street / O'Connell Street,18,22,Thursday,29/03/2018 22:06,30
Princes Street / O'Connell Street,20,23,Thursday,29/03/2018 23:00,40
Princes Street / O'Connell Street,22,6,Friday,30/03/2018 06:01,0
Princes Street / O'Connell Street,23,7,Friday,30/03/2018 07:04,0
Princes Street / O'Connell Street,13,8,Friday,30/03/2018 08:00,0
Princes Street / O'Connell Street,12,9,Friday,30/03/2018 09:09,0
Princes Street / O'Connell Street,16,10,Friday,30/03/2018 10:01,20
Princes Street / O'Connell Street,21,11,Friday,30/03/2018 11:01,20
Princes Street / O'Connell Street,23,12,Friday,30/03/2018 12:06,20
Princes Street / O'Connell Street,21,13,Friday,30/03/2018 13:03,20
Princes Street / O'Connell Street,21,14,Friday,30/03/2018 14:07,20
Princes Street / O'Connell Street,22,15,Friday,30/03/2018 15:03,0
Princes Street / O'Connell Street,21,16,Friday,30/03/2018 16:09,0
Princes Street / O'Connell Street,20,17,Friday,30/03/2018 17:06,20
Princes Street / O'Connell Street,19,18,Friday,30/03/2018 18:09,0
Princes Street / O'Connell Street,19,19,Friday,30/03/2018 19:04,0
Princes Street / O'Connell Street,17,20,Friday,30/03/2018 20:04,0
Princes Street / O'Connell Street,18,21,Friday,30/03/2018 21:05,0
Princes Street / O'Connell Street,18,22,Friday,30/03/2018 22:08,0
Princes Street / O'Connell Street,18,23,Friday,30/03/2018 23:01,0
Princes Street / O'Connell Street,21,6,Saturday,31/03/2018 06:03,0
Princes Street / O'Connell Street,15,7,Saturday,31/03/2018 07:03,0
Princes Street / O'Connell Street,10,8,Saturday,31/03/2018 08:08,0
Princes Street / O'Connell Street,19,9,Saturday,31/03/2018 09:04,0
Princes Street / O'Connell Street,23,10,Saturday,31/03/2018 10:03,0
Princes Street / O'Connell Street,22,11,Saturday,31/03/2018 11:02,0
Princes Street / O'Connell Street,23,12,Saturday,31/03/2018 12:11,0
Princes Street / O'Connell Street,23,13,Saturday,31/03/2018 13:05,0
Princes Street / O'Connell Street,22,14,Saturday,31/03/2018 14:00,0
Princes Street / O'Connell Street,22,15,Saturday,31/03/2018 15:02,0
Princes Street / O'Connell Street,22,16,Saturday,31/03/2018 16:09,0
Princes Street / O'Connell Street,20,17,Saturday,31/03/2018 17:00,0
Princes Street / O'Connell Street,20,18,Saturday,31/03/2018 18:05,0
Princes Street / O'Connell Street,21,19,Saturday,31/03/2018 19:06,0
Princes Street / O'Connell Street,22,20,Saturday,31/03/2018 20:06,0
Princes Street / O'Connell Street,21,21,Saturday,31/03/2018 21:02,0
Princes Street / O'Connell Street,19,22,Saturday,31/03/2018 22:00,0
Princes Street / O'Connell Street,16,23,Saturday,31/03/2018 23:07,0
Princes Street / O'Connell Street,21,6,Sunday,01/04/2018 06:06,30
Princes Street / O'Connell Street,22,7,Sunday,01/04/2018 07:03,30
Princes Street / O'Connell Street,23,8,Sunday,01/04/2018 08:09,0
Princes Street / O'Connell Street,23,9,Sunday,01/04/2018 09:00,0
Princes Street / O'Connell Street,23,10,Sunday,01/04/2018 10:01,0
Princes Street / O'Connell Street,23,11,Sunday,01/04/2018 11:02,0
Princes Street / O'Connell Street,23,12,Sunday,01/04/2018 12:02,0
Princes Street / O'Connell Street,23,13,Sunday,01/04/2018 13:04,0
Princes Street / O'Connell Street,23,14,Sunday,01/04/2018 14:03,0
Princes Street / O'Connell Street,23,15,Sunday,01/04/2018 15:01,0
Princes Street / O'Connell Street,22,16,Sunday,01/04/2018 16:02,0
Princes Street / O'Connell Street,19,17,Sunday,01/04/2018 17:09,0
Princes Street / O'Connell Street,18,18,Sunday,01/04/2018 18:08,0
Princes Street / O'Connell Street,18,19,Sunday,01/04/2018 19:08,0
Princes Street / O'Connell Street,17,20,Sunday,01/04/2018 20:03,45
Princes Street / O'Connell Street,17,21,Sunday,01/04/2018 21:09,50
Princes Street / O'Connell Street,17,22,Sunday,01/04/2018 22:07,50
Princes Street / O'Connell Street,17,23,Sunday,01/04/2018 23:04,60
Princes Street / O'Connell Street,21,6,Monday,02/04/2018 06:05,70
Princes Street / O'Connell Street,23,7,Monday,02/04/2018 07:05,70
Princes Street / O'Connell Street,23,8,Monday,02/04/2018 08:07,60
Princes Street / O'Connell Street,23,9,Monday,02/04/2018 09:07,70
Princes Street / O'Connell Street,22,10,Monday,02/04/2018 10:08,65
Princes Street / O'Connell Street,21,11,Monday,02/04/2018 11:01,70
