address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Royal Hospital,29,6,Thursday,29/03/2018 06:03,0
Royal Hospital,12,7,Thursday,29/03/2018 07:04,0
Royal Hospital,2,8,Thursday,29/03/2018 08:02,0
Royal Hospital,0,9,Thursday,29/03/2018 09:07,0
Royal Hospital,0,10,Thursday,29/03/2018 10:08,0
Royal Hospital,0,11,Thursday,29/03/2018 11:09,10
Royal Hospital,0,12,Thursday,29/03/2018 12:04,30
Royal Hospital,1,13,Thursday,29/03/2018 13:09,30
Royal Hospital,3,14,Thursday,29/03/2018 14:00,45
Royal Hospital,3,15,Thursday,29/03/2018 15:01,40
Royal Hospital,5,16,Thursday,29/03/2018 16:02,30
Royal Hospital,16,17,Thursday,29/03/2018 17:03,30
Royal Hospital,24,18,Thursday,29/03/2018 18:07,30
Royal Hospital,26,19,Thursday,29/03/2018 19:07,40
Royal Hospital,24,20,Thursday,29/03/2018 20:00,30
Royal Hospital,23,21,Thursday,29/03/2018 21:03,25
Royal Hospital,23,22,Thursday,29/03/2018 22:00,30
Royal Hospital,24,23,Thursday,29/03/2018 23:07,40
Royal Hospital,22,6,Friday,30/03/2018 06:01,0
Royal Hospital,17,7,Friday,30/03/2018 07:02,0
Royal Hospital,10,8,Friday,30/03/2018 08:10,0
Royal Hospital,6,9,Friday,30/03/2018 09:05,0
Royal Hospital,5,10,Friday,30/03/2018 10:00,20
Royal Hospital,8,11,Friday,30/03/2018 11:03,20
Royal Hospital,8,12,Friday,30/03/2018 12:08,20
Royal Hospital,6,13,Friday,30/03/2018 13:07,20
Royal Hospital,7,14,Friday,30/03/2018 14:02,20
Royal Hospital,4,15,Friday,30/03/2018 15:07,0
Royal Hospital,1,16,Friday,30/03/2018 16:03,0
Royal Hospital,0,17,Friday,30/03/2018 17:03,20
Royal Hospital,4,18,Friday,30/03/2018 18:04,0
Royal Hospital,5,19,Friday,30/03/2018 19:03,0
Royal Hospital,6,20,Friday,30/03/2018 20:04,0
Royal Hospital,7,21,Friday,30/03/2018 21:02,0
Royal Hospital,7,22,Friday,30/03/2018 22:03,0
Royal Hospital,9,23,Friday,30/03/2018 23:04,0
Royal Hospital,8,6,Saturday,31/03/2018 06:08,0
Royal Hospital,6,7,Saturday,31/03/2018 07:04,0
Royal Hospital,7,8,Saturday,31/03/2018 08:09,0
Royal Hospital,5,9,Saturday,31/03/2018 09:01,0
Royal Hospital,2,10,Saturday,31/03/2018 10:05,0
Royal Hospital,1,11,Saturday,31/03/2018 11:08,0
Royal Hospital,0,12,Saturday,31/03/2018 12:02,0
Royal Hospital,1,13,Saturday,31/03/2018 13:03,0
Royal Hospital,2,14,Saturday,31/03/2018 14:04,0
Royal Hospital,5,15,Saturday,31/03/2018 15:07,0
Royal Hospital,6,16,Saturday,31/03/2018 16:09,0
Royal Hospital,4,17,Saturday,31/03/2018 17:05,0
Royal Hospital,2,18,Saturday,31/03/2018 18:05,0
Royal Hospital,2,19,Saturday,31/03/2018 19:06,0
Royal Hospital,6,20,Saturday,31/03/2018 20:06,0
Royal Hospital,6,21,Saturday,31/03/2018 21:07,0
Royal Hospital,7,22,Saturday,31/03/2018 22:10,0
Royal Hospital,6,23,Saturday,31/03/2018 23:05,0
Royal Hospital,4,6,Sunday,01/04/2018 06:06,30
Royal Hospital,4,7,Sunday,01/04/2018 07:08,30
Royal Hospital,4,8,Sunday,01/04/2018 08:09,0
Royal Hospital,2,9,Sunday,01/04/2018 09:06,0
Royal Hospital,2,10,Sunday,01/04/2018 10:00,0
Royal Hospital,2,11,Sunday,01/04/2018 11:07,0
Royal Hospital,2,12,Sunday,01/04/2018 12:11,0
Royal Hospital,1,13,Sunday,01/04/2018 13:06,0
Royal Hospital,1,14,Sunday,01/04/2018 14:03,0
Royal Hospital,4,15,Sunday,01/04/2018 15:00,0
Royal Hospital,2,16,Sunday,01/04/2018 16:03,0
Royal Hospital,2,17,Sunday,01/04/2018 17:06,0
Royal Hospital,3,18,Sunday,01/04/2018 18:07,0
Royal Hospital,5,19,Sunday,01/04/2018 19:08,0
Royal Hospital,6,20,Sunday,01/04/2018 20:04,45
Royal Hospital,4,21,Sunday,01/04/2018 21:02,50
Royal Hospital,5,22,Sunday,01/04/2018 22:04,50
Royal Hospital,5,23,Sunday,01/04/2018 23:06,60
Royal Hospital,4,6,Monday,02/04/2018 06:03,70
Royal Hospital,3,7,Monday,02/04/2018 07:05,70
Royal Hospital,2,8,Monday,02/04/2018 08:08,60
Royal Hospital,3,9,Monday,02/04/2018 09:09,70
Royal Hospital,2,10,Monday,02/04/2018 10:04,65
Royal Hospital,4,11,Monday,02/04/2018 11:07,70
Royal Hospital,3,12,Monday,02/04/2018 12:08,70
Royal Hospital,2,13,Monday,02/04/2018 13:00,70
Royal Hospital,1,14,Monday,02/04/2018 14:03,60
Royal Hospital,0,15,Monday,02/04/2018 15:03,60
Royal Hospital,0,16,Monday,02/04/2018 16:07,60
Royal Hospital,1,17,Monday,02/04/2018 17:08,50
Royal Hospital,2,18,Monday,02/04/2018 18:09,40
Royal Hospital,1,19,Monday,02/04/2018 19:06,0
Royal Hospital,1,20,Monday,02/04/2018 20:07,0
Royal Hospital,2,21,Monday,02/04/2018 21:08,40
Royal Hospital,2,22,Monday,02/04/2018 22:05,50
Royal Hospital,2,23,Monday,02/04/2018 23:06,60
Royal Hospital,1,6,Tuesday,03/04/2018 06:05,0
Royal Hospital,0,7,Tuesday,03/04/2018 07:06,20
Royal Hospital,1,8,Tuesday,03/04/2018 08:01,20
Royal Hospital,1,9,Tuesday,03/04/2018 09:02,0
Royal Hospital,0,10,Tuesday,03/04/2018 10:00,0
Royal Hospital,0,11,Tuesday,03/04/2018 11:01,0
Royal Hospital,0,12,Tuesday,03/04/2018 12:07,30
Royal Hospital,2,13,Tuesday,03/04/2018 13:00,40
Royal Hospital,5,14,Tuesday,03/04/2018 14:02,20
Royal Hospital,7,15,Tuesday,03/04/2018 15:08,20
Royal Hospital,6,16,Tuesday,03/04/2018 16:03,30
Royal Hospital,11,17,Tuesday,03/04/2018 17:05,0
Royal Hospital,15,18,Tuesday,03/04/2018 18:00,0
Royal Hospital,20,19,Tuesday,03/04/2018 19:10,0
Royal Hospital,27,20,Tuesday,03/04/2018 20:08,0
Royal Hospital,30,21,Tuesday,03/04/2018 21:03,0
Royal Hospital,30,22,Tuesday,03/04/2018 22:08,0
Royal Hospital,30,23,Tuesday,03/04/2018 23:09,0
Royal Hospital,26,6,Wednesday,04/04/2018 06:10,40
Royal Hospital,18,7,Wednesday,04/04/2018 07:00,40
Royal Hospital,9,8,Wednesday,04/04/2018 08:07,30
Royal Hospital,11,9,Wednesday,04/04/2018 09:08,40
Royal Hospital,11,10,Wednesday,04/04/2018 10:04,40
Royal Hospital,11,11,Wednesday,04/04/2018 11:10,20
Royal Hospital,8,12,Wednesday,04/04/2018 12:06,0
Royal Hospital,8,13,Wednesday,04/04/2018 13:00,10
Royal Hospital,8,14,Wednesday,04/04/2018 14:10,0
Royal Hospital,8,15,Wednesday,04/04/2018 15:01,20
Royal Hospital,9,16,Wednesday,04/04/2018 16:00,20
Royal Hospital,11,17,Wednesday,04/04/2018 17:08,40
Royal Hospital,19,18,Wednesday,04/04/2018 18:01,0
Royal Hospital,26,19,Wednesday,04/04/2018 19:06,0
Royal Hospital,26,20,Wednesday,04/04/2018 20:02,0
Royal Hospital,25,21,Wednesday,04/04/2018 21:02,40
Royal Hospital,28,22,Wednesday,04/04/2018 22:09,30
Royal Hospital,35,23,Wednesday,04/04/2018 23:01,30
