address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
York Street East,11,6,Thursday,29/03/2018 06:00,0
York Street East,13,7,Thursday,29/03/2018 07:02,0
York Street East,7,8,Thursday,29/03/2018 08:03,0
York Street East,9,9,Thursday,29/03/2018 09:03,0
York Street East,9,10,Thursday,29/03/2018 10:00,0
York Street East,11,11,Thursday,29/03/2018 11:06,10
York Street East,8,12,Thursday,29/03/2018 12:06,30
York Street East,9,13,Thursday,29/03/2018 13:00,30
York Street East,9,14,Thursday,29/03/2018 14:01,45
York Street East,7,15,Thursday,29/03/2018 15:06,40
York Street East,6,16,Thursday,29/03/2018 16:04,30
York Street East,5,17,Thursday,29/03/2018 17:01,30
York Street East,3,18,Thursday,29/03/2018 18:01,30
York Street East,5,19,Thursday,29/03/2018 19:07,40
York Street East,6,20,Thursday,29/03/2018 20:11,30
York Street East,4,21,Thursday,29/03/2018 21:05,25
York Street East,3,22,Thursday,29/03/2018 22:06,30
York Street East,4,23,Thursday,29/03/2018 23:02,40
York Street East,9,6,Friday,30/03/2018 06:03,0
York Street East,7,7,Friday,30/03/2018 07:04,0
York Street East,6,8,Friday,30/03/2018 08:00,0
York Street East,7,9,Friday,30/03/2018 09:04,0
York Street East,10,10,Friday,30/03/2018 10:07,20
York Street East,15,11,Friday,30/03/2018 11:04,20
York Street East,17,12,Friday,30/03/2018 12:08,20
York Street East,18,13,Friday,30/03/2018 13:01,20
York Street East,18,14,Friday,30/03/2018 14:03,20
York Street East,20,15,Friday,30/03/2018 15:07,0
York Street East,20,16,Friday,30/03/2018 16:02,0
York Street East,23,17,Friday,30/03/2018 17:00,20
York Street East,25,18,Friday,30/03/2018 18:00,0
York Street East,24,19,Friday,30/03/2018 19:09,0
York Street East,18,20,Friday,30/03/2018 20:01,0
York Street East,8,21,Friday,30/03/2018 21:00,0
York Street East,4,22,Friday,30/03/2018 22:07,0
York Street East,0,23,Friday,30/03/2018 23:01,0
York Street East,7,6,Saturday,31/03/2018 06:07,0
York Street East,9,7,Saturday,31/03/2018 07:07,0
York Street East,11,8,Saturday,31/03/2018 08:12,0
York Street East,12,9,Saturday,31/03/2018 09:02,0
York Street East,15,10,Saturday,31/03/2018 10:08,0
York Street East,19,11,Saturday,31/03/2018 11:09,0
York Street East,20,12,Saturday,31/03/2018 12:06,0
York Street East,22,13,Saturday,31/03/2018 13:07,0
York Street East,22,14,Saturday,31/03/2018 14:01,0
York Street East,23,15,Saturday,31/03/2018 15:00,0
York Street East,27,16,Saturday,31/03/2018 16:09,0
York Street East,24,17,Saturday,31/03/2018 17:03,0
York Street East,22,18,Saturday,31/03/2018 18:00,0
York Street East,21,19,Saturday,31/03/2018 19:00,0
York Street East,22,20,Saturday,31/03/2018 20:01,0
York Street East,21,21,Saturday,31/03/2018 21:06,0
York Street East,21,22,Saturday,31/03/2018 22:07,0
York Street East,18,23,Saturday,31/03/2018 23:04,0
York Street East,19,6,Sunday,01/04/2018 06:07,30
York Street East,18,7,Sunday,01/04/2018 07:04,30
York Street East,18,8,Sunday,01/04/2018 08:09,0
York Street East,18,9,Sunday,01/04/2018 09:00,0
York Street East,20,10,Sunday,01/04/2018 10:04,0
York Street East,28,11,Sunday,01/04/2018 11:08,0
York Street East,29,12,Sunday,01/04/2018 12:04,0
York Street East,32,13,Sunday,01/04/2018 13:02,0
York Street East,27,14,Sunday,01/04/2018 14:03,0
York Street East,14,15,Sunday,01/04/2018 15:04,0
York Street East,11,16,Sunday,01/04/2018 16:07,0
York Street East,9,17,Sunday,01/04/2018 17:08,0
York Street East,9,18,Sunday,01/04/2018 18:09,0
York Street East,9,19,Sunday,01/04/2018 19:00,0
York Street East,11,20,Sunday,01/04/2018 20:04,45
York Street East,9,21,Sunday,01/04/2018 21:02,50
York Street East,6,22,Sunday,01/04/2018 22:01,50
York Street East,6,23,Sunday,01/04/2018 23:04,60
York Street East,7,6,Monday,02/04/2018 06:01,70
York Street East,8,7,Monday,02/04/2018 07:02,70
York Street East,8,8,Monday,02/04/2018 08:05,60
York Street East,9,9,Monday,02/04/2018 09:05,70
York Street East,10,10,Monday,02/04/2018 10:10,65
York Street East,12,11,Monday,02/04/2018 11:01,70
York Street East,12,12,Monday,02/04/2018 12:00,70
York Street East,11,13,Monday,02/04/2018 13:05,70
York Street East,10,14,Monday,02/04/2018 14:07,60
York Street East,10,15,Monday,02/04/2018 15:06,60
York Street East,13,16,Monday,02/04/2018 16:03,60
York Street East,12,17,Monday,02/04/2018 17:06,50
York Street East,11,18,Monday,02/04/2018 18:03,40
York Street East,9,19,Monday,02/04/2018 19:01,0
York Street East,6,20,Monday,02/04/2018 20:06,0
York Street East,5,21,Monday,02/04/2018 21:04,40
York Street East,3,22,Monday,02/04/2018 22:01,50
York Street East,0,23,Monday,02/04/2018 23:03,60
York Street East,15,6,Tuesday,03/04/2018 06:06,0
York Street East,21,7,Tuesday,03/04/2018 07:05,20
York Street East,24,8,Tuesday,03/04/2018 08:06,20
York Street East,28,9,Tuesday,03/04/2018 09:02,0
York Street East,30,10,Tuesday,03/04/2018 10:01,0
York Street East,31,11,Tuesday,03/04/2018 11:01,0
York Street East,14,12,Tuesday,03/04/2018 12:00,30
York Street East,12,13,Tuesday,03/04/2018 13:05,40
York Street East,13,14,Tuesday,03/04/2018 14:05,20
York Street East,31,15,Tuesday,03/04/2018 15:03,20
York Street East,28,16,Tuesday,03/04/2018 16:02,30
York Street East,17,17,Tuesday,03/04/2018 17:05,0
York Street East,12,18,Tuesday,03/04/2018 18:00,0
York Street East,9,19,Tuesday,03/04/2018 19:08,0
York Street East,3,20,Tuesday,03/04/2018 20:08,0
York Street East,0,21,Tuesday,03/04/2018 21:01,0
York Street East,0,22,Tuesday,03/04/2018 22:09,0
York Street East,0,23,Tuesday,03/04/2018 23:09,0
York Street East,14,6,Wednesday,04/04/2018 06:05,40
York Street East,20,7,Wednesday,04/04/2018 07:08,40
York Street East,25,8,Wednesday,04/04/2018 08:03,30
York Street East,22,9,Wednesday,04/04/2018 09:08,40
York Street East,9,10,Wednesday,04/04/2018 10:09,40
York Street East,7,11,Wednesday,04/04/2018 11:00,20
York Street East,4,12,Wednesday,04/04/2018 12:09,0
York Street East,8,13,Wednesday,04/04/2018 13:00,10
York Street East,10,14,Wednesday,04/04/2018 14:09,0
York Street East,6,15,Wednesday,04/04/2018 15:10,20
York Street East,0,16,Wednesday,04/04/2018 16:00,20
York Street East,2,17,Wednesday,04/04/2018 17:04,40
York Street East,2,18,Wednesday,04/04/2018 18:00,0
York Street East,1,19,Wednesday,04/04/2018 19:02,0
York Street East,0,20,Wednesday,04/04/2018 20:02,0
York Street East,0,21,Wednesday,04/04/2018 21:09,40
York Street East,0,22,Wednesday,04/04/2018 22:04,30
York Street East,0,23,Wednesday,04/04/2018 23:00,30
