address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
City Quay,13,6,Thursday,29/03/2018 06:04,0
City Quay,19,7,Thursday,29/03/2018 07:02,0
City Quay,29,8,Thursday,29/03/2018 08:00,0
City Quay,30,9,Thursday,29/03/2018 09:09,0
City Quay,30,10,Thursday,29/03/2018 10:08,0
City Quay,30,11,Thursday,29/03/2018 11:09,10
City Quay,30,12,Thursday,29/03/2018 12:06,30
City Quay,30,13,Thursday,29/03/2018 13:05,30
City Quay,30,14,Thursday,29/03/2018 14:09,45
City Quay,28,15,Thursday,29/03/2018 15:01,40
City Quay,29,16,Thursday,29/03/2018 16:01,30
City Quay,29,17,Thursday,29/03/2018 17:07,30
City Quay,29,18,Thursday,29/03/2018 18:03,30
City Quay,27,19,Thursday,29/03/2018 19:01,40
City Quay,25,20,Thursday,29/03/2018 20:03,30
City Quay,25,21,Thursday,29/03/2018 21:01,25
City Quay,24,22,Thursday,29/03/2018 22:02,30
City Quay,24,23,Thursday,29/03/2018 23:03,40
City Quay,7,6,Friday,30/03/2018 06:11,0
City Quay,8,7,Friday,30/03/2018 07:05,0
City Quay,9,8,Friday,30/03/2018 08:06,0
City Quay,7,9,Friday,30/03/2018 09:06,0
City Quay,7,10,Friday,30/03/2018 10:07,20
City Quay,4,11,Friday,30/03/2018 11:12,20
City Quay,2,12,Friday,30/03/2018 12:08,20
City Quay,2,13,Friday,30/03/2018 13:08,20
City Quay,4,14,Friday,30/03/2018 14:02,20
City Quay,4,15,Friday,30/03/2018 15:00,0
City Quay,5,16,Friday,30/03/2018 16:09,0
City Quay,4,17,Friday,30/03/2018 17:14,20
City Quay,5,18,Friday,30/03/2018 18:07,0
City Quay,6,19,Friday,30/03/2018 19:02,0
City Quay,7,20,Friday,30/03/2018 20:04,0
City Quay,8,21,Friday,30/03/2018 21:06,0
City Quay,8,22,Friday,30/03/2018 22:07,0
City Quay,9,23,Friday,30/03/2018 23:07,0
City Quay,9,6,Saturday,31/03/2018 06:02,0
City Quay,9,7,Saturday,31/03/2018 07:04,0
City Quay,9,8,Saturday,31/03/2018 08:07,0
City Quay,8,9,Saturday,31/03/2018 09:08,0
City Quay,6,10,Saturday,31/03/2018 10:06,0
City Quay,6,11,Saturday,31/03/2018 11:03,0
City Quay,7,12,Saturday,31/03/2018 12:05,0
City Quay,8,13,Saturday,31/03/2018 13:06,0
City Quay,6,14,Saturday,31/03/2018 14:06,0
City Quay,5,15,Saturday,31/03/2018 15:08,0
City Quay,3,16,Saturday,31/03/2018 16:06,0
City Quay,3,17,Saturday,31/03/2018 17:06,0
City Quay,4,18,Saturday,31/03/2018 18:01,0
City Quay,4,19,Saturday,31/03/2018 19:00,0
City Quay,3,20,Saturday,31/03/2018 20:08,0
City Quay,3,21,Saturday,31/03/2018 21:09,0
City Quay,3,22,Saturday,31/03/2018 22:01,0
City Quay,3,23,Saturday,31/03/2018 23:02,0
City Quay,3,6,Sunday,01/04/2018 06:02,30
City Quay,1,7,Sunday,01/04/2018 07:07,30
City Quay,0,8,Sunday,01/04/2018 08:00,0
City Quay,1,9,Sunday,01/04/2018 09:01,0
City Quay,2,10,Sunday,01/04/2018 10:01,0
City Quay,3,11,Sunday,01/04/2018 11:02,0
City Quay,2,12,Sunday,01/04/2018 12:03,0
City Quay,1,13,Sunday,01/04/2018 13:03,0
City Quay,1,14,Sunday,01/04/2018 14:04,0
City Quay,2,15,Sunday,01/04/2018 15:05,0
City Quay,1,16,Sunday,01/04/2018 16:09,0
City Quay,1,17,Sunday,01/04/2018 17:08,0
City Quay,1,18,Sunday,01/04/2018 18:05,0
City Quay,3,19,Sunday,01/04/2018 19:01,0
City Quay,4,20,Sunday,01/04/2018 20:07,45
City Quay,4,21,Sunday,01/04/2018 21:08,50
City Quay,4,22,Sunday,01/04/2018 22:09,50
City Quay,4,23,Sunday,01/04/2018 23:10,60
City Quay,2,6,Monday,02/04/2018 06:08,70
City Quay,3,7,Monday,02/04/2018 07:08,70
City Quay,3,8,Monday,02/04/2018 08:02,60
City Quay,4,9,Monday,02/04/2018 09:03,70
City Quay,4,10,Monday,02/04/2018 10:03,65
City Quay,5,11,Monday,02/04/2018 11:04,70
City Quay,5,12,Monday,02/04/2018 12:07,70
City Quay,5,13,Monday,02/04/2018 13:08,70
City Quay,6,14,Monday,02/04/2018 14:09,60
City Quay,6,15,Monday,02/04/2018 15:06,60
City Quay,5,16,Monday,02/04/2018 16:03,60
City Quay,6,17,Monday,02/04/2018 17:01,50
City Quay,8,18,Monday,02/04/2018 18:05,40
City Quay,8,19,Monday,02/04/2018 19:06,0
City Quay,7,20,Monday,02/04/2018 20:05,0
City Quay,8,21,Monday,02/04/2018 21:06,40
City Quay,8,22,Monday,02/04/2018 22:04,50
City Quay,8,23,Monday,02/04/2018 23:05,60
City Quay,8,6,Tuesday,03/04/2018 06:05,0
City Quay,7,7,Tuesday,03/04/2018 07:00,20
City Quay,24,8,Tuesday,03/04/2018 08:01,20
City Quay,30,9,Tuesday,03/04/2018 09:03,0
City Quay,28,10,Tuesday,03/04/2018 10:11,0
City Quay,26,11,Tuesday,03/04/2018 11:03,0
City Quay,25,12,Tuesday,03/04/2018 12:07,30
City Quay,29,13,Tuesday,03/04/2018 13:04,40
City Quay,27,14,Tuesday,03/04/2018 14:02,20
City Quay,21,15,Tuesday,03/04/2018 15:00,20
City Quay,22,16,Tuesday,03/04/2018 16:04,30
City Quay,18,17,Tuesday,03/04/2018 17:00,0
City Quay,17,18,Tuesday,03/04/2018 18:01,0
City Quay,14,19,Tuesday,03/04/2018 19:04,0
City Quay,9,20,Tuesday,03/04/2018 20:00,0
City Quay,7,21,Tuesday,03/04/2018 21:02,0
City Quay,5,22,Tuesday,03/04/2018 22:05,0
City Quay,4,23,Tuesday,03/04/2018 23:00,0
City Quay,2,6,Wednesday,04/04/2018 06:07,40
City Quay,5,7,Wednesday,04/04/2018 07:00,40
City Quay,7,8,Wednesday,04/04/2018 08:04,30
City Quay,5,9,Wednesday,04/04/2018 09:09,40
City Quay,5,10,Wednesday,04/04/2018 10:00,40
City Quay,5,11,Wednesday,04/04/2018 11:01,20
City Quay,3,12,Wednesday,04/04/2018 12:00,0
City Quay,1,13,Wednesday,04/04/2018 13:05,10
City Quay,2,14,Wednesday,04/04/2018 14:04,0
City Quay,4,15,Wednesday,04/04/2018 15:08,20
City Quay,1,16,Wednesday,04/04/2018 16:06,20
City Quay,0,17,Wednesday,04/04/2018 17:00,40
City Quay,2,18,Wednesday,04/04/2018 18:09,0
City Quay,1,19,Wednesday,04/04/2018 19:07,0
City Quay,0,20,Wednesday,04/04/2018 20:01,0
City Quay,2,21,Wednesday,04/04/2018 21:01,40
City Quay,1,22,Wednesday,04/04/2018 22:02,30
City Quay,0,23,Wednesday,04/04/2018 23:06,30
