address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Custom House,11,6,Thursday,29/03/2018 06:02,0
Custom House,20,7,Thursday,29/03/2018 07:05,0
Custom House,19,8,Thursday,29/03/2018 08:00,0
Custom House,22,9,Thursday,29/03/2018 09:08,0
Custom House,24,10,Thursday,29/03/2018 10:10,0
Custom House,25,11,Thursday,29/03/2018 11:06,10
Custom House,22,12,Thursday,29/03/2018 12:05,30
Custom House,24,13,Thursday,29/03/2018 13:00,30
Custom House,25,14,Thursday,29/03/2018 14:00,45
Custom House,11,15,Thursday,29/03/2018 15:06,40
Custom House,24,16,Thursday,29/03/2018 16:01,30
Custom House,30,17,Thursday,29/03/2018 17:02,30
Custom House,29,18,Thursday,29/03/2018 18:08,30
Custom House,15,19,Thursday,29/03/2018 19:02,40
Custom House,9,20,Thursday,29/03/2018 20:03,30
Custom House,6,21,Thursday,29/03/2018 21:02,25
Custom House,7,22,Thursday,29/03/2018 22:03,30
Custom House,6,23,Thursday,29/03/2018 23:06,40
Custom House,3,6,Friday,30/03/2018 06:03,0
Custom House,5,7,Friday,30/03/2018 07:01,0
Custom House,9,8,Friday,30/03/2018 08:01,0
Custom House,13,9,Friday,30/03/2018 09:07,0
Custom House,18,10,Friday,30/03/2018 10:06,20
Custom House,22,11,Friday,30/03/2018 11:06,20
Custom House,25,12,Friday,30/03/2018 12:07,20
Custom House,27,13,Friday,30/03/2018 13:02,20
Custom House,29,14,Friday,30/03/2018 14:06,20
Custom House,29,15,Friday,30/03/2018 15:08,0
Custom House,29,16,Friday,30/03/2018 16:09,0
Custom House,28,17,Friday,30/03/2018 17:00,20
Custom House,27,18,Friday,30/03/2018 18:01,0
Custom House,27,19,Friday,30/03/2018 19:05,0
Custom House,19,20,Friday,30/03/2018 20:03,0
Custom House,9,21,Friday,30/03/2018 21:00,0
Custom House,8,22,Friday,30/03/2018 22:02,0
Custom House,6,23,Friday,30/03/2018 23:03,0
Custom House,8,6,Saturday,31/03/2018 06:02,0
Custom House,10,7,Saturday,31/03/2018 07:08,0
Custom House,15,8,Saturday,31/03/2018 08:03,0
Custom House,17,9,Saturday,31/03/2018 09:07,0
Custom House,20,10,Saturday,31/03/2018 10:06,0
Custom House,24,11,Saturday,31/03/2018 11:04,0
Custom House,26,12,Saturday,31/03/2018 12:06,0
Custom House,14,13,Saturday,31/03/2018 13:09,0
Custom House,20,14,Saturday,31/03/2018 14:03,0
Custom House,21,15,Saturday,31/03/2018 15:06,0
Custom House,22,16,Saturday,31/03/2018 16:03,0
Custom House,26,17,Saturday,31/03/2018 17:03,0
Custom House,25,18,Saturday,31/03/2018 18:04,0
Custom House,26,19,Saturday,31/03/2018 19:00,0
Custom House,27,20,Saturday,31/03/2018 20:08,0
Custom House,27,21,Saturday,31/03/2018 21:03,0
Custom House,30,22,Saturday,31/03/2018 22:07,0
Custom House,27,23,Saturday,31/03/2018 23:04,0
Custom House,28,6,Sunday,01/04/2018 06:00,30
Custom House,29,7,Sunday,01/04/2018 07:01,30
Custom House,30,8,Sunday,01/04/2018 08:00,0
Custom House,30,9,Sunday,01/04/2018 09:02,0
Custom House,30,10,Sunday,01/04/2018 10:01,0
Custom House,30,11,Sunday,01/04/2018 11:06,0
Custom House,30,12,Sunday,01/04/2018 12:02,0
Custom House,29,13,Sunday,01/04/2018 13:05,0
Custom House,28,14,Sunday,01/04/2018 14:06,0
Custom House,28,15,Sunday,01/04/2018 15:05,0
Custom House,27,16,Sunday,01/04/2018 16:00,0
Custom House,27,17,Sunday,01/04/2018 17:07,0
Custom House,26,18,Sunday,01/04/2018 18:05,0
Custom House,27,19,Sunday,01/04/2018 19:00,0
Custom House,25,20,Sunday,01/04/2018 20:07,45
Custom House,25,21,Sunday,01/04/2018 21:05,50
Custom House,26,22,Sunday,01/04/2018 22:07,50
Custom House,26,23,Sunday,01/04/2018 23:08,60
Custom House,27,6,Monday,02/04/2018 06:07,70
Custom House,28,7,Monday,02/04/2018 07:01,70
Custom House,28,8,Monday,02/04/2018 08:02,60
Custom House,13,9,Monday,02/04/2018 09:03,70
Custom House,16,10,Monday,02/04/2018 10:01,65
Custom House,18,11,Monday,02/04/2018 11:09,70
Custom House,18,12,Monday,02/04/2018 12:00,70
Custom House,21,13,Monday,02/04/2018 13:08,70
Custom House,21,14,Monday,02/04/2018 14:04,60
Custom House,20,15,Monday,02/04/2018 15:06,60
Custom House,18,16,Monday,02/04/2018 16:02,60
Custom House,16,17,Monday,02/04/2018 17:08,50
Custom House,15,18,Monday,02/04/2018 18:06,40
Custom House,11,19,Monday,02/04/2018 19:00,0
Custom House,8,20,Monday,02/04/2018 20:05,0
Custom House,5,21,Monday,02/04/2018 21:02,40
Custom House,3,22,Monday,02/04/2018 22:03,50
Custom House,1,23,Monday,02/04/2018 23:09,60
Custom House,4,6,Tuesday,03/04/2018 06:06,0
Custom House,5,7,Tuesday,03/04/2018 07:01,20
Custom House,6,8,Tuesday,03/04/2018 08:07,20
Custom House,7,9,Tuesday,03/04/2018 09:00,0
Custom House,6,10,Tuesday,03/04/2018 10:07,0
Custom House,2,11,Tuesday,03/04/2018 11:05,0
Custom House,5,12,Tuesday,03/04/2018 12:00,30
Custom House,9,13,Tuesday,03/04/2018 13:02,40
Custom House,18,14,Tuesday,03/04/2018 14:01,20
Custom House,29,15,Tuesday,03/04/2018 15:01,20
Custom House,30,16,Tuesday,03/04/2018 16:00,30
Custom House,27,17,Tuesday,03/04/2018 17:05,0
