address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Earlsfort Terrace,5,6,Thursday,29/03/2018 06:10,0
Earlsfort Terrace,22,7,Thursday,29/03/2018 07:03,0
Earlsfort Terrace,30,8,Thursday,29/03/2018 08:09,0
Earlsfort Terrace,15,9,Thursday,29/03/2018 09:00,0
Earlsfort Terrace,11,10,Thursday,29/03/2018 10:02,0
Earlsfort Terrace,10,11,Thursday,29/03/2018 11:04,10
Earlsfort Terrace,7,12,Thursday,29/03/2018 12:01,30
Earlsfort Terrace,7,13,Thursday,29/03/2018 13:00,30
Earlsfort Terrace,21,14,Thursday,29/03/2018 14:01,45
Earlsfort Terrace,13,15,Thursday,29/03/2018 15:00,40
Earlsfort Terrace,0,16,Thursday,29/03/2018 16:09,30
Earlsfort Terrace,0,17,Thursday,29/03/2018 17:03,30
Earlsfort Terrace,0,18,Thursday,29/03/2018 18:07,30
Earlsfort Terrace,1,19,Thursday,29/03/2018 19:07,40
Earlsfort Terrace,0,20,Thursday,29/03/2018 20:07,30
Earlsfort Terrace,0,21,Thursday,29/03/2018 21:09,25
Earlsfort Terrace,1,22,Thursday,29/03/2018 22:00,30
Earlsfort Terrace,1,23,Thursday,29/03/2018 23:04,40
Earlsfort Terrace,2,6,Friday,30/03/2018 06:08,0
Earlsfort Terrace,4,7,Friday,30/03/2018 07:02,0
Earlsfort Terrace,4,8,Friday,30/03/2018 08:07,0
Earlsfort Terrace,6,9,Friday,30/03/2018 09:02,0
Earlsfort Terrace,8,10,Friday,30/03/2018 10:00,20
Earlsfort Terrace,11,11,Friday,30/03/2018 11:08,20
Earlsfort Terrace,12,12,Friday,30/03/2018 12:03,20
Earlsfort Terrace,11,13,Friday,30/03/2018 13:08,20
Earlsfort Terrace,9,14,Friday,30/03/2018 14:04,20
Earlsfort Terrace,8,15,Friday,30/03/2018 15:04,0
Earlsfort Terrace,8,16,Friday,30/03/2018 16:01,0
Earlsfort Terrace,7,17,Friday,30/03/2018 17:00,20
Earlsfort Terrace,8,18,Friday,30/03/2018 18:07,0
Earlsfort Terrace,9,19,Friday,30/03/2018 19:09,0
Earlsfort Terrace,11,20,Friday,30/03/2018 20:09,0
Earlsfort Terrace,11,21,Friday,30/03/2018 21:00,0
Earlsfort Terrace,11,22,Friday,30/03/2018 22:01,0
Earlsfort Terrace,10,23,Friday,30/03/2018 23:09,0
Earlsfort Terrace,11,6,Saturday,31/03/2018 06:07,0
Earlsfort Terrace,10,7,Saturday,31/03/2018 07:08,0
Earlsfort Terrace,9,8,Saturday,31/03/2018 08:02,0
Earlsfort Terrace,9,9,Saturday,31/03/2018 09:03,0
Earlsfort Terrace,9,10,Saturday,31/03/2018 10:04,0
Earlsfort Terrace,8,11,Saturday,31/03/2018 11:02,0
Earlsfort Terrace,6,12,Saturday,31/03/2018 12:09,0
Earlsfort Terrace,6,13,Saturday,31/03/2018 13:05,0
Earlsfort Terrace,6,14,Saturday,31/03/2018 14:04,0
Earlsfort Terrace,5,15,Saturday,31/03/2018 15:02,0
Earlsfort Terrace,6,16,Saturday,31/03/2018 16:06,0
Earlsfort Terrace,7,17,Saturday,31/03/2018 17:04,0
Earlsfort Terrace,8,18,Saturday,31/03/2018 18:02,0
Earlsfort Terrace,7,19,Saturday,31/03/2018 19:03,0
Earlsfort Terrace,5,20,Saturday,31/03/2018 20:00,0
Earlsfort Terrace,5,21,Saturday,31/03/2018 21:01,0
Earlsfort Terrace,7,22,Saturday,31/03/2018 22:07,0
Earlsfort Terrace,7,23,Saturday,31/03/2018 23:08,0
Earlsfort Terrace,7,6,Sunday,01/04/2018 06:02,30
Earlsfort Terrace,7,7,Sunday,01/04/2018 07:03,30
Earlsfort Terrace,7,8,Sunday,01/04/2018 08:02,0
Earlsfort Terrace,6,9,Sunday,01/04/2018 09:05,0
Earlsfort Terrace,5,10,Sunday,01/04/2018 10:07,0
Earlsfort Terrace,6,11,Sunday,01/04/2018 11:08,0
Earlsfort Terrace,10,12,Sunday,01/04/2018 12:00,0
Earlsfort Terrace,9,13,Sunday,01/04/2018 13:02,0
Earlsfort Terrace,8,14,Sunday,01/04/2018 14:02,0
Earlsfort Terrace,7,15,Sunday,01/04/2018 15:00,0
Earlsfort Terrace,8,16,Sunday,01/04/2018 16:09,0
Earlsfort Terrace,8,17,Sunday,01/04/2018 17:05,0
Earlsfort Terrace,10,18,Sunday,01/04/2018 18:06,0
Earlsfort Terrace,13,19,Sunday,01/04/2018 19:07,0
Earlsfort Terrace,13,20,Sunday,01/04/2018 20:01,45
Earlsfort Terrace,13,21,Sunday,01/04/2018 21:02,50
Earlsfort Terrace,12,22,Sunday,01/04/2018 22:08,50
Earlsfort Terrace,12,23,Sunday,01/04/2018 23:09,60
Earlsfort Terrace,12,6,Monday,02/04/2018 06:02,70
Earlsfort Terrace,14,7,Monday,02/04/2018 07:01,70
Earlsfort Terrace,14,8,Monday,02/04/2018 08:02,60
Earlsfort Terrace,14,9,Monday,02/04/2018 09:03,70
Earlsfort Terrace,15,10,Monday,02/04/2018 10:05,65
Earlsfort Terrace,14,11,Monday,02/04/2018 11:02,70
Earlsfort Terrace,14,12,Monday,02/04/2018 12:03,70
Earlsfort Terrace,14,13,Monday,02/04/2018 13:04,70
Earlsfort Terrace,13,14,Monday,02/04/2018 14:01,60
Earlsfort Terrace,13,15,Monday,02/04/2018 15:02,60
Earlsfort Terrace,11,16,Monday,02/04/2018 16:13,60
Earlsfort Terrace,10,17,Monday,02/04/2018 17:04,50
Earlsfort Terrace,9,18,Monday,02/04/2018 18:01,40
Earlsfort Terrace,10,19,Monday,02/04/2018 19:01,0
