address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Eccles Street East,27,6,Thursday,29/03/2018 06:08,0
Eccles Street East,20,7,Thursday,29/03/2018 07:04,0
Eccles Street East,5,8,Thursday,29/03/2018 08:05,0
Eccles Street East,1,9,Thursday,29/03/2018 09:04,0
Eccles Street East,1,10,Thursday,29/03/2018 10:06,0
Eccles Street East,0,11,Thursday,29/03/2018 11:07,10
Eccles Street East,2,12,Thursday,29/03/2018 12:05,30
Eccles Street East,1,13,Thursday,29/03/2018 13:06,30
Eccles Street East,1,14,Thursday,29/03/2018 14:09,45
Eccles Street East,1,15,Thursday,29/03/2018 15:04,40
Eccles Street East,1,16,Thursday,29/03/2018 16:02,30
Eccles Street East,1,17,Thursday,29/03/2018 17:02,30
Eccles Street East,2,18,Thursday,29/03/2018 18:01,30
Eccles Street East,0,19,Thursday,29/03/2018 19:06,40
Eccles Street East,0,20,Thursday,29/03/2018 20:04,30
Eccles Street East,0,21,Thursday,29/03/2018 21:05,25
Eccles Street East,0,22,Thursday,29/03/2018 22:06,30
Eccles Street East,0,23,Thursday,29/03/2018 23:07,40
Eccles Street East,23,6,Friday,30/03/2018 06:08,0
Eccles Street East,26,7,Friday,30/03/2018 07:04,0
Eccles Street East,26,8,Friday,30/03/2018 08:01,0
Eccles Street East,25,9,Friday,30/03/2018 09:01,0
Eccles Street East,24,10,Friday,30/03/2018 10:08,20
Eccles Street East,21,11,Friday,30/03/2018 11:00,20
Eccles Street East,20,12,Friday,30/03/2018 12:02,20
Eccles Street East,19,13,Friday,30/03/2018 13:03,20
Eccles Street East,19,14,Friday,30/03/2018 14:06,20
Eccles Street East,18,15,Friday,30/03/2018 15:09,0
Eccles Street East,16,16,Friday,30/03/2018 16:05,0
Eccles Street East,13,17,Friday,30/03/2018 17:06,20
Eccles Street East,12,18,Friday,30/03/2018 18:02,0
Eccles Street East,11,19,Friday,30/03/2018 19:09,0
Eccles Street East,11,20,Friday,30/03/2018 20:09,0
Eccles Street East,11,21,Friday,30/03/2018 21:01,0
Eccles Street East,11,22,Friday,30/03/2018 22:02,0
Eccles Street East,11,23,Friday,30/03/2018 23:03,0
Eccles Street East,13,6,Saturday,31/03/2018 06:08,0
Eccles Street East,14,7,Saturday,31/03/2018 07:09,0
Eccles Street East,13,8,Saturday,31/03/2018 08:04,0
Eccles Street East,13,9,Saturday,31/03/2018 09:05,0
Eccles Street East,13,10,Saturday,31/03/2018 10:00,0
Eccles Street East,12,11,Saturday,31/03/2018 11:01,0
Eccles Street East,11,12,Saturday,31/03/2018 12:09,0
Eccles Street East,12,13,Saturday,31/03/2018 13:05,0
Eccles Street East,11,14,Saturday,31/03/2018 14:03,0
Eccles Street East,11,15,Saturday,31/03/2018 15:04,0
Eccles Street East,11,16,Saturday,31/03/2018 16:09,0
Eccles Street East,12,17,Saturday,31/03/2018 17:00,0
Eccles Street East,10,18,Saturday,31/03/2018 18:09,0
