address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Emmet Road,28,6,Thursday,29/03/2018 06:01,0
Emmet Road,11,7,Thursday,29/03/2018 07:05,0
Emmet Road,0,8,Thursday,29/03/2018 08:03,0
Emmet Road,0,9,Thursday,29/03/2018 09:04,0
Emmet Road,0,10,Thursday,29/03/2018 10:02,0
Emmet Road,0,11,Thursday,29/03/2018 11:05,10
Emmet Road,0,12,Thursday,29/03/2018 12:08,30
Emmet Road,2,13,Thursday,29/03/2018 13:09,30
Emmet Road,2,14,Thursday,29/03/2018 14:09,45
Emmet Road,3,15,Thursday,29/03/2018 15:00,40
Emmet Road,8,16,Thursday,29/03/2018 16:06,30
Emmet Road,14,17,Thursday,29/03/2018 17:04,30
Emmet Road,16,18,Thursday,29/03/2018 18:08,30
Emmet Road,16,19,Thursday,29/03/2018 19:04,40
Emmet Road,16,20,Thursday,29/03/2018 20:05,30
Emmet Road,20,21,Thursday,29/03/2018 21:02,25
Emmet Road,21,22,Thursday,29/03/2018 22:08,30
Emmet Road,23,23,Thursday,29/03/2018 23:06,40
Emmet Road,18,6,Friday,30/03/2018 06:04,0
Emmet Road,14,7,Friday,30/03/2018 07:04,0
Emmet Road,12,8,Friday,30/03/2018 08:05,0
Emmet Road,10,9,Friday,30/03/2018 09:09,0
Emmet Road,10,10,Friday,30/03/2018 10:00,20
Emmet Road,10,11,Friday,30/03/2018 11:04,20
Emmet Road,7,12,Friday,30/03/2018 12:05,20
Emmet Road,7,13,Friday,30/03/2018 13:05,20
Emmet Road,7,14,Friday,30/03/2018 14:01,20
Emmet Road,6,15,Friday,30/03/2018 15:05,0
Emmet Road,4,16,Friday,30/03/2018 16:03,0
Emmet Road,12,17,Friday,30/03/2018 17:04,20
Emmet Road,22,18,Friday,30/03/2018 18:03,0
Emmet Road,23,19,Friday,30/03/2018 19:08,0
Emmet Road,25,20,Friday,30/03/2018 20:04,0
Emmet Road,24,21,Friday,30/03/2018 21:01,0
Emmet Road,23,22,Friday,30/03/2018 22:05,0
Emmet Road,24,23,Friday,30/03/2018 23:05,0
Emmet Road,22,6,Saturday,31/03/2018 06:09,0
Emmet Road,22,7,Saturday,31/03/2018 07:01,0
Emmet Road,20,8,Saturday,31/03/2018 08:09,0
Emmet Road,17,9,Saturday,31/03/2018 09:01,0
Emmet Road,15,10,Saturday,31/03/2018 10:00,0
Emmet Road,15,11,Saturday,31/03/2018 11:02,0
Emmet Road,14,12,Saturday,31/03/2018 12:13,0
Emmet Road,13,13,Saturday,31/03/2018 13:02,0
Emmet Road,10,14,Saturday,31/03/2018 14:09,0
Emmet Road,11,15,Saturday,31/03/2018 15:00,0
Emmet Road,14,16,Saturday,31/03/2018 16:07,0
Emmet Road,12,17,Saturday,31/03/2018 17:01,0
Emmet Road,11,18,Saturday,31/03/2018 18:01,0
Emmet Road,13,19,Saturday,31/03/2018 19:02,0
Emmet Road,13,20,Saturday,31/03/2018 20:08,0
Emmet Road,13,21,Saturday,31/03/2018 21:01,0
Emmet Road,14,22,Saturday,31/03/2018 22:02,0
Emmet Road,14,23,Saturday,31/03/2018 23:05,0
Emmet Road,12,6,Sunday,01/04/2018 06:03,30
Emmet Road,13,7,Sunday,01/04/2018 07:08,30
Emmet Road,11,8,Sunday,01/04/2018 08:02,0
Emmet Road,9,9,Sunday,01/04/2018 09:02,0
Emmet Road,5,10,Sunday,01/04/2018 10:00,0
Emmet Road,3,11,Sunday,01/04/2018 11:03,0
Emmet Road,2,12,Sunday,01/04/2018 12:02,0
Emmet Road,1,13,Sunday,01/04/2018 13:04,0
Emmet Road,0,14,Sunday,01/04/2018 14:05,0
Emmet Road,0,15,Sunday,01/04/2018 15:02,0
Emmet Road,0,16,Sunday,01/04/2018 16:03,0
Emmet Road,1,17,Sunday,01/04/2018 17:00,0
Emmet Road,0,18,Sunday,01/04/2018 18:01,0
Emmet Road,2,19,Sunday,01/04/2018 19:05,0
Emmet Road,6,20,Sunday,01/04/2018 20:05,45
Emmet Road,6,21,Sunday,01/04/2018 21:04,50
Emmet Road,6,22,Sunday,01/04/2018 22:00,50
Emmet Road,6,23,Sunday,01/04/2018 23:03,60
Emmet Road,2,6,Monday,02/04/2018 06:03,70
Emmet Road,0,7,Monday,02/04/2018 07:01,70
