address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Fitzwilliam Square East,0,6,Thursday,29/03/2018 06:05,0
Fitzwilliam Square East,0,7,Thursday,29/03/2018 07:06,0
Fitzwilliam Square East,0,8,Thursday,29/03/2018 08:07,0
Fitzwilliam Square East,0,9,Thursday,29/03/2018 09:08,0
Fitzwilliam Square East,0,10,Thursday,29/03/2018 10:09,0
Fitzwilliam Square East,0,11,Thursday,29/03/2018 11:00,10
Fitzwilliam Square East,0,12,Thursday,29/03/2018 12:01,30
Fitzwilliam Square East,0,13,Thursday,29/03/2018 13:02,30
Fitzwilliam Square East,0,14,Thursday,29/03/2018 14:03,45
Fitzwilliam Square East,0,15,Thursday,29/03/2018 15:04,40
Fitzwilliam Square East,0,16,Thursday,29/03/2018 16:05,30
Fitzwilliam Square East,0,17,Thursday,29/03/2018 17:06,30
Fitzwilliam Square East,0,18,Thursday,29/03/2018 18:07,30
Fitzwilliam Square East,0,19,Thursday,29/03/2018 19:08,40
Fitzwilliam Square East,0,20,Thursday,29/03/2018 20:09,30
Fitzwilliam Square East,0,21,Thursday,29/03/2018 21:00,25
Fitzwilliam Square East,0,22,Thursday,29/03/2018 22:01,30
Fitzwilliam Square East,0,23,Thursday,29/03/2018 23:02,40
Fitzwilliam Square East,0,6,Friday,30/03/2018 06:05,0
Fitzwilliam Square East,0,7,Friday,30/03/2018 07:06,0
Fitzwilliam Square East,0,8,Friday,30/03/2018 08:07,0
Fitzwilliam Square East,0,9,Friday,30/03/2018 09:08,0
Fitzwilliam Square East,0,10,Friday,30/03/2018 10:09,20
Fitzwilliam Square East,0,11,Friday,30/03/2018 11:00,20
Fitzwilliam Square East,0,12,Friday,30/03/2018 12:01,20
Fitzwilliam Square East,0,13,Friday,30/03/2018 13:01,20
Fitzwilliam Square East,0,14,Friday,30/03/2018 14:02,20
Fitzwilliam Square East,0,15,Friday,30/03/2018 15:03,0
Fitzwilliam Square East,0,16,Friday,30/03/2018 16:04,0
Fitzwilliam Square East,0,17,Friday,30/03/2018 17:05,20
Fitzwilliam Square East,0,18,Friday,30/03/2018 18:06,0
Fitzwilliam Square East,0,19,Friday,30/03/2018 19:07,0
Fitzwilliam Square East,0,20,Friday,30/03/2018 20:08,0
Fitzwilliam Square East,0,21,Friday,30/03/2018 21:09,0
Fitzwilliam Square East,0,22,Friday,30/03/2018 22:10,0
Fitzwilliam Square East,0,23,Friday,30/03/2018 23:00,0
Fitzwilliam Square East,0,6,Saturday,31/03/2018 06:05,0
Fitzwilliam Square East,0,7,Saturday,31/03/2018 07:06,0
Fitzwilliam Square East,0,8,Saturday,31/03/2018 08:08,0
Fitzwilliam Square East,0,9,Saturday,31/03/2018 09:09,0
Fitzwilliam Square East,0,10,Saturday,31/03/2018 10:10,0
Fitzwilliam Square East,0,11,Saturday,31/03/2018 11:00,0
Fitzwilliam Square East,0,12,Saturday,31/03/2018 12:01,0
Fitzwilliam Square East,0,13,Saturday,31/03/2018 13:02,0
Fitzwilliam Square East,0,14,Saturday,31/03/2018 14:03,0
Fitzwilliam Square East,0,15,Saturday,31/03/2018 15:04,0
Fitzwilliam Square East,0,16,Saturday,31/03/2018 16:05,0
Fitzwilliam Square East,0,17,Saturday,31/03/2018 17:06,0
Fitzwilliam Square East,0,18,Saturday,31/03/2018 18:07,0
Fitzwilliam Square East,0,19,Saturday,31/03/2018 19:08,0
Fitzwilliam Square East,0,20,Saturday,31/03/2018 20:09,0
Fitzwilliam Square East,0,21,Saturday,31/03/2018 21:00,0
Fitzwilliam Square East,0,22,Saturday,31/03/2018 22:01,0
Fitzwilliam Square East,0,23,Saturday,31/03/2018 23:02,0
Fitzwilliam Square East,0,6,Sunday,01/04/2018 06:05,30
Fitzwilliam Square East,0,7,Sunday,01/04/2018 07:06,30
Fitzwilliam Square East,0,8,Sunday,01/04/2018 08:07,0
Fitzwilliam Square East,0,9,Sunday,01/04/2018 09:08,0
Fitzwilliam Square East,0,10,Sunday,01/04/2018 10:09,0
Fitzwilliam Square East,0,11,Sunday,01/04/2018 11:10,0
Fitzwilliam Square East,0,12,Sunday,01/04/2018 12:00,0
Fitzwilliam Square East,0,13,Sunday,01/04/2018 13:01,0
Fitzwilliam Square East,0,14,Sunday,01/04/2018 14:02,0
Fitzwilliam Square East,0,15,Sunday,01/04/2018 15:03,0
Fitzwilliam Square East,0,16,Sunday,01/04/2018 16:04,0
Fitzwilliam Square East,0,17,Sunday,01/04/2018 17:05,0
Fitzwilliam Square East,0,18,Sunday,01/04/2018 18:06,0
Fitzwilliam Square East,0,19,Sunday,01/04/2018 19:07,0
Fitzwilliam Square East,0,20,Sunday,01/04/2018 20:08,45
Fitzwilliam Square East,0,21,Sunday,01/04/2018 21:09,50
Fitzwilliam Square East,0,22,Sunday,01/04/2018 22:10,50
Fitzwilliam Square East,0,23,Sunday,01/04/2018 23:00,60
Fitzwilliam Square East,0,6,Monday,02/04/2018 06:05,70
Fitzwilliam Square East,0,7,Monday,02/04/2018 07:06,70
Fitzwilliam Square East,0,8,Monday,02/04/2018 08:07,60
Fitzwilliam Square East,0,9,Monday,02/04/2018 09:08,70
Fitzwilliam Square East,0,10,Monday,02/04/2018 10:08,65
Fitzwilliam Square East,0,11,Monday,02/04/2018 11:09,70
Fitzwilliam Square East,0,12,Monday,02/04/2018 12:00,70
Fitzwilliam Square East,0,13,Monday,02/04/2018 13:01,70
Fitzwilliam Square East,0,14,Monday,02/04/2018 14:02,60
Fitzwilliam Square East,0,15,Monday,02/04/2018 15:03,60
Fitzwilliam Square East,0,16,Monday,02/04/2018 16:04,60
Fitzwilliam Square East,0,17,Monday,02/04/2018 17:05,50
Fitzwilliam Square East,0,18,Monday,02/04/2018 18:06,40
Fitzwilliam Square East,0,19,Monday,02/04/2018 19:07,0
Fitzwilliam Square East,0,20,Monday,02/04/2018 20:07,0
Fitzwilliam Square East,0,21,Monday,02/04/2018 21:01,40
Fitzwilliam Square East,0,22,Monday,02/04/2018 22:02,50
Fitzwilliam Square East,0,23,Monday,02/04/2018 23:03,60
Fitzwilliam Square East,0,6,Tuesday,03/04/2018 06:05,0
Fitzwilliam Square East,0,7,Tuesday,03/04/2018 07:06,20
Fitzwilliam Square East,0,8,Tuesday,03/04/2018 08:07,20
Fitzwilliam Square East,0,9,Tuesday,03/04/2018 09:08,0
Fitzwilliam Square East,0,10,Tuesday,03/04/2018 10:09,0
Fitzwilliam Square East,0,11,Tuesday,03/04/2018 11:10,0
Fitzwilliam Square East,0,12,Tuesday,03/04/2018 12:00,30
Fitzwilliam Square East,0,13,Tuesday,03/04/2018 13:01,40
Fitzwilliam Square East,0,14,Tuesday,03/04/2018 14:02,20
Fitzwilliam Square East,0,15,Tuesday,03/04/2018 15:03,20
Fitzwilliam Square East,0,16,Tuesday,03/04/2018 16:04,30
