address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grand Canal Dock",28,6,Thursday,"2018-03-29 06:03:49"
"Grand Canal Dock",33,7,Thursday,"2018-03-29 07:04:42"
"Grand Canal Dock",39,8,Thursday,"2018-03-29 08:00:34"
"Grand Canal Dock",40,9,Thursday,"2018-03-29 09:00:28"
"Grand Canal Dock",40,10,Thursday,"2018-03-29 10:00:00"
"Grand Canal Dock",39,11,Thursday,"2018-03-29 11:01:33"
"Grand Canal Dock",34,12,Thursday,"2018-03-29 12:01:25"
"Grand Canal Dock",33,13,Thursday,"2018-03-29 13:06:30"
"Grand Canal Dock",37,14,Thursday,"2018-03-29 14:00:45"
"Grand Canal Dock",32,15,Thursday,"2018-03-29 15:01:59"
"Grand Canal Dock",7,16,Thursday,"2018-03-29 16:02:26"
"Grand Canal Dock",2,17,Thursday,"2018-03-29 17:00:00"
"Grand Canal Dock",1,18,Thursday,"2018-03-29 18:03:06"
"Grand Canal Dock",1,19,Thursday,"2018-03-29 19:02:57"
"Grand Canal Dock",3,20,Thursday,"2018-03-29 20:07:55"
"Grand Canal Dock",4,21,Thursday,"2018-03-29 21:00:15"
"Grand Canal Dock",5,22,Thursday,"2018-03-29 22:02:10"
"Grand Canal Dock",6,23,Thursday,"2018-03-29 23:02:22"
"Grand Canal Dock",9,6,Friday,"2018-03-30 06:09:01"
"Grand Canal Dock",6,7,Friday,"2018-03-30 07:11:27"
"Grand Canal Dock",2,8,Friday,"2018-03-30 08:11:16"
"Grand Canal Dock",1,9,Friday,"2018-03-30 09:06:43"
"Grand Canal Dock",3,10,Friday,"2018-03-30 10:03:51"
"Grand Canal Dock",12,11,Friday,"2018-03-30 11:02:19"
"Grand Canal Dock",11,12,Friday,"2018-03-30 12:03:36"
"Grand Canal Dock",7,13,Friday,"2018-03-30 13:02:05"
"Grand Canal Dock",2,14,Friday,"2018-03-30 14:01:12"
"Grand Canal Dock",5,15,Friday,"2018-03-30 15:08:35"
"Grand Canal Dock",7,16,Friday,"2018-03-30 16:02:44"
"Grand Canal Dock",5,17,Friday,"2018-03-30 17:04:27"
"Grand Canal Dock",9,18,Friday,"2018-03-30 18:15:28"
"Grand Canal Dock",7,19,Friday,"2018-03-30 19:04:20"
"Grand Canal Dock",6,20,Friday,"2018-03-30 20:05:16"
"Grand Canal Dock",8,21,Friday,"2018-03-30 21:06:52"
"Grand Canal Dock",8,22,Friday,"2018-03-30 22:08:36"
"Grand Canal Dock",6,23,Friday,"2018-03-30 23:04:57"
"Grand Canal Dock",10,6,Saturday,"2018-03-31 06:02:52"
"Grand Canal Dock",12,7,Saturday,"2018-03-31 07:09:37"
"Grand Canal Dock",13,8,Saturday,"2018-03-31 08:04:07"
"Grand Canal Dock",11,9,Saturday,"2018-03-31 09:03:55"
"Grand Canal Dock",8,10,Saturday,"2018-03-31 10:04:15"
"Grand Canal Dock",3,11,Saturday,"2018-03-31 11:07:25"
"Grand Canal Dock",5,12,Saturday,"2018-03-31 12:01:10"
"Grand Canal Dock",5,13,Saturday,"2018-03-31 13:01:50"
"Grand Canal Dock",4,14,Saturday,"2018-03-31 14:04:16"
"Grand Canal Dock",4,15,Saturday,"2018-03-31 15:03:16"
"Grand Canal Dock",2,16,Saturday,"2018-03-31 16:01:27"
"Grand Canal Dock",2,17,Saturday,"2018-03-31 17:01:27"
"Grand Canal Dock",6,18,Saturday,"2018-03-31 18:05:32"
"Grand Canal Dock",8,19,Saturday,"2018-03-31 19:01:36"
"Grand Canal Dock",11,20,Saturday,"2018-03-31 20:09:18"
"Grand Canal Dock",11,21,Saturday,"2018-03-31 21:01:20"
"Grand Canal Dock",13,22,Saturday,"2018-03-31 22:05:00"
"Grand Canal Dock",17,23,Saturday,"2018-03-31 23:00:15"
"Grand Canal Dock",18,6,Sunday,"2018-04-01 06:02:46"
"Grand Canal Dock",19,7,Sunday,"2018-04-01 07:01:24"
"Grand Canal Dock",19,8,Sunday,"2018-04-01 08:02:25"
"Grand Canal Dock",18,9,Sunday,"2018-04-01 09:07:31"
"Grand Canal Dock",16,10,Sunday,"2018-04-01 10:00:43"
"Grand Canal Dock",18,11,Sunday,"2018-04-01 11:09:56"
"Grand Canal Dock",21,12,Sunday,"2018-04-01 12:06:25"
"Grand Canal Dock",25,13,Sunday,"2018-04-01 13:01:11"
"Grand Canal Dock",28,14,Sunday,"2018-04-01 14:01:21"
"Grand Canal Dock",26,15,Sunday,"2018-04-01 15:05:50"
"Grand Canal Dock",25,16,Sunday,"2018-04-01 16:08:12"
"Grand Canal Dock",25,17,Sunday,"2018-04-01 17:01:29"
"Grand Canal Dock",20,18,Sunday,"2018-04-01 18:05:38"
"Grand Canal Dock",19,19,Sunday,"2018-04-01 19:07:28"
"Grand Canal Dock",17,20,Sunday,"2018-04-01 20:05:43"
"Grand Canal Dock",18,21,Sunday,"2018-04-01 21:02:13"
