address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grangegorman Lower (South)",0,6,Thursday,"2018-03-29 06:02:28"
"Grangegorman Lower (South)",1,7,Thursday,"2018-03-29 07:03:22"
"Grangegorman Lower (South)",2,8,Thursday,"2018-03-29 08:06:53"
"Grangegorman Lower (South)",4,9,Thursday,"2018-03-29 09:03:45"
"Grangegorman Lower (South)",4,10,Thursday,"2018-03-29 10:04:43"
"Grangegorman Lower (South)",4,11,Thursday,"2018-03-29 11:09:44"
"Grangegorman Lower (South)",1,12,Thursday,"2018-03-29 12:04:16"
"Grangegorman Lower (South)",3,13,Thursday,"2018-03-29 13:09:56"
"Grangegorman Lower (South)",4,14,Thursday,"2018-03-29 14:05:33"
"Grangegorman Lower (South)",5,15,Thursday,"2018-03-29 15:10:01"
"Grangegorman Lower (South)",4,16,Thursday,"2018-03-29 16:06:17"
"Grangegorman Lower (South)",3,17,Thursday,"2018-03-29 17:05:23"
"Grangegorman Lower (South)",2,18,Thursday,"2018-03-29 18:05:28"
"Grangegorman Lower (South)",2,19,Thursday,"2018-03-29 19:06:26"
"Grangegorman Lower (South)",2,20,Thursday,"2018-03-29 20:07:25"
"Grangegorman Lower (South)",2,21,Thursday,"2018-03-29 21:04:59"
"Grangegorman Lower (South)",2,22,Thursday,"2018-03-29 22:05:53"
"Grangegorman Lower (South)",2,23,Thursday,"2018-03-29 23:06:48"
"Grangegorman Lower (South)",2,6,Friday,"2018-03-30 06:02:23"
"Grangegorman Lower (South)",3,7,Friday,"2018-03-30 07:03:21"
"Grangegorman Lower (South)",3,8,Friday,"2018-03-30 08:00:01"
"Grangegorman Lower (South)",2,9,Friday,"2018-03-30 09:00:17"
"Grangegorman Lower (South)",2,10,Friday,"2018-03-30 10:01:12"
"Grangegorman Lower (South)",2,11,Friday,"2018-03-30 11:02:09"
"Grangegorman Lower (South)",1,12,Friday,"2018-03-30 12:07:04"
"Grangegorman Lower (South)",3,13,Friday,"2018-03-30 13:08:07"
"Grangegorman Lower (South)",6,14,Friday,"2018-03-30 14:02:43"
"Grangegorman Lower (South)",6,15,Friday,"2018-03-30 15:06:25"
"Grangegorman Lower (South)",6,16,Friday,"2018-03-30 16:07:20"
"Grangegorman Lower (South)",6,17,Friday,"2018-03-30 17:02:19"
"Grangegorman Lower (South)",6,18,Friday,"2018-03-30 18:08:50"
"Grangegorman Lower (South)",6,19,Friday,"2018-03-30 19:09:48"
"Grangegorman Lower (South)",5,20,Friday,"2018-03-30 20:07:34"
"Grangegorman Lower (South)",5,21,Friday,"2018-03-30 21:08:29"
"Grangegorman Lower (South)",5,22,Friday,"2018-03-30 22:09:24"
"Grangegorman Lower (South)",5,23,Friday,"2018-03-30 23:00:10"
"Grangegorman Lower (South)",5,6,Saturday,"2018-03-31 06:02:11"
"Grangegorman Lower (South)",5,7,Saturday,"2018-03-31 07:03:05"
"Grangegorman Lower (South)",5,8,Saturday,"2018-03-31 08:03:59"
"Grangegorman Lower (South)",5,9,Saturday,"2018-03-31 09:04:53"
"Grangegorman Lower (South)",5,10,Saturday,"2018-03-31 10:05:47"
"Grangegorman Lower (South)",5,11,Saturday,"2018-03-31 11:06:40"
"Grangegorman Lower (South)",5,12,Saturday,"2018-03-31 12:07:35"
"Grangegorman Lower (South)",5,13,Saturday,"2018-03-31 13:08:29"
"Grangegorman Lower (South)",4,14,Saturday,"2018-03-31 14:08:25"
"Grangegorman Lower (South)",3,15,Saturday,"2018-03-31 15:02:51"
"Grangegorman Lower (South)",3,16,Saturday,"2018-03-31 16:03:45"
"Grangegorman Lower (South)",3,17,Saturday,"2018-03-31 17:04:40"
"Grangegorman Lower (South)",3,18,Saturday,"2018-03-31 18:00:15"
"Grangegorman Lower (South)",3,19,Saturday,"2018-03-31 19:02:45"
"Grangegorman Lower (South)",3,20,Saturday,"2018-03-31 20:03:41"
"Grangegorman Lower (South)",3,21,Saturday,"2018-03-31 21:04:32"
"Grangegorman Lower (South)",3,22,Saturday,"2018-03-31 22:05:22"
"Grangegorman Lower (South)",3,23,Saturday,"2018-03-31 23:06:15"
"Grangegorman Lower (South)",3,6,Sunday,"2018-04-01 06:02:31"
"Grangegorman Lower (South)",3,7,Sunday,"2018-04-01 07:03:27"
"Grangegorman Lower (South)",3,8,Sunday,"2018-04-01 08:04:18"
"Grangegorman Lower (South)",2,9,Sunday,"2018-04-01 09:00:20"
"Grangegorman Lower (South)",2,10,Sunday,"2018-04-01 10:01:36"
"Grangegorman Lower (South)",2,11,Sunday,"2018-04-01 11:02:30"
"Grangegorman Lower (South)",3,12,Sunday,"2018-04-01 12:03:36"
"Grangegorman Lower (South)",4,13,Sunday,"2018-04-01 13:04:14"
"Grangegorman Lower (South)",4,14,Sunday,"2018-04-01 14:05:09"
"Grangegorman Lower (South)",4,15,Sunday,"2018-04-01 15:06:02"
"Grangegorman Lower (South)",4,16,Sunday,"2018-04-01 16:06:58"
"Grangegorman Lower (South)",4,17,Sunday,"2018-04-01 17:07:51"
"Grangegorman Lower (South)",3,18,Sunday,"2018-04-01 18:01:42"
"Grangegorman Lower (South)",2,19,Sunday,"2018-04-01 19:07:45"
"Grangegorman Lower (South)",2,20,Sunday,"2018-04-01 20:08:36"
