address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grantham Street",10,6,Thursday,"2018-03-29 06:09:20"
"Grantham Street",3,7,Thursday,"2018-03-29 07:05:10"
"Grantham Street",4,8,Thursday,"2018-03-29 08:03:51"
"Grantham Street",6,9,Thursday,"2018-03-29 09:06:41"
"Grantham Street",2,10,Thursday,"2018-03-29 10:05:03"
"Grantham Street",1,11,Thursday,"2018-03-29 11:05:33"
"Grantham Street",0,12,Thursday,"2018-03-29 12:06:38"
"Grantham Street",2,13,Thursday,"2018-03-29 13:09:22"
"Grantham Street",5,14,Thursday,"2018-03-29 14:00:22"
"Grantham Street",2,15,Thursday,"2018-03-29 15:03:19"
"Grantham Street",2,16,Thursday,"2018-03-29 16:01:22"
"Grantham Street",5,17,Thursday,"2018-03-29 17:01:14"
"Grantham Street",11,18,Thursday,"2018-03-29 18:03:37"
"Grantham Street",10,19,Thursday,"2018-03-29 19:02:17"
"Grantham Street",7,20,Thursday,"2018-03-29 20:05:05"
"Grantham Street",19,21,Thursday,"2018-03-29 21:08:36"
"Grantham Street",20,22,Thursday,"2018-03-29 22:07:14"
"Grantham Street",20,23,Thursday,"2018-03-29 23:07:00"
"Grantham Street",20,6,Friday,"2018-03-30 06:00:57"
"Grantham Street",18,7,Friday,"2018-03-30 07:01:13"
"Grantham Street",14,8,Friday,"2018-03-30 08:01:17"
"Grantham Street",14,9,Friday,"2018-03-30 09:02:16"
"Grantham Street",15,10,Friday,"2018-03-30 10:03:39"
"Grantham Street",10,11,Friday,"2018-03-30 11:01:42"
"Grantham Street",7,12,Friday,"2018-03-30 12:01:19"
"Grantham Street",12,13,Friday,"2018-03-30 13:00:33"
"Grantham Street",11,14,Friday,"2018-03-30 14:01:23"
"Grantham Street",8,15,Friday,"2018-03-30 15:09:04"
"Grantham Street",8,16,Friday,"2018-03-30 16:02:28"
"Grantham Street",12,17,Friday,"2018-03-30 17:04:38"
"Grantham Street",21,18,Friday,"2018-03-30 18:04:08"
"Grantham Street",24,19,Friday,"2018-03-30 19:09:28"
"Grantham Street",20,20,Friday,"2018-03-30 20:01:20"
"Grantham Street",18,21,Friday,"2018-03-30 21:01:34"
"Grantham Street",18,22,Friday,"2018-03-30 22:07:57"
"Grantham Street",17,23,Friday,"2018-03-30 23:04:15"
"Grantham Street",14,6,Saturday,"2018-03-31 06:09:25"
"Grantham Street",12,7,Saturday,"2018-03-31 07:00:41"
"Grantham Street",10,8,Saturday,"2018-03-31 08:03:23"
"Grantham Street",11,9,Saturday,"2018-03-31 09:05:40"
"Grantham Street",11,10,Saturday,"2018-03-31 10:09:28"
"Grantham Street",6,11,Saturday,"2018-03-31 11:03:36"
"Grantham Street",3,12,Saturday,"2018-03-31 12:05:50"
"Grantham Street",4,13,Saturday,"2018-03-31 13:02:05"
"Grantham Street",5,14,Saturday,"2018-03-31 14:04:28"
"Grantham Street",6,15,Saturday,"2018-03-31 15:08:56"
"Grantham Street",9,16,Saturday,"2018-03-31 16:04:14"
"Grantham Street",10,17,Saturday,"2018-03-31 17:06:29"
"Grantham Street",4,18,Saturday,"2018-03-31 18:05:20"
"Grantham Street",5,19,Saturday,"2018-03-31 19:00:08"
"Grantham Street",6,20,Saturday,"2018-03-31 20:05:00"
"Grantham Street",8,21,Saturday,"2018-03-31 21:00:38"
"Grantham Street",8,22,Saturday,"2018-03-31 22:09:08"
"Grantham Street",12,23,Saturday,"2018-03-31 23:06:17"
"Grantham Street",11,6,Sunday,"2018-04-01 06:06:40"
"Grantham Street",9,7,Sunday,"2018-04-01 07:00:42"
"Grantham Street",6,8,Sunday,"2018-04-01 08:07:20"
"Grantham Street",5,9,Sunday,"2018-04-01 09:02:40"
"Grantham Street",2,10,Sunday,"2018-04-01 10:08:37"
"Grantham Street",1,11,Sunday,"2018-04-01 11:03:40"
"Grantham Street",1,12,Sunday,"2018-04-01 12:05:30"
"Grantham Street",0,13,Sunday,"2018-04-01 13:04:30"
"Grantham Street",4,14,Sunday,"2018-04-01 14:00:32"
"Grantham Street",17,15,Sunday,"2018-04-01 15:00:21"
"Grantham Street",19,16,Sunday,"2018-04-01 16:06:14"
"Grantham Street",27,17,Sunday,"2018-04-01 17:01:09"
