address,round(avg(available_bikes)),HOUR,DOW,last_update
"Grattan Street",9,6,Thursday,"2018-03-29 06:02:38"
"Grattan Street",20,7,Thursday,"2018-03-29 07:05:35"
"Grattan Street",21,8,Thursday,"2018-03-29 08:05:20"
"Grattan Street",21,9,Thursday,"2018-03-29 09:07:49"
"Grattan Street",21,10,Thursday,"2018-03-29 10:07:59"
"Grattan Street",21,11,Thursday,"2018-03-29 11:04:07"
"Grattan Street",20,12,Thursday,"2018-03-29 12:04:55"
"Grattan Street",18,13,Thursday,"2018-03-29 13:01:31"
"Grattan Street",19,14,Thursday,"2018-03-29 14:00:46"
"Grattan Street",12,15,Thursday,"2018-03-29 15:02:23"
"Grattan Street",8,16,Thursday,"2018-03-29 16:01:31"
"Grattan Street",9,17,Thursday,"2018-03-29 17:02:10"
"Grattan Street",6,18,Thursday,"2018-03-29 18:03:34"
"Grattan Street",4,19,Thursday,"2018-03-29 19:08:17"
"Grattan Street",4,20,Thursday,"2018-03-29 20:01:11"
"Grattan Street",4,21,Thursday,"2018-03-29 21:02:13"
"Grattan Street",5,22,Thursday,"2018-03-29 22:08:28"
"Grattan Street",5,23,Thursday,"2018-03-29 23:09:31"
"Grattan Street",7,6,Friday,"2018-03-30 06:08:49"
"Grattan Street",5,7,Friday,"2018-03-30 07:02:00"
"Grattan Street",4,8,Friday,"2018-03-30 08:08:19"
"Grattan Street",5,9,Friday,"2018-03-30 09:09:15"
"Grattan Street",6,10,Friday,"2018-03-30 10:05:49"
"Grattan Street",5,11,Friday,"2018-03-30 11:00:58"
"Grattan Street",3,12,Friday,"2018-03-30 12:01:16"
"Grattan Street",1,13,Friday,"2018-03-30 13:05:13"
"Grattan Street",2,14,Friday,"2018-03-30 14:03:36"
"Grattan Street",2,15,Friday,"2018-03-30 15:04:31"
"Grattan Street",3,16,Friday,"2018-03-30 16:08:58"
"Grattan Street",2,17,Friday,"2018-03-30 17:01:03"
"Grattan Street",0,18,Friday,"2018-03-30 18:05:37"
"Grattan Street",1,19,Friday,"2018-03-30 19:07:20"
"Grattan Street",2,20,Friday,"2018-03-30 20:07:09"
