address,round(avg(available_bikes)),HOUR,DOW,last_update
"Greek Street",4,6,Thursday,"2018-03-29 06:00:36"
"Greek Street",4,7,Thursday,"2018-03-29 07:04:50"
"Greek Street",2,8,Thursday,"2018-03-29 08:04:58"
"Greek Street",2,9,Thursday,"2018-03-29 09:04:58"
"Greek Street",2,10,Thursday,"2018-03-29 10:07:43"
"Greek Street",1,11,Thursday,"2018-03-29 11:06:12"
"Greek Street",1,12,Thursday,"2018-03-29 12:05:15"
"Greek Street",3,13,Thursday,"2018-03-29 13:10:39"
"Greek Street",5,14,Thursday,"2018-03-29 14:10:09"
"Greek Street",2,15,Thursday,"2018-03-29 15:01:23"
"Greek Street",0,16,Thursday,"2018-03-29 16:05:39"
"Greek Street",1,17,Thursday,"2018-03-29 17:06:36"
"Greek Street",0,18,Thursday,"2018-03-29 18:05:56"
"Greek Street",2,19,Thursday,"2018-03-29 19:03:16"
"Greek Street",3,20,Thursday,"2018-03-29 20:04:36"
"Greek Street",3,21,Thursday,"2018-03-29 21:05:34"
"Greek Street",3,22,Thursday,"2018-03-29 22:06:34"
"Greek Street",1,23,Thursday,"2018-03-29 23:04:07"
"Greek Street",0,6,Friday,"2018-03-30 06:05:50"
"Greek Street",0,7,Friday,"2018-03-30 07:05:40"
"Greek Street",0,8,Friday,"2018-03-30 08:01:33"
"Greek Street",1,9,Friday,"2018-03-30 09:03:45"
"Greek Street",2,10,Friday,"2018-03-30 10:00:23"
"Greek Street",3,11,Friday,"2018-03-30 11:09:23"
"Greek Street",1,12,Friday,"2018-03-30 12:06:55"
"Greek Street",3,13,Friday,"2018-03-30 13:08:02"
"Greek Street",4,14,Friday,"2018-03-30 14:07:27"
"Greek Street",5,15,Friday,"2018-03-30 15:04:33"
"Greek Street",4,16,Friday,"2018-03-30 16:08:35"
"Greek Street",2,17,Friday,"2018-03-30 17:06:05"
"Greek Street",1,18,Friday,"2018-03-30 18:04:24"
"Greek Street",0,19,Friday,"2018-03-30 19:01:35"
"Greek Street",0,20,Friday,"2018-03-30 20:02:31"
"Greek Street",1,21,Friday,"2018-03-30 21:09:15"
"Greek Street",1,22,Friday,"2018-03-30 22:07:28"
"Greek Street",0,23,Friday,"2018-03-30 23:07:46"
"Greek Street",0,6,Saturday,"2018-03-31 06:02:16"
"Greek Street",0,7,Saturday,"2018-03-31 07:03:11"
"Greek Street",0,8,Saturday,"2018-03-31 08:03:17"
"Greek Street",0,9,Saturday,"2018-03-31 09:03:44"
"Greek Street",0,10,Saturday,"2018-03-31 10:04:39"
"Greek Street",0,11,Saturday,"2018-03-31 11:07:30"
"Greek Street",1,12,Saturday,"2018-03-31 12:00:45"
"Greek Street",0,13,Saturday,"2018-03-31 13:04:11"
"Greek Street",0,14,Saturday,"2018-03-31 14:06:26"
"Greek Street",1,15,Saturday,"2018-03-31 15:05:11"
"Greek Street",4,16,Saturday,"2018-03-31 16:03:21"
"Greek Street",10,17,Saturday,"2018-03-31 17:05:58"
"Greek Street",16,18,Saturday,"2018-03-31 18:01:18"
"Greek Street",15,19,Saturday,"2018-03-31 19:10:42"
"Greek Street",15,20,Saturday,"2018-03-31 20:01:28"
"Greek Street",14,21,Saturday,"2018-03-31 21:00:36"
"Greek Street",14,22,Saturday,"2018-03-31 22:11:21"
"Greek Street",13,23,Saturday,"2018-03-31 23:01:47"
"Greek Street",13,6,Sunday,"2018-04-01 06:02:21"
"Greek Street",12,7,Sunday,"2018-04-01 07:05:56"
"Greek Street",12,8,Sunday,"2018-04-01 08:06:51"
"Greek Street",13,9,Sunday,"2018-04-01 09:01:12"
"Greek Street",15,10,Sunday,"2018-04-01 10:04:27"
"Greek Street",13,11,Sunday,"2018-04-01 11:07:24"
"Greek Street",12,12,Sunday,"2018-04-01 12:08:19"
"Greek Street",9,13,Sunday,"2018-04-01 13:04:07"
"Greek Street",9,14,Sunday,"2018-04-01 14:01:25"
"Greek Street",7,15,Sunday,"2018-04-01 15:03:12"
"Greek Street",6,16,Sunday,"2018-04-01 16:08:08"
"Greek Street",6,17,Sunday,"2018-04-01 17:01:28"
"Greek Street",7,18,Sunday,"2018-04-01 18:04:23"
"Greek Street",7,19,Sunday,"2018-04-01 19:00:48"
"Greek Street",4,20,Sunday,"2018-04-01 20:03:40"
"Greek Street",6,21,Sunday,"2018-04-01 21:05:46"
"Greek Street",7,22,Sunday,"2018-04-01 22:03:25"
"Greek Street",6,23,Sunday,"2018-04-01 23:04:20"
"Greek Street",4,6,Monday,"2018-04-02 06:07:55"
"Greek Street",3,7,Monday,"2018-04-02 07:09:32"
"Greek Street",3,8,Monday,"2018-04-02 08:00:24"
"Greek Street",3,9,Monday,"2018-04-02 09:01:29"
"Greek Street",3,10,Monday,"2018-04-02 10:06:51"
"Greek Street",2,11,Monday,"2018-04-02 11:05:15"
"Greek Street",1,12,Monday,"2018-04-02 12:02:18"
"Greek Street",0,13,Monday,"2018-04-02 13:05:04"
"Greek Street",2,14,Monday,"2018-04-02 14:01:52"
"Greek Street",2,15,Monday,"2018-04-02 15:08:13"
"Greek Street",1,16,Monday,"2018-04-02 16:08:18"
"Greek Street",1,17,Monday,"2018-04-02 17:09:20"
"Greek Street",0,18,Monday,"2018-04-02 18:00:14"
"Greek Street",1,19,Monday,"2018-04-02 19:08:05"
"Greek Street",1,20,Monday,"2018-04-02 20:04:17"
"Greek Street",2,21,Monday,"2018-04-02 21:05:17"
"Greek Street",3,22,Monday,"2018-04-02 22:04:55"
"Greek Street",3,23,Monday,"2018-04-02 23:04:26"
"Greek Street",1,6,Tuesday,"2018-04-03 06:02:30"
"Greek Street",2,7,Tuesday,"2018-04-03 07:06:57"
"Greek Street",8,8,Tuesday,"2018-04-03 08:01:43"
"Greek Street",6,9,Tuesday,"2018-04-03 09:02:14"
"Greek Street",2,10,Tuesday,"2018-04-03 10:10:34"
"Greek Street",1,11,Tuesday,"2018-04-03 11:04:02"
"Greek Street",1,12,Tuesday,"2018-04-03 12:03:37"
"Greek Street",2,13,Tuesday,"2018-04-03 13:04:15"
"Greek Street",1,14,Tuesday,"2018-04-03 14:09:22"
"Greek Street",1,15,Tuesday,"2018-04-03 15:03:00"
