address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Guild Street,6,6,Thursday,29/03/2018 06:00,0
Guild Street,9,7,Thursday,29/03/2018 07:05,0
Guild Street,27,8,Thursday,29/03/2018 08:00,0
Guild Street,38,9,Thursday,29/03/2018 09:05,0
Guild Street,35,10,Thursday,29/03/2018 10:05,0
Guild Street,33,11,Thursday,29/03/2018 11:06,10
Guild Street,33,12,Thursday,29/03/2018 12:06,30
Guild Street,35,13,Thursday,29/03/2018 13:00,30
Guild Street,38,14,Thursday,29/03/2018 14:01,45
Guild Street,40,15,Thursday,29/03/2018 15:03,40
Guild Street,31,16,Thursday,29/03/2018 16:01,30
Guild Street,17,17,Thursday,29/03/2018 17:02,30
Guild Street,3,18,Thursday,29/03/2018 18:02,30
Guild Street,6,19,Thursday,29/03/2018 19:12,40
Guild Street,3,20,Thursday,29/03/2018 20:02,30
Guild Street,4,21,Thursday,29/03/2018 21:06,25
Guild Street,4,22,Thursday,29/03/2018 22:02,30
Guild Street,6,23,Thursday,29/03/2018 23:02,40
Guild Street,6,6,Friday,30/03/2018 06:04,0
Guild Street,9,7,Friday,30/03/2018 07:03,0
Guild Street,12,8,Friday,30/03/2018 08:00,0
Guild Street,10,9,Friday,30/03/2018 09:00,0
Guild Street,8,10,Friday,30/03/2018 10:09,20
Guild Street,2,11,Friday,30/03/2018 11:00,20
Guild Street,2,12,Friday,30/03/2018 12:01,20
Guild Street,5,13,Friday,30/03/2018 13:05,20
Guild Street,10,14,Friday,30/03/2018 14:02,20
Guild Street,8,15,Friday,30/03/2018 15:04,0
Guild Street,8,16,Friday,30/03/2018 16:09,0
Guild Street,7,17,Friday,30/03/2018 17:08,20
Guild Street,10,18,Friday,30/03/2018 18:05,0
Guild Street,8,19,Friday,30/03/2018 19:05,0
Guild Street,8,20,Friday,30/03/2018 20:00,0
Guild Street,10,21,Friday,30/03/2018 21:05,0
Guild Street,11,22,Friday,30/03/2018 22:09,0
Guild Street,12,23,Friday,30/03/2018 23:03,0
Guild Street,13,6,Saturday,31/03/2018 06:05,0
Guild Street,14,7,Saturday,31/03/2018 07:01,0
Guild Street,15,8,Saturday,31/03/2018 08:03,0
Guild Street,11,9,Saturday,31/03/2018 09:00,0
Guild Street,8,10,Saturday,31/03/2018 10:05,0
Guild Street,10,11,Saturday,31/03/2018 11:00,0
Guild Street,10,12,Saturday,31/03/2018 12:02,0
Guild Street,8,13,Saturday,31/03/2018 13:09,0
Guild Street,6,14,Saturday,31/03/2018 14:04,0
Guild Street,5,15,Saturday,31/03/2018 15:10,0
Guild Street,7,16,Saturday,31/03/2018 16:08,0
Guild Street,9,17,Saturday,31/03/2018 17:05,0
Guild Street,9,18,Saturday,31/03/2018 18:06,0
Guild Street,8,19,Saturday,31/03/2018 19:09,0
Guild Street,5,20,Saturday,31/03/2018 20:00,0
Guild Street,3,21,Saturday,31/03/2018 21:03,0
Guild Street,2,22,Saturday,31/03/2018 22:06,0
Guild Street,4,23,Saturday,31/03/2018 23:00,0
Guild Street,3,6,Sunday,01/04/2018 06:02,30
Guild Street,1,7,Sunday,01/04/2018 07:01,30
Guild Street,0,8,Sunday,01/04/2018 08:07,0
Guild Street,1,9,Sunday,01/04/2018 09:05,0
Guild Street,0,10,Sunday,01/04/2018 10:09,0
Guild Street,0,11,Sunday,01/04/2018 11:09,0
Guild Street,1,12,Sunday,01/04/2018 12:00,0
Guild Street,1,13,Sunday,01/04/2018 13:04,0
Guild Street,2,14,Sunday,01/04/2018 14:06,0
Guild Street,1,15,Sunday,01/04/2018 15:05,0
Guild Street,1,16,Sunday,01/04/2018 16:08,0
Guild Street,3,17,Sunday,01/04/2018 17:00,0
Guild Street,7,18,Sunday,01/04/2018 18:01,0
Guild Street,7,19,Sunday,01/04/2018 19:02,0
Guild Street,8,20,Sunday,01/04/2018 20:00,45
Guild Street,8,21,Sunday,01/04/2018 21:01,50
Guild Street,5,22,Sunday,01/04/2018 22:05,50
Guild Street,7,23,Sunday,01/04/2018 23:02,60
Guild Street,6,6,Monday,02/04/2018 06:10,70
Guild Street,6,7,Monday,02/04/2018 07:01,70
Guild Street,5,8,Monday,02/04/2018 08:03,60
Guild Street,5,9,Monday,02/04/2018 09:04,70
Guild Street,5,10,Monday,02/04/2018 10:11,65
Guild Street,4,11,Monday,02/04/2018 11:05,70
Guild Street,4,12,Monday,02/04/2018 12:04,70
Guild Street,5,13,Monday,02/04/2018 13:04,70
Guild Street,5,14,Monday,02/04/2018 14:06,60
Guild Street,5,15,Monday,02/04/2018 15:02,60
Guild Street,4,16,Monday,02/04/2018 16:00,60
Guild Street,3,17,Monday,02/04/2018 17:00,50
Guild Street,4,18,Monday,02/04/2018 18:01,40
Guild Street,7,19,Monday,02/04/2018 19:04,0
Guild Street,7,20,Monday,02/04/2018 20:07,0
Guild Street,7,21,Monday,02/04/2018 21:08,40
Guild Street,10,22,Monday,02/04/2018 22:01,50
Guild Street,10,23,Monday,02/04/2018 23:00,60
Guild Street,6,6,Tuesday,03/04/2018 06:03,0
Guild Street,6,7,Tuesday,03/04/2018 07:01,20
Guild Street,21,8,Tuesday,03/04/2018 08:02,20
Guild Street,23,9,Tuesday,03/04/2018 09:02,0
