address,round(avg(available_bikes)),HOUR,DOW,last_update
"Guild Street",6,6,Thursday,"2018-03-29 06:00:41"
"Guild Street",9,7,Thursday,"2018-03-29 07:05:37"
"Guild Street",27,8,Thursday,"2018-03-29 08:00:38"
"Guild Street",38,9,Thursday,"2018-03-29 09:05:06"
"Guild Street",35,10,Thursday,"2018-03-29 10:05:18"
"Guild Street",33,11,Thursday,"2018-03-29 11:06:37"
"Guild Street",33,12,Thursday,"2018-03-29 12:06:06"
"Guild Street",35,13,Thursday,"2018-03-29 13:00:04"
"Guild Street",38,14,Thursday,"2018-03-29 14:01:24"
"Guild Street",40,15,Thursday,"2018-03-29 15:03:30"
"Guild Street",31,16,Thursday,"2018-03-29 16:01:37"
"Guild Street",17,17,Thursday,"2018-03-29 17:02:13"
"Guild Street",3,18,Thursday,"2018-03-29 18:02:59"
"Guild Street",6,19,Thursday,"2018-03-29 19:12:40"
"Guild Street",3,20,Thursday,"2018-03-29 20:02:42"
"Guild Street",4,21,Thursday,"2018-03-29 21:06:19"
"Guild Street",4,22,Thursday,"2018-03-29 22:02:52"
"Guild Street",6,23,Thursday,"2018-03-29 23:02:12"
"Guild Street",6,6,Friday,"2018-03-30 06:04:04"
"Guild Street",9,7,Friday,"2018-03-30 07:03:08"
"Guild Street",12,8,Friday,"2018-03-30 08:00:57"
"Guild Street",10,9,Friday,"2018-03-30 09:00:34"
"Guild Street",8,10,Friday,"2018-03-30 10:09:34"
"Guild Street",2,11,Friday,"2018-03-30 11:00:56"
"Guild Street",2,12,Friday,"2018-03-30 12:01:06"
"Guild Street",5,13,Friday,"2018-03-30 13:05:06"
"Guild Street",10,14,Friday,"2018-03-30 14:02:38"
"Guild Street",8,15,Friday,"2018-03-30 15:04:36"
"Guild Street",8,16,Friday,"2018-03-30 16:09:18"
"Guild Street",7,17,Friday,"2018-03-30 17:08:50"
"Guild Street",10,18,Friday,"2018-03-30 18:05:59"
"Guild Street",8,19,Friday,"2018-03-30 19:05:23"
"Guild Street",8,20,Friday,"2018-03-30 20:00:17"
"Guild Street",10,21,Friday,"2018-03-30 21:05:44"
"Guild Street",11,22,Friday,"2018-03-30 22:09:30"
"Guild Street",12,23,Friday,"2018-03-30 23:03:10"
"Guild Street",13,6,Saturday,"2018-03-31 06:05:01"
"Guild Street",14,7,Saturday,"2018-03-31 07:01:55"
"Guild Street",15,8,Saturday,"2018-03-31 08:03:23"
"Guild Street",11,9,Saturday,"2018-03-31 09:00:54"
"Guild Street",8,10,Saturday,"2018-03-31 10:05:43"
"Guild Street",10,11,Saturday,"2018-03-31 11:00:56"
"Guild Street",10,12,Saturday,"2018-03-31 12:02:59"
"Guild Street",8,13,Saturday,"2018-03-31 13:09:37"
"Guild Street",6,14,Saturday,"2018-03-31 14:04:23"
"Guild Street",5,15,Saturday,"2018-03-31 15:10:08"
"Guild Street",7,16,Saturday,"2018-03-31 16:08:19"
"Guild Street",9,17,Saturday,"2018-03-31 17:05:58"
"Guild Street",9,18,Saturday,"2018-03-31 18:06:10"
"Guild Street",8,19,Saturday,"2018-03-31 19:09:15"
"Guild Street",5,20,Saturday,"2018-03-31 20:00:35"
"Guild Street",3,21,Saturday,"2018-03-31 21:03:54"
"Guild Street",2,22,Saturday,"2018-03-31 22:06:07"
"Guild Street",4,23,Saturday,"2018-03-31 23:00:24"
"Guild Street",3,6,Sunday,"2018-04-01 06:02:46"
"Guild Street",1,7,Sunday,"2018-04-01 07:01:51"
"Guild Street",0,8,Sunday,"2018-04-01 08:07:46"
"Guild Street",1,9,Sunday,"2018-04-01 09:05:35"
"Guild Street",0,10,Sunday,"2018-04-01 10:09:05"
"Guild Street",0,11,Sunday,"2018-04-01 11:09:49"
"Guild Street",1,12,Sunday,"2018-04-01 12:00:07"
"Guild Street",1,13,Sunday,"2018-04-01 13:04:44"
"Guild Street",2,14,Sunday,"2018-04-01 14:06:22"
"Guild Street",1,15,Sunday,"2018-04-01 15:05:21"
"Guild Street",1,16,Sunday,"2018-04-01 16:08:17"
"Guild Street",3,17,Sunday,"2018-04-01 17:00:26"
"Guild Street",7,18,Sunday,"2018-04-01 18:01:49"
