address,round(avg(available_bikes)),HOUR,DOW,last_update
"Hanover Quay",35,6,Thursday,"2018-03-29 06:04:36"
"Hanover Quay",35,7,Thursday,"2018-03-29 07:05:31"
"Hanover Quay",36,8,Thursday,"2018-03-29 08:00:36"
"Hanover Quay",24,9,Thursday,"2018-03-29 09:04:43"
"Hanover Quay",21,10,Thursday,"2018-03-29 10:05:32"
"Hanover Quay",29,11,Thursday,"2018-03-29 11:00:34"
"Hanover Quay",29,12,Thursday,"2018-03-29 12:00:47"
"Hanover Quay",31,13,Thursday,"2018-03-29 13:01:21"
"Hanover Quay",27,14,Thursday,"2018-03-29 14:06:08"
"Hanover Quay",6,15,Thursday,"2018-03-29 15:02:23"
"Hanover Quay",0,16,Thursday,"2018-03-29 16:02:36"
"Hanover Quay",1,17,Thursday,"2018-03-29 17:01:54"
"Hanover Quay",5,18,Thursday,"2018-03-29 18:03:37"
"Hanover Quay",2,19,Thursday,"2018-03-29 19:04:22"
"Hanover Quay",5,20,Thursday,"2018-03-29 20:03:22"
"Hanover Quay",11,21,Thursday,"2018-03-29 21:09:30"
"Hanover Quay",11,22,Thursday,"2018-03-29 22:02:57"
"Hanover Quay",7,23,Thursday,"2018-03-29 23:02:28"
"Hanover Quay",28,6,Friday,"2018-03-30 06:04:56"
"Hanover Quay",23,7,Friday,"2018-03-30 07:11:18"
"Hanover Quay",10,8,Friday,"2018-03-30 08:05:04"
"Hanover Quay",13,9,Friday,"2018-03-30 09:02:22"
"Hanover Quay",13,10,Friday,"2018-03-30 10:02:27"
"Hanover Quay",14,11,Friday,"2018-03-30 11:02:16"
"Hanover Quay",10,12,Friday,"2018-03-30 12:01:02"
"Hanover Quay",6,13,Friday,"2018-03-30 13:03:09"
"Hanover Quay",14,14,Friday,"2018-03-30 14:01:20"
"Hanover Quay",8,15,Friday,"2018-03-30 15:02:13"
"Hanover Quay",14,16,Friday,"2018-03-30 16:03:03"
"Hanover Quay",13,17,Friday,"2018-03-30 17:03:06"
"Hanover Quay",12,18,Friday,"2018-03-30 18:09:25"
"Hanover Quay",13,19,Friday,"2018-03-30 19:08:25"
"Hanover Quay",11,20,Friday,"2018-03-30 20:09:18"
"Hanover Quay",9,21,Friday,"2018-03-30 21:09:08"
"Hanover Quay",10,22,Friday,"2018-03-30 22:09:20"
"Hanover Quay",12,23,Friday,"2018-03-30 23:06:37"
"Hanover Quay",23,6,Saturday,"2018-03-31 06:02:04"
"Hanover Quay",20,7,Saturday,"2018-03-31 07:08:54"
"Hanover Quay",17,8,Saturday,"2018-03-31 08:06:17"
"Hanover Quay",21,9,Saturday,"2018-03-31 09:04:40"
"Hanover Quay",25,10,Saturday,"2018-03-31 10:04:21"
"Hanover Quay",17,11,Saturday,"2018-03-31 11:03:08"
"Hanover Quay",7,12,Saturday,"2018-03-31 12:02:13"
"Hanover Quay",1,13,Saturday,"2018-03-31 13:06:59"
"Hanover Quay",0,14,Saturday,"2018-03-31 14:00:29"
"Hanover Quay",2,15,Saturday,"2018-03-31 15:05:33"
"Hanover Quay",1,16,Saturday,"2018-03-31 16:04:35"
"Hanover Quay",2,17,Saturday,"2018-03-31 17:01:58"
"Hanover Quay",1,18,Saturday,"2018-03-31 18:04:24"
"Hanover Quay",2,19,Saturday,"2018-03-31 19:06:01"
"Hanover Quay",2,20,Saturday,"2018-03-31 20:03:39"
"Hanover Quay",1,21,Saturday,"2018-03-31 21:06:46"
"Hanover Quay",1,22,Saturday,"2018-03-31 22:07:42"
"Hanover Quay",1,23,Saturday,"2018-03-31 23:02:13"
"Hanover Quay",6,6,Sunday,"2018-04-01 06:07:15"
"Hanover Quay",11,7,Sunday,"2018-04-01 07:03:58"
"Hanover Quay",17,8,Sunday,"2018-04-01 08:04:36"
"Hanover Quay",21,9,Sunday,"2018-04-01 09:09:03"
"Hanover Quay",22,10,Sunday,"2018-04-01 10:05:06"
"Hanover Quay",19,11,Sunday,"2018-04-01 11:05:06"
"Hanover Quay",18,12,Sunday,"2018-04-01 12:01:16"
"Hanover Quay",15,13,Sunday,"2018-04-01 13:03:24"
"Hanover Quay",11,14,Sunday,"2018-04-01 14:05:39"
"Hanover Quay",11,15,Sunday,"2018-04-01 15:00:11"
"Hanover Quay",14,16,Sunday,"2018-04-01 16:06:37"
"Hanover Quay",9,17,Sunday,"2018-04-01 17:02:35"
"Hanover Quay",8,18,Sunday,"2018-04-01 18:02:06"
"Hanover Quay",7,19,Sunday,"2018-04-01 19:00:28"
"Hanover Quay",8,20,Sunday,"2018-04-01 20:08:38"
"Hanover Quay",7,21,Sunday,"2018-04-01 21:03:13"
"Hanover Quay",7,22,Sunday,"2018-04-01 22:03:13"
"Hanover Quay",7,23,Sunday,"2018-04-01 23:01:20"
"Hanover Quay",11,6,Monday,"2018-04-02 06:00:39"
"Hanover Quay",16,7,Monday,"2018-04-02 07:01:35"
"Hanover Quay",20,8,Monday,"2018-04-02 08:00:25"
"Hanover Quay",22,9,Monday,"2018-04-02 09:03:07"
"Hanover Quay",22,10,Monday,"2018-04-02 10:08:06"
"Hanover Quay",22,11,Monday,"2018-04-02 11:02:31"
"Hanover Quay",22,12,Monday,"2018-04-02 12:09:36"
"Hanover Quay",21,13,Monday,"2018-04-02 13:06:07"
"Hanover Quay",20,14,Monday,"2018-04-02 14:03:17"
"Hanover Quay",17,15,Monday,"2018-04-02 15:00:56"
"Hanover Quay",15,16,Monday,"2018-04-02 16:07:56"
"Hanover Quay",16,17,Monday,"2018-04-02 17:08:30"
"Hanover Quay",17,18,Monday,"2018-04-02 18:08:40"
"Hanover Quay",19,19,Monday,"2018-04-02 19:01:50"
"Hanover Quay",20,20,Monday,"2018-04-02 20:04:52"
"Hanover Quay",20,21,Monday,"2018-04-02 21:07:28"
"Hanover Quay",18,22,Monday,"2018-04-02 22:09:29"
"Hanover Quay",16,23,Monday,"2018-04-02 23:05:17"
"Hanover Quay",32,6,Tuesday,"2018-04-03 06:01:05"
"Hanover Quay",33,7,Tuesday,"2018-04-03 07:02:10"
"Hanover Quay",35,8,Tuesday,"2018-04-03 08:02:19"
"Hanover Quay",34,9,Tuesday,"2018-04-03 09:07:16"
"Hanover Quay",38,10,Tuesday,"2018-04-03 10:03:56"
"Hanover Quay",34,11,Tuesday,"2018-04-03 11:06:46"
"Hanover Quay",37,12,Tuesday,"2018-04-03 12:02:24"
"Hanover Quay",35,13,Tuesday,"2018-04-03 13:02:07"
"Hanover Quay",34,14,Tuesday,"2018-04-03 14:03:35"
"Hanover Quay",17,15,Tuesday,"2018-04-03 15:04:34"
"Hanover Quay",0,16,Tuesday,"2018-04-03 16:04:40"
"Hanover Quay",1,17,Tuesday,"2018-04-03 17:10:26"
"Hanover Quay",1,18,Tuesday,"2018-04-03 18:03:45"
"Hanover Quay",2,19,Tuesday,"2018-04-03 19:00:54"
"Hanover Quay",4,20,Tuesday,"2018-04-03 20:00:35"
"Hanover Quay",4,21,Tuesday,"2018-04-03 21:01:21"
"Hanover Quay",2,22,Tuesday,"2018-04-03 22:00:42"
"Hanover Quay",3,23,Tuesday,"2018-04-03 23:09:00"
