address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Harcourt Terrace,3,6,Thursday,29/03/2018 06:05,0
Harcourt Terrace,3,7,Thursday,29/03/2018 07:05,0
Harcourt Terrace,9,8,Thursday,29/03/2018 08:00,0
Harcourt Terrace,11,9,Thursday,29/03/2018 09:03,0
Harcourt Terrace,12,10,Thursday,29/03/2018 10:03,0
Harcourt Terrace,10,11,Thursday,29/03/2018 11:04,10
Harcourt Terrace,7,12,Thursday,29/03/2018 12:05,30
Harcourt Terrace,11,13,Thursday,29/03/2018 13:01,30
Harcourt Terrace,11,14,Thursday,29/03/2018 14:00,45
Harcourt Terrace,7,15,Thursday,29/03/2018 15:00,40
Harcourt Terrace,1,16,Thursday,29/03/2018 16:09,30
Harcourt Terrace,2,17,Thursday,29/03/2018 17:04,30
Harcourt Terrace,2,18,Thursday,29/03/2018 18:08,30
Harcourt Terrace,2,19,Thursday,29/03/2018 19:01,40
Harcourt Terrace,2,20,Thursday,29/03/2018 20:01,30
Harcourt Terrace,2,21,Thursday,29/03/2018 21:07,25
Harcourt Terrace,9,22,Thursday,29/03/2018 22:08,30
Harcourt Terrace,10,23,Thursday,29/03/2018 23:01,40
Harcourt Terrace,11,6,Friday,30/03/2018 06:06,0
Harcourt Terrace,13,7,Friday,30/03/2018 07:11,0
Harcourt Terrace,18,8,Friday,30/03/2018 08:09,0
Harcourt Terrace,19,9,Friday,30/03/2018 09:08,0
Harcourt Terrace,20,10,Friday,30/03/2018 10:08,20
Harcourt Terrace,20,11,Friday,30/03/2018 11:09,20
Harcourt Terrace,19,12,Friday,30/03/2018 12:02,20
Harcourt Terrace,17,13,Friday,30/03/2018 13:02,20
Harcourt Terrace,20,14,Friday,30/03/2018 14:06,20
Harcourt Terrace,19,15,Friday,30/03/2018 15:02,0
Harcourt Terrace,19,16,Friday,30/03/2018 16:01,0
Harcourt Terrace,20,17,Friday,30/03/2018 17:05,20
Harcourt Terrace,19,18,Friday,30/03/2018 18:01,0
Harcourt Terrace,20,19,Friday,30/03/2018 19:05,0
Harcourt Terrace,20,20,Friday,30/03/2018 20:06,0
Harcourt Terrace,19,21,Friday,30/03/2018 21:03,0
Harcourt Terrace,18,22,Friday,30/03/2018 22:04,0
Harcourt Terrace,18,23,Friday,30/03/2018 23:09,0
Harcourt Terrace,18,6,Saturday,31/03/2018 06:02,0
Harcourt Terrace,18,7,Saturday,31/03/2018 07:03,0
Harcourt Terrace,18,8,Saturday,31/03/2018 08:03,0
Harcourt Terrace,16,9,Saturday,31/03/2018 09:01,0
Harcourt Terrace,16,10,Saturday,31/03/2018 10:08,0
Harcourt Terrace,16,11,Saturday,31/03/2018 11:05,0
Harcourt Terrace,17,12,Saturday,31/03/2018 12:06,0
Harcourt Terrace,17,13,Saturday,31/03/2018 13:00,0
Harcourt Terrace,16,14,Saturday,31/03/2018 14:03,0
Harcourt Terrace,16,15,Saturday,31/03/2018 15:04,0
Harcourt Terrace,15,16,Saturday,31/03/2018 16:05,0
Harcourt Terrace,15,17,Saturday,31/03/2018 17:06,0
