address,round(avg(available_bikes)),HOUR,DOW,last_update
"Harcourt Terrace",3,6,Thursday,"2018-03-29 06:05:32"
"Harcourt Terrace",3,7,Thursday,"2018-03-29 07:05:36"
"Harcourt Terrace",9,8,Thursday,"2018-03-29 08:00:38"
"Harcourt Terrace",11,9,Thursday,"2018-03-29 09:03:02"
"Harcourt Terrace",12,10,Thursday,"2018-03-29 10:03:26"
"Harcourt Terrace",10,11,Thursday,"2018-03-29 11:04:39"
"Harcourt Terrace",7,12,Thursday,"2018-03-29 12:05:03"
"Harcourt Terrace",11,13,Thursday,"2018-03-29 13:01:13"
"Harcourt Terrace",11,14,Thursday,"2018-03-29 14:00:46"
"Harcourt Terrace",7,15,Thursday,"2018-03-29 15:00:48"
"Harcourt Terrace",1,16,Thursday,"2018-03-29 16:09:26"
"Harcourt Terrace",2,17,Thursday,"2018-03-29 17:04:48"
"Harcourt Terrace",2,18,Thursday,"2018-03-29 18:08:10"
"Harcourt Terrace",2,19,Thursday,"2018-03-29 19:01:08"
"Harcourt Terrace",2,20,Thursday,"2018-03-29 20:01:39"
"Harcourt Terrace",2,21,Thursday,"2018-03-29 21:07:50"
"Harcourt Terrace",9,22,Thursday,"2018-03-29 22:08:43"
"Harcourt Terrace",10,23,Thursday,"2018-03-29 23:01:32"
"Harcourt Terrace",11,6,Friday,"2018-03-30 06:06:29"
"Harcourt Terrace",13,7,Friday,"2018-03-30 07:11:07"
"Harcourt Terrace",18,8,Friday,"2018-03-30 08:09:02"
"Harcourt Terrace",19,9,Friday,"2018-03-30 09:08:56"
"Harcourt Terrace",20,10,Friday,"2018-03-30 10:08:36"
"Harcourt Terrace",20,11,Friday,"2018-03-30 11:09:44"
"Harcourt Terrace",19,12,Friday,"2018-03-30 12:02:47"
"Harcourt Terrace",17,13,Friday,"2018-03-30 13:02:48"
"Harcourt Terrace",20,14,Friday,"2018-03-30 14:06:24"
"Harcourt Terrace",19,15,Friday,"2018-03-30 15:02:46"
"Harcourt Terrace",19,16,Friday,"2018-03-30 16:01:19"
"Harcourt Terrace",20,17,Friday,"2018-03-30 17:05:00"
"Harcourt Terrace",19,18,Friday,"2018-03-30 18:01:27"
"Harcourt Terrace",20,19,Friday,"2018-03-30 19:05:44"
"Harcourt Terrace",20,20,Friday,"2018-03-30 20:06:50"
"Harcourt Terrace",19,21,Friday,"2018-03-30 21:03:10"
"Harcourt Terrace",18,22,Friday,"2018-03-30 22:04:14"
"Harcourt Terrace",18,23,Friday,"2018-03-30 23:09:02"
"Harcourt Terrace",18,6,Saturday,"2018-03-31 06:02:09"
"Harcourt Terrace",18,7,Saturday,"2018-03-31 07:03:02"
"Harcourt Terrace",18,8,Saturday,"2018-03-31 08:03:58"
"Harcourt Terrace",16,9,Saturday,"2018-03-31 09:01:46"
"Harcourt Terrace",16,10,Saturday,"2018-03-31 10:08:04"
"Harcourt Terrace",16,11,Saturday,"2018-03-31 11:05:52"
"Harcourt Terrace",17,12,Saturday,"2018-03-31 12:06:45"
"Harcourt Terrace",17,13,Saturday,"2018-03-31 13:00:32"
"Harcourt Terrace",16,14,Saturday,"2018-03-31 14:03:42"
"Harcourt Terrace",16,15,Saturday,"2018-03-31 15:04:12"
"Harcourt Terrace",15,16,Saturday,"2018-03-31 16:05:07"
"Harcourt Terrace",15,17,Saturday,"2018-03-31 17:06:00"
"Harcourt Terrace",15,18,Saturday,"2018-03-31 18:06:53"
"Harcourt Terrace",14,19,Saturday,"2018-03-31 19:00:02"
"Harcourt Terrace",13,20,Saturday,"2018-03-31 20:07:31"
"Harcourt Terrace",14,21,Saturday,"2018-03-31 21:03:56"
"Harcourt Terrace",14,22,Saturday,"2018-03-31 22:04:50"
"Harcourt Terrace",14,23,Saturday,"2018-03-31 23:05:50"
"Harcourt Terrace",14,6,Sunday,"2018-04-01 06:02:23"
"Harcourt Terrace",14,7,Sunday,"2018-04-01 07:03:22"
"Harcourt Terrace",14,8,Sunday,"2018-04-01 08:04:22"
"Harcourt Terrace",14,9,Sunday,"2018-04-01 09:05:20"
"Harcourt Terrace",14,10,Sunday,"2018-04-01 10:06:20"
