address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Hardwicke Place,22,6,Thursday,29/03/2018 06:04,0
Hardwicke Place,16,7,Thursday,29/03/2018 07:05,0
Hardwicke Place,0,8,Thursday,29/03/2018 08:05,0
Hardwicke Place,11,9,Thursday,29/03/2018 09:03,0
Hardwicke Place,16,10,Thursday,29/03/2018 10:08,0
Hardwicke Place,13,11,Thursday,29/03/2018 11:07,10
Hardwicke Place,9,12,Thursday,29/03/2018 12:00,30
Hardwicke Place,8,13,Thursday,29/03/2018 13:01,30
Hardwicke Place,8,14,Thursday,29/03/2018 14:09,45
Hardwicke Place,6,15,Thursday,29/03/2018 15:05,40
Hardwicke Place,3,16,Thursday,29/03/2018 16:12,30
Hardwicke Place,1,17,Thursday,29/03/2018 17:03,30
Hardwicke Place,1,18,Thursday,29/03/2018 18:01,30
Hardwicke Place,1,19,Thursday,29/03/2018 19:04,40
Hardwicke Place,1,20,Thursday,29/03/2018 20:05,30
Hardwicke Place,2,21,Thursday,29/03/2018 21:02,25
Hardwicke Place,4,22,Thursday,29/03/2018 22:00,30
Hardwicke Place,5,23,Thursday,29/03/2018 23:03,40
Hardwicke Place,8,6,Friday,30/03/2018 06:02,0
Hardwicke Place,11,7,Friday,30/03/2018 07:00,0
Hardwicke Place,10,8,Friday,30/03/2018 08:01,0
Hardwicke Place,8,9,Friday,30/03/2018 09:02,0
Hardwicke Place,5,10,Friday,30/03/2018 10:08,20
Hardwicke Place,4,11,Friday,30/03/2018 11:08,20
Hardwicke Place,4,12,Friday,30/03/2018 12:02,20
Hardwicke Place,1,13,Friday,30/03/2018 13:07,20
Hardwicke Place,4,14,Friday,30/03/2018 14:08,20
Hardwicke Place,5,15,Friday,30/03/2018 15:05,0
Hardwicke Place,4,16,Friday,30/03/2018 16:02,0
Hardwicke Place,5,17,Friday,30/03/2018 17:02,20
Hardwicke Place,14,18,Friday,30/03/2018 18:05,0
Hardwicke Place,19,19,Friday,30/03/2018 19:07,0
Hardwicke Place,20,20,Friday,30/03/2018 20:08,0
Hardwicke Place,21,21,Friday,30/03/2018 21:09,0
Hardwicke Place,23,22,Friday,30/03/2018 22:00,0
Hardwicke Place,24,23,Friday,30/03/2018 23:05,0
Hardwicke Place,24,6,Saturday,31/03/2018 06:02,0
Hardwicke Place,24,7,Saturday,31/03/2018 07:07,0
Hardwicke Place,23,8,Saturday,31/03/2018 08:10,0
Hardwicke Place,18,9,Saturday,31/03/2018 09:04,0
Hardwicke Place,15,10,Saturday,31/03/2018 10:06,0
Hardwicke Place,16,11,Saturday,31/03/2018 11:08,0
Hardwicke Place,17,12,Saturday,31/03/2018 12:04,0
Hardwicke Place,16,13,Saturday,31/03/2018 13:00,0
