address,round(avg(available_bikes)),HOUR,DOW,last_update
"Hardwicke Place",22,6,Thursday,"2018-03-29 06:04:39"
"Hardwicke Place",16,7,Thursday,"2018-03-29 07:05:37"
"Hardwicke Place",0,8,Thursday,"2018-03-29 08:05:35"
"Hardwicke Place",11,9,Thursday,"2018-03-29 09:03:14"
"Hardwicke Place",16,10,Thursday,"2018-03-29 10:08:04"
"Hardwicke Place",13,11,Thursday,"2018-03-29 11:07:01"
"Hardwicke Place",9,12,Thursday,"2018-03-29 12:00:48"
"Hardwicke Place",8,13,Thursday,"2018-03-29 13:01:37"
"Hardwicke Place",8,14,Thursday,"2018-03-29 14:09:35"
"Hardwicke Place",6,15,Thursday,"2018-03-29 15:05:29"
"Hardwicke Place",3,16,Thursday,"2018-03-29 16:12:23"
"Hardwicke Place",1,17,Thursday,"2018-03-29 17:03:58"
"Hardwicke Place",1,18,Thursday,"2018-03-29 18:01:10"
"Hardwicke Place",1,19,Thursday,"2018-03-29 19:04:19"
"Hardwicke Place",1,20,Thursday,"2018-03-29 20:05:14"
"Hardwicke Place",2,21,Thursday,"2018-03-29 21:02:32"
"Hardwicke Place",4,22,Thursday,"2018-03-29 22:00:36"
"Hardwicke Place",5,23,Thursday,"2018-03-29 23:03:58"
"Hardwicke Place",8,6,Friday,"2018-03-30 06:02:34"
"Hardwicke Place",11,7,Friday,"2018-03-30 07:00:22"
"Hardwicke Place",10,8,Friday,"2018-03-30 08:01:27"
"Hardwicke Place",8,9,Friday,"2018-03-30 09:02:57"
"Hardwicke Place",5,10,Friday,"2018-03-30 10:08:17"
"Hardwicke Place",4,11,Friday,"2018-03-30 11:08:17"
"Hardwicke Place",4,12,Friday,"2018-03-30 12:02:11"
"Hardwicke Place",1,13,Friday,"2018-03-30 13:07:05"
"Hardwicke Place",4,14,Friday,"2018-03-30 14:08:00"
"Hardwicke Place",5,15,Friday,"2018-03-30 15:05:49"
"Hardwicke Place",4,16,Friday,"2018-03-30 16:02:35"
"Hardwicke Place",5,17,Friday,"2018-03-30 17:02:33"
"Hardwicke Place",14,18,Friday,"2018-03-30 18:05:08"
"Hardwicke Place",19,19,Friday,"2018-03-30 19:07:41"
"Hardwicke Place",20,20,Friday,"2018-03-30 20:08:35"
"Hardwicke Place",21,21,Friday,"2018-03-30 21:09:27"
"Hardwicke Place",23,22,Friday,"2018-03-30 22:00:11"
"Hardwicke Place",24,23,Friday,"2018-03-30 23:05:33"
"Hardwicke Place",24,6,Saturday,"2018-03-31 06:02:58"
"Hardwicke Place",24,7,Saturday,"2018-03-31 07:07:49"
"Hardwicke Place",23,8,Saturday,"2018-03-31 08:10:05"
"Hardwicke Place",18,9,Saturday,"2018-03-31 09:04:15"
"Hardwicke Place",15,10,Saturday,"2018-03-31 10:06:03"
"Hardwicke Place",16,11,Saturday,"2018-03-31 11:08:48"
"Hardwicke Place",17,12,Saturday,"2018-03-31 12:04:25"
"Hardwicke Place",16,13,Saturday,"2018-03-31 13:00:27"
"Hardwicke Place",15,14,Saturday,"2018-03-31 14:04:27"
"Hardwicke Place",15,15,Saturday,"2018-03-31 15:08:28"
"Hardwicke Place",15,16,Saturday,"2018-03-31 16:00:00"
"Hardwicke Place",15,17,Saturday,"2018-03-31 17:11:27"
"Hardwicke Place",15,18,Saturday,"2018-03-31 18:07:36"
"Hardwicke Place",13,19,Saturday,"2018-03-31 19:01:33"
"Hardwicke Place",12,20,Saturday,"2018-03-31 20:01:23"
"Hardwicke Place",10,21,Saturday,"2018-03-31 21:04:28"
"Hardwicke Place",11,22,Saturday,"2018-03-31 22:05:28"
"Hardwicke Place",12,23,Saturday,"2018-03-31 23:01:52"
"Hardwicke Place",9,6,Sunday,"2018-04-01 06:07:24"
"Hardwicke Place",7,7,Sunday,"2018-04-01 07:07:55"
"Hardwicke Place",6,8,Sunday,"2018-04-01 08:03:39"
"Hardwicke Place",5,9,Sunday,"2018-04-01 09:01:09"
"Hardwicke Place",1,10,Sunday,"2018-04-01 10:04:48"
"Hardwicke Place",12,11,Sunday,"2018-04-01 11:06:49"
"Hardwicke Place",16,12,Sunday,"2018-04-01 12:09:44"
"Hardwicke Place",14,13,Sunday,"2018-04-01 13:04:04"
"Hardwicke Place",13,14,Sunday,"2018-04-01 14:00:04"
"Hardwicke Place",12,15,Sunday,"2018-04-01 15:08:58"
"Hardwicke Place",11,16,Sunday,"2018-04-01 16:06:48"
"Hardwicke Place",10,17,Sunday,"2018-04-01 17:00:42"
"Hardwicke Place",8,18,Sunday,"2018-04-01 18:01:46"
"Hardwicke Place",8,19,Sunday,"2018-04-01 19:07:48"
"Hardwicke Place",7,20,Sunday,"2018-04-01 20:04:48"
"Hardwicke Place",8,21,Sunday,"2018-04-01 21:02:50"
