address,round(avg(available_bikes)),HOUR,DOW,last_update
"Hardwicke Street",0,6,Thursday,"2018-03-29 06:01:08"
"Hardwicke Street",0,7,Thursday,"2018-03-29 07:02:03"
"Hardwicke Street",0,8,Thursday,"2018-03-29 08:08:50"
"Hardwicke Street",0,9,Thursday,"2018-03-29 09:09:48"
"Hardwicke Street",0,10,Thursday,"2018-03-29 10:00:37"
"Hardwicke Street",0,11,Thursday,"2018-03-29 11:01:34"
"Hardwicke Street",2,12,Thursday,"2018-03-29 12:04:25"
"Hardwicke Street",1,13,Thursday,"2018-03-29 13:06:06"
"Hardwicke Street",3,14,Thursday,"2018-03-29 14:01:47"
"Hardwicke Street",4,15,Thursday,"2018-03-29 15:02:36"
"Hardwicke Street",4,16,Thursday,"2018-03-29 16:05:16"
"Hardwicke Street",8,17,Thursday,"2018-03-29 17:03:00"
"Hardwicke Street",10,18,Thursday,"2018-03-29 18:03:12"
"Hardwicke Street",10,19,Thursday,"2018-03-29 19:06:50"
"Hardwicke Street",9,20,Thursday,"2018-03-29 20:02:42"
"Hardwicke Street",10,21,Thursday,"2018-03-29 21:06:34"
"Hardwicke Street",9,22,Thursday,"2018-03-29 22:05:01"
"Hardwicke Street",10,23,Thursday,"2018-03-29 23:03:11"
"Hardwicke Street",10,6,Friday,"2018-03-30 06:03:56"
"Hardwicke Street",8,7,Friday,"2018-03-30 07:09:40"
"Hardwicke Street",9,8,Friday,"2018-03-30 08:09:12"
"Hardwicke Street",9,9,Friday,"2018-03-30 09:09:34"
"Hardwicke Street",10,10,Friday,"2018-03-30 10:04:12"
"Hardwicke Street",8,11,Friday,"2018-03-30 11:02:24"
"Hardwicke Street",5,12,Friday,"2018-03-30 12:08:31"
"Hardwicke Street",1,13,Friday,"2018-03-30 13:00:43"
"Hardwicke Street",1,14,Friday,"2018-03-30 14:06:32"
"Hardwicke Street",1,15,Friday,"2018-03-30 15:02:54"
"Hardwicke Street",1,16,Friday,"2018-03-30 16:04:32"
"Hardwicke Street",1,17,Friday,"2018-03-30 17:02:21"
"Hardwicke Street",0,18,Friday,"2018-03-30 18:06:31"
"Hardwicke Street",1,19,Friday,"2018-03-30 19:07:25"
"Hardwicke Street",3,20,Friday,"2018-03-30 20:05:06"
"Hardwicke Street",3,21,Friday,"2018-03-30 21:04:20"
"Hardwicke Street",1,22,Friday,"2018-03-30 22:01:21"
"Hardwicke Street",1,23,Friday,"2018-03-30 23:05:29"
"Hardwicke Street",0,6,Saturday,"2018-03-31 06:07:59"
"Hardwicke Street",1,7,Saturday,"2018-03-31 07:04:41"
"Hardwicke Street",2,8,Saturday,"2018-03-31 08:06:46"
"Hardwicke Street",3,9,Saturday,"2018-03-31 09:09:11"
"Hardwicke Street",3,10,Saturday,"2018-03-31 10:09:42"
"Hardwicke Street",2,11,Saturday,"2018-03-31 11:05:30"
"Hardwicke Street",0,12,Saturday,"2018-03-31 12:08:36"
"Hardwicke Street",0,13,Saturday,"2018-03-31 13:09:32"
"Hardwicke Street",1,14,Saturday,"2018-03-31 14:06:26"
"Hardwicke Street",2,15,Saturday,"2018-03-31 15:09:23"
"Hardwicke Street",2,16,Saturday,"2018-03-31 16:04:36"
"Hardwicke Street",0,17,Saturday,"2018-03-31 17:03:23"
"Hardwicke Street",1,18,Saturday,"2018-03-31 18:04:20"
"Hardwicke Street",1,19,Saturday,"2018-03-31 19:04:43"
"Hardwicke Street",2,20,Saturday,"2018-03-31 20:03:48"
"Hardwicke Street",2,21,Saturday,"2018-03-31 21:00:27"
"Hardwicke Street",3,22,Saturday,"2018-03-31 22:00:52"
"Hardwicke Street",3,23,Saturday,"2018-03-31 23:02:54"
"Hardwicke Street",0,6,Sunday,"2018-04-01 06:08:06"
"Hardwicke Street",0,7,Sunday,"2018-04-01 07:08:59"
"Hardwicke Street",0,8,Sunday,"2018-04-01 08:05:36"
"Hardwicke Street",0,9,Sunday,"2018-04-01 09:06:30"
"Hardwicke Street",0,10,Sunday,"2018-04-01 10:07:25"
"Hardwicke Street",1,11,Sunday,"2018-04-01 11:08:20"
"Hardwicke Street",0,12,Sunday,"2018-04-01 12:07:12"
"Hardwicke Street",0,13,Sunday,"2018-04-01 13:08:34"
"Hardwicke Street",0,14,Sunday,"2018-04-01 14:02:01"
"Hardwicke Street",0,15,Sunday,"2018-04-01 15:09:40"
"Hardwicke Street",0,16,Sunday,"2018-04-01 16:00:31"
"Hardwicke Street",0,17,Sunday,"2018-04-01 17:06:13"
"Hardwicke Street",0,18,Sunday,"2018-04-01 18:05:36"
"Hardwicke Street",0,19,Sunday,"2018-04-01 19:04:59"
"Hardwicke Street",0,20,Sunday,"2018-04-01 20:05:54"
"Hardwicke Street",0,21,Sunday,"2018-04-01 21:06:49"
"Hardwicke Street",1,22,Sunday,"2018-04-01 22:07:47"
"Hardwicke Street",1,23,Sunday,"2018-04-01 23:04:19"
"Hardwicke Street",1,6,Monday,"2018-04-02 06:02:15"
"Hardwicke Street",1,7,Monday,"2018-04-02 07:03:09"
"Hardwicke Street",0,8,Monday,"2018-04-02 08:07:48"
"Hardwicke Street",0,9,Monday,"2018-04-02 09:08:49"
"Hardwicke Street",0,10,Monday,"2018-04-02 10:09:43"
"Hardwicke Street",0,11,Monday,"2018-04-02 11:00:29"
"Hardwicke Street",0,12,Monday,"2018-04-02 12:01:25"
"Hardwicke Street",0,13,Monday,"2018-04-02 13:02:19"
"Hardwicke Street",0,14,Monday,"2018-04-02 14:03:14"
"Hardwicke Street",0,15,Monday,"2018-04-02 15:04:09"
"Hardwicke Street",0,16,Monday,"2018-04-02 16:05:04"
"Hardwicke Street",0,17,Monday,"2018-04-02 17:03:15"
"Hardwicke Street",0,18,Monday,"2018-04-02 18:04:11"
"Hardwicke Street",0,19,Monday,"2018-04-02 19:05:05"
"Hardwicke Street",0,20,Monday,"2018-04-02 20:06:46"
"Hardwicke Street",0,21,Monday,"2018-04-02 21:07:39"
"Hardwicke Street",0,22,Monday,"2018-04-02 22:08:33"
"Hardwicke Street",0,23,Monday,"2018-04-02 23:09:28"
"Hardwicke Street",0,6,Tuesday,"2018-04-03 06:02:12"
"Hardwicke Street",0,7,Tuesday,"2018-04-03 07:03:07"
"Hardwicke Street",0,8,Tuesday,"2018-04-03 08:04:05"
"Hardwicke Street",0,9,Tuesday,"2018-04-03 09:05:01"
"Hardwicke Street",1,10,Tuesday,"2018-04-03 10:05:56"
"Hardwicke Street",1,11,Tuesday,"2018-04-03 11:05:19"
"Hardwicke Street",0,12,Tuesday,"2018-04-03 12:03:10"
"Hardwicke Street",2,13,Tuesday,"2018-04-03 13:02:23"
"Hardwicke Street",1,14,Tuesday,"2018-04-03 14:02:15"
"Hardwicke Street",0,15,Tuesday,"2018-04-03 15:06:13"
"Hardwicke Street",1,16,Tuesday,"2018-04-03 16:07:08"
"Hardwicke Street",1,17,Tuesday,"2018-04-03 17:00:35"
"Hardwicke Street",1,18,Tuesday,"2018-04-03 18:03:02"
"Hardwicke Street",3,19,Tuesday,"2018-04-03 19:09:04"
"Hardwicke Street",3,20,Tuesday,"2018-04-03 20:09:24"
"Hardwicke Street",6,21,Tuesday,"2018-04-03 21:02:34"
"Hardwicke Street",10,22,Tuesday,"2018-04-03 22:00:07"
"Hardwicke Street",11,23,Tuesday,"2018-04-03 23:09:51"
"Hardwicke Street",8,6,Wednesday,"2018-04-04 06:00:03"
"Hardwicke Street",8,7,Wednesday,"2018-04-04 07:01:39"
"Hardwicke Street",7,8,Wednesday,"2018-04-04 08:06:51"
"Hardwicke Street",4,9,Wednesday,"2018-04-04 09:04:41"
"Hardwicke Street",4,10,Wednesday,"2018-04-04 10:01:55"
"Hardwicke Street",4,11,Wednesday,"2018-04-04 11:03:41"
"Hardwicke Street",3,12,Wednesday,"2018-04-04 12:03:47"
"Hardwicke Street",8,13,Wednesday,"2018-04-04 13:09:37"
"Hardwicke Street",15,14,Wednesday,"2018-04-04 14:04:13"
"Hardwicke Street",15,15,Wednesday,"2018-04-04 15:06:00"
"Hardwicke Street",11,16,Wednesday,"2018-04-04 16:00:46"
"Hardwicke Street",10,17,Wednesday,"2018-04-04 17:06:27"
"Hardwicke Street",9,18,Wednesday,"2018-04-04 18:00:44"
"Hardwicke Street",11,19,Wednesday,"2018-04-04 19:05:32"
"Hardwicke Street",12,20,Wednesday,"2018-04-04 20:10:02"
"Hardwicke Street",13,21,Wednesday,"2018-04-04 21:08:44"
"Hardwicke Street",14,22,Wednesday,"2018-04-04 22:04:16"
"Hardwicke Street",15,23,Wednesday,"2018-04-04 23:06:34"
