address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Hatch Street,5,6,Thursday,29/03/2018 06:01,0
Hatch Street,22,7,Thursday,29/03/2018 07:04,0
Hatch Street,32,8,Thursday,29/03/2018 08:00,0
Hatch Street,35,9,Thursday,29/03/2018 09:00,0
Hatch Street,33,10,Thursday,29/03/2018 10:04,0
Hatch Street,33,11,Thursday,29/03/2018 11:01,10
Hatch Street,30,12,Thursday,29/03/2018 12:01,30
Hatch Street,29,13,Thursday,29/03/2018 13:05,30
Hatch Street,28,14,Thursday,29/03/2018 14:05,45
Hatch Street,19,15,Thursday,29/03/2018 15:02,40
Hatch Street,1,16,Thursday,29/03/2018 16:01,30
Hatch Street,1,17,Thursday,29/03/2018 17:08,30
Hatch Street,0,18,Thursday,29/03/2018 18:05,30
Hatch Street,0,19,Thursday,29/03/2018 19:05,40
Hatch Street,0,20,Thursday,29/03/2018 20:06,30
Hatch Street,1,21,Thursday,29/03/2018 21:07,25
Hatch Street,0,22,Thursday,29/03/2018 22:07,30
Hatch Street,1,23,Thursday,29/03/2018 23:01,40
Hatch Street,5,6,Friday,30/03/2018 06:03,0
Hatch Street,12,7,Friday,30/03/2018 07:04,0
Hatch Street,17,8,Friday,30/03/2018 08:04,0
Hatch Street,18,9,Friday,30/03/2018 09:02,0
Hatch Street,18,10,Friday,30/03/2018 10:00,20
Hatch Street,17,11,Friday,30/03/2018 11:02,20
Hatch Street,18,12,Friday,30/03/2018 12:03,20
Hatch Street,19,13,Friday,30/03/2018 13:08,20
Hatch Street,18,14,Friday,30/03/2018 14:00,20
Hatch Street,14,15,Friday,30/03/2018 15:03,0
Hatch Street,13,16,Friday,30/03/2018 16:06,0
Hatch Street,10,17,Friday,30/03/2018 17:09,20
Hatch Street,10,18,Friday,30/03/2018 18:06,0
Hatch Street,10,19,Friday,30/03/2018 19:09,0
Hatch Street,10,20,Friday,30/03/2018 20:00,0
Hatch Street,10,21,Friday,30/03/2018 21:01,0
Hatch Street,10,22,Friday,30/03/2018 22:02,0
Hatch Street,9,23,Friday,30/03/2018 23:01,0
Hatch Street,9,6,Saturday,31/03/2018 06:09,0
Hatch Street,9,7,Saturday,31/03/2018 07:00,0
Hatch Street,9,8,Saturday,31/03/2018 08:01,0
Hatch Street,9,9,Saturday,31/03/2018 09:02,0
Hatch Street,9,10,Saturday,31/03/2018 10:03,0
Hatch Street,9,11,Saturday,31/03/2018 11:03,0
Hatch Street,8,12,Saturday,31/03/2018 12:07,0
Hatch Street,8,13,Saturday,31/03/2018 13:03,0
Hatch Street,9,14,Saturday,31/03/2018 14:04,0
Hatch Street,10,15,Saturday,31/03/2018 15:09,0
Hatch Street,10,16,Saturday,31/03/2018 16:00,0
Hatch Street,10,17,Saturday,31/03/2018 17:01,0
Hatch Street,10,18,Saturday,31/03/2018 18:02,0
Hatch Street,11,19,Saturday,31/03/2018 19:04,0
Hatch Street,11,20,Saturday,31/03/2018 20:05,0
Hatch Street,11,21,Saturday,31/03/2018 21:06,0
Hatch Street,11,22,Saturday,31/03/2018 22:07,0
Hatch Street,11,23,Saturday,31/03/2018 23:08,0
Hatch Street,12,6,Sunday,01/04/2018 06:02,30
Hatch Street,12,7,Sunday,01/04/2018 07:04,30
Hatch Street,12,8,Sunday,01/04/2018 08:05,0
Hatch Street,12,9,Sunday,01/04/2018 09:06,0
Hatch Street,12,10,Sunday,01/04/2018 10:07,0
Hatch Street,12,11,Sunday,01/04/2018 11:08,0
Hatch Street,11,12,Sunday,01/04/2018 12:09,0
Hatch Street,11,13,Sunday,01/04/2018 13:03,0
Hatch Street,11,14,Sunday,01/04/2018 14:05,0
Hatch Street,12,15,Sunday,01/04/2018 15:00,0
Hatch Street,12,16,Sunday,01/04/2018 16:01,0
Hatch Street,13,17,Sunday,01/04/2018 17:02,0
Hatch Street,15,18,Sunday,01/04/2018 18:02,0
Hatch Street,15,19,Sunday,01/04/2018 19:04,0
Hatch Street,15,20,Sunday,01/04/2018 20:05,45
Hatch Street,15,21,Sunday,01/04/2018 21:06,50
Hatch Street,15,22,Sunday,01/04/2018 22:09,50
Hatch Street,15,23,Sunday,01/04/2018 23:00,60
Hatch Street,15,6,Monday,02/04/2018 06:03,70
Hatch Street,15,7,Monday,02/04/2018 07:04,70
Hatch Street,16,8,Monday,02/04/2018 08:03,60
Hatch Street,16,9,Monday,02/04/2018 09:04,70
Hatch Street,16,10,Monday,02/04/2018 10:06,65
Hatch Street,15,11,Monday,02/04/2018 11:05,70
Hatch Street,15,12,Monday,02/04/2018 12:06,70
Hatch Street,15,13,Monday,02/04/2018 13:08,70
Hatch Street,15,14,Monday,02/04/2018 14:09,60
Hatch Street,14,15,Monday,02/04/2018 15:01,60
Hatch Street,13,16,Monday,02/04/2018 16:05,60
Hatch Street,14,17,Monday,02/04/2018 17:00,50
Hatch Street,15,18,Monday,02/04/2018 18:04,40
Hatch Street,14,19,Monday,02/04/2018 19:01,0
Hatch Street,14,20,Monday,02/04/2018 20:03,0
Hatch Street,14,21,Monday,02/04/2018 21:04,40
Hatch Street,14,22,Monday,02/04/2018 22:06,50
Hatch Street,14,23,Monday,02/04/2018 23:07,60
Hatch Street,25,6,Tuesday,03/04/2018 06:06,0
Hatch Street,35,7,Tuesday,03/04/2018 07:02,20
Hatch Street,36,8,Tuesday,03/04/2018 08:10,20
Hatch Street,35,9,Tuesday,03/04/2018 09:02,0
Hatch Street,35,10,Tuesday,03/04/2018 10:04,0
Hatch Street,33,11,Tuesday,03/04/2018 11:03,0
Hatch Street,31,12,Tuesday,03/04/2018 12:02,30
Hatch Street,26,13,Tuesday,03/04/2018 13:02,40
Hatch Street,22,14,Tuesday,03/04/2018 14:00,20
Hatch Street,10,15,Tuesday,03/04/2018 15:04,20
Hatch Street,0,16,Tuesday,03/04/2018 16:01,30
Hatch Street,0,17,Tuesday,03/04/2018 17:09,0
Hatch Street,0,18,Tuesday,03/04/2018 18:10,0
Hatch Street,0,19,Tuesday,03/04/2018 19:06,0
Hatch Street,0,20,Tuesday,03/04/2018 20:02,0
Hatch Street,1,21,Tuesday,03/04/2018 21:02,0
Hatch Street,0,22,Tuesday,03/04/2018 22:06,0
Hatch Street,0,23,Tuesday,03/04/2018 23:07,0
Hatch Street,3,6,Wednesday,04/04/2018 06:07,40
Hatch Street,14,7,Wednesday,04/04/2018 07:00,40
Hatch Street,17,8,Wednesday,04/04/2018 08:04,30
Hatch Street,18,9,Wednesday,04/04/2018 09:10,40
Hatch Street,17,10,Wednesday,04/04/2018 10:00,40
Hatch Street,16,11,Wednesday,04/04/2018 11:10,20
Hatch Street,13,12,Wednesday,04/04/2018 12:07,0
Hatch Street,15,13,Wednesday,04/04/2018 13:04,10
Hatch Street,12,14,Wednesday,04/04/2018 14:02,0
Hatch Street,3,15,Wednesday,04/04/2018 15:02,20
Hatch Street,1,16,Wednesday,04/04/2018 16:02,20
Hatch Street,0,17,Wednesday,04/04/2018 17:07,40
Hatch Street,0,18,Wednesday,04/04/2018 18:07,0
Hatch Street,0,19,Wednesday,04/04/2018 19:05,0
Hatch Street,0,20,Wednesday,04/04/2018 20:01,0
Hatch Street,0,21,Wednesday,04/04/2018 21:02,40
Hatch Street,0,22,Wednesday,04/04/2018 22:03,30
Hatch Street,0,23,Wednesday,04/04/2018 23:04,30
