address,round(avg(available_bikes)),HOUR,DOW,last_update
"Hatch Street",5,6,Thursday,"2018-03-29 06:01:36"
"Hatch Street",22,7,Thursday,"2018-03-29 07:04:16"
"Hatch Street",32,8,Thursday,"2018-03-29 08:00:00"
"Hatch Street",35,9,Thursday,"2018-03-29 09:00:45"
"Hatch Street",33,10,Thursday,"2018-03-29 10:04:33"
"Hatch Street",33,11,Thursday,"2018-03-29 11:01:11"
"Hatch Street",30,12,Thursday,"2018-03-29 12:01:07"
"Hatch Street",29,13,Thursday,"2018-03-29 13:05:27"
"Hatch Street",28,14,Thursday,"2018-03-29 14:05:43"
"Hatch Street",19,15,Thursday,"2018-03-29 15:02:32"
"Hatch Street",1,16,Thursday,"2018-03-29 16:01:19"
"Hatch Street",1,17,Thursday,"2018-03-29 17:08:24"
"Hatch Street",0,18,Thursday,"2018-03-29 18:05:00"
"Hatch Street",0,19,Thursday,"2018-03-29 19:05:56"
"Hatch Street",0,20,Thursday,"2018-03-29 20:06:52"
"Hatch Street",1,21,Thursday,"2018-03-29 21:07:47"
"Hatch Street",0,22,Thursday,"2018-03-29 22:07:38"
"Hatch Street",1,23,Thursday,"2018-03-29 23:01:14"
"Hatch Street",5,6,Friday,"2018-03-30 06:03:41"
"Hatch Street",12,7,Friday,"2018-03-30 07:04:12"
"Hatch Street",17,8,Friday,"2018-03-30 08:04:11"
"Hatch Street",18,9,Friday,"2018-03-30 09:02:06"
"Hatch Street",18,10,Friday,"2018-03-30 10:00:38"
"Hatch Street",17,11,Friday,"2018-03-30 11:02:08"
"Hatch Street",18,12,Friday,"2018-03-30 12:03:42"
"Hatch Street",19,13,Friday,"2018-03-30 13:08:19"
"Hatch Street",18,14,Friday,"2018-03-30 14:00:07"
"Hatch Street",14,15,Friday,"2018-03-30 15:03:19"
"Hatch Street",13,16,Friday,"2018-03-30 16:06:34"
"Hatch Street",10,17,Friday,"2018-03-30 17:09:21"
"Hatch Street",10,18,Friday,"2018-03-30 18:06:36"
