address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Herbert Place,9,6,Thursday,29/03/2018 06:06,0
Herbert Place,28,7,Thursday,29/03/2018 07:05,0
Herbert Place,25,8,Thursday,29/03/2018 08:00,0
Herbert Place,25,9,Thursday,29/03/2018 09:00,0
Herbert Place,29,10,Thursday,29/03/2018 10:05,0
Herbert Place,30,11,Thursday,29/03/2018 11:00,10
Herbert Place,30,12,Thursday,29/03/2018 12:05,30
Herbert Place,29,13,Thursday,29/03/2018 13:00,30
Herbert Place,25,14,Thursday,29/03/2018 14:04,45
Herbert Place,9,15,Thursday,29/03/2018 15:02,40
Herbert Place,0,16,Thursday,29/03/2018 16:02,30
Herbert Place,1,17,Thursday,29/03/2018 17:02,30
Herbert Place,3,18,Thursday,29/03/2018 18:03,30
Herbert Place,2,19,Thursday,29/03/2018 19:03,40
Herbert Place,3,20,Thursday,29/03/2018 20:04,30
Herbert Place,1,21,Thursday,29/03/2018 21:07,25
Herbert Place,0,22,Thursday,29/03/2018 22:04,30
Herbert Place,3,23,Thursday,29/03/2018 23:01,40
Herbert Place,8,6,Friday,30/03/2018 06:03,0
Herbert Place,11,7,Friday,30/03/2018 07:01,0
Herbert Place,11,8,Friday,30/03/2018 08:03,0
Herbert Place,4,9,Friday,30/03/2018 09:01,0
Herbert Place,9,10,Friday,30/03/2018 10:00,20
Herbert Place,19,11,Friday,30/03/2018 11:00,20
Herbert Place,16,12,Friday,30/03/2018 12:04,20
Herbert Place,8,13,Friday,30/03/2018 13:08,20
Herbert Place,3,14,Friday,30/03/2018 14:03,20
Herbert Place,11,15,Friday,30/03/2018 15:04,0
Herbert Place,14,16,Friday,30/03/2018 16:01,0
Herbert Place,18,17,Friday,30/03/2018 17:03,20
Herbert Place,15,18,Friday,30/03/2018 18:15,0
Herbert Place,18,19,Friday,30/03/2018 19:09,0
Herbert Place,20,20,Friday,30/03/2018 20:10,0
Herbert Place,17,21,Friday,30/03/2018 21:08,0
Herbert Place,13,22,Friday,30/03/2018 22:06,0
Herbert Place,9,23,Friday,30/03/2018 23:02,0
Herbert Place,15,6,Saturday,31/03/2018 06:04,0
Herbert Place,18,7,Saturday,31/03/2018 07:05,0
Herbert Place,16,8,Saturday,31/03/2018 08:04,0
Herbert Place,21,9,Saturday,31/03/2018 09:00,0
Herbert Place,20,10,Saturday,31/03/2018 10:04,0
Herbert Place,17,11,Saturday,31/03/2018 11:00,0
Herbert Place,23,12,Saturday,31/03/2018 12:09,0
Herbert Place,26,13,Saturday,31/03/2018 13:03,0
Herbert Place,29,14,Saturday,31/03/2018 14:09,0
Herbert Place,27,15,Saturday,31/03/2018 15:00,0
Herbert Place,25,16,Saturday,31/03/2018 16:01,0
Herbert Place,28,17,Saturday,31/03/2018 17:01,0
Herbert Place,29,18,Saturday,31/03/2018 18:00,0
Herbert Place,26,19,Saturday,31/03/2018 19:08,0
Herbert Place,26,20,Saturday,31/03/2018 20:04,0
Herbert Place,20,21,Saturday,31/03/2018 21:04,0
Herbert Place,21,22,Saturday,31/03/2018 22:07,0
Herbert Place,20,23,Saturday,31/03/2018 23:08,0
Herbert Place,26,6,Sunday,01/04/2018 06:06,30
Herbert Place,21,7,Sunday,01/04/2018 07:07,30
Herbert Place,14,8,Sunday,01/04/2018 08:06,0
Herbert Place,15,9,Sunday,01/04/2018 09:07,0
Herbert Place,19,10,Sunday,01/04/2018 10:00,0
Herbert Place,26,11,Sunday,01/04/2018 11:07,0
Herbert Place,30,12,Sunday,01/04/2018 12:04,0
Herbert Place,30,13,Sunday,01/04/2018 13:03,0
Herbert Place,30,14,Sunday,01/04/2018 14:02,0
Herbert Place,29,15,Sunday,01/04/2018 15:01,0
Herbert Place,29,16,Sunday,01/04/2018 16:00,0
Herbert Place,26,17,Sunday,01/04/2018 17:00,0
Herbert Place,17,18,Sunday,01/04/2018 18:07,0
Herbert Place,11,19,Sunday,01/04/2018 19:06,0
Herbert Place,10,20,Sunday,01/04/2018 20:08,45
Herbert Place,7,21,Sunday,01/04/2018 21:12,50
Herbert Place,3,22,Sunday,01/04/2018 22:05,50
Herbert Place,2,23,Sunday,01/04/2018 23:02,60
Herbert Place,5,6,Monday,02/04/2018 06:05,70
Herbert Place,10,7,Monday,02/04/2018 07:10,70
Herbert Place,10,8,Monday,02/04/2018 08:08,60
Herbert Place,7,9,Monday,02/04/2018 09:06,70
Herbert Place,9,10,Monday,02/04/2018 10:03,65
Herbert Place,9,11,Monday,02/04/2018 11:04,70
Herbert Place,9,12,Monday,02/04/2018 12:00,70
Herbert Place,8,13,Monday,02/04/2018 13:05,70
Herbert Place,9,14,Monday,02/04/2018 14:03,60
Herbert Place,13,15,Monday,02/04/2018 15:01,60
Herbert Place,14,16,Monday,02/04/2018 16:04,60
Herbert Place,11,17,Monday,02/04/2018 17:08,50
Herbert Place,7,18,Monday,02/04/2018 18:09,40
Herbert Place,2,19,Monday,02/04/2018 19:03,0
Herbert Place,2,20,Monday,02/04/2018 20:00,0
Herbert Place,1,21,Monday,02/04/2018 21:03,40
Herbert Place,3,22,Monday,02/04/2018 22:02,50
Herbert Place,3,23,Monday,02/04/2018 23:00,60
Herbert Place,15,6,Tuesday,03/04/2018 06:02,0
Herbert Place,19,7,Tuesday,03/04/2018 07:02,20
Herbert Place,22,8,Tuesday,03/04/2018 08:02,20
Herbert Place,24,9,Tuesday,03/04/2018 09:00,0
Herbert Place,27,10,Tuesday,03/04/2018 10:04,0
Herbert Place,25,11,Tuesday,03/04/2018 11:02,0
Herbert Place,24,12,Tuesday,03/04/2018 12:02,30
Herbert Place,24,13,Tuesday,03/04/2018 13:03,40
Herbert Place,21,14,Tuesday,03/04/2018 14:01,20
Herbert Place,6,15,Tuesday,03/04/2018 15:04,20
Herbert Place,3,16,Tuesday,03/04/2018 16:03,30
Herbert Place,3,17,Tuesday,03/04/2018 17:05,0
Herbert Place,9,18,Tuesday,03/04/2018 18:00,0
Herbert Place,2,19,Tuesday,03/04/2018 19:05,0
Herbert Place,1,20,Tuesday,03/04/2018 20:06,0
Herbert Place,0,21,Tuesday,03/04/2018 21:10,0
Herbert Place,0,22,Tuesday,03/04/2018 22:03,0
Herbert Place,0,23,Tuesday,03/04/2018 23:04,0
Herbert Place,13,6,Wednesday,04/04/2018 06:02,40
Herbert Place,22,7,Wednesday,04/04/2018 07:02,40
Herbert Place,28,8,Wednesday,04/04/2018 08:04,30
Herbert Place,23,9,Wednesday,04/04/2018 09:03,40
Herbert Place,25,10,Wednesday,04/04/2018 10:02,40
Herbert Place,27,11,Wednesday,04/04/2018 11:04,20
Herbert Place,25,12,Wednesday,04/04/2018 12:05,0
Herbert Place,26,13,Wednesday,04/04/2018 13:05,10
Herbert Place,22,14,Wednesday,04/04/2018 14:05,0
Herbert Place,16,15,Wednesday,04/04/2018 15:06,20
Herbert Place,1,16,Wednesday,04/04/2018 16:01,20
Herbert Place,6,17,Wednesday,04/04/2018 17:11,40
Herbert Place,11,18,Wednesday,04/04/2018 18:01,0
Herbert Place,3,19,Wednesday,04/04/2018 19:01,0
Herbert Place,1,20,Wednesday,04/04/2018 20:04,0
Herbert Place,2,21,Wednesday,04/04/2018 21:05,40
Herbert Place,1,22,Wednesday,04/04/2018 22:06,30
Herbert Place,1,23,Wednesday,04/04/2018 23:04,30
