address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Herbert Street,2,6,Thursday,29/03/2018 06:09,0
Herbert Street,13,7,Thursday,29/03/2018 07:04,0
Herbert Street,38,8,Thursday,29/03/2018 08:00,0
Herbert Street,40,9,Thursday,29/03/2018 09:09,0
Herbert Street,40,10,Thursday,29/03/2018 10:08,0
Herbert Street,39,11,Thursday,29/03/2018 11:00,10
Herbert Street,40,12,Thursday,29/03/2018 12:11,30
Herbert Street,40,13,Thursday,29/03/2018 13:08,30
Herbert Street,38,14,Thursday,29/03/2018 14:06,45
Herbert Street,31,15,Thursday,29/03/2018 15:02,40
Herbert Street,9,16,Thursday,29/03/2018 16:02,30
Herbert Street,0,17,Thursday,29/03/2018 17:08,30
Herbert Street,0,18,Thursday,29/03/2018 18:12,30
Herbert Street,0,19,Thursday,29/03/2018 19:03,40
Herbert Street,1,20,Thursday,29/03/2018 20:07,30
Herbert Street,0,21,Thursday,29/03/2018 21:09,25
Herbert Street,0,22,Thursday,29/03/2018 22:06,30
Herbert Street,0,23,Thursday,29/03/2018 23:06,40
Herbert Street,3,6,Friday,30/03/2018 06:05,0
Herbert Street,3,7,Friday,30/03/2018 07:02,0
Herbert Street,5,8,Friday,30/03/2018 08:06,0
Herbert Street,7,9,Friday,30/03/2018 09:04,0
Herbert Street,5,10,Friday,30/03/2018 10:02,20
Herbert Street,3,11,Friday,30/03/2018 11:07,20
Herbert Street,3,12,Friday,30/03/2018 12:09,20
Herbert Street,3,13,Friday,30/03/2018 13:08,20
Herbert Street,1,14,Friday,30/03/2018 14:06,20
Herbert Street,0,15,Friday,30/03/2018 15:02,0
Herbert Street,1,16,Friday,30/03/2018 16:08,0
Herbert Street,0,17,Friday,30/03/2018 17:04,20
Herbert Street,1,18,Friday,30/03/2018 18:04,0
Herbert Street,1,19,Friday,30/03/2018 19:05,0
Herbert Street,1,20,Friday,30/03/2018 20:06,0
Herbert Street,1,21,Friday,30/03/2018 21:07,0
Herbert Street,4,22,Friday,30/03/2018 22:07,0
Herbert Street,3,23,Friday,30/03/2018 23:06,0
Herbert Street,3,6,Saturday,31/03/2018 06:02,0
Herbert Street,3,7,Saturday,31/03/2018 07:03,0
Herbert Street,3,8,Saturday,31/03/2018 08:04,0
Herbert Street,4,9,Saturday,31/03/2018 09:01,0
Herbert Street,4,10,Saturday,31/03/2018 10:02,0
Herbert Street,4,11,Saturday,31/03/2018 11:03,0
Herbert Street,4,12,Saturday,31/03/2018 12:02,0
Herbert Street,4,13,Saturday,31/03/2018 13:03,0
Herbert Street,4,14,Saturday,31/03/2018 14:04,0
Herbert Street,5,15,Saturday,31/03/2018 15:04,0
Herbert Street,5,16,Saturday,31/03/2018 16:05,0
Herbert Street,5,17,Saturday,31/03/2018 17:06,0
Herbert Street,5,18,Saturday,31/03/2018 18:05,0
Herbert Street,6,19,Saturday,31/03/2018 19:02,0
Herbert Street,6,20,Saturday,31/03/2018 20:08,0
Herbert Street,5,21,Saturday,31/03/2018 21:02,0
Herbert Street,4,22,Saturday,31/03/2018 22:01,0
Herbert Street,4,23,Saturday,31/03/2018 23:02,0
Herbert Street,4,6,Sunday,01/04/2018 06:02,30
Herbert Street,5,7,Sunday,01/04/2018 07:03,30
Herbert Street,5,8,Sunday,01/04/2018 08:07,0
Herbert Street,5,9,Sunday,01/04/2018 09:08,0
Herbert Street,4,10,Sunday,01/04/2018 10:09,0
Herbert Street,4,11,Sunday,01/04/2018 11:09,0
Herbert Street,7,12,Sunday,01/04/2018 12:01,0
Herbert Street,21,13,Sunday,01/04/2018 13:00,0
Herbert Street,37,14,Sunday,01/04/2018 14:00,0
Herbert Street,36,15,Sunday,01/04/2018 15:09,0
Herbert Street,36,16,Sunday,01/04/2018 16:05,0
Herbert Street,37,17,Sunday,01/04/2018 17:06,0
Herbert Street,37,18,Sunday,01/04/2018 18:00,0
Herbert Street,38,19,Sunday,01/04/2018 19:07,0
Herbert Street,39,20,Sunday,01/04/2018 20:08,45
Herbert Street,40,21,Sunday,01/04/2018 21:06,50
Herbert Street,40,22,Sunday,01/04/2018 22:07,50
Herbert Street,40,23,Sunday,01/04/2018 23:08,60
Herbert Street,40,6,Monday,02/04/2018 06:02,70
Herbert Street,39,7,Monday,02/04/2018 07:03,70
Herbert Street,40,8,Monday,02/04/2018 08:03,60
Herbert Street,40,9,Monday,02/04/2018 09:04,70
Herbert Street,39,10,Monday,02/04/2018 10:06,65
Herbert Street,39,11,Monday,02/04/2018 11:07,70
Herbert Street,40,12,Monday,02/04/2018 12:04,70
Herbert Street,40,13,Monday,02/04/2018 13:05,70
Herbert Street,29,14,Monday,02/04/2018 14:06,60
Herbert Street,23,15,Monday,02/04/2018 15:00,60
Herbert Street,24,16,Monday,02/04/2018 16:01,60
Herbert Street,22,17,Monday,02/04/2018 17:03,50
Herbert Street,23,18,Monday,02/04/2018 18:04,40
Herbert Street,23,19,Monday,02/04/2018 19:02,0
Herbert Street,22,20,Monday,02/04/2018 20:03,0
Herbert Street,22,21,Monday,02/04/2018 21:07,40
Herbert Street,23,22,Monday,02/04/2018 22:07,50
Herbert Street,23,23,Monday,02/04/2018 23:09,60
Herbert Street,14,6,Tuesday,03/04/2018 06:02,0
Herbert Street,22,7,Tuesday,03/04/2018 07:01,20
Herbert Street,38,8,Tuesday,03/04/2018 08:01,20
Herbert Street,37,9,Tuesday,03/04/2018 09:04,0
Herbert Street,39,10,Tuesday,03/04/2018 10:01,0
Herbert Street,37,11,Tuesday,03/04/2018 11:08,0
Herbert Street,35,12,Tuesday,03/04/2018 12:07,30
Herbert Street,31,13,Tuesday,03/04/2018 13:02,40
Herbert Street,32,14,Tuesday,03/04/2018 14:00,20
Herbert Street,24,15,Tuesday,03/04/2018 15:02,20
Herbert Street,1,16,Tuesday,03/04/2018 16:04,30
Herbert Street,0,17,Tuesday,03/04/2018 17:01,0
Herbert Street,0,18,Tuesday,03/04/2018 18:03,0
Herbert Street,0,19,Tuesday,03/04/2018 19:00,0
Herbert Street,1,20,Tuesday,03/04/2018 20:02,0
Herbert Street,1,21,Tuesday,03/04/2018 21:03,0
Herbert Street,1,22,Tuesday,03/04/2018 22:08,0
Herbert Street,0,23,Tuesday,03/04/2018 23:01,0
Herbert Street,2,6,Wednesday,04/04/2018 06:03,40
Herbert Street,7,7,Wednesday,04/04/2018 07:01,40
Herbert Street,21,8,Wednesday,04/04/2018 08:03,30
Herbert Street,22,9,Wednesday,04/04/2018 09:08,40
Herbert Street,24,10,Wednesday,04/04/2018 10:02,40
Herbert Street,25,11,Wednesday,04/04/2018 11:08,20
Herbert Street,23,12,Wednesday,04/04/2018 12:04,0
Herbert Street,21,13,Wednesday,04/04/2018 13:05,10
Herbert Street,34,14,Wednesday,04/04/2018 14:00,0
Herbert Street,37,15,Wednesday,04/04/2018 15:07,20
Herbert Street,10,16,Wednesday,04/04/2018 16:01,20
Herbert Street,0,17,Wednesday,04/04/2018 17:01,40
Herbert Street,0,18,Wednesday,04/04/2018 18:00,0
Herbert Street,1,19,Wednesday,04/04/2018 19:00,0
Herbert Street,0,20,Wednesday,04/04/2018 20:07,0
Herbert Street,0,21,Wednesday,04/04/2018 21:07,40
Herbert Street,0,22,Wednesday,04/04/2018 22:08,30
Herbert Street,0,23,Wednesday,04/04/2018 23:09,30
