address,round(avg(available_bikes)),HOUR,DOW,last_update
"Herbert Place",9,6,Thursday,"2018-03-29 06:06:57"
"Herbert Place",28,7,Thursday,"2018-03-29 07:05:37"
"Herbert Place",25,8,Thursday,"2018-03-29 08:00:35"
"Herbert Place",25,9,Thursday,"2018-03-29 09:00:12"
"Herbert Place",29,10,Thursday,"2018-03-29 10:05:01"
"Herbert Place",30,11,Thursday,"2018-03-29 11:00:18"
"Herbert Place",30,12,Thursday,"2018-03-29 12:05:20"
"Herbert Place",29,13,Thursday,"2018-03-29 13:00:45"
"Herbert Place",25,14,Thursday,"2018-03-29 14:04:35"
"Herbert Place",9,15,Thursday,"2018-03-29 15:02:26"
"Herbert Place",0,16,Thursday,"2018-03-29 16:02:28"
"Herbert Place",1,17,Thursday,"2018-03-29 17:02:36"
"Herbert Place",3,18,Thursday,"2018-03-29 18:03:15"
"Herbert Place",2,19,Thursday,"2018-03-29 19:03:29"
"Herbert Place",3,20,Thursday,"2018-03-29 20:04:34"
"Herbert Place",1,21,Thursday,"2018-03-29 21:07:49"
"Herbert Place",0,22,Thursday,"2018-03-29 22:04:21"
"Herbert Place",3,23,Thursday,"2018-03-29 23:01:44"
"Herbert Place",8,6,Friday,"2018-03-30 06:03:24"
"Herbert Place",11,7,Friday,"2018-03-30 07:01:48"
"Herbert Place",11,8,Friday,"2018-03-30 08:03:15"
"Herbert Place",4,9,Friday,"2018-03-30 09:01:16"
"Herbert Place",9,10,Friday,"2018-03-30 10:00:40"
"Herbert Place",19,11,Friday,"2018-03-30 11:00:25"
"Herbert Place",16,12,Friday,"2018-03-30 12:04:25"
"Herbert Place",8,13,Friday,"2018-03-30 13:08:18"
"Herbert Place",3,14,Friday,"2018-03-30 14:03:09"
"Herbert Place",11,15,Friday,"2018-03-30 15:04:37"
"Herbert Place",14,16,Friday,"2018-03-30 16:01:33"
"Herbert Place",18,17,Friday,"2018-03-30 17:03:50"
"Herbert Place",15,18,Friday,"2018-03-30 18:15:36"
"Herbert Place",18,19,Friday,"2018-03-30 19:09:27"
"Herbert Place",20,20,Friday,"2018-03-30 20:10:32"
"Herbert Place",17,21,Friday,"2018-03-30 21:08:57"
"Herbert Place",13,22,Friday,"2018-03-30 22:06:02"
"Herbert Place",9,23,Friday,"2018-03-30 23:02:30"
"Herbert Place",15,6,Saturday,"2018-03-31 06:04:12"
