address,round(avg(available_bikes)),HOUR,DOW,last_update
"Herbert Street",2,6,Thursday,"2018-03-29 06:09:22"
"Herbert Street",13,7,Thursday,"2018-03-29 07:04:20"
"Herbert Street",38,8,Thursday,"2018-03-29 08:00:22"
"Herbert Street",40,9,Thursday,"2018-03-29 09:09:47"
"Herbert Street",40,10,Thursday,"2018-03-29 10:08:23"
"Herbert Street",39,11,Thursday,"2018-03-29 11:00:24"
"Herbert Street",40,12,Thursday,"2018-03-29 12:11:36"
"Herbert Street",40,13,Thursday,"2018-03-29 13:08:35"
"Herbert Street",38,14,Thursday,"2018-03-29 14:06:23"
"Herbert Street",31,15,Thursday,"2018-03-29 15:02:10"
"Herbert Street",9,16,Thursday,"2018-03-29 16:02:27"
"Herbert Street",0,17,Thursday,"2018-03-29 17:08:14"
"Herbert Street",0,18,Thursday,"2018-03-29 18:12:47"
"Herbert Street",0,19,Thursday,"2018-03-29 19:03:37"
"Herbert Street",1,20,Thursday,"2018-03-29 20:07:15"
"Herbert Street",0,21,Thursday,"2018-03-29 21:09:16"
"Herbert Street",0,22,Thursday,"2018-03-29 22:06:01"
"Herbert Street",0,23,Thursday,"2018-03-29 23:06:58"
"Herbert Street",3,6,Friday,"2018-03-30 06:05:31"
"Herbert Street",3,7,Friday,"2018-03-30 07:02:28"
"Herbert Street",5,8,Friday,"2018-03-30 08:06:23"
"Herbert Street",7,9,Friday,"2018-03-30 09:04:08"
"Herbert Street",5,10,Friday,"2018-03-30 10:02:37"
"Herbert Street",3,11,Friday,"2018-03-30 11:07:12"
"Herbert Street",3,12,Friday,"2018-03-30 12:09:49"
"Herbert Street",3,13,Friday,"2018-03-30 13:08:47"
"Herbert Street",1,14,Friday,"2018-03-30 14:06:25"
"Herbert Street",0,15,Friday,"2018-03-30 15:02:25"
"Herbert Street",1,16,Friday,"2018-03-30 16:08:48"
"Herbert Street",0,17,Friday,"2018-03-30 17:04:25"
"Herbert Street",1,18,Friday,"2018-03-30 18:04:36"
"Herbert Street",1,19,Friday,"2018-03-30 19:05:35"
"Herbert Street",1,20,Friday,"2018-03-30 20:06:32"
"Herbert Street",1,21,Friday,"2018-03-30 21:07:28"
"Herbert Street",4,22,Friday,"2018-03-30 22:07:20"
"Herbert Street",3,23,Friday,"2018-03-30 23:06:29"
"Herbert Street",3,6,Saturday,"2018-03-31 06:02:12"
"Herbert Street",3,7,Saturday,"2018-03-31 07:03:09"
"Herbert Street",3,8,Saturday,"2018-03-31 08:04:04"
"Herbert Street",4,9,Saturday,"2018-03-31 09:01:17"
"Herbert Street",4,10,Saturday,"2018-03-31 10:02:13"
"Herbert Street",4,11,Saturday,"2018-03-31 11:03:10"
"Herbert Street",4,12,Saturday,"2018-03-31 12:02:17"
"Herbert Street",4,13,Saturday,"2018-03-31 13:03:13"
"Herbert Street",4,14,Saturday,"2018-03-31 14:04:08"
"Herbert Street",5,15,Saturday,"2018-03-31 15:04:57"
"Herbert Street",5,16,Saturday,"2018-03-31 16:05:54"
"Herbert Street",5,17,Saturday,"2018-03-31 17:06:50"
"Herbert Street",5,18,Saturday,"2018-03-31 18:05:44"
"Herbert Street",6,19,Saturday,"2018-03-31 19:02:03"
"Herbert Street",6,20,Saturday,"2018-03-31 20:08:13"
"Herbert Street",5,21,Saturday,"2018-03-31 21:02:30"
"Herbert Street",4,22,Saturday,"2018-03-31 22:01:16"
"Herbert Street",4,23,Saturday,"2018-03-31 23:02:13"
"Herbert Street",4,6,Sunday,"2018-04-01 06:02:12"
"Herbert Street",5,7,Sunday,"2018-04-01 07:03:08"
"Herbert Street",5,8,Sunday,"2018-04-01 08:07:54"
"Herbert Street",5,9,Sunday,"2018-04-01 09:08:49"
"Herbert Street",4,10,Sunday,"2018-04-01 10:09:45"
"Herbert Street",4,11,Sunday,"2018-04-01 11:09:10"
"Herbert Street",7,12,Sunday,"2018-04-01 12:01:44"
"Herbert Street",21,13,Sunday,"2018-04-01 13:00:52"
"Herbert Street",37,14,Sunday,"2018-04-01 14:00:33"
"Herbert Street",36,15,Sunday,"2018-04-01 15:09:31"
"Herbert Street",36,16,Sunday,"2018-04-01 16:05:06"
"Herbert Street",37,17,Sunday,"2018-04-01 17:06:02"
"Herbert Street",37,18,Sunday,"2018-04-01 18:00:07"
"Herbert Street",38,19,Sunday,"2018-04-01 19:07:32"
"Herbert Street",39,20,Sunday,"2018-04-01 20:08:50"
"Herbert Street",40,21,Sunday,"2018-04-01 21:06:15"
"Herbert Street",40,22,Sunday,"2018-04-01 22:07:10"
"Herbert Street",40,23,Sunday,"2018-04-01 23:08:03"
"Herbert Street",40,6,Monday,"2018-04-02 06:02:27"
"Herbert Street",39,7,Monday,"2018-04-02 07:03:25"
"Herbert Street",40,8,Monday,"2018-04-02 08:03:48"
"Herbert Street",40,9,Monday,"2018-04-02 09:04:46"
"Herbert Street",39,10,Monday,"2018-04-02 10:06:45"
"Herbert Street",39,11,Monday,"2018-04-02 11:07:43"
"Herbert Street",40,12,Monday,"2018-04-02 12:04:43"
"Herbert Street",40,13,Monday,"2018-04-02 13:05:42"
"Herbert Street",29,14,Monday,"2018-04-02 14:06:39"
"Herbert Street",23,15,Monday,"2018-04-02 15:00:51"
"Herbert Street",24,16,Monday,"2018-04-02 16:01:52"
"Herbert Street",22,17,Monday,"2018-04-02 17:03:45"
"Herbert Street",23,18,Monday,"2018-04-02 18:04:41"
"Herbert Street",23,19,Monday,"2018-04-02 19:02:12"
"Herbert Street",22,20,Monday,"2018-04-02 20:03:08"
"Herbert Street",22,21,Monday,"2018-04-02 21:07:02"
"Herbert Street",23,22,Monday,"2018-04-02 22:07:57"
"Herbert Street",23,23,Monday,"2018-04-02 23:09:32"
"Herbert Street",14,6,Tuesday,"2018-04-03 06:02:43"
"Herbert Street",22,7,Tuesday,"2018-04-03 07:01:59"
"Herbert Street",38,8,Tuesday,"2018-04-03 08:01:25"
"Herbert Street",37,9,Tuesday,"2018-04-03 09:04:08"
"Herbert Street",39,10,Tuesday,"2018-04-03 10:01:03"
"Herbert Street",37,11,Tuesday,"2018-04-03 11:08:37"
"Herbert Street",35,12,Tuesday,"2018-04-03 12:07:59"
"Herbert Street",31,13,Tuesday,"2018-04-03 13:02:52"
"Herbert Street",32,14,Tuesday,"2018-04-03 14:00:01"
"Herbert Street",24,15,Tuesday,"2018-04-03 15:02:07"
"Herbert Street",1,16,Tuesday,"2018-04-03 16:04:39"
"Herbert Street",0,17,Tuesday,"2018-04-03 17:01:02"
"Herbert Street",0,18,Tuesday,"2018-04-03 18:03:10"
"Herbert Street",0,19,Tuesday,"2018-04-03 19:00:41"
"Herbert Street",1,20,Tuesday,"2018-04-03 20:02:31"
"Herbert Street",1,21,Tuesday,"2018-04-03 21:03:27"
"Herbert Street",1,22,Tuesday,"2018-04-03 22:08:26"
"Herbert Street",0,23,Tuesday,"2018-04-03 23:01:52"
"Herbert Street",2,6,Wednesday,"2018-04-04 06:03:36"
"Herbert Street",7,7,Wednesday,"2018-04-04 07:01:56"
"Herbert Street",21,8,Wednesday,"2018-04-04 08:03:14"
"Herbert Street",22,9,Wednesday,"2018-04-04 09:08:51"
"Herbert Street",24,10,Wednesday,"2018-04-04 10:02:46"
"Herbert Street",25,11,Wednesday,"2018-04-04 11:08:49"
"Herbert Street",23,12,Wednesday,"2018-04-04 12:04:51"
"Herbert Street",21,13,Wednesday,"2018-04-04 13:05:37"
"Herbert Street",34,14,Wednesday,"2018-04-04 14:00:06"
"Herbert Street",37,15,Wednesday,"2018-04-04 15:07:01"
"Herbert Street",10,16,Wednesday,"2018-04-04 16:01:31"
"Herbert Street",0,17,Wednesday,"2018-04-04 17:01:08"
"Herbert Street",0,18,Wednesday,"2018-04-04 18:00:28"
"Herbert Street",1,19,Wednesday,"2018-04-04 19:00:55"
"Herbert Street",0,20,Wednesday,"2018-04-04 20:07:38"
"Herbert Street",0,21,Wednesday,"2018-04-04 21:07:16"
"Herbert Street",0,22,Wednesday,"2018-04-04 22:08:12"
"Herbert Street",0,23,Wednesday,"2018-04-04 23:09:09"
