address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Heuston Station (Central),37,6,Thursday,29/03/2018 06:04,0
Heuston Station (Central),6,7,Thursday,29/03/2018 07:05,0
Heuston Station (Central),0,8,Thursday,29/03/2018 08:06,0
Heuston Station (Central),0,9,Thursday,29/03/2018 09:07,0
Heuston Station (Central),0,10,Thursday,29/03/2018 10:08,0
Heuston Station (Central),0,11,Thursday,29/03/2018 11:09,10
Heuston Station (Central),0,12,Thursday,29/03/2018 12:00,30
Heuston Station (Central),0,13,Thursday,29/03/2018 13:00,30
Heuston Station (Central),1,14,Thursday,29/03/2018 14:01,45
Heuston Station (Central),7,15,Thursday,29/03/2018 15:02,40
Heuston Station (Central),33,16,Thursday,29/03/2018 16:04,30
Heuston Station (Central),40,17,Thursday,29/03/2018 17:03,30
Heuston Station (Central),40,18,Thursday,29/03/2018 18:04,30
Heuston Station (Central),40,19,Thursday,29/03/2018 19:05,40
Heuston Station (Central),40,20,Thursday,29/03/2018 20:06,30
Heuston Station (Central),40,21,Thursday,29/03/2018 21:07,25
Heuston Station (Central),40,22,Thursday,29/03/2018 22:08,30
Heuston Station (Central),40,23,Thursday,29/03/2018 23:09,40
Heuston Station (Central),40,6,Friday,30/03/2018 06:03,0
Heuston Station (Central),40,7,Friday,30/03/2018 07:04,0
Heuston Station (Central),39,8,Friday,30/03/2018 08:01,0
Heuston Station (Central),39,9,Friday,30/03/2018 09:03,0
Heuston Station (Central),39,10,Friday,30/03/2018 10:01,20
Heuston Station (Central),39,11,Friday,30/03/2018 11:02,20
Heuston Station (Central),39,12,Friday,30/03/2018 12:03,20
Heuston Station (Central),39,13,Friday,30/03/2018 13:04,20
Heuston Station (Central),39,14,Friday,30/03/2018 14:06,20
Heuston Station (Central),39,15,Friday,30/03/2018 15:07,0
Heuston Station (Central),40,16,Friday,30/03/2018 16:03,0
Heuston Station (Central),40,17,Friday,30/03/2018 17:05,20
Heuston Station (Central),40,18,Friday,30/03/2018 18:06,0
Heuston Station (Central),40,19,Friday,30/03/2018 19:07,0
Heuston Station (Central),40,20,Friday,30/03/2018 20:08,0
Heuston Station (Central),40,21,Friday,30/03/2018 21:09,0
Heuston Station (Central),40,22,Friday,30/03/2018 22:00,0
Heuston Station (Central),40,23,Friday,30/03/2018 23:01,0
Heuston Station (Central),40,6,Saturday,31/03/2018 06:02,0
Heuston Station (Central),40,7,Saturday,31/03/2018 07:03,0
Heuston Station (Central),40,8,Saturday,31/03/2018 08:04,0
Heuston Station (Central),40,9,Saturday,31/03/2018 09:05,0
Heuston Station (Central),40,10,Saturday,31/03/2018 10:06,0
Heuston Station (Central),40,11,Saturday,31/03/2018 11:07,0
Heuston Station (Central),40,12,Saturday,31/03/2018 12:08,0
Heuston Station (Central),40,13,Saturday,31/03/2018 13:08,0
Heuston Station (Central),40,14,Saturday,31/03/2018 14:09,0
Heuston Station (Central),40,15,Saturday,31/03/2018 15:00,0
Heuston Station (Central),40,16,Saturday,31/03/2018 16:01,0
Heuston Station (Central),40,17,Saturday,31/03/2018 17:02,0
Heuston Station (Central),40,18,Saturday,31/03/2018 18:03,0
Heuston Station (Central),40,19,Saturday,31/03/2018 19:04,0
Heuston Station (Central),40,20,Saturday,31/03/2018 20:05,0
Heuston Station (Central),40,21,Saturday,31/03/2018 21:06,0
Heuston Station (Central),40,22,Saturday,31/03/2018 22:07,0
Heuston Station (Central),40,23,Saturday,31/03/2018 23:07,0
Heuston Station (Central),40,6,Sunday,01/04/2018 06:02,30
Heuston Station (Central),40,7,Sunday,01/04/2018 07:03,30
Heuston Station (Central),40,8,Sunday,01/04/2018 08:04,0
Heuston Station (Central),40,9,Sunday,01/04/2018 09:05,0
Heuston Station (Central),40,10,Sunday,01/04/2018 10:09,0
Heuston Station (Central),40,11,Sunday,01/04/2018 11:00,0
Heuston Station (Central),40,12,Sunday,01/04/2018 12:01,0
Heuston Station (Central),40,13,Sunday,01/04/2018 13:02,0
Heuston Station (Central),40,14,Sunday,01/04/2018 14:03,0
Heuston Station (Central),40,15,Sunday,01/04/2018 15:04,0
Heuston Station (Central),40,16,Sunday,01/04/2018 16:05,0
Heuston Station (Central),40,17,Sunday,01/04/2018 17:06,0
Heuston Station (Central),40,18,Sunday,01/04/2018 18:06,0
Heuston Station (Central),40,19,Sunday,01/04/2018 19:07,0
Heuston Station (Central),40,20,Sunday,01/04/2018 20:08,45
Heuston Station (Central),40,21,Sunday,01/04/2018 21:09,50
Heuston Station (Central),40,22,Sunday,01/04/2018 22:00,50
Heuston Station (Central),40,23,Sunday,01/04/2018 23:01,60
Heuston Station (Central),40,6,Monday,02/04/2018 06:02,70
Heuston Station (Central),40,7,Monday,02/04/2018 07:03,70
Heuston Station (Central),40,8,Monday,02/04/2018 08:04,60
Heuston Station (Central),40,9,Monday,02/04/2018 09:05,70
Heuston Station (Central),40,10,Monday,02/04/2018 10:06,65
Heuston Station (Central),40,11,Monday,02/04/2018 11:07,70
Heuston Station (Central),40,12,Monday,02/04/2018 12:08,70
Heuston Station (Central),40,13,Monday,02/04/2018 13:09,70
Heuston Station (Central),40,14,Monday,02/04/2018 14:00,60
Heuston Station (Central),40,15,Monday,02/04/2018 15:01,60
Heuston Station (Central),40,16,Monday,02/04/2018 16:02,60
Heuston Station (Central),40,17,Monday,02/04/2018 17:02,50
Heuston Station (Central),40,18,Monday,02/04/2018 18:03,40
Heuston Station (Central),40,19,Monday,02/04/2018 19:04,0
Heuston Station (Central),40,20,Monday,02/04/2018 20:05,0
Heuston Station (Central),40,21,Monday,02/04/2018 21:06,40
Heuston Station (Central),40,22,Monday,02/04/2018 22:07,50
Heuston Station (Central),40,23,Monday,02/04/2018 23:08,60
Heuston Station (Central),36,6,Tuesday,03/04/2018 06:04,0
Heuston Station (Central),6,7,Tuesday,03/04/2018 07:01,20
Heuston Station (Central),0,8,Tuesday,03/04/2018 08:08,20
Heuston Station (Central),0,9,Tuesday,03/04/2018 09:09,0
Heuston Station (Central),0,10,Tuesday,03/04/2018 10:00,0
Heuston Station (Central),0,11,Tuesday,03/04/2018 11:01,0
Heuston Station (Central),0,12,Tuesday,03/04/2018 12:02,30
Heuston Station (Central),0,13,Tuesday,03/04/2018 13:03,40
Heuston Station (Central),0,14,Tuesday,03/04/2018 14:04,20
Heuston Station (Central),4,15,Tuesday,03/04/2018 15:05,20
Heuston Station (Central),27,16,Tuesday,03/04/2018 16:03,30
Heuston Station (Central),39,17,Tuesday,03/04/2018 17:05,0
Heuston Station (Central),40,18,Tuesday,03/04/2018 18:03,0
Heuston Station (Central),40,19,Tuesday,03/04/2018 19:04,0
Heuston Station (Central),40,20,Tuesday,03/04/2018 20:05,0
Heuston Station (Central),40,21,Tuesday,03/04/2018 21:06,0
Heuston Station (Central),40,22,Tuesday,03/04/2018 22:07,0
Heuston Station (Central),40,23,Tuesday,03/04/2018 23:07,0
Heuston Station (Central),38,6,Wednesday,04/04/2018 06:02,40
Heuston Station (Central),22,7,Wednesday,04/04/2018 07:06,40
Heuston Station (Central),13,8,Wednesday,04/04/2018 08:01,30
Heuston Station (Central),10,9,Wednesday,04/04/2018 09:06,40
Heuston Station (Central),10,10,Wednesday,04/04/2018 10:07,40
Heuston Station (Central),10,11,Wednesday,04/04/2018 11:08,20
Heuston Station (Central),10,12,Wednesday,04/04/2018 12:09,0
Heuston Station (Central),10,13,Wednesday,04/04/2018 13:05,10
Heuston Station (Central),6,14,Wednesday,04/04/2018 14:06,0
Heuston Station (Central),6,15,Wednesday,04/04/2018 15:09,20
Heuston Station (Central),34,16,Wednesday,04/04/2018 16:06,20
Heuston Station (Central),40,17,Wednesday,04/04/2018 17:03,40
Heuston Station (Central),34,18,Wednesday,04/04/2018 18:04,0
Heuston Station (Central),32,19,Wednesday,04/04/2018 19:01,0
Heuston Station (Central),33,20,Wednesday,04/04/2018 20:08,0
Heuston Station (Central),33,21,Wednesday,04/04/2018 21:09,40
Heuston Station (Central),33,22,Wednesday,04/04/2018 22:10,30
Heuston Station (Central),33,23,Wednesday,04/04/2018 23:00,30
