address,round(avg(available_bikes)),HOUR,DOW,last_update
"Heuston Station (Car Park)",40,6,Thursday,"2018-03-29 06:02:40"
"Heuston Station (Car Park)",25,7,Thursday,"2018-03-29 07:04:27"
"Heuston Station (Car Park)",11,8,Thursday,"2018-03-29 08:09:03"
"Heuston Station (Car Park)",8,9,Thursday,"2018-03-29 09:02:40"
"Heuston Station (Car Park)",5,10,Thursday,"2018-03-29 10:01:21"
"Heuston Station (Car Park)",5,11,Thursday,"2018-03-29 11:09:59"
"Heuston Station (Car Park)",4,12,Thursday,"2018-03-29 12:00:47"
"Heuston Station (Car Park)",4,13,Thursday,"2018-03-29 13:04:14"
"Heuston Station (Car Park)",4,14,Thursday,"2018-03-29 14:05:10"
"Heuston Station (Car Park)",5,15,Thursday,"2018-03-29 15:06:23"
"Heuston Station (Car Park)",12,16,Thursday,"2018-03-29 16:07:19"
"Heuston Station (Car Park)",23,17,Thursday,"2018-03-29 17:02:18"
"Heuston Station (Car Park)",26,18,Thursday,"2018-03-29 18:02:27"
"Heuston Station (Car Park)",26,19,Thursday,"2018-03-29 19:10:03"
"Heuston Station (Car Park)",26,20,Thursday,"2018-03-29 20:00:50"
"Heuston Station (Car Park)",26,21,Thursday,"2018-03-29 21:01:46"
"Heuston Station (Car Park)",26,22,Thursday,"2018-03-29 22:02:40"
"Heuston Station (Car Park)",26,23,Thursday,"2018-03-29 23:03:35"
"Heuston Station (Car Park)",40,6,Friday,"2018-03-30 06:07:31"
"Heuston Station (Car Park)",40,7,Friday,"2018-03-30 07:08:30"
"Heuston Station (Car Park)",39,8,Friday,"2018-03-30 08:01:06"
"Heuston Station (Car Park)",39,9,Friday,"2018-03-30 09:02:01"
"Heuston Station (Car Park)",39,10,Friday,"2018-03-30 10:02:46"
"Heuston Station (Car Park)",39,11,Friday,"2018-03-30 11:03:42"
"Heuston Station (Car Park)",39,12,Friday,"2018-03-30 12:04:38"
"Heuston Station (Car Park)",40,13,Friday,"2018-03-30 13:05:38"
"Heuston Station (Car Park)",40,14,Friday,"2018-03-30 14:08:39"
"Heuston Station (Car Park)",40,15,Friday,"2018-03-30 15:09:37"
"Heuston Station (Car Park)",40,16,Friday,"2018-03-30 16:00:24"
"Heuston Station (Car Park)",40,17,Friday,"2018-03-30 17:01:21"
"Heuston Station (Car Park)",40,18,Friday,"2018-03-30 18:02:18"
"Heuston Station (Car Park)",40,19,Friday,"2018-03-30 19:03:15"
"Heuston Station (Car Park)",40,20,Friday,"2018-03-30 20:04:11"
"Heuston Station (Car Park)",39,21,Friday,"2018-03-30 21:02:50"
"Heuston Station (Car Park)",40,22,Friday,"2018-03-30 22:03:45"
"Heuston Station (Car Park)",40,23,Friday,"2018-03-30 23:01:08"
"Heuston Station (Car Park)",40,6,Saturday,"2018-03-31 06:03:14"
"Heuston Station (Car Park)",40,7,Saturday,"2018-03-31 07:04:28"
"Heuston Station (Car Park)",40,8,Saturday,"2018-03-31 08:05:37"
"Heuston Station (Car Park)",40,9,Saturday,"2018-03-31 09:06:49"
"Heuston Station (Car Park)",40,10,Saturday,"2018-03-31 10:08:01"
"Heuston Station (Car Park)",40,11,Saturday,"2018-03-31 11:09:15"
"Heuston Station (Car Park)",40,12,Saturday,"2018-03-31 12:00:16"
"Heuston Station (Car Park)",40,13,Saturday,"2018-03-31 13:01:29"
"Heuston Station (Car Park)",40,14,Saturday,"2018-03-31 14:02:45"
"Heuston Station (Car Park)",40,15,Saturday,"2018-03-31 15:03:55"
"Heuston Station (Car Park)",40,16,Saturday,"2018-03-31 16:05:13"
"Heuston Station (Car Park)",40,17,Saturday,"2018-03-31 17:06:28"
"Heuston Station (Car Park)",40,18,Saturday,"2018-03-31 18:07:43"
"Heuston Station (Car Park)",40,19,Saturday,"2018-03-31 19:09:02"
"Heuston Station (Car Park)",40,20,Saturday,"2018-03-31 20:00:02"
"Heuston Station (Car Park)",40,21,Saturday,"2018-03-31 21:01:16"
"Heuston Station (Car Park)",40,22,Saturday,"2018-03-31 22:02:30"
"Heuston Station (Car Park)",40,23,Saturday,"2018-03-31 23:03:48"
"Heuston Station (Car Park)",40,6,Sunday,"2018-04-01 06:02:41"
"Heuston Station (Car Park)",40,7,Sunday,"2018-04-01 07:03:39"
"Heuston Station (Car Park)",40,8,Sunday,"2018-04-01 08:04:38"
"Heuston Station (Car Park)",39,9,Sunday,"2018-04-01 09:05:37"
"Heuston Station (Car Park)",39,10,Sunday,"2018-04-01 10:04:32"
"Heuston Station (Car Park)",39,11,Sunday,"2018-04-01 11:03:39"
"Heuston Station (Car Park)",39,12,Sunday,"2018-04-01 12:04:35"
"Heuston Station (Car Park)",39,13,Sunday,"2018-04-01 13:08:32"
"Heuston Station (Car Park)",39,14,Sunday,"2018-04-01 14:09:29"
"Heuston Station (Car Park)",39,15,Sunday,"2018-04-01 15:00:16"
"Heuston Station (Car Park)",39,16,Sunday,"2018-04-01 16:01:16"
"Heuston Station (Car Park)",39,17,Sunday,"2018-04-01 17:02:10"
"Heuston Station (Car Park)",39,18,Sunday,"2018-04-01 18:03:09"
"Heuston Station (Car Park)",39,19,Sunday,"2018-04-01 19:04:05"
"Heuston Station (Car Park)",39,20,Sunday,"2018-04-01 20:05:02"
"Heuston Station (Car Park)",39,21,Sunday,"2018-04-01 21:05:58"
"Heuston Station (Car Park)",39,22,Sunday,"2018-04-01 22:06:52"
"Heuston Station (Car Park)",39,23,Sunday,"2018-04-01 23:07:46"
"Heuston Station (Car Park)",39,6,Monday,"2018-04-02 06:02:39"
"Heuston Station (Car Park)",39,7,Monday,"2018-04-02 07:03:35"
"Heuston Station (Car Park)",39,8,Monday,"2018-04-02 08:04:33"
"Heuston Station (Car Park)",39,9,Monday,"2018-04-02 09:05:29"
"Heuston Station (Car Park)",39,10,Monday,"2018-04-02 10:06:27"
"Heuston Station (Car Park)",39,11,Monday,"2018-04-02 11:07:26"
"Heuston Station (Car Park)",39,12,Monday,"2018-04-02 12:08:22"
"Heuston Station (Car Park)",39,13,Monday,"2018-04-02 13:09:19"
"Heuston Station (Car Park)",39,14,Monday,"2018-04-02 14:02:58"
"Heuston Station (Car Park)",39,15,Monday,"2018-04-02 15:03:54"
"Heuston Station (Car Park)",39,16,Monday,"2018-04-02 16:04:49"
"Heuston Station (Car Park)",39,17,Monday,"2018-04-02 17:05:46"
"Heuston Station (Car Park)",39,18,Monday,"2018-04-02 18:06:43"
"Heuston Station (Car Park)",39,19,Monday,"2018-04-02 19:07:40"
"Heuston Station (Car Park)",39,20,Monday,"2018-04-02 20:08:39"
"Heuston Station (Car Park)",39,21,Monday,"2018-04-02 21:09:40"
"Heuston Station (Car Park)",40,22,Monday,"2018-04-02 22:00:13"
"Heuston Station (Car Park)",40,23,Monday,"2018-04-02 23:01:10"
"Heuston Station (Car Park)",39,6,Tuesday,"2018-04-03 06:01:13"
"Heuston Station (Car Park)",22,7,Tuesday,"2018-04-03 07:02:29"
"Heuston Station (Car Park)",1,8,Tuesday,"2018-04-03 08:02:48"
"Heuston Station (Car Park)",0,9,Tuesday,"2018-04-03 09:05:26"
"Heuston Station (Car Park)",0,10,Tuesday,"2018-04-03 10:07:01"
"Heuston Station (Car Park)",0,11,Tuesday,"2018-04-03 11:08:42"
"Heuston Station (Car Park)",0,12,Tuesday,"2018-04-03 12:00:09"
"Heuston Station (Car Park)",0,13,Tuesday,"2018-04-03 13:01:48"
"Heuston Station (Car Park)",0,14,Tuesday,"2018-04-03 14:03:26"
"Heuston Station (Car Park)",2,15,Tuesday,"2018-04-03 15:05:43"
"Heuston Station (Car Park)",5,16,Tuesday,"2018-04-03 16:08:45"
"Heuston Station (Car Park)",10,17,Tuesday,"2018-04-03 17:01:59"
"Heuston Station (Car Park)",12,18,Tuesday,"2018-04-03 18:08:26"
"Heuston Station (Car Park)",12,19,Tuesday,"2018-04-03 19:00:02"
"Heuston Station (Car Park)",13,20,Tuesday,"2018-04-03 20:08:19"
"Heuston Station (Car Park)",13,21,Tuesday,"2018-04-03 21:09:58"
