address,round(avg(available_bikes)),HOUR,DOW,last_update
"Heuston Station (Central)",37,6,Thursday,"2018-03-29 06:04:28"
"Heuston Station (Central)",6,7,Thursday,"2018-03-29 07:05:31"
"Heuston Station (Central)",0,8,Thursday,"2018-03-29 08:06:34"
"Heuston Station (Central)",0,9,Thursday,"2018-03-29 09:07:27"
"Heuston Station (Central)",0,10,Thursday,"2018-03-29 10:08:22"
"Heuston Station (Central)",0,11,Thursday,"2018-03-29 11:09:16"
"Heuston Station (Central)",0,12,Thursday,"2018-03-29 12:00:01"
"Heuston Station (Central)",0,13,Thursday,"2018-03-29 13:00:56"
"Heuston Station (Central)",1,14,Thursday,"2018-03-29 14:01:22"
"Heuston Station (Central)",7,15,Thursday,"2018-03-29 15:02:16"
"Heuston Station (Central)",33,16,Thursday,"2018-03-29 16:04:59"
"Heuston Station (Central)",40,17,Thursday,"2018-03-29 17:03:58"
"Heuston Station (Central)",40,18,Thursday,"2018-03-29 18:04:52"
"Heuston Station (Central)",40,19,Thursday,"2018-03-29 19:05:48"
"Heuston Station (Central)",40,20,Thursday,"2018-03-29 20:06:43"
"Heuston Station (Central)",40,21,Thursday,"2018-03-29 21:07:38"
"Heuston Station (Central)",40,22,Thursday,"2018-03-29 22:08:32"
"Heuston Station (Central)",40,23,Thursday,"2018-03-29 23:09:28"
"Heuston Station (Central)",40,6,Friday,"2018-03-30 06:03:14"
"Heuston Station (Central)",40,7,Friday,"2018-03-30 07:04:29"
"Heuston Station (Central)",39,8,Friday,"2018-03-30 08:01:48"
"Heuston Station (Central)",39,9,Friday,"2018-03-30 09:03:03"
"Heuston Station (Central)",39,10,Friday,"2018-03-30 10:01:01"
"Heuston Station (Central)",39,11,Friday,"2018-03-30 11:02:15"
"Heuston Station (Central)",39,12,Friday,"2018-03-30 12:03:33"
"Heuston Station (Central)",39,13,Friday,"2018-03-30 13:04:51"
"Heuston Station (Central)",39,14,Friday,"2018-03-30 14:06:05"
"Heuston Station (Central)",39,15,Friday,"2018-03-30 15:07:22"
"Heuston Station (Central)",40,16,Friday,"2018-03-30 16:03:54"
"Heuston Station (Central)",40,17,Friday,"2018-03-30 17:05:08"
"Heuston Station (Central)",40,18,Friday,"2018-03-30 18:06:22"
"Heuston Station (Central)",40,19,Friday,"2018-03-30 19:07:36"
"Heuston Station (Central)",40,20,Friday,"2018-03-30 20:08:46"
"Heuston Station (Central)",40,21,Friday,"2018-03-30 21:09:55"
"Heuston Station (Central)",40,22,Friday,"2018-03-30 22:00:50"
"Heuston Station (Central)",40,23,Friday,"2018-03-30 23:01:58"
"Heuston Station (Central)",40,6,Saturday,"2018-03-31 06:02:31"
"Heuston Station (Central)",40,7,Saturday,"2018-03-31 07:03:26"
"Heuston Station (Central)",40,8,Saturday,"2018-03-31 08:04:21"
"Heuston Station (Central)",40,9,Saturday,"2018-03-31 09:05:17"
"Heuston Station (Central)",40,10,Saturday,"2018-03-31 10:06:12"
"Heuston Station (Central)",40,11,Saturday,"2018-03-31 11:07:07"
"Heuston Station (Central)",40,12,Saturday,"2018-03-31 12:08:02"
"Heuston Station (Central)",40,13,Saturday,"2018-03-31 13:08:57"
"Heuston Station (Central)",40,14,Saturday,"2018-03-31 14:09:52"
"Heuston Station (Central)",40,15,Saturday,"2018-03-31 15:00:39"
"Heuston Station (Central)",40,16,Saturday,"2018-03-31 16:01:34"
"Heuston Station (Central)",40,17,Saturday,"2018-03-31 17:02:29"
"Heuston Station (Central)",40,18,Saturday,"2018-03-31 18:03:24"
"Heuston Station (Central)",40,19,Saturday,"2018-03-31 19:04:18"
"Heuston Station (Central)",40,20,Saturday,"2018-03-31 20:05:13"
"Heuston Station (Central)",40,21,Saturday,"2018-03-31 21:06:07"
"Heuston Station (Central)",40,22,Saturday,"2018-03-31 22:07:02"
"Heuston Station (Central)",40,23,Saturday,"2018-03-31 23:07:57"
"Heuston Station (Central)",40,6,Sunday,"2018-04-01 06:02:41"
"Heuston Station (Central)",40,7,Sunday,"2018-04-01 07:03:39"
"Heuston Station (Central)",40,8,Sunday,"2018-04-01 08:04:38"
"Heuston Station (Central)",40,9,Sunday,"2018-04-01 09:05:37"
"Heuston Station (Central)",40,10,Sunday,"2018-04-01 10:09:31"
"Heuston Station (Central)",40,11,Sunday,"2018-04-01 11:00:19"
"Heuston Station (Central)",40,12,Sunday,"2018-04-01 12:01:15"
"Heuston Station (Central)",40,13,Sunday,"2018-04-01 13:02:12"
"Heuston Station (Central)",40,14,Sunday,"2018-04-01 14:03:08"
"Heuston Station (Central)",40,15,Sunday,"2018-04-01 15:04:06"
"Heuston Station (Central)",40,16,Sunday,"2018-04-01 16:05:04"
"Heuston Station (Central)",40,17,Sunday,"2018-04-01 17:06:01"
"Heuston Station (Central)",40,18,Sunday,"2018-04-01 18:06:58"
"Heuston Station (Central)",40,19,Sunday,"2018-04-01 19:07:53"
"Heuston Station (Central)",40,20,Sunday,"2018-04-01 20:08:48"
"Heuston Station (Central)",40,21,Sunday,"2018-04-01 21:09:44"
"Heuston Station (Central)",40,22,Sunday,"2018-04-01 22:00:32"
"Heuston Station (Central)",40,23,Sunday,"2018-04-01 23:01:26"
"Heuston Station (Central)",40,6,Monday,"2018-04-02 06:02:44"
"Heuston Station (Central)",40,7,Monday,"2018-04-02 07:03:41"
"Heuston Station (Central)",40,8,Monday,"2018-04-02 08:04:36"
"Heuston Station (Central)",40,9,Monday,"2018-04-02 09:05:31"
"Heuston Station (Central)",40,10,Monday,"2018-04-02 10:06:27"
"Heuston Station (Central)",40,11,Monday,"2018-04-02 11:07:25"
"Heuston Station (Central)",40,12,Monday,"2018-04-02 12:08:23"
"Heuston Station (Central)",40,13,Monday,"2018-04-02 13:09:18"
"Heuston Station (Central)",40,14,Monday,"2018-04-02 14:00:04"
"Heuston Station (Central)",40,15,Monday,"2018-04-02 15:01:02"
"Heuston Station (Central)",40,16,Monday,"2018-04-02 16:02:01"
"Heuston Station (Central)",40,17,Monday,"2018-04-02 17:02:59"
"Heuston Station (Central)",40,18,Monday,"2018-04-02 18:03:59"
"Heuston Station (Central)",40,19,Monday,"2018-04-02 19:04:56"
"Heuston Station (Central)",40,20,Monday,"2018-04-02 20:05:52"
"Heuston Station (Central)",40,21,Monday,"2018-04-02 21:06:49"
"Heuston Station (Central)",40,22,Monday,"2018-04-02 22:07:45"
"Heuston Station (Central)",40,23,Monday,"2018-04-02 23:08:42"
"Heuston Station (Central)",36,6,Tuesday,"2018-04-03 06:04:35"
"Heuston Station (Central)",6,7,Tuesday,"2018-04-03 07:01:02"
"Heuston Station (Central)",0,8,Tuesday,"2018-04-03 08:08:55"
"Heuston Station (Central)",0,9,Tuesday,"2018-04-03 09:09:53"
"Heuston Station (Central)",0,10,Tuesday,"2018-04-03 10:00:39"
"Heuston Station (Central)",0,11,Tuesday,"2018-04-03 11:01:37"
"Heuston Station (Central)",0,12,Tuesday,"2018-04-03 12:02:35"
"Heuston Station (Central)",0,13,Tuesday,"2018-04-03 13:03:31"
"Heuston Station (Central)",0,14,Tuesday,"2018-04-03 14:04:30"
"Heuston Station (Central)",4,15,Tuesday,"2018-04-03 15:05:26"
"Heuston Station (Central)",27,16,Tuesday,"2018-04-03 16:03:08"
"Heuston Station (Central)",39,17,Tuesday,"2018-04-03 17:05:56"
"Heuston Station (Central)",40,18,Tuesday,"2018-04-03 18:03:15"
"Heuston Station (Central)",40,19,Tuesday,"2018-04-03 19:04:12"
"Heuston Station (Central)",40,20,Tuesday,"2018-04-03 20:05:09"
"Heuston Station (Central)",40,21,Tuesday,"2018-04-03 21:06:04"
"Heuston Station (Central)",40,22,Tuesday,"2018-04-03 22:07:01"
"Heuston Station (Central)",40,23,Tuesday,"2018-04-03 23:07:56"
"Heuston Station (Central)",38,6,Wednesday,"2018-04-04 06:02:39"
"Heuston Station (Central)",22,7,Wednesday,"2018-04-04 07:06:30"
"Heuston Station (Central)",13,8,Wednesday,"2018-04-04 08:01:38"
"Heuston Station (Central)",10,9,Wednesday,"2018-04-04 09:06:53"
"Heuston Station (Central)",10,10,Wednesday,"2018-04-04 10:07:49"
"Heuston Station (Central)",10,11,Wednesday,"2018-04-04 11:08:45"
"Heuston Station (Central)",10,12,Wednesday,"2018-04-04 12:09:41"
"Heuston Station (Central)",10,13,Wednesday,"2018-04-04 13:05:37"
"Heuston Station (Central)",6,14,Wednesday,"2018-04-04 14:06:35"
"Heuston Station (Central)",6,15,Wednesday,"2018-04-04 15:09:52"
"Heuston Station (Central)",34,16,Wednesday,"2018-04-04 16:06:21"
"Heuston Station (Central)",40,17,Wednesday,"2018-04-04 17:03:46"
"Heuston Station (Central)",34,18,Wednesday,"2018-04-04 18:04:41"
"Heuston Station (Central)",32,19,Wednesday,"2018-04-04 19:01:07"
"Heuston Station (Central)",33,20,Wednesday,"2018-04-04 20:08:11"
"Heuston Station (Central)",33,21,Wednesday,"2018-04-04 21:09:05"
"Heuston Station (Central)",33,22,Wednesday,"2018-04-04 22:10:00"
"Heuston Station (Central)",33,23,Wednesday,"2018-04-04 23:00:45"
