address,round(avg(available_bikes)),HOUR,DOW,last_update
"Heuston Bridge (North)",36,6,Thursday,"2018-03-29 06:01:36"
"Heuston Bridge (North)",23,7,Thursday,"2018-03-29 07:01:56"
"Heuston Bridge (North)",6,8,Thursday,"2018-03-29 08:05:22"
"Heuston Bridge (North)",0,9,Thursday,"2018-03-29 09:07:31"
"Heuston Bridge (North)",1,10,Thursday,"2018-03-29 10:01:02"
"Heuston Bridge (North)",2,11,Thursday,"2018-03-29 11:01:12"
"Heuston Bridge (North)",1,12,Thursday,"2018-03-29 12:05:07"
"Heuston Bridge (North)",1,13,Thursday,"2018-03-29 13:03:34"
"Heuston Bridge (North)",1,14,Thursday,"2018-03-29 14:03:04"
"Heuston Bridge (North)",9,15,Thursday,"2018-03-29 15:02:43"
"Heuston Bridge (North)",29,16,Thursday,"2018-03-29 16:01:18"
"Heuston Bridge (North)",31,17,Thursday,"2018-03-29 17:00:04"
"Heuston Bridge (North)",30,18,Thursday,"2018-03-29 18:07:49"
"Heuston Bridge (North)",33,19,Thursday,"2018-03-29 19:07:37"
"Heuston Bridge (North)",35,20,Thursday,"2018-03-29 20:04:34"
"Heuston Bridge (North)",35,21,Thursday,"2018-03-29 21:08:37"
"Heuston Bridge (North)",37,22,Thursday,"2018-03-29 22:05:52"
"Heuston Bridge (North)",38,23,Thursday,"2018-03-29 23:09:07"
"Heuston Bridge (North)",39,6,Friday,"2018-03-30 06:05:24"
"Heuston Bridge (North)",34,7,Friday,"2018-03-30 07:03:43"
"Heuston Bridge (North)",32,8,Friday,"2018-03-30 08:06:07"
"Heuston Bridge (North)",33,9,Friday,"2018-03-30 09:08:59"
"Heuston Bridge (North)",31,10,Friday,"2018-03-30 10:05:30"
"Heuston Bridge (North)",32,11,Friday,"2018-03-30 11:00:28"
"Heuston Bridge (North)",29,12,Friday,"2018-03-30 12:03:15"
"Heuston Bridge (North)",31,13,Friday,"2018-03-30 13:08:39"
"Heuston Bridge (North)",33,14,Friday,"2018-03-30 14:04:26"
"Heuston Bridge (North)",31,15,Friday,"2018-03-30 15:09:37"
"Heuston Bridge (North)",35,16,Friday,"2018-03-30 16:08:44"
"Heuston Bridge (North)",35,17,Friday,"2018-03-30 17:03:12"
"Heuston Bridge (North)",36,18,Friday,"2018-03-30 18:01:31"
"Heuston Bridge (North)",34,19,Friday,"2018-03-30 19:07:16"
"Heuston Bridge (North)",33,20,Friday,"2018-03-30 20:01:33"
"Heuston Bridge (North)",32,21,Friday,"2018-03-30 21:09:54"
"Heuston Bridge (North)",32,22,Friday,"2018-03-30 22:04:04"
"Heuston Bridge (North)",33,23,Friday,"2018-03-30 23:00:30"
"Heuston Bridge (North)",34,6,Saturday,"2018-03-31 06:03:36"
"Heuston Bridge (North)",32,7,Saturday,"2018-03-31 07:03:15"
"Heuston Bridge (North)",31,8,Saturday,"2018-03-31 08:01:09"
"Heuston Bridge (North)",30,9,Saturday,"2018-03-31 09:02:21"
"Heuston Bridge (North)",28,10,Saturday,"2018-03-31 10:10:57"
"Heuston Bridge (North)",28,11,Saturday,"2018-03-31 11:07:49"
"Heuston Bridge (North)",28,12,Saturday,"2018-03-31 12:02:03"
