address,round(avg(available_bikes)),HOUR,DOW,last_update
"Heuston Bridge (South)",16,6,Thursday,"2018-03-29 06:02:17"
"Heuston Bridge (South)",6,7,Thursday,"2018-03-29 07:03:10"
"Heuston Bridge (South)",4,8,Thursday,"2018-03-29 08:00:26"
"Heuston Bridge (South)",0,9,Thursday,"2018-03-29 09:01:09"
"Heuston Bridge (South)",1,10,Thursday,"2018-03-29 10:04:29"
"Heuston Bridge (South)",1,11,Thursday,"2018-03-29 11:04:12"
"Heuston Bridge (South)",0,12,Thursday,"2018-03-29 12:06:33"
"Heuston Bridge (South)",1,13,Thursday,"2018-03-29 13:03:54"
"Heuston Bridge (South)",2,14,Thursday,"2018-03-29 14:01:10"
"Heuston Bridge (South)",20,15,Thursday,"2018-03-29 15:02:16"
"Heuston Bridge (South)",21,16,Thursday,"2018-03-29 16:07:25"
"Heuston Bridge (South)",24,17,Thursday,"2018-03-29 17:05:39"
"Heuston Bridge (South)",12,18,Thursday,"2018-03-29 18:05:55"
"Heuston Bridge (South)",10,19,Thursday,"2018-03-29 19:00:53"
"Heuston Bridge (South)",13,20,Thursday,"2018-03-29 20:04:47"
"Heuston Bridge (South)",13,21,Thursday,"2018-03-29 21:03:20"
"Heuston Bridge (South)",13,22,Thursday,"2018-03-29 22:06:12"
"Heuston Bridge (South)",13,23,Thursday,"2018-03-29 23:07:07"
"Heuston Bridge (South)",25,6,Friday,"2018-03-30 06:04:52"
"Heuston Bridge (South)",20,7,Friday,"2018-03-30 07:03:26"
"Heuston Bridge (South)",23,8,Friday,"2018-03-30 08:01:14"
"Heuston Bridge (South)",23,9,Friday,"2018-03-30 09:06:25"
"Heuston Bridge (South)",24,10,Friday,"2018-03-30 10:05:47"
"Heuston Bridge (South)",19,11,Friday,"2018-03-30 11:00:55"
"Heuston Bridge (South)",12,12,Friday,"2018-03-30 12:06:38"
"Heuston Bridge (South)",15,13,Friday,"2018-03-30 13:00:06"
"Heuston Bridge (South)",19,14,Friday,"2018-03-30 14:02:56"
"Heuston Bridge (South)",23,15,Friday,"2018-03-30 15:03:18"
"Heuston Bridge (South)",16,16,Friday,"2018-03-30 16:07:37"
"Heuston Bridge (South)",9,17,Friday,"2018-03-30 17:00:12"
"Heuston Bridge (South)",9,18,Friday,"2018-03-30 18:07:15"
"Heuston Bridge (South)",10,19,Friday,"2018-03-30 19:03:02"
"Heuston Bridge (South)",9,20,Friday,"2018-03-30 20:04:07"
"Heuston Bridge (South)",9,21,Friday,"2018-03-30 21:05:07"
"Heuston Bridge (South)",10,22,Friday,"2018-03-30 22:09:17"
"Heuston Bridge (South)",10,23,Friday,"2018-03-30 23:00:07"
"Heuston Bridge (South)",11,6,Saturday,"2018-03-31 06:09:50"
"Heuston Bridge (South)",13,7,Saturday,"2018-03-31 07:01:22"
"Heuston Bridge (South)",12,8,Saturday,"2018-03-31 08:01:31"
"Heuston Bridge (South)",12,9,Saturday,"2018-03-31 09:04:31"
"Heuston Bridge (South)",13,10,Saturday,"2018-03-31 10:05:46"
"Heuston Bridge (South)",12,11,Saturday,"2018-03-31 11:01:13"
"Heuston Bridge (South)",10,12,Saturday,"2018-03-31 12:09:24"
"Heuston Bridge (South)",9,13,Saturday,"2018-03-31 13:03:30"
"Heuston Bridge (South)",9,14,Saturday,"2018-03-31 14:08:38"
"Heuston Bridge (South)",10,15,Saturday,"2018-03-31 15:07:04"
"Heuston Bridge (South)",10,16,Saturday,"2018-03-31 16:00:35"
"Heuston Bridge (South)",12,17,Saturday,"2018-03-31 17:00:24"
"Heuston Bridge (South)",12,18,Saturday,"2018-03-31 18:05:37"
"Heuston Bridge (South)",10,19,Saturday,"2018-03-31 19:02:30"
"Heuston Bridge (South)",8,20,Saturday,"2018-03-31 20:06:38"
"Heuston Bridge (South)",9,21,Saturday,"2018-03-31 21:06:22"
"Heuston Bridge (South)",8,22,Saturday,"2018-03-31 22:07:13"
"Heuston Bridge (South)",10,23,Saturday,"2018-03-31 23:08:15"
"Heuston Bridge (South)",10,6,Sunday,"2018-04-01 06:02:40"
"Heuston Bridge (South)",13,7,Sunday,"2018-04-01 07:03:42"
"Heuston Bridge (South)",15,8,Sunday,"2018-04-01 08:07:53"
"Heuston Bridge (South)",15,9,Sunday,"2018-04-01 09:04:58"
"Heuston Bridge (South)",15,10,Sunday,"2018-04-01 10:00:00"
"Heuston Bridge (South)",10,11,Sunday,"2018-04-01 11:04:11"
"Heuston Bridge (South)",8,12,Sunday,"2018-04-01 12:00:01"
"Heuston Bridge (South)",6,13,Sunday,"2018-04-01 13:04:04"
"Heuston Bridge (South)",6,14,Sunday,"2018-04-01 14:01:27"
"Heuston Bridge (South)",5,15,Sunday,"2018-04-01 15:05:55"
"Heuston Bridge (South)",4,16,Sunday,"2018-04-01 16:08:23"
"Heuston Bridge (South)",2,17,Sunday,"2018-04-01 17:05:31"
"Heuston Bridge (South)",4,18,Sunday,"2018-04-01 18:09:25"
"Heuston Bridge (South)",6,19,Sunday,"2018-04-01 19:05:50"
"Heuston Bridge (South)",6,20,Sunday,"2018-04-01 20:00:43"
