address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
High Street,9,6,Thursday,29/03/2018 06:00,0
High Street,3,7,Thursday,29/03/2018 07:03,0
High Street,1,8,Thursday,29/03/2018 08:04,0
High Street,0,9,Thursday,29/03/2018 09:03,0
High Street,0,10,Thursday,29/03/2018 10:04,0
High Street,0,11,Thursday,29/03/2018 11:05,10
High Street,6,12,Thursday,29/03/2018 12:06,30
High Street,6,13,Thursday,29/03/2018 13:02,30
High Street,5,14,Thursday,29/03/2018 14:05,45
High Street,5,15,Thursday,29/03/2018 15:07,40
High Street,2,16,Thursday,29/03/2018 16:01,30
High Street,1,17,Thursday,29/03/2018 17:02,30
High Street,6,18,Thursday,29/03/2018 18:04,30
High Street,8,19,Thursday,29/03/2018 19:07,40
High Street,8,20,Thursday,29/03/2018 20:07,30
High Street,8,21,Thursday,29/03/2018 21:06,25
High Street,7,22,Thursday,29/03/2018 22:07,30
High Street,6,23,Thursday,29/03/2018 23:03,40
High Street,5,6,Friday,30/03/2018 06:05,0
High Street,4,7,Friday,30/03/2018 07:06,0
High Street,1,8,Friday,30/03/2018 08:03,0
High Street,1,9,Friday,30/03/2018 09:06,0
High Street,0,10,Friday,30/03/2018 10:00,20
High Street,5,11,Friday,30/03/2018 11:01,20
High Street,19,12,Friday,30/03/2018 12:04,20
High Street,17,13,Friday,30/03/2018 13:01,20
High Street,18,14,Friday,30/03/2018 14:05,20
High Street,20,15,Friday,30/03/2018 15:02,0
High Street,18,16,Friday,30/03/2018 16:02,0
High Street,16,17,Friday,30/03/2018 17:09,20
High Street,16,18,Friday,30/03/2018 18:06,0
High Street,16,19,Friday,30/03/2018 19:04,0
High Street,16,20,Friday,30/03/2018 20:01,0
High Street,18,21,Friday,30/03/2018 21:01,0
High Street,17,22,Friday,30/03/2018 22:05,0
High Street,19,23,Friday,30/03/2018 23:01,0
High Street,19,6,Saturday,31/03/2018 06:09,0
High Street,19,7,Saturday,31/03/2018 07:08,0
High Street,20,8,Saturday,31/03/2018 08:00,0
High Street,19,9,Saturday,31/03/2018 09:06,0
High Street,23,10,Saturday,31/03/2018 10:08,0
High Street,18,11,Saturday,31/03/2018 11:00,0
High Street,17,12,Saturday,31/03/2018 12:03,0
High Street,19,13,Saturday,31/03/2018 13:02,0
High Street,18,14,Saturday,31/03/2018 14:09,0
High Street,15,15,Saturday,31/03/2018 15:00,0
High Street,13,16,Saturday,31/03/2018 16:08,0
High Street,10,17,Saturday,31/03/2018 17:04,0
High Street,11,18,Saturday,31/03/2018 18:00,0
High Street,13,19,Saturday,31/03/2018 19:01,0
High Street,14,20,Saturday,31/03/2018 20:01,0
High Street,17,21,Saturday,31/03/2018 21:04,0
High Street,17,22,Saturday,31/03/2018 22:07,0
High Street,18,23,Saturday,31/03/2018 23:11,0
High Street,17,6,Sunday,01/04/2018 06:02,30
High Street,16,7,Sunday,01/04/2018 07:07,30
High Street,17,8,Sunday,01/04/2018 08:05,0
High Street,18,9,Sunday,01/04/2018 09:05,0
High Street,17,10,Sunday,01/04/2018 10:00,0
