address,round(avg(available_bikes)),HOUR,DOW,last_update
"High Street",9,6,Thursday,"2018-03-29 06:00:37"
"High Street",3,7,Thursday,"2018-03-29 07:03:18"
"High Street",1,8,Thursday,"2018-03-29 08:04:44"
"High Street",0,9,Thursday,"2018-03-29 09:03:28"
"High Street",0,10,Thursday,"2018-03-29 10:04:26"
"High Street",0,11,Thursday,"2018-03-29 11:05:24"
"High Street",6,12,Thursday,"2018-03-29 12:06:22"
"High Street",6,13,Thursday,"2018-03-29 13:02:05"
"High Street",5,14,Thursday,"2018-03-29 14:05:54"
"High Street",5,15,Thursday,"2018-03-29 15:07:31"
"High Street",2,16,Thursday,"2018-03-29 16:01:39"
"High Street",1,17,Thursday,"2018-03-29 17:02:42"
"High Street",6,18,Thursday,"2018-03-29 18:04:19"
"High Street",8,19,Thursday,"2018-03-29 19:07:34"
"High Street",8,20,Thursday,"2018-03-29 20:07:35"
"High Street",8,21,Thursday,"2018-03-29 21:06:57"
"High Street",7,22,Thursday,"2018-03-29 22:07:55"
"High Street",6,23,Thursday,"2018-03-29 23:03:13"
"High Street",5,6,Friday,"2018-03-30 06:05:28"
"High Street",4,7,Friday,"2018-03-30 07:06:23"
"High Street",1,8,Friday,"2018-03-30 08:03:38"
"High Street",1,9,Friday,"2018-03-30 09:06:28"
"High Street",0,10,Friday,"2018-03-30 10:00:23"
"High Street",5,11,Friday,"2018-03-30 11:01:19"
"High Street",19,12,Friday,"2018-03-30 12:04:56"
"High Street",17,13,Friday,"2018-03-30 13:01:22"
"High Street",18,14,Friday,"2018-03-30 14:05:33"
"High Street",20,15,Friday,"2018-03-30 15:02:09"
"High Street",18,16,Friday,"2018-03-30 16:02:43"
"High Street",16,17,Friday,"2018-03-30 17:09:29"
"High Street",16,18,Friday,"2018-03-30 18:06:48"
"High Street",16,19,Friday,"2018-03-30 19:04:08"
"High Street",16,20,Friday,"2018-03-30 20:01:48"
"High Street",18,21,Friday,"2018-03-30 21:01:11"
"High Street",17,22,Friday,"2018-03-30 22:05:37"
"High Street",19,23,Friday,"2018-03-30 23:01:15"
"High Street",19,6,Saturday,"2018-03-31 06:09:31"
"High Street",19,7,Saturday,"2018-03-31 07:08:03"
"High Street",20,8,Saturday,"2018-03-31 08:00:28"
"High Street",19,9,Saturday,"2018-03-31 09:06:15"
"High Street",23,10,Saturday,"2018-03-31 10:08:02"
"High Street",18,11,Saturday,"2018-03-31 11:00:23"
"High Street",17,12,Saturday,"2018-03-31 12:03:52"
"High Street",19,13,Saturday,"2018-03-31 13:02:15"
"High Street",18,14,Saturday,"2018-03-31 14:09:15"
"High Street",15,15,Saturday,"2018-03-31 15:00:26"
"High Street",13,16,Saturday,"2018-03-31 16:08:23"
"High Street",10,17,Saturday,"2018-03-31 17:04:17"
"High Street",11,18,Saturday,"2018-03-31 18:00:35"
"High Street",13,19,Saturday,"2018-03-31 19:01:01"
"High Street",14,20,Saturday,"2018-03-31 20:01:57"
"High Street",17,21,Saturday,"2018-03-31 21:04:52"
"High Street",17,22,Saturday,"2018-03-31 22:07:22"
"High Street",18,23,Saturday,"2018-03-31 23:11:43"
"High Street",17,6,Sunday,"2018-04-01 06:02:38"
"High Street",16,7,Sunday,"2018-04-01 07:07:09"
"High Street",17,8,Sunday,"2018-04-01 08:05:20"
"High Street",18,9,Sunday,"2018-04-01 09:05:09"
"High Street",17,10,Sunday,"2018-04-01 10:00:09"
"High Street",15,11,Sunday,"2018-04-01 11:09:14"
"High Street",15,12,Sunday,"2018-04-01 12:02:56"
"High Street",11,13,Sunday,"2018-04-01 13:00:01"
"High Street",9,14,Sunday,"2018-04-01 14:03:24"
"High Street",9,15,Sunday,"2018-04-01 15:11:22"
"High Street",11,16,Sunday,"2018-04-01 16:06:57"
"High Street",9,17,Sunday,"2018-04-01 17:02:34"
"High Street",8,18,Sunday,"2018-04-01 18:04:05"
"High Street",9,19,Sunday,"2018-04-01 19:03:25"
"High Street",7,20,Sunday,"2018-04-01 20:05:45"
"High Street",7,21,Sunday,"2018-04-01 21:07:47"
"High Street",8,22,Sunday,"2018-04-01 22:00:27"
"High Street",6,23,Sunday,"2018-04-01 23:08:30"
"High Street",6,6,Monday,"2018-04-02 06:02:29"
"High Street",7,7,Monday,"2018-04-02 07:09:55"
"High Street",7,8,Monday,"2018-04-02 08:00:41"
"High Street",7,9,Monday,"2018-04-02 09:07:55"
"High Street",7,10,Monday,"2018-04-02 10:04:10"
"High Street",7,11,Monday,"2018-04-02 11:01:31"
"High Street",6,12,Monday,"2018-04-02 12:09:01"
"High Street",6,13,Monday,"2018-04-02 13:09:56"
"High Street",4,14,Monday,"2018-04-02 14:07:01"
"High Street",4,15,Monday,"2018-04-02 15:02:26"
"High Street",5,16,Monday,"2018-04-02 16:03:22"
"High Street",6,17,Monday,"2018-04-02 17:01:34"
"High Street",5,18,Monday,"2018-04-02 18:10:04"
"High Street",4,19,Monday,"2018-04-02 19:06:52"
