address,round(avg(available_bikes)),HOUR,DOW,last_update
"James Street",23,6,Thursday,"2018-03-29 06:06:53"
"James Street",17,7,Thursday,"2018-03-29 07:05:31"
"James Street",5,8,Thursday,"2018-03-29 08:03:22"
"James Street",4,9,Thursday,"2018-03-29 09:05:39"
"James Street",1,10,Thursday,"2018-03-29 10:02:55"
"James Street",0,11,Thursday,"2018-03-29 11:07:04"
"James Street",0,12,Thursday,"2018-03-29 12:03:18"
"James Street",0,13,Thursday,"2018-03-29 13:00:11"
"James Street",2,14,Thursday,"2018-03-29 14:04:28"
"James Street",3,15,Thursday,"2018-03-29 15:05:01"
"James Street",7,16,Thursday,"2018-03-29 16:00:09"
"James Street",13,17,Thursday,"2018-03-29 17:05:06"
"James Street",15,18,Thursday,"2018-03-29 18:06:16"
"James Street",17,19,Thursday,"2018-03-29 19:08:35"
"James Street",20,20,Thursday,"2018-03-29 20:07:38"
"James Street",23,21,Thursday,"2018-03-29 21:03:31"
"James Street",27,22,Thursday,"2018-03-29 22:06:37"
"James Street",27,23,Thursday,"2018-03-29 23:03:14"
"James Street",23,6,Friday,"2018-03-30 06:08:04"
"James Street",23,7,Friday,"2018-03-30 07:03:22"
"James Street",23,8,Friday,"2018-03-30 08:02:33"
"James Street",22,9,Friday,"2018-03-30 09:00:44"
"James Street",16,10,Friday,"2018-03-30 10:05:46"
"James Street",12,11,Friday,"2018-03-30 11:01:00"
"James Street",13,12,Friday,"2018-03-30 12:08:14"
"James Street",14,13,Friday,"2018-03-30 13:09:30"
"James Street",16,14,Friday,"2018-03-30 14:05:59"
"James Street",16,15,Friday,"2018-03-30 15:00:51"
"James Street",15,16,Friday,"2018-03-30 16:09:27"
"James Street",14,17,Friday,"2018-03-30 17:03:17"
"James Street",13,18,Friday,"2018-03-30 18:00:11"
"James Street",9,19,Friday,"2018-03-30 19:05:05"
"James Street",9,20,Friday,"2018-03-30 20:04:06"
"James Street",8,21,Friday,"2018-03-30 21:09:10"
"James Street",9,22,Friday,"2018-03-30 22:03:50"
"James Street",11,23,Friday,"2018-03-30 23:02:23"
"James Street",10,6,Saturday,"2018-03-31 06:06:58"
"James Street",12,7,Saturday,"2018-03-31 07:00:10"
"James Street",30,8,Saturday,"2018-03-31 08:02:34"
"James Street",29,9,Saturday,"2018-03-31 09:09:43"
"James Street",29,10,Saturday,"2018-03-31 10:05:02"
"James Street",35,11,Saturday,"2018-03-31 11:08:01"
"James Street",37,12,Saturday,"2018-03-31 12:02:05"
"James Street",35,13,Saturday,"2018-03-31 13:03:07"
"James Street",33,14,Saturday,"2018-03-31 14:05:17"
"James Street",32,15,Saturday,"2018-03-31 15:08:09"
"James Street",31,16,Saturday,"2018-03-31 16:04:58"
"James Street",28,17,Saturday,"2018-03-31 17:03:51"
"James Street",25,18,Saturday,"2018-03-31 18:09:59"
"James Street",23,19,Saturday,"2018-03-31 19:08:57"
"James Street",23,20,Saturday,"2018-03-31 20:09:42"
"James Street",24,21,Saturday,"2018-03-31 21:08:41"
"James Street",24,22,Saturday,"2018-03-31 22:00:03"
"James Street",23,23,Saturday,"2018-03-31 23:03:51"
"James Street",22,6,Sunday,"2018-04-01 06:04:30"
"James Street",22,7,Sunday,"2018-04-01 07:09:32"
"James Street",22,8,Sunday,"2018-04-01 08:03:16"
"James Street",19,9,Sunday,"2018-04-01 09:03:52"
"James Street",19,10,Sunday,"2018-04-01 10:02:38"
"James Street",19,11,Sunday,"2018-04-01 11:09:40"
"James Street",21,12,Sunday,"2018-04-01 12:03:39"
"James Street",19,13,Sunday,"2018-04-01 13:09:54"
"James Street",20,14,Sunday,"2018-04-01 14:09:38"
"James Street",22,15,Sunday,"2018-04-01 15:06:46"
"James Street",22,16,Sunday,"2018-04-01 16:02:55"
"James Street",24,17,Sunday,"2018-04-01 17:08:48"
"James Street",24,18,Sunday,"2018-04-01 18:06:24"
"James Street",20,19,Sunday,"2018-04-01 19:03:28"
"James Street",22,20,Sunday,"2018-04-01 20:01:35"
"James Street",21,21,Sunday,"2018-04-01 21:09:26"
"James Street",21,22,Sunday,"2018-04-01 22:00:49"
"James Street",22,23,Sunday,"2018-04-01 23:01:46"
"James Street",23,6,Monday,"2018-04-02 06:07:28"
"James Street",21,7,Monday,"2018-04-02 07:01:27"
"James Street",21,8,Monday,"2018-04-02 08:03:36"
"James Street",23,9,Monday,"2018-04-02 09:03:31"
"James Street",26,10,Monday,"2018-04-02 10:01:31"
"James Street",27,11,Monday,"2018-04-02 11:00:36"
"James Street",25,12,Monday,"2018-04-02 12:01:51"
"James Street",26,13,Monday,"2018-04-02 13:04:25"
"James Street",26,14,Monday,"2018-04-02 14:02:32"
"James Street",24,15,Monday,"2018-04-02 15:05:58"
"James Street",21,16,Monday,"2018-04-02 16:03:17"
"James Street",20,17,Monday,"2018-04-02 17:04:41"
"James Street",20,18,Monday,"2018-04-02 18:05:44"
"James Street",20,19,Monday,"2018-04-02 19:09:28"
"James Street",21,20,Monday,"2018-04-02 20:00:38"
"James Street",22,21,Monday,"2018-04-02 21:03:48"
"James Street",21,22,Monday,"2018-04-02 22:04:43"
"James Street",21,23,Monday,"2018-04-02 23:09:27"
"James Street",12,6,Tuesday,"2018-04-03 06:06:44"
"James Street",2,7,Tuesday,"2018-04-03 07:02:34"
"James Street",0,8,Tuesday,"2018-04-03 08:06:16"
"James Street",0,9,Tuesday,"2018-04-03 09:05:46"
"James Street",0,10,Tuesday,"2018-04-03 10:08:28"
"James Street",1,11,Tuesday,"2018-04-03 11:01:32"
"James Street",1,12,Tuesday,"2018-04-03 12:06:16"
"James Street",5,13,Tuesday,"2018-04-03 13:09:33"
"James Street",5,14,Tuesday,"2018-04-03 14:09:45"
"James Street",2,15,Tuesday,"2018-04-03 15:03:48"
"James Street",8,16,Tuesday,"2018-04-03 16:03:15"
"James Street",15,17,Tuesday,"2018-04-03 17:00:15"
"James Street",21,18,Tuesday,"2018-04-03 18:00:07"
"James Street",22,19,Tuesday,"2018-04-03 19:05:28"
"James Street",22,20,Tuesday,"2018-04-03 20:05:25"
"James Street",24,21,Tuesday,"2018-04-03 21:03:37"
"James Street",22,22,Tuesday,"2018-04-03 22:04:30"
"James Street",23,23,Tuesday,"2018-04-03 23:08:39"
"James Street",19,6,Wednesday,"2018-04-04 06:01:11"
"James Street",13,7,Wednesday,"2018-04-04 07:03:27"
"James Street",8,8,Wednesday,"2018-04-04 08:02:50"
"James Street",5,9,Wednesday,"2018-04-04 09:04:37"
"James Street",5,10,Wednesday,"2018-04-04 10:00:26"
"James Street",4,11,Wednesday,"2018-04-04 11:08:40"
"James Street",5,12,Wednesday,"2018-04-04 12:06:32"
"James Street",6,13,Wednesday,"2018-04-04 13:02:29"
"James Street",5,14,Wednesday,"2018-04-04 14:06:51"
"James Street",5,15,Wednesday,"2018-04-04 15:05:50"
"James Street",17,16,Wednesday,"2018-04-04 16:05:17"
"James Street",35,17,Wednesday,"2018-04-04 17:01:08"
"James Street",36,18,Wednesday,"2018-04-04 18:07:08"
"James Street",37,19,Wednesday,"2018-04-04 19:07:23"
"James Street",38,20,Wednesday,"2018-04-04 20:03:01"
"James Street",40,21,Wednesday,"2018-04-04 21:00:30"
"James Street",40,22,Wednesday,"2018-04-04 22:08:29"
"James Street",40,23,Wednesday,"2018-04-04 23:09:24"
