address,round(avg(available_bikes)),HOUR,DOW,last_update
"Jervis Street",9,6,Thursday,"2018-03-29 06:03:49"
"Jervis Street",9,7,Thursday,"2018-03-29 07:05:20"
"Jervis Street",13,8,Thursday,"2018-03-29 08:02:53"
"Jervis Street",16,9,Thursday,"2018-03-29 09:02:23"
"Jervis Street",20,10,Thursday,"2018-03-29 10:05:10"
"Jervis Street",20,11,Thursday,"2018-03-29 11:00:40"
"Jervis Street",17,12,Thursday,"2018-03-29 12:05:43"
"Jervis Street",11,13,Thursday,"2018-03-29 13:00:29"
"Jervis Street",8,14,Thursday,"2018-03-29 14:02:14"
"Jervis Street",5,15,Thursday,"2018-03-29 15:00:41"
"Jervis Street",13,16,Thursday,"2018-03-29 16:01:48"
"Jervis Street",20,17,Thursday,"2018-03-29 17:00:20"
"Jervis Street",20,18,Thursday,"2018-03-29 18:12:38"
"Jervis Street",19,19,Thursday,"2018-03-29 19:02:48"
"Jervis Street",12,20,Thursday,"2018-03-29 20:07:03"
"Jervis Street",9,21,Thursday,"2018-03-29 21:06:27"
"Jervis Street",6,22,Thursday,"2018-03-29 22:09:19"
"Jervis Street",5,23,Thursday,"2018-03-29 23:07:30"
"Jervis Street",12,6,Friday,"2018-03-30 06:05:49"
"Jervis Street",11,7,Friday,"2018-03-30 07:01:56"
"Jervis Street",17,8,Friday,"2018-03-30 08:01:19"
"Jervis Street",20,9,Friday,"2018-03-30 09:05:27"
"Jervis Street",20,10,Friday,"2018-03-30 10:01:57"
"Jervis Street",20,11,Friday,"2018-03-30 11:12:29"
"Jervis Street",21,12,Friday,"2018-03-30 12:08:33"
"Jervis Street",18,13,Friday,"2018-03-30 13:00:43"
"Jervis Street",18,14,Friday,"2018-03-30 14:01:02"
"Jervis Street",19,15,Friday,"2018-03-30 15:04:38"
"Jervis Street",19,16,Friday,"2018-03-30 16:04:27"
"Jervis Street",21,17,Friday,"2018-03-30 17:06:13"
"Jervis Street",14,18,Friday,"2018-03-30 18:04:17"
"Jervis Street",11,19,Friday,"2018-03-30 19:09:43"
"Jervis Street",6,20,Friday,"2018-03-30 20:03:00"
"Jervis Street",6,21,Friday,"2018-03-30 21:01:20"
"Jervis Street",6,22,Friday,"2018-03-30 22:06:05"
"Jervis Street",6,23,Friday,"2018-03-30 23:08:56"
"Jervis Street",8,6,Saturday,"2018-03-31 06:04:54"
"Jervis Street",13,7,Saturday,"2018-03-31 07:06:58"
"Jervis Street",17,8,Saturday,"2018-03-31 08:04:25"
"Jervis Street",21,9,Saturday,"2018-03-31 09:00:16"
"Jervis Street",20,10,Saturday,"2018-03-31 10:03:11"
"Jervis Street",20,11,Saturday,"2018-03-31 11:01:58"
"Jervis Street",21,12,Saturday,"2018-03-31 12:04:35"
"Jervis Street",21,13,Saturday,"2018-03-31 13:09:53"
"Jervis Street",21,14,Saturday,"2018-03-31 14:05:27"
"Jervis Street",21,15,Saturday,"2018-03-31 15:04:05"
"Jervis Street",20,16,Saturday,"2018-03-31 16:04:38"
"Jervis Street",19,17,Saturday,"2018-03-31 17:06:35"
"Jervis Street",16,18,Saturday,"2018-03-31 18:05:44"
"Jervis Street",20,19,Saturday,"2018-03-31 19:06:35"
"Jervis Street",16,20,Saturday,"2018-03-31 20:04:58"
"Jervis Street",16,21,Saturday,"2018-03-31 21:06:55"
"Jervis Street",13,22,Saturday,"2018-03-31 22:02:11"
"Jervis Street",11,23,Saturday,"2018-03-31 23:07:57"
"Jervis Street",11,6,Sunday,"2018-04-01 06:02:08"
"Jervis Street",13,7,Sunday,"2018-04-01 07:07:42"
"Jervis Street",16,8,Sunday,"2018-04-01 08:03:48"
"Jervis Street",19,9,Sunday,"2018-04-01 09:07:42"
"Jervis Street",21,10,Sunday,"2018-04-01 10:01:04"
"Jervis Street",20,11,Sunday,"2018-04-01 11:09:22"
"Jervis Street",20,12,Sunday,"2018-04-01 12:05:47"
"Jervis Street",21,13,Sunday,"2018-04-01 13:00:56"
"Jervis Street",19,14,Sunday,"2018-04-01 14:00:47"
"Jervis Street",20,15,Sunday,"2018-04-01 15:10:59"
"Jervis Street",21,16,Sunday,"2018-04-01 16:07:28"
"Jervis Street",20,17,Sunday,"2018-04-01 17:07:36"
"Jervis Street",20,18,Sunday,"2018-04-01 18:08:03"
"Jervis Street",21,19,Sunday,"2018-04-01 19:08:18"
"Jervis Street",18,20,Sunday,"2018-04-01 20:01:29"
"Jervis Street",17,21,Sunday,"2018-04-01 21:00:00"
"Jervis Street",17,22,Sunday,"2018-04-01 22:00:53"
"Jervis Street",14,23,Sunday,"2018-04-01 23:03:30"
"Jervis Street",14,6,Monday,"2018-04-02 06:02:16"
"Jervis Street",13,7,Monday,"2018-04-02 07:01:45"
"Jervis Street",14,8,Monday,"2018-04-02 08:03:23"
"Jervis Street",18,9,Monday,"2018-04-02 09:04:07"
"Jervis Street",12,10,Monday,"2018-04-02 10:00:32"
"Jervis Street",5,11,Monday,"2018-04-02 11:06:44"
"Jervis Street",8,12,Monday,"2018-04-02 12:02:13"
"Jervis Street",7,13,Monday,"2018-04-02 13:09:19"
"Jervis Street",5,14,Monday,"2018-04-02 14:12:32"
"Jervis Street",8,15,Monday,"2018-04-02 15:06:54"
"Jervis Street",13,16,Monday,"2018-04-02 16:01:48"
"Jervis Street",12,17,Monday,"2018-04-02 17:03:02"
"Jervis Street",8,18,Monday,"2018-04-02 18:03:11"
"Jervis Street",8,19,Monday,"2018-04-02 19:05:09"
"Jervis Street",7,20,Monday,"2018-04-02 20:02:40"
"Jervis Street",6,21,Monday,"2018-04-02 21:00:44"
"Jervis Street",5,22,Monday,"2018-04-02 22:10:03"
"Jervis Street",5,23,Monday,"2018-04-02 23:00:49"
"Jervis Street",14,6,Tuesday,"2018-04-03 06:00:58"
"Jervis Street",15,7,Tuesday,"2018-04-03 07:03:30"
"Jervis Street",3,8,Tuesday,"2018-04-03 08:07:32"
"Jervis Street",2,9,Tuesday,"2018-04-03 09:06:21"
"Jervis Street",4,10,Tuesday,"2018-04-03 10:03:22"
"Jervis Street",5,11,Tuesday,"2018-04-03 11:00:55"
"Jervis Street",2,12,Tuesday,"2018-04-03 12:02:53"
"Jervis Street",1,13,Tuesday,"2018-04-03 13:04:01"
"Jervis Street",1,14,Tuesday,"2018-04-03 14:01:06"
"Jervis Street",3,15,Tuesday,"2018-04-03 15:02:21"
"Jervis Street",7,16,Tuesday,"2018-04-03 16:01:16"
"Jervis Street",15,17,Tuesday,"2018-04-03 17:05:36"
"Jervis Street",10,18,Tuesday,"2018-04-03 18:00:35"
"Jervis Street",2,19,Tuesday,"2018-04-03 19:05:23"
"Jervis Street",0,20,Tuesday,"2018-04-03 20:00:49"
"Jervis Street",0,21,Tuesday,"2018-04-03 21:04:38"
"Jervis Street",0,22,Tuesday,"2018-04-03 22:01:10"
"Jervis Street",0,23,Tuesday,"2018-04-03 23:02:05"
"Jervis Street",3,6,Wednesday,"2018-04-04 06:09:49"
"Jervis Street",4,7,Wednesday,"2018-04-04 07:03:07"
"Jervis Street",5,8,Wednesday,"2018-04-04 08:06:46"
"Jervis Street",6,9,Wednesday,"2018-04-04 09:04:43"
"Jervis Street",8,10,Wednesday,"2018-04-04 10:04:16"
"Jervis Street",11,11,Wednesday,"2018-04-04 11:05:14"
"Jervis Street",10,12,Wednesday,"2018-04-04 12:08:13"
"Jervis Street",8,13,Wednesday,"2018-04-04 13:08:52"
"Jervis Street",8,14,Wednesday,"2018-04-04 14:05:20"
"Jervis Street",4,15,Wednesday,"2018-04-04 15:04:41"
"Jervis Street",4,16,Wednesday,"2018-04-04 16:00:54"
"Jervis Street",8,17,Wednesday,"2018-04-04 17:01:38"
"Jervis Street",2,18,Wednesday,"2018-04-04 18:01:26"
"Jervis Street",1,19,Wednesday,"2018-04-04 19:01:55"
"Jervis Street",1,20,Wednesday,"2018-04-04 20:07:25"
"Jervis Street",0,21,Wednesday,"2018-04-04 21:00:17"
"Jervis Street",1,22,Wednesday,"2018-04-04 22:01:15"
"Jervis Street",0,23,Wednesday,"2018-04-04 23:02:03"
