address,round(avg(available_bikes)),HOUR,DOW,last_update
"John Street West",8,6,Thursday,"2018-03-29 06:03:42"
"John Street West",1,7,Thursday,"2018-03-29 07:09:10"
"John Street West",2,8,Thursday,"2018-03-29 08:00:18"
"John Street West",1,9,Thursday,"2018-03-29 09:04:49"
"John Street West",1,10,Thursday,"2018-03-29 10:01:00"
"John Street West",0,11,Thursday,"2018-03-29 11:09:36"
"John Street West",4,12,Thursday,"2018-03-29 12:00:30"
"John Street West",5,13,Thursday,"2018-03-29 13:00:47"
"John Street West",4,14,Thursday,"2018-03-29 14:01:23"
"John Street West",5,15,Thursday,"2018-03-29 15:01:04"
"John Street West",13,16,Thursday,"2018-03-29 16:10:49"
"John Street West",12,17,Thursday,"2018-03-29 17:05:38"
"John Street West",16,18,Thursday,"2018-03-29 18:02:53"
"John Street West",20,19,Thursday,"2018-03-29 19:01:30"
"John Street West",24,20,Thursday,"2018-03-29 20:05:27"
"John Street West",25,21,Thursday,"2018-03-29 21:07:48"
"John Street West",25,22,Thursday,"2018-03-29 22:10:00"
"John Street West",24,23,Thursday,"2018-03-29 23:05:55"
"John Street West",20,6,Friday,"2018-03-30 06:06:10"
"John Street West",18,7,Friday,"2018-03-30 07:01:37"
"John Street West",18,8,Friday,"2018-03-30 08:00:58"
"John Street West",19,9,Friday,"2018-03-30 09:04:21"
"John Street West",17,10,Friday,"2018-03-30 10:07:20"
"John Street West",13,11,Friday,"2018-03-30 11:05:46"
"John Street West",13,12,Friday,"2018-03-30 12:13:37"
"John Street West",11,13,Friday,"2018-03-30 13:01:07"
"John Street West",11,14,Friday,"2018-03-30 14:01:16"
"John Street West",10,15,Friday,"2018-03-30 15:04:49"
"John Street West",10,16,Friday,"2018-03-30 16:03:29"
"John Street West",7,17,Friday,"2018-03-30 17:09:35"
"John Street West",8,18,Friday,"2018-03-30 18:09:37"
"John Street West",11,19,Friday,"2018-03-30 19:05:35"
"John Street West",11,20,Friday,"2018-03-30 20:05:11"
"John Street West",11,21,Friday,"2018-03-30 21:06:12"
"John Street West",11,22,Friday,"2018-03-30 22:01:40"
"John Street West",14,23,Friday,"2018-03-30 23:00:29"
"John Street West",13,6,Saturday,"2018-03-31 06:11:18"
"John Street West",14,7,Saturday,"2018-03-31 07:01:03"
"John Street West",12,8,Saturday,"2018-03-31 08:08:35"
"John Street West",11,9,Saturday,"2018-03-31 09:03:04"
"John Street West",9,10,Saturday,"2018-03-31 10:02:39"
"John Street West",9,11,Saturday,"2018-03-31 11:01:11"
"John Street West",14,12,Saturday,"2018-03-31 12:03:30"
"John Street West",12,13,Saturday,"2018-03-31 13:05:07"
"John Street West",12,14,Saturday,"2018-03-31 14:10:10"
"John Street West",15,15,Saturday,"2018-03-31 15:07:13"
"John Street West",18,16,Saturday,"2018-03-31 16:09:00"
"John Street West",18,17,Saturday,"2018-03-31 17:06:14"
"John Street West",19,18,Saturday,"2018-03-31 18:00:01"
"John Street West",20,19,Saturday,"2018-03-31 19:02:01"
"John Street West",22,20,Saturday,"2018-03-31 20:02:28"
"John Street West",22,21,Saturday,"2018-03-31 21:08:04"
"John Street West",21,22,Saturday,"2018-03-31 22:05:30"
"John Street West",22,23,Saturday,"2018-03-31 23:06:24"
"John Street West",21,6,Sunday,"2018-04-01 06:05:00"
"John Street West",20,7,Sunday,"2018-04-01 07:07:26"
"John Street West",18,8,Sunday,"2018-04-01 08:08:42"
"John Street West",16,9,Sunday,"2018-04-01 09:08:31"
"John Street West",14,10,Sunday,"2018-04-01 10:03:16"
"John Street West",11,11,Sunday,"2018-04-01 11:09:03"
"John Street West",9,12,Sunday,"2018-04-01 12:04:38"
"John Street West",10,13,Sunday,"2018-04-01 13:00:30"
"John Street West",13,14,Sunday,"2018-04-01 14:05:57"
"John Street West",13,15,Sunday,"2018-04-01 15:01:19"
"John Street West",14,16,Sunday,"2018-04-01 16:04:00"
"John Street West",8,17,Sunday,"2018-04-01 17:05:55"
"John Street West",9,18,Sunday,"2018-04-01 18:02:19"
"John Street West",9,19,Sunday,"2018-04-01 19:04:57"
"John Street West",9,20,Sunday,"2018-04-01 20:08:42"
"John Street West",9,21,Sunday,"2018-04-01 21:07:20"
"John Street West",8,22,Sunday,"2018-04-01 22:06:59"
"John Street West",7,23,Sunday,"2018-04-01 23:09:04"
"John Street West",6,6,Monday,"2018-04-02 06:01:11"
"John Street West",6,7,Monday,"2018-04-02 07:02:06"
"John Street West",6,8,Monday,"2018-04-02 08:03:01"
"John Street West",4,9,Monday,"2018-04-02 09:08:20"
"John Street West",7,10,Monday,"2018-04-02 10:09:01"
"John Street West",5,11,Monday,"2018-04-02 11:01:03"
"John Street West",4,12,Monday,"2018-04-02 12:02:21"
"John Street West",4,13,Monday,"2018-04-02 13:09:45"
"John Street West",4,14,Monday,"2018-04-02 14:00:31"
"John Street West",4,15,Monday,"2018-04-02 15:00:12"
"John Street West",4,16,Monday,"2018-04-02 16:01:34"
"John Street West",4,17,Monday,"2018-04-02 17:02:02"
"John Street West",5,18,Monday,"2018-04-02 18:02:58"
"John Street West",5,19,Monday,"2018-04-02 19:02:53"
"John Street West",5,20,Monday,"2018-04-02 20:03:49"
"John Street West",5,21,Monday,"2018-04-02 21:04:44"
"John Street West",9,22,Monday,"2018-04-02 22:06:04"
"John Street West",13,23,Monday,"2018-04-02 23:02:24"
"John Street West",9,6,Tuesday,"2018-04-03 06:04:50"
"John Street West",2,7,Tuesday,"2018-04-03 07:02:18"
"John Street West",1,8,Tuesday,"2018-04-03 08:01:45"
"John Street West",0,9,Tuesday,"2018-04-03 09:00:10"
"John Street West",2,10,Tuesday,"2018-04-03 10:05:35"
"John Street West",1,11,Tuesday,"2018-04-03 11:07:17"
"John Street West",1,12,Tuesday,"2018-04-03 12:00:41"
"John Street West",1,13,Tuesday,"2018-04-03 13:08:19"
"John Street West",1,14,Tuesday,"2018-04-03 14:08:14"
"John Street West",21,15,Tuesday,"2018-04-03 15:04:12"
"John Street West",16,16,Tuesday,"2018-04-03 16:04:09"
"John Street West",13,17,Tuesday,"2018-04-03 17:05:14"
"John Street West",15,18,Tuesday,"2018-04-03 18:00:37"
"John Street West",24,19,Tuesday,"2018-04-03 19:05:37"
"John Street West",29,20,Tuesday,"2018-04-03 20:01:35"
"John Street West",27,21,Tuesday,"2018-04-03 21:05:44"
"John Street West",26,22,Tuesday,"2018-04-03 22:01:25"
"John Street West",27,23,Tuesday,"2018-04-03 23:04:01"
"John Street West",22,6,Wednesday,"2018-04-04 06:06:47"
"John Street West",14,7,Wednesday,"2018-04-04 07:07:25"
"John Street West",13,8,Wednesday,"2018-04-04 08:09:38"
"John Street West",11,9,Wednesday,"2018-04-04 09:02:49"
"John Street West",11,10,Wednesday,"2018-04-04 10:06:08"
"John Street West",13,11,Wednesday,"2018-04-04 11:01:49"
"John Street West",13,12,Wednesday,"2018-04-04 12:02:14"
"John Street West",9,13,Wednesday,"2018-04-04 13:04:56"
"John Street West",10,14,Wednesday,"2018-04-04 14:02:26"
"John Street West",9,15,Wednesday,"2018-04-04 15:05:56"
"John Street West",7,16,Wednesday,"2018-04-04 16:01:24"
"John Street West",24,17,Wednesday,"2018-04-04 17:01:38"
"John Street West",28,18,Wednesday,"2018-04-04 18:00:09"
