address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Kevin Street,1,6,Thursday,29/03/2018 06:09,0
Kevin Street,2,7,Thursday,29/03/2018 07:05,0
Kevin Street,5,8,Thursday,29/03/2018 08:03,0
Kevin Street,5,9,Thursday,29/03/2018 09:00,0
Kevin Street,3,10,Thursday,29/03/2018 10:09,0
Kevin Street,0,11,Thursday,29/03/2018 11:04,10
Kevin Street,1,12,Thursday,29/03/2018 12:08,30
Kevin Street,8,13,Thursday,29/03/2018 13:01,30
Kevin Street,8,14,Thursday,29/03/2018 14:03,45
Kevin Street,11,15,Thursday,29/03/2018 15:01,40
Kevin Street,2,16,Thursday,29/03/2018 16:02,30
Kevin Street,4,17,Thursday,29/03/2018 17:00,30
Kevin Street,1,18,Thursday,29/03/2018 18:03,30
Kevin Street,2,19,Thursday,29/03/2018 19:03,40
Kevin Street,3,20,Thursday,29/03/2018 20:03,30
Kevin Street,3,21,Thursday,29/03/2018 21:04,25
Kevin Street,5,22,Thursday,29/03/2018 22:05,30
Kevin Street,5,23,Thursday,29/03/2018 23:05,40
Kevin Street,2,6,Friday,30/03/2018 06:07,0
Kevin Street,0,7,Friday,30/03/2018 07:08,0
Kevin Street,2,8,Friday,30/03/2018 08:01,0
Kevin Street,3,9,Friday,30/03/2018 09:08,0
Kevin Street,7,10,Friday,30/03/2018 10:10,20
Kevin Street,7,11,Friday,30/03/2018 11:01,20
Kevin Street,5,12,Friday,30/03/2018 12:03,20
Kevin Street,4,13,Friday,30/03/2018 13:00,20
Kevin Street,4,14,Friday,30/03/2018 14:00,20
Kevin Street,1,15,Friday,30/03/2018 15:03,0
Kevin Street,1,16,Friday,30/03/2018 16:03,0
Kevin Street,4,17,Friday,30/03/2018 17:01,20
Kevin Street,6,18,Friday,30/03/2018 18:02,0
Kevin Street,10,19,Friday,30/03/2018 19:06,0
Kevin Street,14,20,Friday,30/03/2018 20:05,0
Kevin Street,15,21,Friday,30/03/2018 21:04,0
Kevin Street,15,22,Friday,30/03/2018 22:02,0
Kevin Street,13,23,Friday,30/03/2018 23:02,0
Kevin Street,13,6,Saturday,31/03/2018 06:04,0
Kevin Street,12,7,Saturday,31/03/2018 07:06,0
Kevin Street,11,8,Saturday,31/03/2018 08:07,0
Kevin Street,12,9,Saturday,31/03/2018 09:09,0
Kevin Street,12,10,Saturday,31/03/2018 10:04,0
Kevin Street,12,11,Saturday,31/03/2018 11:03,0
Kevin Street,13,12,Saturday,31/03/2018 12:01,0
Kevin Street,12,13,Saturday,31/03/2018 13:04,0
Kevin Street,12,14,Saturday,31/03/2018 14:02,0
Kevin Street,13,15,Saturday,31/03/2018 15:03,0
Kevin Street,11,16,Saturday,31/03/2018 16:04,0
Kevin Street,9,17,Saturday,31/03/2018 17:01,0
Kevin Street,11,18,Saturday,31/03/2018 18:00,0
Kevin Street,16,19,Saturday,31/03/2018 19:05,0
Kevin Street,20,20,Saturday,31/03/2018 20:05,0
Kevin Street,21,21,Saturday,31/03/2018 21:06,0
Kevin Street,22,22,Saturday,31/03/2018 22:03,0
Kevin Street,21,23,Saturday,31/03/2018 23:06,0
Kevin Street,20,6,Sunday,01/04/2018 06:11,30
Kevin Street,19,7,Sunday,01/04/2018 07:08,30
Kevin Street,17,8,Sunday,01/04/2018 08:00,0
Kevin Street,16,9,Sunday,01/04/2018 09:03,0
Kevin Street,20,10,Sunday,01/04/2018 10:00,0
Kevin Street,22,11,Sunday,01/04/2018 11:03,0
Kevin Street,19,12,Sunday,01/04/2018 12:07,0
Kevin Street,16,13,Sunday,01/04/2018 13:02,0
Kevin Street,15,14,Sunday,01/04/2018 14:03,0
Kevin Street,15,15,Sunday,01/04/2018 15:07,0
Kevin Street,17,16,Sunday,01/04/2018 16:05,0
Kevin Street,21,17,Sunday,01/04/2018 17:00,0
Kevin Street,26,18,Sunday,01/04/2018 18:07,0
Kevin Street,28,19,Sunday,01/04/2018 19:05,0
Kevin Street,29,20,Sunday,01/04/2018 20:03,45
Kevin Street,28,21,Sunday,01/04/2018 21:02,50
Kevin Street,27,22,Sunday,01/04/2018 22:03,50
Kevin Street,27,23,Sunday,01/04/2018 23:04,60
Kevin Street,26,6,Monday,02/04/2018 06:07,70
Kevin Street,27,7,Monday,02/04/2018 07:01,70
Kevin Street,27,8,Monday,02/04/2018 08:02,60
Kevin Street,27,9,Monday,02/04/2018 09:01,70
Kevin Street,29,10,Monday,02/04/2018 10:02,65
Kevin Street,30,11,Monday,02/04/2018 11:05,70
Kevin Street,31,12,Monday,02/04/2018 12:06,70
Kevin Street,30,13,Monday,02/04/2018 13:06,70
Kevin Street,30,14,Monday,02/04/2018 14:03,60
Kevin Street,30,15,Monday,02/04/2018 15:08,60
Kevin Street,29,16,Monday,02/04/2018 16:00,60
