address,round(avg(available_bikes)),HOUR,DOW,last_update
"Kevin Street",1,6,Thursday,"2018-03-29 06:09:40"
"Kevin Street",2,7,Thursday,"2018-03-29 07:05:20"
"Kevin Street",5,8,Thursday,"2018-03-29 08:03:23"
"Kevin Street",5,9,Thursday,"2018-03-29 09:00:30"
"Kevin Street",3,10,Thursday,"2018-03-29 10:09:17"
"Kevin Street",0,11,Thursday,"2018-03-29 11:04:06"
"Kevin Street",1,12,Thursday,"2018-03-29 12:08:30"
"Kevin Street",8,13,Thursday,"2018-03-29 13:01:23"
"Kevin Street",8,14,Thursday,"2018-03-29 14:03:04"
"Kevin Street",11,15,Thursday,"2018-03-29 15:01:34"
"Kevin Street",2,16,Thursday,"2018-03-29 16:02:22"
"Kevin Street",4,17,Thursday,"2018-03-29 17:00:29"
"Kevin Street",1,18,Thursday,"2018-03-29 18:03:36"
"Kevin Street",2,19,Thursday,"2018-03-29 19:03:14"
"Kevin Street",3,20,Thursday,"2018-03-29 20:03:08"
"Kevin Street",3,21,Thursday,"2018-03-29 21:04:14"
"Kevin Street",5,22,Thursday,"2018-03-29 22:05:28"
"Kevin Street",5,23,Thursday,"2018-03-29 23:05:57"
"Kevin Street",2,6,Friday,"2018-03-30 06:07:55"
"Kevin Street",0,7,Friday,"2018-03-30 07:08:23"
"Kevin Street",2,8,Friday,"2018-03-30 08:01:29"
"Kevin Street",3,9,Friday,"2018-03-30 09:08:56"
"Kevin Street",7,10,Friday,"2018-03-30 10:10:04"
"Kevin Street",7,11,Friday,"2018-03-30 11:01:16"
"Kevin Street",5,12,Friday,"2018-03-30 12:03:26"
"Kevin Street",4,13,Friday,"2018-03-30 13:00:11"
"Kevin Street",4,14,Friday,"2018-03-30 14:00:24"
"Kevin Street",1,15,Friday,"2018-03-30 15:03:31"
"Kevin Street",1,16,Friday,"2018-03-30 16:03:57"
"Kevin Street",4,17,Friday,"2018-03-30 17:01:01"
"Kevin Street",6,18,Friday,"2018-03-30 18:02:58"
"Kevin Street",10,19,Friday,"2018-03-30 19:06:06"
"Kevin Street",14,20,Friday,"2018-03-30 20:05:19"
"Kevin Street",15,21,Friday,"2018-03-30 21:04:26"
"Kevin Street",15,22,Friday,"2018-03-30 22:02:39"
"Kevin Street",13,23,Friday,"2018-03-30 23:02:44"
"Kevin Street",13,6,Saturday,"2018-03-31 06:04:51"
"Kevin Street",12,7,Saturday,"2018-03-31 07:06:23"
"Kevin Street",11,8,Saturday,"2018-03-31 08:07:39"
"Kevin Street",12,9,Saturday,"2018-03-31 09:09:21"
"Kevin Street",12,10,Saturday,"2018-03-31 10:04:55"
"Kevin Street",12,11,Saturday,"2018-03-31 11:03:26"
"Kevin Street",13,12,Saturday,"2018-03-31 12:01:01"
"Kevin Street",12,13,Saturday,"2018-03-31 13:04:44"
"Kevin Street",12,14,Saturday,"2018-03-31 14:02:49"
"Kevin Street",13,15,Saturday,"2018-03-31 15:03:28"
"Kevin Street",11,16,Saturday,"2018-03-31 16:04:42"
"Kevin Street",9,17,Saturday,"2018-03-31 17:01:01"
"Kevin Street",11,18,Saturday,"2018-03-31 18:00:50"
"Kevin Street",16,19,Saturday,"2018-03-31 19:05:48"
"Kevin Street",20,20,Saturday,"2018-03-31 20:05:11"
"Kevin Street",21,21,Saturday,"2018-03-31 21:06:36"
"Kevin Street",22,22,Saturday,"2018-03-31 22:03:31"
"Kevin Street",21,23,Saturday,"2018-03-31 23:06:34"
"Kevin Street",20,6,Sunday,"2018-04-01 06:11:47"
"Kevin Street",19,7,Sunday,"2018-04-01 07:08:01"
"Kevin Street",17,8,Sunday,"2018-04-01 08:00:22"
"Kevin Street",16,9,Sunday,"2018-04-01 09:03:03"
"Kevin Street",20,10,Sunday,"2018-04-01 10:00:38"
"Kevin Street",22,11,Sunday,"2018-04-01 11:03:20"
"Kevin Street",19,12,Sunday,"2018-04-01 12:07:11"
"Kevin Street",16,13,Sunday,"2018-04-01 13:02:11"
"Kevin Street",15,14,Sunday,"2018-04-01 14:03:58"
"Kevin Street",15,15,Sunday,"2018-04-01 15:07:52"
"Kevin Street",17,16,Sunday,"2018-04-01 16:05:39"
"Kevin Street",21,17,Sunday,"2018-04-01 17:00:03"
"Kevin Street",26,18,Sunday,"2018-04-01 18:07:24"
"Kevin Street",28,19,Sunday,"2018-04-01 19:05:46"
"Kevin Street",29,20,Sunday,"2018-04-01 20:03:14"
"Kevin Street",28,21,Sunday,"2018-04-01 21:02:12"
"Kevin Street",27,22,Sunday,"2018-04-01 22:03:31"
"Kevin Street",27,23,Sunday,"2018-04-01 23:04:49"
