address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Kilmainham Gaol,16,6,Thursday,29/03/2018 06:04,0
Kilmainham Gaol,1,7,Thursday,29/03/2018 07:05,0
Kilmainham Gaol,0,8,Thursday,29/03/2018 08:08,0
Kilmainham Gaol,0,9,Thursday,29/03/2018 09:09,0
Kilmainham Gaol,0,10,Thursday,29/03/2018 10:00,0
Kilmainham Gaol,0,11,Thursday,29/03/2018 11:01,10
Kilmainham Gaol,1,12,Thursday,29/03/2018 12:05,30
Kilmainham Gaol,2,13,Thursday,29/03/2018 13:00,30
Kilmainham Gaol,3,14,Thursday,29/03/2018 14:03,45
Kilmainham Gaol,4,15,Thursday,29/03/2018 15:06,40
Kilmainham Gaol,9,16,Thursday,29/03/2018 16:00,30
Kilmainham Gaol,14,17,Thursday,29/03/2018 17:01,30
Kilmainham Gaol,17,18,Thursday,29/03/2018 18:03,30
Kilmainham Gaol,21,19,Thursday,29/03/2018 19:01,40
Kilmainham Gaol,24,20,Thursday,29/03/2018 20:02,30
Kilmainham Gaol,24,21,Thursday,29/03/2018 21:06,25
Kilmainham Gaol,24,22,Thursday,29/03/2018 22:07,30
Kilmainham Gaol,25,23,Thursday,29/03/2018 23:03,40
Kilmainham Gaol,18,6,Friday,30/03/2018 06:04,0
Kilmainham Gaol,8,7,Friday,30/03/2018 07:04,0
Kilmainham Gaol,14,8,Friday,30/03/2018 08:01,0
Kilmainham Gaol,12,9,Friday,30/03/2018 09:07,0
Kilmainham Gaol,12,10,Friday,30/03/2018 10:03,20
Kilmainham Gaol,5,11,Friday,30/03/2018 11:07,20
Kilmainham Gaol,4,12,Friday,30/03/2018 12:07,20
Kilmainham Gaol,4,13,Friday,30/03/2018 13:02,20
Kilmainham Gaol,5,14,Friday,30/03/2018 14:05,20
Kilmainham Gaol,6,15,Friday,30/03/2018 15:00,0
Kilmainham Gaol,4,16,Friday,30/03/2018 16:08,0
Kilmainham Gaol,10,17,Friday,30/03/2018 17:09,20
Kilmainham Gaol,24,18,Friday,30/03/2018 18:02,0
Kilmainham Gaol,26,19,Friday,30/03/2018 19:02,0
Kilmainham Gaol,27,20,Friday,30/03/2018 20:08,0
Kilmainham Gaol,27,21,Friday,30/03/2018 21:04,0
Kilmainham Gaol,28,22,Friday,30/03/2018 22:07,0
Kilmainham Gaol,29,23,Friday,30/03/2018 23:06,0
Kilmainham Gaol,29,6,Saturday,31/03/2018 06:02,0
Kilmainham Gaol,26,7,Saturday,31/03/2018 07:07,0
Kilmainham Gaol,24,8,Saturday,31/03/2018 08:07,0
Kilmainham Gaol,30,9,Saturday,31/03/2018 09:03,0
Kilmainham Gaol,32,10,Saturday,31/03/2018 10:04,0
Kilmainham Gaol,29,11,Saturday,31/03/2018 11:08,0
Kilmainham Gaol,26,12,Saturday,31/03/2018 12:04,0
Kilmainham Gaol,25,13,Saturday,31/03/2018 13:06,0
Kilmainham Gaol,26,14,Saturday,31/03/2018 14:01,0
Kilmainham Gaol,26,15,Saturday,31/03/2018 15:08,0
Kilmainham Gaol,26,16,Saturday,31/03/2018 16:02,0
Kilmainham Gaol,26,17,Saturday,31/03/2018 17:06,0
Kilmainham Gaol,26,18,Saturday,31/03/2018 18:01,0
Kilmainham Gaol,27,19,Saturday,31/03/2018 19:08,0
Kilmainham Gaol,26,20,Saturday,31/03/2018 20:01,0
Kilmainham Gaol,28,21,Saturday,31/03/2018 21:03,0
Kilmainham Gaol,29,22,Saturday,31/03/2018 22:09,0
Kilmainham Gaol,28,23,Saturday,31/03/2018 23:02,0
Kilmainham Gaol,27,6,Sunday,01/04/2018 06:00,30
Kilmainham Gaol,26,7,Sunday,01/04/2018 07:07,30
Kilmainham Gaol,24,8,Sunday,01/04/2018 08:03,0
Kilmainham Gaol,23,9,Sunday,01/04/2018 09:08,0
Kilmainham Gaol,19,10,Sunday,01/04/2018 10:05,0
Kilmainham Gaol,17,11,Sunday,01/04/2018 11:00,0
Kilmainham Gaol,15,12,Sunday,01/04/2018 12:01,0
Kilmainham Gaol,8,13,Sunday,01/04/2018 13:05,0
Kilmainham Gaol,1,14,Sunday,01/04/2018 14:06,0
Kilmainham Gaol,1,15,Sunday,01/04/2018 15:11,0
Kilmainham Gaol,1,16,Sunday,01/04/2018 16:09,0
Kilmainham Gaol,2,17,Sunday,01/04/2018 17:00,0
Kilmainham Gaol,1,18,Sunday,01/04/2018 18:00,0
Kilmainham Gaol,1,19,Sunday,01/04/2018 19:03,0
Kilmainham Gaol,3,20,Sunday,01/04/2018 20:00,45
Kilmainham Gaol,4,21,Sunday,01/04/2018 21:01,50
Kilmainham Gaol,3,22,Sunday,01/04/2018 22:07,50
Kilmainham Gaol,3,23,Sunday,01/04/2018 23:01,60
Kilmainham Gaol,1,6,Monday,02/04/2018 06:01,70
