address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Kilmainham Lane,13,6,Thursday,29/03/2018 06:02,0
Kilmainham Lane,4,7,Thursday,29/03/2018 07:05,0
Kilmainham Lane,0,8,Thursday,29/03/2018 08:02,0
Kilmainham Lane,0,9,Thursday,29/03/2018 09:02,0
Kilmainham Lane,0,10,Thursday,29/03/2018 10:03,0
Kilmainham Lane,0,11,Thursday,29/03/2018 11:04,10
Kilmainham Lane,1,12,Thursday,29/03/2018 12:00,30
Kilmainham Lane,0,13,Thursday,29/03/2018 13:09,30
Kilmainham Lane,0,14,Thursday,29/03/2018 14:07,45
Kilmainham Lane,0,15,Thursday,29/03/2018 15:08,40
Kilmainham Lane,2,16,Thursday,29/03/2018 16:02,30
Kilmainham Lane,4,17,Thursday,29/03/2018 17:08,30
Kilmainham Lane,6,18,Thursday,29/03/2018 18:08,30
Kilmainham Lane,6,19,Thursday,29/03/2018 19:03,40
Kilmainham Lane,5,20,Thursday,29/03/2018 20:04,30
Kilmainham Lane,7,21,Thursday,29/03/2018 21:09,25
Kilmainham Lane,7,22,Thursday,29/03/2018 22:01,30
Kilmainham Lane,7,23,Thursday,29/03/2018 23:02,40
Kilmainham Lane,9,6,Friday,30/03/2018 06:02,0
Kilmainham Lane,6,7,Friday,30/03/2018 07:04,0
Kilmainham Lane,5,8,Friday,30/03/2018 08:00,0
Kilmainham Lane,5,9,Friday,30/03/2018 09:01,0
Kilmainham Lane,3,10,Friday,30/03/2018 10:04,20
Kilmainham Lane,2,11,Friday,30/03/2018 11:07,20
Kilmainham Lane,1,12,Friday,30/03/2018 12:02,20
Kilmainham Lane,1,13,Friday,30/03/2018 13:03,20
Kilmainham Lane,1,14,Friday,30/03/2018 14:11,20
Kilmainham Lane,1,15,Friday,30/03/2018 15:03,0
Kilmainham Lane,3,16,Friday,30/03/2018 16:05,0
Kilmainham Lane,1,17,Friday,30/03/2018 17:00,20
Kilmainham Lane,1,18,Friday,30/03/2018 18:04,0
Kilmainham Lane,2,19,Friday,30/03/2018 19:08,0
Kilmainham Lane,3,20,Friday,30/03/2018 20:05,0
Kilmainham Lane,4,21,Friday,30/03/2018 21:04,0
Kilmainham Lane,5,22,Friday,30/03/2018 22:03,0
Kilmainham Lane,7,23,Friday,30/03/2018 23:04,0
Kilmainham Lane,8,6,Saturday,31/03/2018 06:02,0
Kilmainham Lane,8,7,Saturday,31/03/2018 07:06,0
Kilmainham Lane,8,8,Saturday,31/03/2018 08:07,0
Kilmainham Lane,13,9,Saturday,31/03/2018 09:03,0
Kilmainham Lane,13,10,Saturday,31/03/2018 10:07,0
Kilmainham Lane,9,11,Saturday,31/03/2018 11:03,0
Kilmainham Lane,6,12,Saturday,31/03/2018 12:08,0
Kilmainham Lane,5,13,Saturday,31/03/2018 13:06,0
Kilmainham Lane,4,14,Saturday,31/03/2018 14:07,0
Kilmainham Lane,4,15,Saturday,31/03/2018 15:01,0
Kilmainham Lane,3,16,Saturday,31/03/2018 16:07,0
Kilmainham Lane,3,17,Saturday,31/03/2018 17:08,0
Kilmainham Lane,4,18,Saturday,31/03/2018 18:07,0
Kilmainham Lane,5,19,Saturday,31/03/2018 19:04,0
Kilmainham Lane,6,20,Saturday,31/03/2018 20:05,0
Kilmainham Lane,6,21,Saturday,31/03/2018 21:04,0
Kilmainham Lane,5,22,Saturday,31/03/2018 22:07,0
Kilmainham Lane,6,23,Saturday,31/03/2018 23:09,0
Kilmainham Lane,7,6,Sunday,01/04/2018 06:02,30
Kilmainham Lane,8,7,Sunday,01/04/2018 07:03,30
Kilmainham Lane,8,8,Sunday,01/04/2018 08:02,0
Kilmainham Lane,8,9,Sunday,01/04/2018 09:03,0
Kilmainham Lane,8,10,Sunday,01/04/2018 10:04,0
Kilmainham Lane,7,11,Sunday,01/04/2018 11:08,0
Kilmainham Lane,8,12,Sunday,01/04/2018 12:10,0
Kilmainham Lane,5,13,Sunday,01/04/2018 13:07,0
Kilmainham Lane,2,14,Sunday,01/04/2018 14:07,0
