address,round(avg(available_bikes)),HOUR,DOW,last_update
"Kilmainham Gaol",16,6,Thursday,"2018-03-29 06:04:16"
"Kilmainham Gaol",1,7,Thursday,"2018-03-29 07:05:26"
"Kilmainham Gaol",0,8,Thursday,"2018-03-29 08:08:22"
"Kilmainham Gaol",0,9,Thursday,"2018-03-29 09:09:28"
"Kilmainham Gaol",0,10,Thursday,"2018-03-29 10:00:15"
"Kilmainham Gaol",0,11,Thursday,"2018-03-29 11:01:13"
"Kilmainham Gaol",1,12,Thursday,"2018-03-29 12:05:38"
"Kilmainham Gaol",2,13,Thursday,"2018-03-29 13:00:54"
"Kilmainham Gaol",3,14,Thursday,"2018-03-29 14:03:04"
"Kilmainham Gaol",4,15,Thursday,"2018-03-29 15:06:49"
"Kilmainham Gaol",9,16,Thursday,"2018-03-29 16:00:15"
"Kilmainham Gaol",14,17,Thursday,"2018-03-29 17:01:17"
"Kilmainham Gaol",17,18,Thursday,"2018-03-29 18:03:32"
"Kilmainham Gaol",21,19,Thursday,"2018-03-29 19:01:04"
"Kilmainham Gaol",24,20,Thursday,"2018-03-29 20:02:05"
"Kilmainham Gaol",24,21,Thursday,"2018-03-29 21:06:06"
"Kilmainham Gaol",24,22,Thursday,"2018-03-29 22:07:02"
"Kilmainham Gaol",25,23,Thursday,"2018-03-29 23:03:30"
"Kilmainham Gaol",18,6,Friday,"2018-03-30 06:04:08"
"Kilmainham Gaol",8,7,Friday,"2018-03-30 07:04:45"
"Kilmainham Gaol",14,8,Friday,"2018-03-30 08:01:26"
"Kilmainham Gaol",12,9,Friday,"2018-03-30 09:07:14"
"Kilmainham Gaol",12,10,Friday,"2018-03-30 10:03:51"
"Kilmainham Gaol",5,11,Friday,"2018-03-30 11:07:32"
"Kilmainham Gaol",4,12,Friday,"2018-03-30 12:07:21"
"Kilmainham Gaol",4,13,Friday,"2018-03-30 13:02:48"
"Kilmainham Gaol",5,14,Friday,"2018-03-30 14:05:52"
"Kilmainham Gaol",6,15,Friday,"2018-03-30 15:00:07"
"Kilmainham Gaol",4,16,Friday,"2018-03-30 16:08:22"
"Kilmainham Gaol",10,17,Friday,"2018-03-30 17:09:16"
"Kilmainham Gaol",24,18,Friday,"2018-03-30 18:02:28"
"Kilmainham Gaol",26,19,Friday,"2018-03-30 19:02:52"
"Kilmainham Gaol",27,20,Friday,"2018-03-30 20:08:44"
"Kilmainham Gaol",27,21,Friday,"2018-03-30 21:04:53"
"Kilmainham Gaol",28,22,Friday,"2018-03-30 22:07:20"
"Kilmainham Gaol",29,23,Friday,"2018-03-30 23:06:13"
"Kilmainham Gaol",29,6,Saturday,"2018-03-31 06:02:10"
"Kilmainham Gaol",26,7,Saturday,"2018-03-31 07:07:06"
"Kilmainham Gaol",24,8,Saturday,"2018-03-31 08:07:11"
"Kilmainham Gaol",30,9,Saturday,"2018-03-31 09:03:44"
"Kilmainham Gaol",32,10,Saturday,"2018-03-31 10:04:32"
"Kilmainham Gaol",29,11,Saturday,"2018-03-31 11:08:52"
"Kilmainham Gaol",26,12,Saturday,"2018-03-31 12:04:07"
"Kilmainham Gaol",25,13,Saturday,"2018-03-31 13:06:13"
"Kilmainham Gaol",26,14,Saturday,"2018-03-31 14:01:32"
"Kilmainham Gaol",26,15,Saturday,"2018-03-31 15:08:30"
"Kilmainham Gaol",26,16,Saturday,"2018-03-31 16:02:48"
"Kilmainham Gaol",26,17,Saturday,"2018-03-31 17:06:24"
"Kilmainham Gaol",26,18,Saturday,"2018-03-31 18:01:50"
"Kilmainham Gaol",27,19,Saturday,"2018-03-31 19:08:38"
"Kilmainham Gaol",26,20,Saturday,"2018-03-31 20:01:01"
"Kilmainham Gaol",28,21,Saturday,"2018-03-31 21:03:57"
"Kilmainham Gaol",29,22,Saturday,"2018-03-31 22:09:51"
"Kilmainham Gaol",28,23,Saturday,"2018-03-31 23:02:43"
"Kilmainham Gaol",27,6,Sunday,"2018-04-01 06:00:51"
"Kilmainham Gaol",26,7,Sunday,"2018-04-01 07:07:46"
"Kilmainham Gaol",24,8,Sunday,"2018-04-01 08:03:38"
"Kilmainham Gaol",23,9,Sunday,"2018-04-01 09:08:35"
"Kilmainham Gaol",19,10,Sunday,"2018-04-01 10:05:21"
"Kilmainham Gaol",17,11,Sunday,"2018-04-01 11:00:13"
"Kilmainham Gaol",15,12,Sunday,"2018-04-01 12:01:25"
"Kilmainham Gaol",8,13,Sunday,"2018-04-01 13:05:01"
"Kilmainham Gaol",1,14,Sunday,"2018-04-01 14:06:05"
"Kilmainham Gaol",1,15,Sunday,"2018-04-01 15:11:37"
"Kilmainham Gaol",1,16,Sunday,"2018-04-01 16:09:30"
"Kilmainham Gaol",2,17,Sunday,"2018-04-01 17:00:55"
"Kilmainham Gaol",1,18,Sunday,"2018-04-01 18:00:48"
"Kilmainham Gaol",1,19,Sunday,"2018-04-01 19:03:08"
"Kilmainham Gaol",3,20,Sunday,"2018-04-01 20:00:45"
"Kilmainham Gaol",4,21,Sunday,"2018-04-01 21:01:08"
"Kilmainham Gaol",3,22,Sunday,"2018-04-01 22:07:41"
"Kilmainham Gaol",3,23,Sunday,"2018-04-01 23:01:39"
"Kilmainham Gaol",1,6,Monday,"2018-04-02 06:01:24"
"Kilmainham Gaol",0,7,Monday,"2018-04-02 07:02:27"
"Kilmainham Gaol",3,8,Monday,"2018-04-02 08:05:20"
"Kilmainham Gaol",2,9,Monday,"2018-04-02 09:06:00"
"Kilmainham Gaol",3,10,Monday,"2018-04-02 10:09:23"
"Kilmainham Gaol",3,11,Monday,"2018-04-02 11:08:57"
"Kilmainham Gaol",0,12,Monday,"2018-04-02 12:09:59"
"Kilmainham Gaol",2,13,Monday,"2018-04-02 13:05:46"
"Kilmainham Gaol",3,14,Monday,"2018-04-02 14:06:07"
"Kilmainham Gaol",4,15,Monday,"2018-04-02 15:01:43"
"Kilmainham Gaol",4,16,Monday,"2018-04-02 16:05:44"
"Kilmainham Gaol",5,17,Monday,"2018-04-02 17:05:47"
"Kilmainham Gaol",5,18,Monday,"2018-04-02 18:04:51"
"Kilmainham Gaol",4,19,Monday,"2018-04-02 19:03:25"
"Kilmainham Gaol",2,20,Monday,"2018-04-02 20:06:51"
"Kilmainham Gaol",3,21,Monday,"2018-04-02 21:07:54"
"Kilmainham Gaol",6,22,Monday,"2018-04-02 22:03:34"
