address,round(avg(available_bikes)),HOUR,DOW,last_update
"Kilmainham Lane",13,6,Thursday,"2018-03-29 06:02:41"
"Kilmainham Lane",4,7,Thursday,"2018-03-29 07:05:17"
"Kilmainham Lane",0,8,Thursday,"2018-03-29 08:02:00"
"Kilmainham Lane",0,9,Thursday,"2018-03-29 09:02:59"
"Kilmainham Lane",0,10,Thursday,"2018-03-29 10:03:59"
"Kilmainham Lane",0,11,Thursday,"2018-03-29 11:04:59"
"Kilmainham Lane",1,12,Thursday,"2018-03-29 12:00:27"
"Kilmainham Lane",0,13,Thursday,"2018-03-29 13:09:25"
"Kilmainham Lane",0,14,Thursday,"2018-03-29 14:07:18"
"Kilmainham Lane",0,15,Thursday,"2018-03-29 15:08:17"
"Kilmainham Lane",2,16,Thursday,"2018-03-29 16:02:11"
"Kilmainham Lane",4,17,Thursday,"2018-03-29 17:08:30"
"Kilmainham Lane",6,18,Thursday,"2018-03-29 18:08:04"
"Kilmainham Lane",6,19,Thursday,"2018-03-29 19:03:19"
"Kilmainham Lane",5,20,Thursday,"2018-03-29 20:04:19"
"Kilmainham Lane",7,21,Thursday,"2018-03-29 21:09:02"
"Kilmainham Lane",7,22,Thursday,"2018-03-29 22:01:20"
"Kilmainham Lane",7,23,Thursday,"2018-03-29 23:02:23"
"Kilmainham Lane",9,6,Friday,"2018-03-30 06:02:13"
"Kilmainham Lane",6,7,Friday,"2018-03-30 07:04:08"
"Kilmainham Lane",5,8,Friday,"2018-03-30 08:00:09"
"Kilmainham Lane",5,9,Friday,"2018-03-30 09:01:21"
"Kilmainham Lane",3,10,Friday,"2018-03-30 10:04:06"
"Kilmainham Lane",2,11,Friday,"2018-03-30 11:07:30"
"Kilmainham Lane",1,12,Friday,"2018-03-30 12:02:17"
"Kilmainham Lane",1,13,Friday,"2018-03-30 13:03:17"
"Kilmainham Lane",1,14,Friday,"2018-03-30 14:11:03"
"Kilmainham Lane",1,15,Friday,"2018-03-30 15:03:34"
"Kilmainham Lane",3,16,Friday,"2018-03-30 16:05:46"
"Kilmainham Lane",1,17,Friday,"2018-03-30 17:00:18"
"Kilmainham Lane",1,18,Friday,"2018-03-30 18:04:38"
"Kilmainham Lane",2,19,Friday,"2018-03-30 19:08:29"
"Kilmainham Lane",3,20,Friday,"2018-03-30 20:05:32"
"Kilmainham Lane",4,21,Friday,"2018-03-30 21:04:33"
"Kilmainham Lane",5,22,Friday,"2018-03-30 22:03:44"
"Kilmainham Lane",7,23,Friday,"2018-03-30 23:04:50"
"Kilmainham Lane",8,6,Saturday,"2018-03-31 06:02:30"
"Kilmainham Lane",8,7,Saturday,"2018-03-31 07:06:26"
"Kilmainham Lane",8,8,Saturday,"2018-03-31 08:07:49"
"Kilmainham Lane",13,9,Saturday,"2018-03-31 09:03:15"
"Kilmainham Lane",13,10,Saturday,"2018-03-31 10:07:47"
