address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
King Street North,10,6,Thursday,29/03/2018 06:00,0
King Street North,1,7,Thursday,29/03/2018 07:05,0
King Street North,1,8,Thursday,29/03/2018 08:01,0
King Street North,0,9,Thursday,29/03/2018 09:02,0
King Street North,1,10,Thursday,29/03/2018 10:06,0
King Street North,2,11,Thursday,29/03/2018 11:08,10
King Street North,1,12,Thursday,29/03/2018 12:11,30
King Street North,0,13,Thursday,29/03/2018 13:07,30
King Street North,1,14,Thursday,29/03/2018 14:05,45
King Street North,2,15,Thursday,29/03/2018 15:01,40
King Street North,3,16,Thursday,29/03/2018 16:01,30
King Street North,8,17,Thursday,29/03/2018 17:02,30
King Street North,11,18,Thursday,29/03/2018 18:05,30
King Street North,16,19,Thursday,29/03/2018 19:02,40
King Street North,18,20,Thursday,29/03/2018 20:07,30
King Street North,16,21,Thursday,29/03/2018 21:06,25
King Street North,17,22,Thursday,29/03/2018 22:06,30
King Street North,19,23,Thursday,29/03/2018 23:04,40
King Street North,8,6,Friday,30/03/2018 06:00,0
King Street North,1,7,Friday,30/03/2018 07:01,0
King Street North,2,8,Friday,30/03/2018 08:01,0
King Street North,0,9,Friday,30/03/2018 09:03,0
King Street North,0,10,Friday,30/03/2018 10:03,20
King Street North,1,11,Friday,30/03/2018 11:00,20
King Street North,5,12,Friday,30/03/2018 12:00,20
King Street North,7,13,Friday,30/03/2018 13:02,20
King Street North,6,14,Friday,30/03/2018 14:03,20
King Street North,5,15,Friday,30/03/2018 15:08,0
King Street North,7,16,Friday,30/03/2018 16:06,0
King Street North,10,17,Friday,30/03/2018 17:01,20
King Street North,8,18,Friday,30/03/2018 18:00,0
King Street North,7,19,Friday,30/03/2018 19:05,0
King Street North,7,20,Friday,30/03/2018 20:08,0
King Street North,9,21,Friday,30/03/2018 21:00,0
King Street North,8,22,Friday,30/03/2018 22:02,0
King Street North,9,23,Friday,30/03/2018 23:03,0
King Street North,6,6,Saturday,31/03/2018 06:05,0
King Street North,2,7,Saturday,31/03/2018 07:02,0
King Street North,0,8,Saturday,31/03/2018 08:12,0
King Street North,0,9,Saturday,31/03/2018 09:04,0
King Street North,0,10,Saturday,31/03/2018 10:08,0
King Street North,3,11,Saturday,31/03/2018 11:00,0
King Street North,5,12,Saturday,31/03/2018 12:06,0
King Street North,6,13,Saturday,31/03/2018 13:10,0
King Street North,3,14,Saturday,31/03/2018 14:01,0
King Street North,5,15,Saturday,31/03/2018 15:06,0
King Street North,6,16,Saturday,31/03/2018 16:10,0
King Street North,6,17,Saturday,31/03/2018 17:06,0
King Street North,6,18,Saturday,31/03/2018 18:00,0
King Street North,5,19,Saturday,31/03/2018 19:08,0
King Street North,5,20,Saturday,31/03/2018 20:09,0
King Street North,5,21,Saturday,31/03/2018 21:00,0
King Street North,6,22,Saturday,31/03/2018 22:10,0
King Street North,7,23,Saturday,31/03/2018 23:01,0
King Street North,7,6,Sunday,01/04/2018 06:04,30
King Street North,4,7,Sunday,01/04/2018 07:04,30
King Street North,4,8,Sunday,01/04/2018 08:02,0
King Street North,2,9,Sunday,01/04/2018 09:09,0
King Street North,0,10,Sunday,01/04/2018 10:08,0
King Street North,1,11,Sunday,01/04/2018 11:01,0
King Street North,0,12,Sunday,01/04/2018 12:00,0
King Street North,1,13,Sunday,01/04/2018 13:09,0
King Street North,1,14,Sunday,01/04/2018 14:00,0
King Street North,3,15,Sunday,01/04/2018 15:00,0
King Street North,3,16,Sunday,01/04/2018 16:08,0
King Street North,5,17,Sunday,01/04/2018 17:06,0
King Street North,8,18,Sunday,01/04/2018 18:10,0
King Street North,11,19,Sunday,01/04/2018 19:06,0
King Street North,11,20,Sunday,01/04/2018 20:04,45
King Street North,12,21,Sunday,01/04/2018 21:03,50
King Street North,14,22,Sunday,01/04/2018 22:08,50
King Street North,15,23,Sunday,01/04/2018 23:04,60
King Street North,15,6,Monday,02/04/2018 06:06,70
King Street North,13,7,Monday,02/04/2018 07:04,70
King Street North,11,8,Monday,02/04/2018 08:01,60
King Street North,11,9,Monday,02/04/2018 09:05,70
King Street North,10,10,Monday,02/04/2018 10:01,65
King Street North,6,11,Monday,02/04/2018 11:07,70
King Street North,6,12,Monday,02/04/2018 12:06,70
