address,round(avg(available_bikes)),HOUR,DOW,last_update
"King Street North",10,6,Thursday,"2018-03-29 06:00:02"
"King Street North",1,7,Thursday,"2018-03-29 07:05:09"
"King Street North",1,8,Thursday,"2018-03-29 08:01:39"
"King Street North",0,9,Thursday,"2018-03-29 09:02:18"
"King Street North",1,10,Thursday,"2018-03-29 10:06:48"
"King Street North",2,11,Thursday,"2018-03-29 11:08:26"
"King Street North",1,12,Thursday,"2018-03-29 12:11:20"
"King Street North",0,13,Thursday,"2018-03-29 13:07:57"
"King Street North",1,14,Thursday,"2018-03-29 14:05:53"
"King Street North",2,15,Thursday,"2018-03-29 15:01:25"
"King Street North",3,16,Thursday,"2018-03-29 16:01:02"
"King Street North",8,17,Thursday,"2018-03-29 17:02:23"
"King Street North",11,18,Thursday,"2018-03-29 18:05:46"
"King Street North",16,19,Thursday,"2018-03-29 19:02:17"
"King Street North",18,20,Thursday,"2018-03-29 20:07:30"
"King Street North",16,21,Thursday,"2018-03-29 21:06:25"
"King Street North",17,22,Thursday,"2018-03-29 22:06:58"
"King Street North",19,23,Thursday,"2018-03-29 23:04:19"
"King Street North",8,6,Friday,"2018-03-30 06:00:38"
"King Street North",1,7,Friday,"2018-03-30 07:01:15"
"King Street North",2,8,Friday,"2018-03-30 08:01:38"
"King Street North",0,9,Friday,"2018-03-30 09:03:03"
"King Street North",0,10,Friday,"2018-03-30 10:03:58"
"King Street North",1,11,Friday,"2018-03-30 11:00:01"
"King Street North",5,12,Friday,"2018-03-30 12:00:18"
"King Street North",7,13,Friday,"2018-03-30 13:02:05"
"King Street North",6,14,Friday,"2018-03-30 14:03:38"
"King Street North",5,15,Friday,"2018-03-30 15:08:30"
"King Street North",7,16,Friday,"2018-03-30 16:06:18"
"King Street North",10,17,Friday,"2018-03-30 17:01:23"
"King Street North",8,18,Friday,"2018-03-30 18:00:59"
"King Street North",7,19,Friday,"2018-03-30 19:05:35"
"King Street North",7,20,Friday,"2018-03-30 20:08:06"
"King Street North",9,21,Friday,"2018-03-30 21:00:15"
"King Street North",8,22,Friday,"2018-03-30 22:02:19"
"King Street North",9,23,Friday,"2018-03-30 23:03:19"
"King Street North",6,6,Saturday,"2018-03-31 06:05:17"
"King Street North",2,7,Saturday,"2018-03-31 07:02:01"
"King Street North",0,8,Saturday,"2018-03-31 08:12:07"
"King Street North",0,9,Saturday,"2018-03-31 09:04:03"
"King Street North",0,10,Saturday,"2018-03-31 10:08:49"
"King Street North",3,11,Saturday,"2018-03-31 11:00:23"
"King Street North",5,12,Saturday,"2018-03-31 12:06:28"
"King Street North",6,13,Saturday,"2018-03-31 13:10:16"
"King Street North",3,14,Saturday,"2018-03-31 14:01:27"
"King Street North",5,15,Saturday,"2018-03-31 15:06:06"
"King Street North",6,16,Saturday,"2018-03-31 16:10:00"
"King Street North",6,17,Saturday,"2018-03-31 17:06:16"
"King Street North",6,18,Saturday,"2018-03-31 18:00:01"
"King Street North",5,19,Saturday,"2018-03-31 19:08:47"
"King Street North",5,20,Saturday,"2018-03-31 20:09:37"
"King Street North",5,21,Saturday,"2018-03-31 21:00:23"
"King Street North",6,22,Saturday,"2018-03-31 22:10:08"
"King Street North",7,23,Saturday,"2018-03-31 23:01:50"
"King Street North",7,6,Sunday,"2018-04-01 06:04:23"
"King Street North",4,7,Sunday,"2018-04-01 07:04:59"
"King Street North",4,8,Sunday,"2018-04-01 08:02:55"
"King Street North",2,9,Sunday,"2018-04-01 09:09:09"
"King Street North",0,10,Sunday,"2018-04-01 10:08:54"
"King Street North",1,11,Sunday,"2018-04-01 11:01:28"
"King Street North",0,12,Sunday,"2018-04-01 12:00:11"
"King Street North",1,13,Sunday,"2018-04-01 13:09:59"
"King Street North",1,14,Sunday,"2018-04-01 14:00:19"
"King Street North",3,15,Sunday,"2018-04-01 15:00:41"
"King Street North",3,16,Sunday,"2018-04-01 16:08:59"
"King Street North",5,17,Sunday,"2018-04-01 17:06:00"
"King Street North",8,18,Sunday,"2018-04-01 18:10:06"
"King Street North",11,19,Sunday,"2018-04-01 19:06:18"
"King Street North",11,20,Sunday,"2018-04-01 20:04:13"
"King Street North",12,21,Sunday,"2018-04-01 21:03:22"
"King Street North",14,22,Sunday,"2018-04-01 22:08:26"
"King Street North",15,23,Sunday,"2018-04-01 23:04:16"
"King Street North",15,6,Monday,"2018-04-02 06:06:34"
"King Street North",13,7,Monday,"2018-04-02 07:04:35"
"King Street North",11,8,Monday,"2018-04-02 08:01:25"
"King Street North",11,9,Monday,"2018-04-02 09:05:51"
"King Street North",10,10,Monday,"2018-04-02 10:01:03"
"King Street North",6,11,Monday,"2018-04-02 11:07:23"
"King Street North",6,12,Monday,"2018-04-02 12:06:10"
"King Street North",9,13,Monday,"2018-04-02 13:02:18"
"King Street North",13,14,Monday,"2018-04-02 14:08:36"
"King Street North",13,15,Monday,"2018-04-02 15:06:48"
"King Street North",14,16,Monday,"2018-04-02 16:05:20"
"King Street North",16,17,Monday,"2018-04-02 17:08:01"
"King Street North",19,18,Monday,"2018-04-02 18:07:05"
"King Street North",22,19,Monday,"2018-04-02 19:02:17"
"King Street North",21,20,Monday,"2018-04-02 20:07:24"
"King Street North",22,21,Monday,"2018-04-02 21:08:51"
"King Street North",23,22,Monday,"2018-04-02 22:02:09"
"King Street North",24,23,Monday,"2018-04-02 23:03:33"
"King Street North",10,6,Tuesday,"2018-04-03 06:07:38"
"King Street North",2,7,Tuesday,"2018-04-03 07:02:12"
"King Street North",0,8,Tuesday,"2018-04-03 08:01:34"
"King Street North",0,9,Tuesday,"2018-04-03 09:09:15"
"King Street North",0,10,Tuesday,"2018-04-03 10:07:36"
"King Street North",1,11,Tuesday,"2018-04-03 11:08:30"
"King Street North",0,12,Tuesday,"2018-04-03 12:03:20"
"King Street North",0,13,Tuesday,"2018-04-03 13:04:18"
"King Street North",1,14,Tuesday,"2018-04-03 14:04:43"
"King Street North",1,15,Tuesday,"2018-04-03 15:01:42"
"King Street North",5,16,Tuesday,"2018-04-03 16:03:12"
"King Street North",13,17,Tuesday,"2018-04-03 17:00:08"
"King Street North",21,18,Tuesday,"2018-04-03 18:00:20"
"King Street North",29,19,Tuesday,"2018-04-03 19:01:17"
