address,round(avg(available_bikes)),HOUR,DOW,last_update
"Leinster Street South",7,6,Thursday,"2018-03-29 06:05:08"
"Leinster Street South",12,7,Thursday,"2018-03-29 07:01:43"
"Leinster Street South",26,8,Thursday,"2018-03-29 08:04:49"
"Leinster Street South",30,9,Thursday,"2018-03-29 09:04:48"
"Leinster Street South",30,10,Thursday,"2018-03-29 10:04:23"
"Leinster Street South",29,11,Thursday,"2018-03-29 11:01:21"
"Leinster Street South",20,12,Thursday,"2018-03-29 12:00:01"
"Leinster Street South",27,13,Thursday,"2018-03-29 13:00:21"
"Leinster Street South",26,14,Thursday,"2018-03-29 14:00:11"
"Leinster Street South",24,15,Thursday,"2018-03-29 15:07:00"
"Leinster Street South",29,16,Thursday,"2018-03-29 16:04:23"
"Leinster Street South",29,17,Thursday,"2018-03-29 17:02:35"
"Leinster Street South",29,18,Thursday,"2018-03-29 18:08:17"
"Leinster Street South",29,19,Thursday,"2018-03-29 19:07:49"
"Leinster Street South",20,20,Thursday,"2018-03-29 20:08:14"
"Leinster Street South",9,21,Thursday,"2018-03-29 21:04:28"
"Leinster Street South",6,22,Thursday,"2018-03-29 22:08:39"
"Leinster Street South",5,23,Thursday,"2018-03-29 23:06:43"
"Leinster Street South",3,6,Friday,"2018-03-30 06:01:27"
"Leinster Street South",4,7,Friday,"2018-03-30 07:10:14"
"Leinster Street South",5,8,Friday,"2018-03-30 08:04:16"
"Leinster Street South",6,9,Friday,"2018-03-30 09:07:39"
"Leinster Street South",12,10,Friday,"2018-03-30 10:02:46"
"Leinster Street South",18,11,Friday,"2018-03-30 11:06:12"
"Leinster Street South",22,12,Friday,"2018-03-30 12:02:24"
"Leinster Street South",25,13,Friday,"2018-03-30 13:04:49"
"Leinster Street South",26,14,Friday,"2018-03-30 14:07:46"
"Leinster Street South",12,15,Friday,"2018-03-30 15:04:30"
"Leinster Street South",15,16,Friday,"2018-03-30 16:07:05"
"Leinster Street South",18,17,Friday,"2018-03-30 17:02:16"
"Leinster Street South",18,18,Friday,"2018-03-30 18:04:28"
"Leinster Street South",17,19,Friday,"2018-03-30 19:00:32"
"Leinster Street South",13,20,Friday,"2018-03-30 20:01:15"
"Leinster Street South",12,21,Friday,"2018-03-30 21:05:20"
"Leinster Street South",10,22,Friday,"2018-03-30 22:01:32"
"Leinster Street South",8,23,Friday,"2018-03-30 23:07:39"
"Leinster Street South",12,6,Saturday,"2018-03-31 06:08:10"
"Leinster Street South",13,7,Saturday,"2018-03-31 07:05:31"
"Leinster Street South",13,8,Saturday,"2018-03-31 08:04:29"
"Leinster Street South",15,9,Saturday,"2018-03-31 09:05:17"
"Leinster Street South",16,10,Saturday,"2018-03-31 10:03:31"
"Leinster Street South",14,11,Saturday,"2018-03-31 11:07:04"
"Leinster Street South",8,12,Saturday,"2018-03-31 12:05:05"
"Leinster Street South",10,13,Saturday,"2018-03-31 13:03:46"
"Leinster Street South",11,14,Saturday,"2018-03-31 14:00:15"
"Leinster Street South",15,15,Saturday,"2018-03-31 15:01:35"
"Leinster Street South",10,16,Saturday,"2018-03-31 16:00:13"
"Leinster Street South",5,17,Saturday,"2018-03-31 17:04:27"
"Leinster Street South",6,18,Saturday,"2018-03-31 18:04:09"
"Leinster Street South",9,19,Saturday,"2018-03-31 19:11:30"
"Leinster Street South",7,20,Saturday,"2018-03-31 20:02:41"
"Leinster Street South",6,21,Saturday,"2018-03-31 21:07:57"
"Leinster Street South",6,22,Saturday,"2018-03-31 22:07:32"
"Leinster Street South",3,23,Saturday,"2018-03-31 23:05:11"
"Leinster Street South",5,6,Sunday,"2018-04-01 06:08:20"
"Leinster Street South",7,7,Sunday,"2018-04-01 07:05:00"
"Leinster Street South",10,8,Sunday,"2018-04-01 08:02:06"
"Leinster Street South",15,9,Sunday,"2018-04-01 09:09:46"
"Leinster Street South",20,10,Sunday,"2018-04-01 10:06:05"
"Leinster Street South",23,11,Sunday,"2018-04-01 11:05:09"
"Leinster Street South",27,12,Sunday,"2018-04-01 12:00:26"
"Leinster Street South",29,13,Sunday,"2018-04-01 13:03:16"
"Leinster Street South",27,14,Sunday,"2018-04-01 14:09:49"
"Leinster Street South",26,15,Sunday,"2018-04-01 15:03:16"
"Leinster Street South",24,16,Sunday,"2018-04-01 16:03:53"
"Leinster Street South",24,17,Sunday,"2018-04-01 17:07:39"
"Leinster Street South",23,18,Sunday,"2018-04-01 18:04:14"
"Leinster Street South",24,19,Sunday,"2018-04-01 19:01:51"
"Leinster Street South",25,20,Sunday,"2018-04-01 20:05:13"
"Leinster Street South",25,21,Sunday,"2018-04-01 21:06:06"
"Leinster Street South",25,22,Sunday,"2018-04-01 22:06:05"
"Leinster Street South",23,23,Sunday,"2018-04-01 23:01:02"
"Leinster Street South",22,6,Monday,"2018-04-02 06:07:02"
"Leinster Street South",23,7,Monday,"2018-04-02 07:08:00"
"Leinster Street South",23,8,Monday,"2018-04-02 08:02:49"
"Leinster Street South",24,9,Monday,"2018-04-02 09:06:16"
"Leinster Street South",25,10,Monday,"2018-04-02 10:08:18"
"Leinster Street South",25,11,Monday,"2018-04-02 11:03:36"
"Leinster Street South",27,12,Monday,"2018-04-02 12:00:51"
"Leinster Street South",29,13,Monday,"2018-04-02 13:05:47"
"Leinster Street South",30,14,Monday,"2018-04-02 14:01:34"
"Leinster Street South",29,15,Monday,"2018-04-02 15:07:04"
"Leinster Street South",28,16,Monday,"2018-04-02 16:02:05"
"Leinster Street South",25,17,Monday,"2018-04-02 17:10:06"
"Leinster Street South",25,18,Monday,"2018-04-02 18:01:52"
"Leinster Street South",23,19,Monday,"2018-04-02 19:05:08"
"Leinster Street South",20,20,Monday,"2018-04-02 20:05:51"
"Leinster Street South",21,21,Monday,"2018-04-02 21:03:00"
"Leinster Street South",21,22,Monday,"2018-04-02 22:02:49"
"Leinster Street South",20,23,Monday,"2018-04-02 23:03:31"
"Leinster Street South",26,6,Tuesday,"2018-04-03 06:05:31"
"Leinster Street South",26,7,Tuesday,"2018-04-03 07:05:47"
"Leinster Street South",27,8,Tuesday,"2018-04-03 08:02:15"
"Leinster Street South",26,9,Tuesday,"2018-04-03 09:08:11"
"Leinster Street South",10,10,Tuesday,"2018-04-03 10:01:26"
"Leinster Street South",11,11,Tuesday,"2018-04-03 11:01:10"
"Leinster Street South",20,12,Tuesday,"2018-04-03 12:02:33"
"Leinster Street South",9,13,Tuesday,"2018-04-03 13:02:46"
"Leinster Street South",6,14,Tuesday,"2018-04-03 14:02:48"
"Leinster Street South",3,15,Tuesday,"2018-04-03 15:07:34"
"Leinster Street South",5,16,Tuesday,"2018-04-03 16:04:38"
"Leinster Street South",5,17,Tuesday,"2018-04-03 17:04:11"
"Leinster Street South",2,18,Tuesday,"2018-04-03 18:00:29"
"Leinster Street South",0,19,Tuesday,"2018-04-03 19:01:57"
"Leinster Street South",1,20,Tuesday,"2018-04-03 20:04:28"
"Leinster Street South",0,21,Tuesday,"2018-04-03 21:06:13"
"Leinster Street South",1,22,Tuesday,"2018-04-03 22:09:08"
"Leinster Street South",0,23,Tuesday,"2018-04-03 23:03:52"
"Leinster Street South",8,6,Wednesday,"2018-04-04 06:09:23"
"Leinster Street South",10,7,Wednesday,"2018-04-04 07:03:23"
"Leinster Street South",19,8,Wednesday,"2018-04-04 08:03:03"
"Leinster Street South",24,9,Wednesday,"2018-04-04 09:05:40"
"Leinster Street South",25,10,Wednesday,"2018-04-04 10:06:06"
"Leinster Street South",24,11,Wednesday,"2018-04-04 11:03:37"
"Leinster Street South",16,12,Wednesday,"2018-04-04 12:04:39"
"Leinster Street South",17,13,Wednesday,"2018-04-04 13:08:52"
"Leinster Street South",20,14,Wednesday,"2018-04-04 14:04:18"
"Leinster Street South",19,15,Wednesday,"2018-04-04 15:01:20"
