address,round(avg(available_bikes)),HOUR,DOW,last_update
"Lime Street",14,6,Thursday,"2018-03-29 06:02:12"
"Lime Street",29,7,Thursday,"2018-03-29 07:03:34"
"Lime Street",40,8,Thursday,"2018-03-29 08:00:21"
"Lime Street",28,9,Thursday,"2018-03-29 09:00:54"
"Lime Street",34,10,Thursday,"2018-03-29 10:02:08"
"Lime Street",33,11,Thursday,"2018-03-29 11:05:04"
"Lime Street",25,12,Thursday,"2018-03-29 12:01:34"
"Lime Street",29,13,Thursday,"2018-03-29 13:04:13"
"Lime Street",33,14,Thursday,"2018-03-29 14:05:58"
"Lime Street",32,15,Thursday,"2018-03-29 15:01:42"
"Lime Street",21,16,Thursday,"2018-03-29 16:02:37"
"Lime Street",12,17,Thursday,"2018-03-29 17:02:05"
"Lime Street",11,18,Thursday,"2018-03-29 18:02:28"
"Lime Street",9,19,Thursday,"2018-03-29 19:04:18"
"Lime Street",10,20,Thursday,"2018-03-29 20:09:42"
"Lime Street",8,21,Thursday,"2018-03-29 21:07:27"
"Lime Street",8,22,Thursday,"2018-03-29 22:08:28"
"Lime Street",8,23,Thursday,"2018-03-29 23:04:34"
"Lime Street",10,6,Friday,"2018-03-30 06:09:01"
"Lime Street",15,7,Friday,"2018-03-30 07:04:38"
"Lime Street",20,8,Friday,"2018-03-30 08:01:19"
"Lime Street",13,9,Friday,"2018-03-30 09:06:07"
"Lime Street",13,10,Friday,"2018-03-30 10:08:09"
"Lime Street",10,11,Friday,"2018-03-30 11:01:18"
"Lime Street",9,12,Friday,"2018-03-30 12:06:36"
"Lime Street",7,13,Friday,"2018-03-30 13:09:01"
"Lime Street",9,14,Friday,"2018-03-30 14:03:10"
"Lime Street",10,15,Friday,"2018-03-30 15:01:34"
"Lime Street",9,16,Friday,"2018-03-30 16:06:36"
"Lime Street",11,17,Friday,"2018-03-30 17:00:59"
"Lime Street",11,18,Friday,"2018-03-30 18:07:33"
"Lime Street",11,19,Friday,"2018-03-30 19:02:50"
"Lime Street",11,20,Friday,"2018-03-30 20:07:56"
"Lime Street",11,21,Friday,"2018-03-30 21:10:03"
"Lime Street",12,22,Friday,"2018-03-30 22:00:54"
"Lime Street",12,23,Friday,"2018-03-30 23:01:29"
"Lime Street",14,6,Saturday,"2018-03-31 06:05:02"
"Lime Street",13,7,Saturday,"2018-03-31 07:08:20"
"Lime Street",17,8,Saturday,"2018-03-31 08:00:57"
"Lime Street",16,9,Saturday,"2018-03-31 09:03:35"
"Lime Street",2,10,Saturday,"2018-03-31 10:04:28"
"Lime Street",1,11,Saturday,"2018-03-31 11:07:53"
"Lime Street",1,12,Saturday,"2018-03-31 12:07:57"
"Lime Street",2,13,Saturday,"2018-03-31 13:08:53"
"Lime Street",1,14,Saturday,"2018-03-31 14:08:10"
"Lime Street",2,15,Saturday,"2018-03-31 15:08:07"
"Lime Street",3,16,Saturday,"2018-03-31 16:10:07"
"Lime Street",3,17,Saturday,"2018-03-31 17:04:52"
"Lime Street",2,18,Saturday,"2018-03-31 18:08:17"
"Lime Street",5,19,Saturday,"2018-03-31 19:00:21"
"Lime Street",5,20,Saturday,"2018-03-31 20:06:41"
"Lime Street",4,21,Saturday,"2018-03-31 21:01:51"
"Lime Street",4,22,Saturday,"2018-03-31 22:02:45"
"Lime Street",6,23,Saturday,"2018-03-31 23:04:43"
"Lime Street",7,6,Sunday,"2018-04-01 06:02:35"
"Lime Street",7,7,Sunday,"2018-04-01 07:04:14"
"Lime Street",7,8,Sunday,"2018-04-01 08:00:00"
"Lime Street",8,9,Sunday,"2018-04-01 09:06:51"
"Lime Street",8,10,Sunday,"2018-04-01 10:02:40"
"Lime Street",10,11,Sunday,"2018-04-01 11:06:38"
"Lime Street",10,12,Sunday,"2018-04-01 12:02:59"
"Lime Street",9,13,Sunday,"2018-04-01 13:10:07"
"Lime Street",7,14,Sunday,"2018-04-01 14:09:18"
"Lime Street",10,15,Sunday,"2018-04-01 15:00:42"
"Lime Street",11,16,Sunday,"2018-04-01 16:04:58"
"Lime Street",12,17,Sunday,"2018-04-01 17:02:26"
"Lime Street",12,18,Sunday,"2018-04-01 18:02:26"
"Lime Street",15,19,Sunday,"2018-04-01 19:07:52"
"Lime Street",16,20,Sunday,"2018-04-01 20:01:30"
"Lime Street",18,21,Sunday,"2018-04-01 21:11:18"
"Lime Street",18,22,Sunday,"2018-04-01 22:02:02"
"Lime Street",18,23,Sunday,"2018-04-01 23:02:56"
"Lime Street",17,6,Monday,"2018-04-02 06:02:38"
"Lime Street",17,7,Monday,"2018-04-02 07:07:06"
"Lime Street",20,8,Monday,"2018-04-02 08:02:51"
"Lime Street",20,9,Monday,"2018-04-02 09:03:54"
"Lime Street",19,10,Monday,"2018-04-02 10:01:12"
"Lime Street",20,11,Monday,"2018-04-02 11:00:22"
"Lime Street",21,12,Monday,"2018-04-02 12:03:07"
"Lime Street",21,13,Monday,"2018-04-02 13:04:03"
"Lime Street",22,14,Monday,"2018-04-02 14:06:47"
"Lime Street",24,15,Monday,"2018-04-02 15:04:45"
"Lime Street",24,16,Monday,"2018-04-02 16:02:23"
"Lime Street",25,17,Monday,"2018-04-02 17:07:08"
"Lime Street",27,18,Monday,"2018-04-02 18:09:18"
"Lime Street",27,19,Monday,"2018-04-02 19:03:56"
"Lime Street",27,20,Monday,"2018-04-02 20:09:18"
"Lime Street",26,21,Monday,"2018-04-02 21:06:47"
"Lime Street",25,22,Monday,"2018-04-02 22:02:34"
"Lime Street",25,23,Monday,"2018-04-02 23:05:21"
"Lime Street",19,6,Tuesday,"2018-04-03 06:06:57"
"Lime Street",31,7,Tuesday,"2018-04-03 07:00:56"
"Lime Street",40,8,Tuesday,"2018-04-03 08:01:10"
"Lime Street",26,9,Tuesday,"2018-04-03 09:02:37"
"Lime Street",24,10,Tuesday,"2018-04-03 10:10:02"
"Lime Street",23,11,Tuesday,"2018-04-03 11:02:47"
"Lime Street",26,12,Tuesday,"2018-04-03 12:03:17"
"Lime Street",30,13,Tuesday,"2018-04-03 13:03:28"
"Lime Street",33,14,Tuesday,"2018-04-03 14:04:46"
"Lime Street",32,15,Tuesday,"2018-04-03 15:03:52"
"Lime Street",25,16,Tuesday,"2018-04-03 16:04:33"
"Lime Street",9,17,Tuesday,"2018-04-03 17:03:36"
"Lime Street",2,18,Tuesday,"2018-04-03 18:00:32"
"Lime Street",1,19,Tuesday,"2018-04-03 19:09:13"
"Lime Street",0,20,Tuesday,"2018-04-03 20:01:30"
"Lime Street",0,21,Tuesday,"2018-04-03 21:09:55"
"Lime Street",1,22,Tuesday,"2018-04-03 22:00:41"
"Lime Street",1,23,Tuesday,"2018-04-03 23:02:32"
"Lime Street",6,6,Wednesday,"2018-04-04 06:01:44"
"Lime Street",6,7,Wednesday,"2018-04-04 07:00:13"
"Lime Street",21,8,Wednesday,"2018-04-04 08:03:57"
"Lime Street",16,9,Wednesday,"2018-04-04 09:03:42"
"Lime Street",15,10,Wednesday,"2018-04-04 10:06:47"
"Lime Street",16,11,Wednesday,"2018-04-04 11:05:33"
"Lime Street",10,12,Wednesday,"2018-04-04 12:01:30"
"Lime Street",11,13,Wednesday,"2018-04-04 13:04:11"
"Lime Street",7,14,Wednesday,"2018-04-04 14:00:15"
"Lime Street",3,15,Wednesday,"2018-04-04 15:06:09"
"Lime Street",2,16,Wednesday,"2018-04-04 16:04:57"
"Lime Street",1,17,Wednesday,"2018-04-04 17:04:56"
"Lime Street",2,18,Wednesday,"2018-04-04 18:02:04"
"Lime Street",0,19,Wednesday,"2018-04-04 19:01:59"
"Lime Street",2,20,Wednesday,"2018-04-04 20:03:43"
"Lime Street",1,21,Wednesday,"2018-04-04 21:05:10"
"Lime Street",2,22,Wednesday,"2018-04-04 22:09:33"
"Lime Street",1,23,Wednesday,"2018-04-04 23:00:56"
