address,round(avg(available_bikes)),HOUR,DOW,last_update
"Market Street South",25,6,Thursday,"2018-03-29 06:07:47"
"Market Street South",13,7,Thursday,"2018-03-29 07:03:11"
"Market Street South",6,8,Thursday,"2018-03-29 08:00:38"
"Market Street South",4,9,Thursday,"2018-03-29 09:01:46"
"Market Street South",3,10,Thursday,"2018-03-29 10:00:43"
"Market Street South",0,11,Thursday,"2018-03-29 11:00:29"
"Market Street South",0,12,Thursday,"2018-03-29 12:01:25"
"Market Street South",2,13,Thursday,"2018-03-29 13:00:38"
"Market Street South",3,14,Thursday,"2018-03-29 14:02:57"
"Market Street South",3,15,Thursday,"2018-03-29 15:05:06"
"Market Street South",4,16,Thursday,"2018-03-29 16:09:28"
"Market Street South",8,17,Thursday,"2018-03-29 17:01:03"
"Market Street South",11,18,Thursday,"2018-03-29 18:08:03"
"Market Street South",9,19,Thursday,"2018-03-29 19:12:24"
"Market Street South",21,20,Thursday,"2018-03-29 20:09:01"
"Market Street South",26,21,Thursday,"2018-03-29 21:07:37"
"Market Street South",27,22,Thursday,"2018-03-29 22:00:20"
"Market Street South",27,23,Thursday,"2018-03-29 23:01:16"
"Market Street South",19,6,Friday,"2018-03-30 06:10:32"
"Market Street South",23,7,Friday,"2018-03-30 07:05:35"
"Market Street South",29,8,Friday,"2018-03-30 08:04:26"
"Market Street South",28,9,Friday,"2018-03-30 09:07:22"
"Market Street South",27,10,Friday,"2018-03-30 10:08:08"
"Market Street South",27,11,Friday,"2018-03-30 11:01:10"
"Market Street South",26,12,Friday,"2018-03-30 12:03:17"
"Market Street South",25,13,Friday,"2018-03-30 13:02:55"
"Market Street South",27,14,Friday,"2018-03-30 14:06:44"
"Market Street South",27,15,Friday,"2018-03-30 15:07:05"
"Market Street South",25,16,Friday,"2018-03-30 16:03:45"
"Market Street South",22,17,Friday,"2018-03-30 17:02:34"
"Market Street South",23,18,Friday,"2018-03-30 18:00:42"
"Market Street South",21,19,Friday,"2018-03-30 19:08:54"
"Market Street South",20,20,Friday,"2018-03-30 20:07:41"
"Market Street South",18,21,Friday,"2018-03-30 21:05:31"
"Market Street South",16,22,Friday,"2018-03-30 22:06:35"
"Market Street South",16,23,Friday,"2018-03-30 23:07:36"
"Market Street South",22,6,Saturday,"2018-03-31 06:07:47"
"Market Street South",34,7,Saturday,"2018-03-31 07:04:57"
"Market Street South",35,8,Saturday,"2018-03-31 08:05:47"
"Market Street South",34,9,Saturday,"2018-03-31 09:09:31"
"Market Street South",33,10,Saturday,"2018-03-31 10:02:51"
"Market Street South",30,11,Saturday,"2018-03-31 11:11:51"
"Market Street South",28,12,Saturday,"2018-03-31 12:02:45"
"Market Street South",26,13,Saturday,"2018-03-31 13:07:12"
"Market Street South",24,14,Saturday,"2018-03-31 14:01:11"
"Market Street South",24,15,Saturday,"2018-03-31 15:00:07"
"Market Street South",18,16,Saturday,"2018-03-31 16:05:19"
"Market Street South",18,17,Saturday,"2018-03-31 17:00:12"
"Market Street South",15,18,Saturday,"2018-03-31 18:04:15"
"Market Street South",15,19,Saturday,"2018-03-31 19:09:48"
"Market Street South",16,20,Saturday,"2018-03-31 20:08:00"
"Market Street South",15,21,Saturday,"2018-03-31 21:03:52"
"Market Street South",17,22,Saturday,"2018-03-31 22:02:38"
"Market Street South",16,23,Saturday,"2018-03-31 23:06:33"
"Market Street South",15,6,Sunday,"2018-04-01 06:07:34"
"Market Street South",14,7,Sunday,"2018-04-01 07:00:41"
"Market Street South",12,8,Sunday,"2018-04-01 08:04:26"
"Market Street South",10,9,Sunday,"2018-04-01 09:09:58"
"Market Street South",19,10,Sunday,"2018-04-01 10:07:19"
"Market Street South",26,11,Sunday,"2018-04-01 11:06:28"
"Market Street South",26,12,Sunday,"2018-04-01 12:05:36"
"Market Street South",24,13,Sunday,"2018-04-01 13:00:49"
"Market Street South",20,14,Sunday,"2018-04-01 14:01:24"
"Market Street South",20,15,Sunday,"2018-04-01 15:01:31"
"Market Street South",21,16,Sunday,"2018-04-01 16:02:26"
"Market Street South",22,17,Sunday,"2018-04-01 17:04:17"
"Market Street South",21,18,Sunday,"2018-04-01 18:02:23"
"Market Street South",20,19,Sunday,"2018-04-01 19:02:52"
"Market Street South",20,20,Sunday,"2018-04-01 20:07:45"
"Market Street South",19,21,Sunday,"2018-04-01 21:05:16"
"Market Street South",19,22,Sunday,"2018-04-01 22:06:10"
"Market Street South",20,23,Sunday,"2018-04-01 23:07:06"
"Market Street South",18,6,Monday,"2018-04-02 06:00:02"
"Market Street South",15,7,Monday,"2018-04-02 07:09:53"
"Market Street South",15,8,Monday,"2018-04-02 08:02:04"
"Market Street South",17,9,Monday,"2018-04-02 09:08:58"
"Market Street South",15,10,Monday,"2018-04-02 10:10:00"
"Market Street South",13,11,Monday,"2018-04-02 11:05:53"
"Market Street South",10,12,Monday,"2018-04-02 12:07:05"
"Market Street South",9,13,Monday,"2018-04-02 13:04:23"
"Market Street South",8,14,Monday,"2018-04-02 14:08:24"
"Market Street South",8,15,Monday,"2018-04-02 15:08:43"
"Market Street South",9,16,Monday,"2018-04-02 16:09:48"
"Market Street South",9,17,Monday,"2018-04-02 17:01:32"
"Market Street South",10,18,Monday,"2018-04-02 18:05:21"
"Market Street South",8,19,Monday,"2018-04-02 19:09:51"
"Market Street South",8,20,Monday,"2018-04-02 20:09:13"
"Market Street South",9,21,Monday,"2018-04-02 21:05:08"
"Market Street South",9,22,Monday,"2018-04-02 22:02:15"
"Market Street South",9,23,Monday,"2018-04-02 23:01:05"
"Market Street South",0,6,Tuesday,"2018-04-03 06:03:47"
"Market Street South",0,7,Tuesday,"2018-04-03 07:04:42"
"Market Street South",0,8,Tuesday,"2018-04-03 08:06:27"
"Market Street South",0,9,Tuesday,"2018-04-03 09:01:40"
"Market Street South",0,10,Tuesday,"2018-04-03 10:09:22"
"Market Street South",1,11,Tuesday,"2018-04-03 11:09:53"
"Market Street South",10,12,Tuesday,"2018-04-03 12:04:49"
"Market Street South",13,13,Tuesday,"2018-04-03 13:00:57"
"Market Street South",14,14,Tuesday,"2018-04-03 14:08:42"
"Market Street South",16,15,Tuesday,"2018-04-03 15:02:11"
"Market Street South",22,16,Tuesday,"2018-04-03 16:07:53"
"Market Street South",27,17,Tuesday,"2018-04-03 17:05:10"
"Market Street South",28,18,Tuesday,"2018-04-03 18:00:15"
"Market Street South",28,19,Tuesday,"2018-04-03 19:02:23"
"Market Street South",28,20,Tuesday,"2018-04-03 20:07:16"
"Market Street South",29,21,Tuesday,"2018-04-03 21:06:07"
"Market Street South",30,22,Tuesday,"2018-04-03 22:09:04"
"Market Street South",30,23,Tuesday,"2018-04-03 23:00:39"
"Market Street South",19,6,Wednesday,"2018-04-04 06:08:20"
"Market Street South",12,7,Wednesday,"2018-04-04 07:02:17"
"Market Street South",8,8,Wednesday,"2018-04-04 08:00:11"
"Market Street South",5,9,Wednesday,"2018-04-04 09:02:38"
"Market Street South",4,10,Wednesday,"2018-04-04 10:03:36"
"Market Street South",3,11,Wednesday,"2018-04-04 11:00:41"
"Market Street South",11,12,Wednesday,"2018-04-04 12:09:04"
"Market Street South",25,13,Wednesday,"2018-04-04 13:10:06"
"Market Street South",25,14,Wednesday,"2018-04-04 14:04:28"
"Market Street South",27,15,Wednesday,"2018-04-04 15:06:39"
