address,round(avg(available_bikes)),HOUR,DOW,last_update
"Mater Hospital",31,6,Thursday,"2018-03-29 06:03:40"
"Mater Hospital",16,7,Thursday,"2018-03-29 07:03:27"
"Mater Hospital",1,8,Thursday,"2018-03-29 08:07:42"
"Mater Hospital",1,9,Thursday,"2018-03-29 09:07:41"
"Mater Hospital",13,10,Thursday,"2018-03-29 10:04:15"
"Mater Hospital",15,11,Thursday,"2018-03-29 11:00:03"
"Mater Hospital",14,12,Thursday,"2018-03-29 12:03:52"
"Mater Hospital",11,13,Thursday,"2018-03-29 13:05:49"
"Mater Hospital",9,14,Thursday,"2018-03-29 14:02:04"
"Mater Hospital",11,15,Thursday,"2018-03-29 15:02:09"
"Mater Hospital",11,16,Thursday,"2018-03-29 16:03:15"
"Mater Hospital",11,17,Thursday,"2018-03-29 17:01:31"
"Mater Hospital",13,18,Thursday,"2018-03-29 18:02:57"
"Mater Hospital",14,19,Thursday,"2018-03-29 19:03:30"
"Mater Hospital",15,20,Thursday,"2018-03-29 20:03:31"
"Mater Hospital",30,21,Thursday,"2018-03-29 21:02:56"
"Mater Hospital",31,22,Thursday,"2018-03-29 22:04:50"
"Mater Hospital",33,23,Thursday,"2018-03-29 23:10:01"
"Mater Hospital",27,6,Friday,"2018-03-30 06:05:58"
"Mater Hospital",26,7,Friday,"2018-03-30 07:08:47"
"Mater Hospital",20,8,Friday,"2018-03-30 08:04:54"
"Mater Hospital",20,9,Friday,"2018-03-30 09:05:01"
"Mater Hospital",20,10,Friday,"2018-03-30 10:07:14"
"Mater Hospital",21,11,Friday,"2018-03-30 11:04:27"
"Mater Hospital",20,12,Friday,"2018-03-30 12:03:24"
"Mater Hospital",20,13,Friday,"2018-03-30 13:05:01"
"Mater Hospital",16,14,Friday,"2018-03-30 14:03:33"
"Mater Hospital",14,15,Friday,"2018-03-30 15:07:23"
"Mater Hospital",11,16,Friday,"2018-03-30 16:03:12"
"Mater Hospital",12,17,Friday,"2018-03-30 17:00:25"
"Mater Hospital",12,18,Friday,"2018-03-30 18:00:00"
"Mater Hospital",9,19,Friday,"2018-03-30 19:04:40"
"Mater Hospital",11,20,Friday,"2018-03-30 20:06:44"
"Mater Hospital",26,21,Friday,"2018-03-30 21:04:34"
"Mater Hospital",33,22,Friday,"2018-03-30 22:05:43"
"Mater Hospital",33,23,Friday,"2018-03-30 23:09:20"
"Mater Hospital",28,6,Saturday,"2018-03-31 06:03:32"
"Mater Hospital",27,7,Saturday,"2018-03-31 07:00:36"
"Mater Hospital",24,8,Saturday,"2018-03-31 08:06:45"
"Mater Hospital",25,9,Saturday,"2018-03-31 09:01:32"
"Mater Hospital",22,10,Saturday,"2018-03-31 10:03:47"
"Mater Hospital",21,11,Saturday,"2018-03-31 11:05:04"
"Mater Hospital",21,12,Saturday,"2018-03-31 12:08:30"
"Mater Hospital",20,13,Saturday,"2018-03-31 13:06:06"
"Mater Hospital",20,14,Saturday,"2018-03-31 14:05:34"
"Mater Hospital",18,15,Saturday,"2018-03-31 15:09:07"
"Mater Hospital",17,16,Saturday,"2018-03-31 16:02:29"
"Mater Hospital",21,17,Saturday,"2018-03-31 17:07:57"
"Mater Hospital",20,18,Saturday,"2018-03-31 18:06:09"
"Mater Hospital",19,19,Saturday,"2018-03-31 19:00:42"
"Mater Hospital",19,20,Saturday,"2018-03-31 20:06:11"
"Mater Hospital",21,21,Saturday,"2018-03-31 21:05:07"
"Mater Hospital",21,22,Saturday,"2018-03-31 22:02:33"
"Mater Hospital",22,23,Saturday,"2018-03-31 23:07:27"
"Mater Hospital",20,6,Sunday,"2018-04-01 06:05:23"
"Mater Hospital",17,7,Sunday,"2018-04-01 07:01:25"
"Mater Hospital",15,8,Sunday,"2018-04-01 08:06:22"
"Mater Hospital",12,9,Sunday,"2018-04-01 09:03:21"
"Mater Hospital",8,10,Sunday,"2018-04-01 10:01:17"
"Mater Hospital",2,11,Sunday,"2018-04-01 11:08:45"
"Mater Hospital",2,12,Sunday,"2018-04-01 12:05:20"
"Mater Hospital",2,13,Sunday,"2018-04-01 13:01:14"
"Mater Hospital",1,14,Sunday,"2018-04-01 14:07:00"
"Mater Hospital",1,15,Sunday,"2018-04-01 15:07:58"
"Mater Hospital",3,16,Sunday,"2018-04-01 16:04:48"
"Mater Hospital",5,17,Sunday,"2018-04-01 17:05:47"
"Mater Hospital",4,18,Sunday,"2018-04-01 18:07:12"
"Mater Hospital",3,19,Sunday,"2018-04-01 19:08:09"
"Mater Hospital",1,20,Sunday,"2018-04-01 20:04:03"
"Mater Hospital",3,21,Sunday,"2018-04-01 21:04:58"
"Mater Hospital",5,22,Sunday,"2018-04-01 22:00:12"
"Mater Hospital",7,23,Sunday,"2018-04-01 23:02:19"
"Mater Hospital",6,6,Monday,"2018-04-02 06:02:41"
"Mater Hospital",5,7,Monday,"2018-04-02 07:05:51"
"Mater Hospital",3,8,Monday,"2018-04-02 08:01:36"
"Mater Hospital",0,9,Monday,"2018-04-02 09:04:02"
"Mater Hospital",0,10,Monday,"2018-04-02 10:04:13"
"Mater Hospital",0,11,Monday,"2018-04-02 11:05:17"
"Mater Hospital",0,12,Monday,"2018-04-02 12:04:37"
"Mater Hospital",0,13,Monday,"2018-04-02 13:07:28"
"Mater Hospital",7,14,Monday,"2018-04-02 14:04:33"
"Mater Hospital",17,15,Monday,"2018-04-02 15:01:29"
"Mater Hospital",18,16,Monday,"2018-04-02 16:07:35"
"Mater Hospital",19,17,Monday,"2018-04-02 17:03:04"
"Mater Hospital",17,18,Monday,"2018-04-02 18:04:10"
"Mater Hospital",17,19,Monday,"2018-04-02 19:01:27"
"Mater Hospital",18,20,Monday,"2018-04-02 20:01:13"
"Mater Hospital",19,21,Monday,"2018-04-02 21:01:27"
"Mater Hospital",20,22,Monday,"2018-04-02 22:02:31"
"Mater Hospital",20,23,Monday,"2018-04-02 23:01:45"
"Mater Hospital",14,6,Tuesday,"2018-04-03 06:01:27"
"Mater Hospital",1,7,Tuesday,"2018-04-03 07:02:21"
"Mater Hospital",0,8,Tuesday,"2018-04-03 08:03:42"
"Mater Hospital",0,9,Tuesday,"2018-04-03 09:06:20"
"Mater Hospital",6,10,Tuesday,"2018-04-03 10:09:24"
"Mater Hospital",10,11,Tuesday,"2018-04-03 11:08:21"
"Mater Hospital",10,12,Tuesday,"2018-04-03 12:08:35"
"Mater Hospital",7,13,Tuesday,"2018-04-03 13:07:42"
"Mater Hospital",7,14,Tuesday,"2018-04-03 14:03:50"
"Mater Hospital",7,15,Tuesday,"2018-04-03 15:03:44"
"Mater Hospital",8,16,Tuesday,"2018-04-03 16:06:33"
"Mater Hospital",10,17,Tuesday,"2018-04-03 17:00:35"
"Mater Hospital",18,18,Tuesday,"2018-04-03 18:03:47"
"Mater Hospital",21,19,Tuesday,"2018-04-03 19:07:46"
"Mater Hospital",27,20,Tuesday,"2018-04-03 20:09:08"
"Mater Hospital",32,21,Tuesday,"2018-04-03 21:05:00"
"Mater Hospital",36,22,Tuesday,"2018-04-03 22:09:26"
"Mater Hospital",38,23,Tuesday,"2018-04-03 23:00:37"
"Mater Hospital",31,6,Wednesday,"2018-04-04 06:09:24"
"Mater Hospital",22,7,Wednesday,"2018-04-04 07:03:15"
"Mater Hospital",16,8,Wednesday,"2018-04-04 08:00:39"
"Mater Hospital",13,9,Wednesday,"2018-04-04 09:02:10"
"Mater Hospital",15,10,Wednesday,"2018-04-04 10:01:58"
"Mater Hospital",15,11,Wednesday,"2018-04-04 11:02:08"
"Mater Hospital",15,12,Wednesday,"2018-04-04 12:07:05"
"Mater Hospital",14,13,Wednesday,"2018-04-04 13:00:55"
"Mater Hospital",11,14,Wednesday,"2018-04-04 14:06:53"
"Mater Hospital",11,15,Wednesday,"2018-04-04 15:00:58"
"Mater Hospital",12,16,Wednesday,"2018-04-04 16:09:30"
"Mater Hospital",17,17,Wednesday,"2018-04-04 17:11:02"
"Mater Hospital",23,18,Wednesday,"2018-04-04 18:06:50"
"Mater Hospital",30,19,Wednesday,"2018-04-04 19:07:13"
"Mater Hospital",33,20,Wednesday,"2018-04-04 20:06:10"
"Mater Hospital",34,21,Wednesday,"2018-04-04 21:05:54"
"Mater Hospital",36,22,Wednesday,"2018-04-04 22:08:37"
"Mater Hospital",37,23,Wednesday,"2018-04-04 23:07:46"
