address,round(avg(available_bikes)),HOUR,DOW,last_update,rain_in_mm
Merrion Square East,8,6,Thursday,29/03/2018 06:01,0
Merrion Square East,22,7,Thursday,29/03/2018 07:03,0
Merrion Square East,30,8,Thursday,29/03/2018 08:00,0
Merrion Square East,29,9,Thursday,29/03/2018 09:07,0
Merrion Square East,29,10,Thursday,29/03/2018 10:09,0
Merrion Square East,27,11,Thursday,29/03/2018 11:00,10
Merrion Square East,26,12,Thursday,29/03/2018 12:01,30
Merrion Square East,30,13,Thursday,29/03/2018 13:01,30
Merrion Square East,29,14,Thursday,29/03/2018 14:03,45
Merrion Square East,23,15,Thursday,29/03/2018 15:02,40
Merrion Square East,11,16,Thursday,29/03/2018 16:07,30
Merrion Square East,2,17,Thursday,29/03/2018 17:02,30
Merrion Square East,1,18,Thursday,29/03/2018 18:06,30
Merrion Square East,0,19,Thursday,29/03/2018 19:07,40
Merrion Square East,0,20,Thursday,29/03/2018 20:08,30
Merrion Square East,0,21,Thursday,29/03/2018 21:09,25
Merrion Square East,0,22,Thursday,29/03/2018 22:00,30
Merrion Square East,0,23,Thursday,29/03/2018 23:01,40
Merrion Square East,6,6,Friday,30/03/2018 06:10,0
Merrion Square East,9,7,Friday,30/03/2018 07:05,0
Merrion Square East,11,8,Friday,30/03/2018 08:01,0
Merrion Square East,12,9,Friday,30/03/2018 09:08,0
Merrion Square East,15,10,Friday,30/03/2018 10:06,20
Merrion Square East,13,11,Friday,30/03/2018 11:06,20
Merrion Square East,13,12,Friday,30/03/2018 12:07,20
Merrion Square East,14,13,Friday,30/03/2018 13:04,20
Merrion Square East,13,14,Friday,30/03/2018 14:00,20
Merrion Square East,11,15,Friday,30/03/2018 15:06,0
Merrion Square East,10,16,Friday,30/03/2018 16:09,0
Merrion Square East,9,17,Friday,30/03/2018 17:00,20
Merrion Square East,8,18,Friday,30/03/2018 18:08,0
Merrion Square East,9,19,Friday,30/03/2018 19:09,0
Merrion Square East,9,20,Friday,30/03/2018 20:00,0
Merrion Square East,8,21,Friday,30/03/2018 21:07,0
Merrion Square East,8,22,Friday,30/03/2018 22:08,0
Merrion Square East,9,23,Friday,30/03/2018 23:00,0
Merrion Square East,8,6,Saturday,31/03/2018 06:02,0
Merrion Square East,7,7,Saturday,31/03/2018 07:03,0
Merrion Square East,7,8,Saturday,31/03/2018 08:07,0
Merrion Square East,8,9,Saturday,31/03/2018 09:02,0
Merrion Square East,8,10,Saturday,31/03/2018 10:03,0
Merrion Square East,8,11,Saturday,31/03/2018 11:01,0
Merrion Square East,6,12,Saturday,31/03/2018 12:09,0
Merrion Square East,3,13,Saturday,31/03/2018 13:02,0
Merrion Square East,2,14,Saturday,31/03/2018 14:08,0
Merrion Square East,0,15,Saturday,31/03/2018 15:03,0
Merrion Square East,0,16,Saturday,31/03/2018 16:09,0
Merrion Square East,0,17,Saturday,31/03/2018 17:05,0
Merrion Square East,0,18,Saturday,31/03/2018 18:06,0
Merrion Square East,0,19,Saturday,31/03/2018 19:07,0
Merrion Square East,1,20,Saturday,31/03/2018 20:07,0
Merrion Square East,2,21,Saturday,31/03/2018 21:08,0
Merrion Square East,1,22,Saturday,31/03/2018 22:00,0
Merrion Square East,1,23,Saturday,31/03/2018 23:00,0
Merrion Square East,1,6,Sunday,01/04/2018 06:02,30
Merrion Square East,1,7,Sunday,01/04/2018 07:04,30
Merrion Square East,0,8,Sunday,01/04/2018 08:02,0
Merrion Square East,0,9,Sunday,01/04/2018 09:03,0
Merrion Square East,0,10,Sunday,01/04/2018 10:05,0
Merrion Square East,0,11,Sunday,01/04/2018 11:06,0
Merrion Square East,1,12,Sunday,01/04/2018 12:07,0
Merrion Square East,4,13,Sunday,01/04/2018 13:08,0
Merrion Square East,8,14,Sunday,01/04/2018 14:11,0
Merrion Square East,8,15,Sunday,01/04/2018 15:06,0
Merrion Square East,10,16,Sunday,01/04/2018 16:10,0
Merrion Square East,12,17,Sunday,01/04/2018 17:10,0
Merrion Square East,13,18,Sunday,01/04/2018 18:06,0
Merrion Square East,16,19,Sunday,01/04/2018 19:02,0
Merrion Square East,18,20,Sunday,01/04/2018 20:10,45
Merrion Square East,17,21,Sunday,01/04/2018 21:06,50
Merrion Square East,17,22,Sunday,01/04/2018 22:08,50
Merrion Square East,17,23,Sunday,01/04/2018 23:09,60
Merrion Square East,18,6,Monday,02/04/2018 06:00,70
Merrion Square East,20,7,Monday,02/04/2018 07:07,70
Merrion Square East,20,8,Monday,02/04/2018 08:09,60
Merrion Square East,21,9,Monday,02/04/2018 09:07,70
Merrion Square East,23,10,Monday,02/04/2018 10:04,65
Merrion Square East,22,11,Monday,02/04/2018 11:07,70
Merrion Square East,22,12,Monday,02/04/2018 12:08,70
Merrion Square East,22,13,Monday,02/04/2018 13:07,70
Merrion Square East,21,14,Monday,02/04/2018 14:09,60
Merrion Square East,22,15,Monday,02/04/2018 15:06,60
Merrion Square East,22,16,Monday,02/04/2018 16:00,60
Merrion Square East,20,17,Monday,02/04/2018 17:05,50
Merrion Square East,19,18,Monday,02/04/2018 18:08,40
Merrion Square East,20,19,Monday,02/04/2018 19:01,0
Merrion Square East,19,20,Monday,02/04/2018 20:03,0
Merrion Square East,18,21,Monday,02/04/2018 21:06,40
Merrion Square East,19,22,Monday,02/04/2018 22:01,50
Merrion Square East,19,23,Monday,02/04/2018 23:03,60
Merrion Square East,10,6,Tuesday,03/04/2018 06:00,0
Merrion Square East,23,7,Tuesday,03/04/2018 07:01,20
Merrion Square East,30,8,Tuesday,03/04/2018 08:05,20
Merrion Square East,26,9,Tuesday,03/04/2018 09:07,0
Merrion Square East,26,10,Tuesday,03/04/2018 10:07,0
Merrion Square East,26,11,Tuesday,03/04/2018 11:02,0
Merrion Square East,29,12,Tuesday,03/04/2018 12:01,30
Merrion Square East,30,13,Tuesday,03/04/2018 13:01,40
Merrion Square East,29,14,Tuesday,03/04/2018 14:05,20
Merrion Square East,23,15,Tuesday,03/04/2018 15:04,20
Merrion Square East,7,16,Tuesday,03/04/2018 16:04,30
Merrion Square East,1,17,Tuesday,03/04/2018 17:02,0
Merrion Square East,1,18,Tuesday,03/04/2018 18:00,0
Merrion Square East,0,19,Tuesday,03/04/2018 19:09,0
Merrion Square East,0,20,Tuesday,03/04/2018 20:09,0
Merrion Square East,1,21,Tuesday,03/04/2018 21:06,0
Merrion Square East,1,22,Tuesday,03/04/2018 22:01,0
Merrion Square East,0,23,Tuesday,03/04/2018 23:01,0
Merrion Square East,5,6,Wednesday,04/04/2018 06:05,40
Merrion Square East,11,7,Wednesday,04/04/2018 07:08,40
Merrion Square East,17,8,Wednesday,04/04/2018 08:02,30
Merrion Square East,15,9,Wednesday,04/04/2018 09:03,40
Merrion Square East,15,10,Wednesday,04/04/2018 10:07,40
Merrion Square East,14,11,Wednesday,04/04/2018 11:00,20
Merrion Square East,14,12,Wednesday,04/04/2018 12:05,0
Merrion Square East,17,13,Wednesday,04/04/2018 13:08,10
Merrion Square East,18,14,Wednesday,04/04/2018 14:00,0
Merrion Square East,16,15,Wednesday,04/04/2018 15:01,20
Merrion Square East,5,16,Wednesday,04/04/2018 16:06,20
Merrion Square East,1,17,Wednesday,04/04/2018 17:01,40
Merrion Square East,2,18,Wednesday,04/04/2018 18:00,0
Merrion Square East,2,19,Wednesday,04/04/2018 19:05,0
Merrion Square East,3,20,Wednesday,04/04/2018 20:06,0
Merrion Square East,3,21,Wednesday,04/04/2018 21:01,40
Merrion Square East,2,22,Wednesday,04/04/2018 22:09,30
Merrion Square East,1,23,Wednesday,04/04/2018 23:05,30
