address,round(avg(available_bikes)),HOUR,DOW,last_update
"Merrion Square East",8,6,Thursday,"2018-03-29 06:01:38"
"Merrion Square East",22,7,Thursday,"2018-03-29 07:03:10"
"Merrion Square East",30,8,Thursday,"2018-03-29 08:00:48"
"Merrion Square East",29,9,Thursday,"2018-03-29 09:07:41"
"Merrion Square East",29,10,Thursday,"2018-03-29 10:09:25"
"Merrion Square East",27,11,Thursday,"2018-03-29 11:00:19"
"Merrion Square East",26,12,Thursday,"2018-03-29 12:01:29"
"Merrion Square East",30,13,Thursday,"2018-03-29 13:01:37"
"Merrion Square East",29,14,Thursday,"2018-03-29 14:03:20"
"Merrion Square East",23,15,Thursday,"2018-03-29 15:02:27"
"Merrion Square East",11,16,Thursday,"2018-03-29 16:07:33"
"Merrion Square East",2,17,Thursday,"2018-03-29 17:02:13"
"Merrion Square East",1,18,Thursday,"2018-03-29 18:06:56"
"Merrion Square East",0,19,Thursday,"2018-03-29 19:07:57"
"Merrion Square East",0,20,Thursday,"2018-03-29 20:08:54"
"Merrion Square East",0,21,Thursday,"2018-03-29 21:09:48"
"Merrion Square East",0,22,Thursday,"2018-03-29 22:00:34"
"Merrion Square East",0,23,Thursday,"2018-03-29 23:01:30"
"Merrion Square East",6,6,Friday,"2018-03-30 06:10:38"
"Merrion Square East",9,7,Friday,"2018-03-30 07:05:25"
"Merrion Square East",11,8,Friday,"2018-03-30 08:01:06"
"Merrion Square East",12,9,Friday,"2018-03-30 09:08:33"
"Merrion Square East",15,10,Friday,"2018-03-30 10:06:54"
"Merrion Square East",13,11,Friday,"2018-03-30 11:06:47"
"Merrion Square East",13,12,Friday,"2018-03-30 12:07:46"
"Merrion Square East",14,13,Friday,"2018-03-30 13:04:18"
"Merrion Square East",13,14,Friday,"2018-03-30 14:00:29"
"Merrion Square East",11,15,Friday,"2018-03-30 15:06:09"
"Merrion Square East",10,16,Friday,"2018-03-30 16:09:56"
"Merrion Square East",9,17,Friday,"2018-03-30 17:00:09"
"Merrion Square East",8,18,Friday,"2018-03-30 18:08:19"
"Merrion Square East",9,19,Friday,"2018-03-30 19:09:16"
"Merrion Square East",9,20,Friday,"2018-03-30 20:00:02"
"Merrion Square East",8,21,Friday,"2018-03-30 21:07:47"
"Merrion Square East",8,22,Friday,"2018-03-30 22:08:43"
"Merrion Square East",9,23,Friday,"2018-03-30 23:00:56"
"Merrion Square East",8,6,Saturday,"2018-03-31 06:02:19"
"Merrion Square East",7,7,Saturday,"2018-03-31 07:03:14"
"Merrion Square East",7,8,Saturday,"2018-03-31 08:07:15"
"Merrion Square East",8,9,Saturday,"2018-03-31 09:02:37"
"Merrion Square East",8,10,Saturday,"2018-03-31 10:03:32"
"Merrion Square East",8,11,Saturday,"2018-03-31 11:01:46"
"Merrion Square East",6,12,Saturday,"2018-03-31 12:09:19"
"Merrion Square East",3,13,Saturday,"2018-03-31 13:02:30"
"Merrion Square East",2,14,Saturday,"2018-03-31 14:08:21"
"Merrion Square East",0,15,Saturday,"2018-03-31 15:03:08"
"Merrion Square East",0,16,Saturday,"2018-03-31 16:09:23"
"Merrion Square East",0,17,Saturday,"2018-03-31 17:05:26"
"Merrion Square East",0,18,Saturday,"2018-03-31 18:06:23"
"Merrion Square East",0,19,Saturday,"2018-03-31 19:07:18"
"Merrion Square East",1,20,Saturday,"2018-03-31 20:07:06"
"Merrion Square East",2,21,Saturday,"2018-03-31 21:08:01"
"Merrion Square East",1,22,Saturday,"2018-03-31 22:00:14"
"Merrion Square East",1,23,Saturday,"2018-03-31 23:00:31"
"Merrion Square East",1,6,Sunday,"2018-04-01 06:02:58"
"Merrion Square East",1,7,Sunday,"2018-04-01 07:04:26"
"Merrion Square East",0,8,Sunday,"2018-04-01 08:02:29"
